Date,Open,High,Low,Close,Avg_Volume,Volume,Dividends,Stock Splits
17-09-2025,79.0,82.94999694824219,79.0,82.94999694824219,3466,1067200,0.0,0.0
18-09-2025,79.0,87.08999633789062,78.80999755859375,85.95999908447266,3466,564800,0.0,0.0
19-09-2025,83.98999786376953,90.25,82.5999984741211,90.25,3466,99200,0.0,0.0
22-09-2025,93.80000305175781,94.76000213623047,90.25,94.76000213623047,3466,83200,0.0,0.0
23-09-2025,98.9000015258789,99.48999786376953,96.5,99.48999786376953,3466,67200,0.0,0.0
24-09-2025,104.41000366210938,104.45999908447266,104.41000366210938,104.45999908447266,3466,24000,0.0,0.0
25-09-2025,109.68000030517578,109.68000030517578,109.68000030517578,109.68000030517578,3466,4800,0.0,0.0
26-09-2025,115.16000366210938,115.16000366210938,115.16000366210938,115.16000366210938,3466,33600,0.0,0.0
29-09-2025,120.58999633789062,120.91000366210938,120.58999633789062,120.91000366210938,3466,17600,0.0,0.0
30-09-2025,126.94999694824219,126.94999694824219,126.94999694824219,126.94999694824219,3466,6400,0.0,0.0
01-10-2025,138.89999389648438,152.3000030517578,133.0,151.64999389648438,3466,121600,0.0,0.0
03-10-2025,155.5,181.9499969482422,155.5,181.60000610351562,3466,193600,0.0,0.0
06-10-2025,181.10000610351562,188.0,163.4499969482422,163.4499969482422,3466,185600,0.0,0.0
07-10-2025,163.4499969482422,163.4499969482422,163.4499969482422,163.4499969482422,3466,0,0.0,0.0
08-10-2025,163.4499969482422,163.4499969482422,163.4499969482422,163.4499969482422,3466,0,0.0,0.0
09-10-2025,163.4499969482422,163.4499969482422,163.4499969482422,163.4499969482422,3466,0,0.0,0.0
10-10-2025,163.4499969482422,163.4499969482422,163.4499969482422,163.4499969482422,3466,0,0.0,0.0
13-10-2025,163.4499969482422,163.4499969482422,163.4499969482422,163.4499969482422,3466,0,0.0,0.0
14-10-2025,147.5500030517578,147.5500030517578,147.5500030517578,147.5500030517578,3466,1600,0.0,0.0
15-10-2025,147.5500030517578,147.5500030517578,147.5500030517578,147.5500030517578,3466,0,0.0,0.0
16-10-2025,147.5500030517578,147.5500030517578,147.5500030517578,147.5500030517578,3466,0,0.0,0.0
17-10-2025,147.5500030517578,147.5500030517578,147.5500030517578,147.5500030517578,3466,0,0.0,0.0
20-10-2025,147.5500030517578,147.5500030517578,147.5500030517578,147.5500030517578,3466,0,0.0,0.0
21-10-2025,147.5500030517578,147.5500030517578,147.5500030517578,147.5500030517578,3466,0,0.0,0.0
23-10-2025,147.5500030517578,147.5500030517578,147.5500030517578,147.5500030517578,3466,0,0.0,0.0
24-10-2025,140.1999969482422,140.1999969482422,140.1999969482422,140.1999969482422,3466,1600,0.0,0.0
27-10-2025,140.1999969482422,140.1999969482422,140.1999969482422,140.1999969482422,3466,0,0.0,0.0
28-10-2025,140.1999969482422,140.1999969482422,140.1999969482422,140.1999969482422,3466,0,0.0,0.0
29-10-2025,140.1999969482422,140.1999969482422,140.1999969482422,140.1999969482422,3466,0,0.0,0.0
30-10-2025,140.1999969482422,140.1999969482422,140.1999969482422,140.1999969482422,3466,0,0.0,0.0
31-10-2025,140.1999969482422,140.1999969482422,140.1999969482422,140.1999969482422,3466,0,0.0,0.0
03-11-2025,140.1999969482422,140.1999969482422,140.1999969482422,140.1999969482422,3466,0,0.0,0.0
