Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,749.67,759.07,743.64,757.43,1360852,,0.0,0.0
03-08-2021,761.19,790.9,759.55,783.38,3313907,,0.0,0.0
04-08-2021,786.99,788.78,760.23,762.78,1011634,,0.0,0.0
05-08-2021,763.94,772.72,750.01,753.48,1036871,,0.0,0.0
06-08-2021,754.83,776.96,749.28,751.93,1514625,,0.0,0.0
09-08-2021,756.18,761.77,744.85,747.59,900246,,0.0,0.0
10-08-2021,751.84,752.03,719.53,724.16,1480912,,0.0,0.0
11-08-2021,724.45,758.11,720.2,754.92,2435357,,0.0,0.0
12-08-2021,759.07,814.82,747.55,798.13,15755004,,0.0,0.0
13-08-2021,804.11,805.37,785.79,790.61,3470286,,0.0,0.0
16-08-2021,794.42,803.92,773.73,775.81,1928149,,0.0,0.0
17-08-2021,772.57,787.43,762.45,782.03,2634226,,0.0,0.0
18-08-2021,785.6,793.79,771.13,774.41,2465802,,0.0,0.0
20-08-2021,769.68,771.51,720.49,726.13,2732904,,0.0,0.0
23-08-2021,734.96,745.86,691.56,694.11,3655328,,0.0,0.0
24-08-2021,701.44,719.24,694.5,714.7,2855082,,0.0,0.0
25-08-2021,716.83,721.65,702.7,705.16,1821422,,0.0,0.0
26-08-2021,705.16,709.54,698.31,701.3,878476,,0.0,0.0
27-08-2021,703.18,708.58,696.62,703.56,856128,,0.0,0.0
30-08-2021,706.65,747.5,706.65,732.84,4252860,,0.0,0.0
31-08-2021,731.53,742.1,719.57,739.97,3404792,,0.0,0.0
01-09-2021,743.35,757.05,735.73,753.33,2545047,,0.0,0.0
02-09-2021,756.52,758.06,747.98,753.67,1481791,,0.0,0.0
03-09-2021,762.93,782.65,757.43,763.22,3896373,,0.0,0.0
06-09-2021,771.56,776.34,758.59,760.18,1572573,,0.0,0.0
07-09-2021,764.18,766.79,740.46,749.62,1957784,,0.0,0.0
08-09-2021,749.62,753.48,738.87,744.99,929880,,0.0,0.0
09-09-2021,747.5,748.94,731.63,746.39,1203910,,0.0,0.0
13-09-2021,749.43,752.75,738.0,747.02,1287735,,0.0,0.0
14-09-2021,748.46,763.75,746.53,752.37,2152450,,0.0,0.0
15-09-2021,752.37,762.93,747.5,759.6,1287314,,0.0,0.0
16-09-2021,764.57,766.74,749.47,750.83,1224948,,0.0,0.0
17-09-2021,752.27,756.32,729.22,734.52,1928495,,0.0,0.0
20-09-2021,733.03,741.18,708.0,713.84,1924787,,0.0,0.0
21-09-2021,713.26,723.1,701.39,712.78,1884073,,0.0,0.0
22-09-2021,712.78,724.2,704.67,714.56,2727267,,0.0,0.0
23-09-2021,716.2,740.41,716.2,737.18,1539670,,0.0,0.0
24-09-2021,740.75,747.4,711.86,723.19,2047990,,0.0,0.0
27-09-2021,723.19,757.91,717.98,752.95,3984098,,0.0,0.0
28-09-2021,755.89,764.86,724.4,729.08,2304265,,0.0,0.0
29-09-2021,725.99,725.99,710.75,717.79,3149740,,0.0,0.0
30-09-2021,723.38,725.27,708.92,711.28,2547525,,0.0,0.0
01-10-2021,710.85,714.95,695.41,701.78,2280554,,0.0,0.0
04-10-2021,704.09,718.56,704.09,715.62,1193970,,0.0,0.0
05-10-2021,709.64,709.64,694.74,697.25,2455538,,0.0,0.0
06-10-2021,700.24,706.02,691.85,696.04,2086669,,0.0,0.0
07-10-2021,704.09,723.53,702.02,715.19,3925051,,0.0,0.0
08-10-2021,718.51,743.64,707.66,731.68,4161240,,0.0,0.0
11-10-2021,736.89,768.14,735.49,765.82,3765565,,0.0,0.0
12-10-2021,768.04,775.85,755.74,762.5,2179096,,0.0,0.0
13-10-2021,763.89,784.82,762.74,775.66,2937616,,0.0,0.0
14-10-2021,777.4,788.01,766.79,772.57,2153914,,0.0,0.0
18-10-2021,788.97,788.97,767.75,770.65,1659447,,0.0,0.0
19-10-2021,771.61,784.15,755.79,763.03,2459112,,0.0,0.0
20-10-2021,763.89,770.65,734.81,746.58,2743887,,0.0,0.0
21-10-2021,753.96,759.02,742.72,754.54,1647655,,0.0,0.0
22-10-2021,757.14,777.4,751.02,759.65,2050915,,0.0,0.0
25-10-2021,761.97,765.2,729.17,733.66,1113840,,0.0,0.0
26-10-2021,732.84,760.04,731.15,758.01,1298265,,0.0,0.0
27-10-2021,761.92,771.47,750.15,753.53,738857,,0.0,0.0
28-10-2021,744.6,756.56,735.15,738.14,972969,,0.0,0.0
29-10-2021,733.03,751.26,721.75,739.93,1232532,,0.0,0.0
01-11-2021,739.83,765.82,739.83,763.32,910765,,0.0,0.0
02-11-2021,762.93,763.7,751.64,755.36,791841,,0.0,0.0
03-11-2021,751.11,759.99,739.97,747.59,946203,,0.0,0.0
04-11-2021,746.53,756.95,744.65,753.62,121651,,0.0,0.0
08-11-2021,754.25,791.77,753.77,785.74,3228051,,0.0,0.0
09-11-2021,785.74,807.54,785.74,804.45,2985897,,0.0,0.0
10-11-2021,800.55,817.86,798.62,802.47,3143770,,0.0,0.0
11-11-2021,793.07,794.71,750.15,754.3,3738001,,0.0,0.0
12-11-2021,762.93,779.23,738.43,747.55,7646975,,0.0,0.0
15-11-2021,747.98,770.89,743.64,749.76,3370631,,0.0,0.0
16-11-2021,752.32,785.11,748.8,772.24,4019030,,0.0,0.0
17-11-2021,770.16,795.72,767.75,774.26,2867176,,0.0,0.0
18-11-2021,773.54,773.83,740.99,751.11,2535600,,0.0,0.0
22-11-2021,754.25,754.25,703.52,714.66,2416974,,0.0,0.0
23-11-2021,708.92,722.08,698.31,719.48,1923996,,0.0,0.0
24-11-2021,723.38,727.97,708.92,714.32,1145860,,0.0,0.0
25-11-2021,716.15,719.92,702.77,710.36,1887358,,1.5,0.0
26-11-2021,704.8,704.8,667.83,674.74,5054410,,0.0,0.0
29-11-2021,666.86,682.33,656.09,673.68,2413024,,0.0,0.0
30-11-2021,673.63,693.59,666.04,670.39,2584353,,0.0,0.0
01-12-2021,673.92,682.47,665.12,676.38,1269839,,0.0,0.0
02-12-2021,681.75,686.19,668.31,682.18,1357075,,0.0,0.0
03-12-2021,681.36,694.89,677.01,680.15,2088737,,0.0,0.0
06-12-2021,661.84,679.43,658.26,664.88,1986204,,0.0,0.0
07-12-2021,673.63,675.8,663.0,673.19,1187456,,0.0,0.0
08-12-2021,677.5,698.76,677.5,697.16,1225465,,0.0,0.0
09-12-2021,700.69,703.59,693.25,700.55,605970,,0.0,0.0
10-12-2021,692.96,710.55,692.96,705.48,863269,,0.0,0.0
13-12-2021,711.32,720.79,706.83,713.84,1168364,,0.0,0.0
14-12-2021,710.36,715.14,698.95,711.23,586248,,0.0,0.0
15-12-2021,711.37,716.2,700.01,704.17,455424,,0.0,0.0
16-12-2021,708.33,712.63,695.91,702.24,481949,,0.0,0.0
17-12-2021,702.62,704.56,672.86,677.54,1063648,,0.0,0.0
20-12-2021,671.7,672.23,630.62,641.98,2735289,,0.0,0.0
21-12-2021,640.77,653.09,634.54,650.82,2385554,,0.0,0.0
22-12-2021,655.85,665.17,652.8,661.4,641613,,0.0,0.0
23-12-2021,668.8,675.27,662.66,673.97,1062346,,0.0,0.0
24-12-2021,680.11,683.29,654.54,667.73,1368268,,0.0,0.0
27-12-2021,658.46,670.2,654.74,663.97,943024,,0.0,0.0
28-12-2021,666.82,679.43,664.21,678.51,865783,,0.0,0.0
29-12-2021,678.41,682.33,672.37,678.22,578098,,0.0,0.0
30-12-2021,676.53,677.93,667.15,670.63,661932,,0.0,0.0
31-12-2021,670.88,679.28,668.89,674.45,1117696,,0.0,0.0
03-01-2022,674.11,690.4,674.11,687.06,1177051,,0.0,0.0
04-01-2022,688.13,698.76,686.92,692.96,1192385,,0.0,0.0
05-01-2022,699.53,700.69,689.09,696.83,1426330,,0.0,0.0
06-01-2022,695.86,726.35,691.03,723.84,2639418,,0.0,0.0
07-01-2022,722.63,730.12,717.85,723.21,1144890,,0.0,0.0
10-01-2022,723.98,743.22,723.98,741.77,1134669,,0.0,0.0
11-01-2022,741.28,747.18,737.47,743.89,861216,,0.0,0.0
12-01-2022,719.05,740.07,710.98,735.0,3136263,,0.0,0.0
13-01-2022,734.52,745.34,730.84,742.25,942527,,0.0,0.0
14-01-2022,738.38,757.71,735.48,754.91,1183085,,0.0,0.0
17-01-2022,755.78,761.1,744.28,749.5,1070495,,0.0,0.0
18-01-2022,751.91,753.46,729.88,735.63,1330065,,0.0,0.0
19-01-2022,731.62,738.38,723.84,732.92,627399,,0.0,0.0
20-01-2022,736.55,737.56,717.6,725.05,687357,,0.0,0.0
21-01-2022,721.95,730.46,707.46,715.57,1316006,,0.0,0.0
24-01-2022,710.36,715.57,686.19,694.8,1334962,,0.0,0.0
25-01-2022,691.03,709.05,681.41,704.85,926048,,0.0,0.0
27-01-2022,702.48,704.22,679.86,694.89,1167077,,0.0,0.0
28-01-2022,698.56,723.84,697.74,704.46,864318,,0.0,0.0
31-01-2022,713.06,719.05,704.85,710.36,913742,,0.0,0.0
01-02-2022,719.05,728.43,705.62,723.11,834026,,0.0,0.0
02-02-2022,730.65,736.4,719.05,727.95,704701,,0.0,0.0
03-02-2022,729.69,737.42,714.7,717.17,595479,,0.0,0.0
04-02-2022,715.19,722.34,703.88,706.15,372365,,0.0,0.0
07-02-2022,706.78,712.34,687.45,699.63,875013,,0.0,0.0
08-02-2022,705.14,715.09,690.06,699.14,1610975,,0.0,0.0
09-02-2022,708.42,724.85,701.66,722.82,656286,,0.0,0.0
10-02-2022,724.56,741.43,688.13,705.43,4738129,,0.0,0.0
11-02-2022,704.56,731.86,692.33,707.79,3758227,,0.0,0.0
14-02-2022,695.86,703.06,669.96,676.63,2124421,,0.0,0.0
15-02-2022,686.15,697.55,671.07,693.78,1380986,,0.0,0.0
16-02-2022,697.79,708.57,691.7,697.84,962465,,0.0,0.0
17-02-2022,701.17,703.59,676.58,680.3,1418393,,0.0,0.0
18-02-2022,680.2,681.17,667.93,670.88,1187208,,0.0,0.0
21-02-2022,669.76,675.47,654.3,661.45,1604938,,0.0,0.0
22-02-2022,630.14,672.71,628.69,667.83,1639090,,0.0,0.0
23-02-2022,675.85,688.08,667.88,680.73,1064201,,0.0,0.0
24-02-2022,664.93,665.12,636.9,645.22,4866256,,0.0,0.0
25-02-2022,663.87,670.92,645.26,649.27,1946167,,0.0,0.0
28-02-2022,644.64,659.13,630.67,655.9,1962564,,0.0,0.0
02-03-2022,644.64,647.54,633.04,640.62,3323853,,0.0,0.0
03-03-2022,642.9,648.89,619.6,622.5,2398493,,0.0,0.0
04-03-2022,612.26,622.84,602.59,611.68,2726367,,0.0,0.0
07-03-2022,597.28,601.87,582.97,592.11,2197227,,0.0,0.0
08-03-2022,592.45,597.47,575.05,594.62,2905793,,0.0,0.0
09-03-2022,599.21,610.42,590.56,607.86,2503180,,0.0,0.0
10-03-2022,626.27,632.75,611.73,616.56,2912874,,0.0,0.0
11-03-2022,616.56,619.41,608.05,611.15,1394422,,0.0,0.0
14-03-2022,613.47,630.67,604.09,627.67,2124004,,0.0,0.0
15-03-2022,629.99,646.38,623.71,631.11,2128873,,0.0,0.0
16-03-2022,639.8,654.2,635.12,652.32,1094758,,0.0,0.0
17-03-2022,666.86,670.25,653.33,659.04,1125022,,0.0,0.0
21-03-2022,661.07,663.68,643.67,646.62,690631,,0.0,0.0
22-03-2022,651.79,670.59,645.6,666.38,1249429,,0.0,0.0
23-03-2022,673.39,675.37,654.59,658.02,1081529,,0.0,0.0
24-03-2022,652.95,675.42,652.95,670.97,1613089,,0.0,0.0
25-03-2022,675.56,677.35,660.44,667.15,1200801,,0.0,0.0
28-03-2022,667.83,680.25,656.28,676.05,2140301,,0.0,0.0
29-03-2022,682.04,685.81,676.58,684.21,595518,,0.0,0.0
30-03-2022,686.34,700.98,677.5,679.04,1082631,,0.0,0.0
31-03-2022,680.97,688.47,673.44,677.11,952386,,0.0,0.0
01-04-2022,676.53,680.59,670.92,678.46,643003,,0.0,0.0
04-04-2022,685.81,687.93,681.75,685.32,491203,,0.0,0.0
