Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,2327.55,2349.98,2323.47,2337.71,464874,,0.0,0.0
03-08-2021,2339.48,2371.15,2339.48,2368.72,530085,,0.0,0.0
04-08-2021,2379.39,2381.49,2353.51,2357.29,308031,,0.0,0.0
05-08-2021,2357.71,2379.3,2340.06,2368.47,316844,,0.0,0.0
06-08-2021,2377.88,2395.56,2362.5,2381.07,445529,,0.0,0.0
09-08-2021,2394.68,2408.04,2373.67,2383.17,422204,,0.0,0.0
10-08-2021,2389.51,2389.51,2344.27,2350.19,574570,,0.0,0.0
11-08-2021,2361.07,2365.15,2311.71,2337.21,551805,,0.0,0.0
12-08-2021,2352.67,2353.72,2331.66,2338.34,410605,,0.0,0.0
13-08-2021,2350.02,2364.77,2312.34,2329.31,1083905,,0.0,0.0
16-08-2021,2331.66,2334.1,2303.77,2308.43,396756,,0.0,0.0
17-08-2021,2314.02,2344.27,2279.57,2338.05,877329,,0.0,0.0
18-08-2021,2344.69,2348.47,2312.76,2322.08,613650,,0.0,0.0
20-08-2021,2252.85,2303.09,2252.85,2266.54,809463,,0.0,0.0
23-08-2021,2269.49,2277.8,2232.09,2252.34,758426,,0.0,0.0
24-08-2021,2252.68,2264.44,2228.31,2248.35,567946,,0.0,0.0
25-08-2021,2254.36,2275.37,2243.44,2246.76,407780,,0.0,0.0
26-08-2021,2247.64,2251.84,2220.33,2224.57,445529,,0.0,0.0
27-08-2021,2224.95,2251.76,2214.87,2246.84,517155,,0.0,0.0
30-08-2021,2251.84,2293.01,2251.84,2290.7,518747,,0.0,0.0
31-08-2021,2291.33,2307.3,2269.57,2303.81,708031,,0.0,0.0
01-09-2021,2318.22,2322.42,2294.36,2302.97,442282,,0.0,0.0
02-09-2021,2289.65,2301.29,2270.83,2294.15,422436,,0.0,0.0
03-09-2021,2295.53,2364.39,2295.53,2352.21,981491,,0.0,0.0
06-09-2021,2373.51,2377.88,2353.51,2367.12,580935,,0.0,0.0
07-09-2021,2368.0,2373.67,2345.11,2350.78,311022,,0.0,0.0
08-09-2021,2351.83,2360.9,2335.86,2351.28,341207,,0.0,0.0
09-09-2021,2338.38,2357.96,2321.58,2349.9,403669,,0.0,0.0
13-09-2021,2327.46,2363.51,2327.46,2344.1,279930,,0.0,0.0
14-09-2021,2352.67,2403.92,2352.67,2396.11,880592,,0.0,0.0
15-09-2021,2403.08,2424.09,2403.08,2415.64,681873,,0.0,0.0
16-09-2021,2427.45,2458.54,2421.48,2453.83,1118060,,0.0,0.0
17-09-2021,2471.14,2482.44,2433.88,2463.66,1024040,,0.0,0.0
20-09-2021,2453.5,2453.5,2414.47,2427.87,442234,,0.0,0.0
21-09-2021,2428.29,2432.49,2364.77,2395.06,580932,,0.0,0.0
22-09-2021,2394.68,2403.08,2373.76,2392.33,561230,,0.0,0.0
23-09-2021,2394.68,2421.57,2392.37,2397.24,448036,,0.0,0.0
24-09-2021,2394.68,2405.02,2367.25,2380.77,603710,,0.0,0.0
27-09-2021,2387.12,2460.22,2387.12,2447.57,1187306,,0.0,0.0
28-09-2021,2460.18,2469.46,2429.13,2453.96,788979,,0.0,0.0
