Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,1109.89,1117.98,1084.92,1092.96,51306,,0.0,0.0
03-08-2021,1100.81,1170.29,1093.91,1147.95,105211,,0.0,0.0
04-08-2021,1167.83,1177.77,1113.17,1165.8,119357,,1.5,0.0
05-08-2021,1172.8,1204.56,1127.08,1190.2,179372,,0.0,0.0
06-08-2021,1211.56,1214.0,1144.97,1166.34,88139,,0.0,0.0
09-08-2021,1162.86,1206.59,1115.5,1182.0,104254,,0.0,0.0
10-08-2021,1191.93,1191.93,1128.62,1171.66,94478,,0.0,0.0
11-08-2021,1186.72,1192.68,1113.17,1179.36,347608,,0.0,0.0
12-08-2021,1177.77,1190.49,1155.86,1177.87,286925,,0.0,0.0
13-08-2021,1187.71,1245.06,1172.85,1226.32,506446,,0.0,0.0
16-08-2021,1251.32,1294.06,1210.57,1273.14,159247,,0.0,0.0
17-08-2021,1252.31,1284.12,1227.07,1271.94,122655,,0.0,0.0
18-08-2021,1269.96,1282.13,1240.39,1256.34,66587,,0.0,0.0
20-08-2021,1242.33,1277.16,1213.55,1259.97,199871,,0.0,0.0
23-08-2021,1270.06,1315.08,1244.46,1284.96,179525,,0.0,0.0
24-08-2021,1298.48,1301.91,1257.73,1273.48,82310,,0.0,0.0
25-08-2021,1268.22,1295.7,1258.63,1285.56,79119,,0.0,0.0
26-08-2021,1267.32,1280.14,1243.62,1259.47,382359,,0.0,0.0
27-08-2021,1262.2,1289.14,1239.39,1283.47,80243,,0.0,0.0
30-08-2021,1286.8,1311.95,1274.33,1308.02,125418,,0.0,0.0
31-08-2021,1307.97,1389.47,1273.19,1356.33,224732,,0.0,0.0
01-09-2021,1361.64,1386.49,1331.93,1350.01,105329,,0.0,0.0
02-09-2021,1346.64,1368.6,1324.32,1346.04,214473,,0.0,0.0
03-09-2021,1341.77,1348.87,1316.92,1327.75,66810,,0.0,0.0
06-09-2021,1318.01,1341.77,1302.01,1323.18,65759,,0.0,0.0
07-09-2021,1327.11,1400.26,1316.92,1378.04,208899,,0.0,0.0
08-09-2021,1393.15,1420.93,1362.64,1374.76,163889,,0.0,0.0
09-09-2021,1383.46,1383.46,1333.12,1355.98,108743,,0.0,0.0
13-09-2021,1351.7,1356.62,1321.89,1330.73,75656,,0.0,0.0
14-09-2021,1327.85,1367.16,1321.89,1334.26,82163,,0.0,0.0
15-09-2021,1351.6,1394.64,1330.83,1378.14,118931,,0.0,0.0
16-09-2021,1381.52,1475.64,1374.27,1448.81,311368,,0.0,0.0
17-09-2021,1470.97,1517.09,1421.28,1454.18,379185,,0.0,0.0
20-09-2021,1461.03,1539.25,1454.08,1504.47,200925,,0.0,0.0
21-09-2021,1535.53,1535.53,1454.82,1493.38,115057,,0.0,0.0
22-09-2021,1482.9,1504.72,1470.97,1479.42,56441,,0.0,0.0
23-09-2021,1490.75,1520.67,1480.96,1484.99,82860,,0.0,0.0
