Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,875.41,881.33,867.72,874.65,362926,,0.0,0.0
03-08-2021,882.31,895.19,875.41,887.49,379188,,0.0,0.0
04-08-2021,900.04,900.04,842.56,851.12,335980,,0.0,0.0
05-08-2021,856.72,857.95,828.56,842.49,307204,,0.0,0.0
06-08-2021,846.8,880.83,846.8,864.14,756798,,0.0,0.0
09-08-2021,872.94,887.2,854.05,864.83,498398,,0.0,0.0
10-08-2021,859.13,869.96,813.76,827.23,377544,,0.0,0.0
11-08-2021,839.9,847.74,789.15,818.82,360302,,0.0,0.0
12-08-2021,825.97,835.31,816.6,825.45,249828,,0.0,0.0
13-08-2021,826.09,831.02,789.64,792.65,513186,,0.0,0.0
16-08-2021,794.58,826.04,779.24,798.67,354942,,0.0,0.0
17-08-2021,803.28,819.06,798.47,802.15,184122,,0.0,0.0
18-08-2021,813.76,817.88,791.57,800.86,203130,,0.0,0.0
20-08-2021,799.41,805.01,785.67,792.11,256798,,0.0,0.0
23-08-2021,794.03,801.43,749.65,761.21,252598,,0.0,0.0
24-08-2021,742.74,758.84,731.32,747.45,651240,,0.0,0.0
25-08-2021,754.58,782.64,751.92,763.48,439624,,0.0,0.0
26-08-2021,765.72,803.9,765.72,797.91,417718,,0.0,0.0
27-08-2021,813.76,822.64,786.09,811.76,406748,,0.0,0.0
30-08-2021,817.16,821.6,808.11,811.3,273226,,0.0,0.0
31-08-2021,814.75,824.71,802.79,818.74,337470,,0.0,0.0
01-09-2021,826.09,837.16,808.83,826.95,362430,,0.0,0.0
02-09-2021,831.52,845.82,827.08,840.12,272900,,0.0,0.0
03-09-2021,840.89,845.87,833.49,838.03,173376,,0.0,0.0
06-09-2021,843.35,843.85,828.56,839.92,168338,,0.0,0.0
07-09-2021,854.2,875.36,848.33,870.45,736772,,0.0,0.0
08-09-2021,875.46,924.73,875.46,907.37,943184,,0.0,0.0
09-09-2021,913.41,937.55,905.59,926.95,822074,,0.0,0.0
13-09-2021,935.09,941.25,904.43,914.74,765936,,0.0,0.0
14-09-2021,928.58,932.13,907.47,927.19,751276,,0.0,0.0
15-09-2021,936.07,938.17,907.47,916.89,506518,,0.0,0.0
16-09-2021,912.15,1030.47,910.62,943.12,586978,,0.0,2.0
17-09-2021,969.61,974.15,929.46,933.06,501650,,0.0,0.0
20-09-2021,933.06,936.07,902.54,906.04,249877,,0.0,0.0
21-09-2021,911.41,911.41,857.26,870.58,431413,,0.0,0.0
22-09-2021,879.11,892.08,863.08,867.37,190284,,0.0,0.0
23-09-2021,875.31,907.47,873.54,901.3,203836,,0.0,0.0
24-09-2021,912.35,912.4,872.94,881.97,163488,,0.0,0.0
27-09-2021,887.59,887.64,849.27,857.01,883480,,0.0,0.0
28-09-2021,862.0,868.01,829.54,836.3,310502,,0.0,0.0
29-09-2021,833.49,833.49,808.83,818.15,880113,,0.0,0.0
30-09-2021,810.8,825.15,793.15,810.6,926191,,0.0,0.0
01-10-2021,809.82,857.16,809.03,837.29,994083,,0.0,0.0
04-10-2021,847.3,879.75,839.41,860.37,669216,,0.0,0.0
05-10-2021,853.22,864.56,838.42,841.38,503854,,0.0,0.0
06-10-2021,851.24,851.84,828.66,833.98,595083,,0.0,0.0
07-10-2021,838.32,849.27,815.59,845.37,551501,,0.0,0.0
08-10-2021,850.26,855.09,834.72,842.76,358125,,0.0,0.0
11-10-2021,846.31,871.96,845.33,866.29,456531,,0.0,0.0
12-10-2021,870.97,872.94,850.26,860.81,240525,,0.0,0.0
13-10-2021,867.72,867.72,841.38,842.76,319088,,0.0,0.0
14-10-2021,851.49,857.51,831.91,839.06,342950,,0.0,0.0
18-10-2021,823.62,850.26,821.85,848.28,730897,,0.0,0.0
19-10-2021,855.19,882.81,849.67,871.17,840576,,0.0,0.0
20-10-2021,880.74,880.74,829.54,840.94,406755,,0.0,0.0
21-10-2021,846.8,851.69,798.97,811.89,697191,,0.0,0.0
22-10-2021,814.8,819.63,798.08,805.33,382870,,0.0,0.0
25-10-2021,808.83,810.95,739.88,750.19,1398818,,0.0,0.0
26-10-2021,751.52,812.58,750.83,796.5,1042136,,0.0,0.0
27-10-2021,798.97,807.65,769.37,778.3,411710,,0.0,0.0
28-10-2021,784.32,807.55,770.51,794.33,909001,,0.0,0.0
29-10-2021,793.15,794.33,751.62,789.2,790452,,0.0,0.0
01-11-2021,790.09,822.64,790.09,820.42,317389,,0.0,0.0
02-11-2021,824.61,838.12,813.76,832.35,739838,,0.0,0.0
03-11-2021,838.22,838.22,822.49,834.23,436451,,0.0,0.0
04-11-2021,848.28,853.22,843.35,850.7,153005,,0.0,0.0
08-11-2021,858.15,864.26,849.52,861.95,424301,,0.0,0.0
09-11-2021,880.34,882.81,863.03,871.66,532360,,0.0,0.0
10-11-2021,870.97,907.37,869.94,896.32,703417,,0.0,0.0
11-11-2021,906.28,907.47,879.01,889.51,7318203,,0.0,0.0
12-11-2021,877.88,911.22,870.38,907.47,574173,,0.0,0.0
15-11-2021,912.3,914.77,889.47,900.96,536069,,0.0,0.0
16-11-2021,900.96,909.44,889.71,900.71,339564,,0.0,0.0
17-11-2021,899.58,927.15,883.25,895.53,903669,,0.0,0.0
18-11-2021,902.34,905.15,870.13,898.05,512713,,0.0,0.0
22-11-2021,905.49,905.49,870.97,883.1,526680,,0.0,0.0
23-11-2021,875.9,907.61,859.33,897.31,689018,,0.0,0.0
24-11-2021,897.31,921.37,896.47,912.65,385650,,0.0,0.0
25-11-2021,911.41,919.5,899.58,904.41,360661,,0.0,0.0
26-11-2021,899.58,925.86,850.75,875.02,360423,,0.0,0.0
29-11-2021,858.15,897.8,811.44,886.95,477587,,0.0,0.0
30-11-2021,884.78,913.39,882.81,911.41,665384,,0.0,0.0
01-12-2021,911.41,922.26,900.56,909.39,266856,,0.0,0.0
02-12-2021,915.16,943.96,904.36,933.66,636420,,0.0,0.0
03-12-2021,940.02,941.99,903.57,912.74,202767,,0.0,0.0
06-12-2021,915.36,927.1,887.74,891.83,331743,,0.0,0.0
07-12-2021,902.54,912.99,892.57,903.13,240850,,0.0,0.0
08-12-2021,911.36,925.22,898.64,906.68,177869,,0.0,0.0
09-12-2021,911.91,934.1,908.8,929.96,330112,,0.0,0.0
10-12-2021,917.33,978.39,917.08,971.83,1096599,,0.0,0.0
13-12-2021,994.27,1020.7,983.07,998.02,1134238,,0.0,0.0
14-12-2021,1004.53,1089.65,998.41,1044.52,2037313,,0.0,0.0
15-12-2021,1044.57,1084.92,1027.76,1068.1,865268,,0.0,0.0
16-12-2021,1083.83,1099.37,1048.08,1056.66,809552,,0.0,0.0
17-12-2021,1073.18,1087.48,993.23,1010.2,852370,,0.0,0.0
20-12-2021,966.65,1022.77,933.66,1003.29,972324,,0.0,0.0
21-12-2021,1019.91,1060.26,1012.57,1040.48,588396,,0.0,0.0
22-12-2021,1047.53,1062.33,1020.85,1035.45,805445,,0.0,0.0
23-12-2021,1039.64,1045.56,1006.1,1011.18,483013,,0.0,0.0
24-12-2021,1023.86,1023.86,991.41,994.76,375789,,0.0,0.0
27-12-2021,999.59,1001.17,966.65,977.7,337905,,0.0,0.0
28-12-2021,984.65,998.31,980.56,986.62,322118,,0.0,0.0
29-12-2021,992.3,992.3,979.67,983.17,145834,,0.0,0.0
30-12-2021,985.39,995.25,969.21,984.16,249120,,0.0,0.0
31-12-2021,987.36,993.78,974.54,986.18,204271,,0.0,0.0
03-01-2022,966.65,976.51,920.88,936.22,1230345,,0.0,0.0
04-01-2022,937.06,966.06,932.13,935.28,547020,,0.0,0.0
05-01-2022,943.91,958.76,931.29,936.71,579219,,0.0,0.0
06-01-2022,936.02,936.07,919.3,930.5,309324,,0.0,0.0
