Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,60.65,61.73,60.02,60.59,35149884,,0.0,0.0
03-08-2021,60.59,64.41,60.59,63.48,84011902,,0.0,0.0
04-08-2021,63.8,63.8,60.59,60.77,54896066,,0.0,0.0
05-08-2021,61.01,61.69,59.46,60.38,41834602,,0.0,0.0
06-08-2021,60.65,61.33,59.64,60.29,23700928,,0.0,0.0
09-08-2021,60.68,61.84,58.99,59.35,32652280,,0.0,0.0
10-08-2021,59.69,60.09,57.91,59.04,19593782,,0.0,0.0
11-08-2021,59.3,60.99,57.89,60.0,29020364,,0.0,0.0
12-08-2021,60.41,60.59,59.39,60.05,21191898,,0.0,0.0
13-08-2021,60.25,60.47,57.3,58.56,72957938,,0.0,0.0
16-08-2021,58.56,58.97,57.35,57.53,25173838,,0.0,0.0
17-08-2021,57.53,57.73,55.78,56.81,46373634,,0.0,0.0
18-08-2021,56.99,57.21,56.07,56.25,28661530,,0.0,0.0
20-08-2021,55.8,55.82,53.12,53.48,42062378,,0.0,0.0
23-08-2021,54.05,54.54,51.62,52.92,41826506,,0.0,0.0
24-08-2021,53.21,54.16,52.2,53.8,29085190,,0.0,0.0
25-08-2021,53.93,54.63,53.3,53.44,36404354,,0.0,0.0
26-08-2021,53.75,53.82,52.59,52.83,17745562,,0.0,0.0
27-08-2021,52.88,54.16,52.83,54.05,26832648,,0.0,0.0
30-08-2021,54.34,56.05,54.16,54.7,39247804,,0.0,0.0
31-08-2021,55.06,55.62,54.04,55.44,40093494,,0.3,0.0
01-09-2021,55.33,56.12,54.83,55.33,39771658,,0.0,0.0
02-09-2021,55.51,55.87,54.61,55.04,23817142,,0.0,0.0
03-09-2021,55.08,55.56,54.07,54.47,63925022,,0.0,0.0
06-09-2021,54.74,55.51,54.61,55.01,35571090,,0.0,0.0
07-09-2021,55.29,55.85,54.22,54.47,39321822,,0.0,0.0
08-09-2021,54.7,55.17,54.0,54.97,30935942,,0.0,0.0
09-09-2021,54.95,57.32,54.72,56.6,78402020,,0.0,0.0
