Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,57.15,60.34,56.21,58.87,73899617,,0.0,0.0
03-08-2021,59.31,59.61,57.93,58.13,30057995,,0.0,0.0
04-08-2021,58.62,59.02,56.8,57.05,28143341,,0.0,0.0
05-08-2021,56.56,56.66,54.1,56.31,57870302,,0.0,0.0
06-08-2021,55.97,57.89,55.67,56.61,30135489,,0.0,0.0
09-08-2021,56.7,56.95,54.69,55.08,24710657,,0.0,0.0
10-08-2021,55.08,56.36,52.72,53.7,32237188,,0.0,0.0
11-08-2021,53.7,54.25,52.03,53.61,35786362,,0.0,0.0
12-08-2021,53.75,55.28,53.61,54.93,29271670,,0.0,0.0
13-08-2021,54.89,55.43,53.95,54.69,25049016,,0.0,0.0
16-08-2021,54.69,54.89,53.11,53.31,26369729,,0.0,0.0
17-08-2021,53.11,53.75,51.74,51.89,30710411,,0.0,0.0
18-08-2021,51.79,54.2,51.2,53.56,48195539,,0.0,0.0
20-08-2021,53.07,53.46,50.31,50.8,35462206,,0.0,0.0
23-08-2021,51.15,51.69,49.13,50.61,41180042,,0.0,0.0
24-08-2021,50.56,52.62,50.02,52.38,34796030,,0.0,0.0
25-08-2021,52.38,52.77,51.79,52.23,26650342,,0.0,0.0
26-08-2021,52.23,52.52,50.95,51.15,22209147,,0.0,0.0
27-08-2021,51.59,53.8,51.44,53.31,47297035,,0.0,0.0
30-08-2021,53.46,54.25,52.48,53.21,29654256,,0.0,0.0
31-08-2021,53.21,53.31,51.29,51.69,30251959,,0.0,0.0
01-09-2021,53.61,54.64,51.74,54.05,77814672,,0.0,0.0
02-09-2021,54.05,54.64,53.46,53.8,34975008,,0.0,0.0
03-09-2021,53.8,55.28,53.11,54.54,41379799,,0.0,0.0
06-09-2021,54.93,55.43,54.15,54.54,26518805,,0.0,0.0
07-09-2021,54.59,55.87,53.11,54.39,41841969,,0.0,0.0
08-09-2021,54.39,55.38,54.15,54.79,24443457,,0.0,0.0
09-09-2021,54.49,55.33,54.29,54.74,18226347,,0.0,0.0
13-09-2021,54.79,54.98,54.1,54.25,21565898,,0.0,0.0
14-09-2021,54.49,57.54,54.29,57.05,59747450,,0.0,0.0
15-09-2021,57.44,57.54,56.56,56.95,28300364,,0.0,0.0
16-09-2021,57.2,58.97,56.61,57.25,38178964,,0.0,0.0
17-09-2021,57.49,57.89,55.33,55.62,38626513,,0.0,0.0
20-09-2021,54.93,55.67,52.72,53.16,26766122,,0.0,0.0
21-09-2021,53.16,53.75,52.18,53.51,25946767,,0.0,0.0
22-09-2021,53.41,56.46,53.36,56.11,33744100,,0.0,0.0
23-09-2021,56.56,57.1,56.07,56.21,22157667,,0.0,0.0
24-09-2021,56.21,58.18,54.93,55.33,53416142,,0.0,0.0
27-09-2021,55.77,56.66,54.98,56.02,22672655,,0.0,0.0
28-09-2021,56.02,59.9,55.92,59.36,117412631,,0.0,0.0
29-09-2021,59.9,62.9,59.41,61.77,130367062,,0.0,0.0
30-09-2021,62.21,64.18,61.43,63.59,84962917,,0.0,0.0
01-10-2021,63.25,65.21,62.56,64.52,73574574,,0.0,0.0
04-10-2021,64.87,65.11,63.64,64.48,43796233,,0.0,0.0
05-10-2021,64.48,66.89,64.28,65.16,59198873,,0.0,0.0
06-10-2021,65.7,66.0,61.67,62.16,47534375,,0.0,0.0
07-10-2021,62.85,63.79,62.07,62.21,30079052,,0.0,0.0
08-10-2021,62.66,65.16,62.02,64.38,60132715,,0.0,0.0
11-10-2021,64.62,67.18,63.79,65.66,79804445,,0.0,0.0
12-10-2021,65.56,70.03,64.82,69.44,194579626,,0.0,0.0
