Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,1819.55,1830.45,1787.0,1815.56,199500,,0.0,0.0
03-08-2021,1821.55,1824.95,1795.32,1822.37,146154,,0.0,0.0
04-08-2021,1824.47,1824.71,1751.49,1766.08,324668,,0.0,0.0
05-08-2021,1776.79,1796.15,1751.49,1770.12,207130,,0.0,0.0
06-08-2021,1774.35,1793.33,1750.61,1762.48,155490,,0.0,0.0
09-08-2021,1772.89,1779.56,1751.49,1760.15,151628,,0.0,0.0
10-08-2021,1777.76,1808.7,1754.07,1767.88,441811,,0.0,0.0
11-08-2021,1779.61,1792.79,1746.62,1758.05,286015,,0.0,0.0
12-08-2021,1770.36,1787.0,1755.43,1760.88,161242,,0.0,0.0
13-08-2021,1772.89,1865.33,1766.23,1849.03,562355,,0.0,0.0
16-08-2021,1866.31,1903.38,1850.01,1869.37,548973,,0.0,0.0
17-08-2021,1877.98,1892.87,1860.47,1869.03,183084,,0.0,0.0
18-08-2021,1896.47,1896.47,1839.06,1853.51,166172,,0.0,0.0
20-08-2021,1821.55,1853.85,1815.22,1832.2,196888,,0.0,0.0
23-08-2021,1844.9,1863.1,1761.9,1780.92,247602,,0.0,0.0
24-08-2021,1780.68,1800.87,1763.6,1777.71,136045,,0.0,0.0
25-08-2021,1778.73,1840.67,1777.71,1814.1,229701,,0.0,0.0
26-08-2021,1830.06,1831.67,1782.67,1807.19,187893,,0.0,0.0
27-08-2021,1805.98,1858.62,1800.19,1843.49,336353,,0.0,0.0
30-08-2021,1854.63,1992.8,1851.03,1978.74,1745651,,0.0,0.0
31-08-2021,1997.04,2067.05,1984.04,2011.78,1444108,,0.0,0.0
01-09-2021,2029.83,2105.68,1975.63,2069.33,939984,,0.0,0.0
02-09-2021,2077.46,2162.11,2053.23,2152.48,873118,,0.0,0.0
03-09-2021,2160.17,2188.39,2141.68,2172.14,573821,,0.0,0.0
06-09-2021,2185.47,2301.4,2151.51,2263.99,1155548,,0.0,0.0
07-09-2021,2281.21,2435.54,2269.59,2340.57,2044422,,0.0,0.0
08-09-2021,2340.18,2383.97,2320.77,2341.83,696056,,0.0,0.0
09-09-2021,2345.05,2360.81,2292.4,2319.8,500919,,0.0,0.0
13-09-2021,2327.53,2415.11,2312.89,2376.52,1088121,,0.0,0.0
14-09-2021,2393.7,2422.7,2372.39,2396.57,495313,,0.0,0.0
15-09-2021,2407.32,2421.24,2357.7,2386.74,341663,,0.0,0.0
16-09-2021,2384.94,2414.96,2364.51,2376.48,269835,,0.0,0.0
17-09-2021,2388.83,2504.38,2376.67,2438.22,2205385,,0.0,0.0
20-09-2021,2461.62,2556.2,2396.33,2415.74,1756303,,0.0,0.0
21-09-2021,2436.12,2465.22,2288.61,2348.45,1181038,,0.0,0.0
22-09-2021,2383.68,2408.93,2306.12,2337.21,705246,,0.0,0.0
23-09-2021,2358.38,2390.78,2348.31,2361.25,370665,,0.0,0.0
24-09-2021,2376.18,2381.73,2318.77,2344.71,336516,,0.0,0.0
27-09-2021,2361.59,2361.59,2296.44,2311.91,309964,,0.0,0.0
28-09-2021,2318.77,2339.31,2258.44,2285.69,347504,,0.0,0.0
29-09-2021,2276.84,2291.53,2242.88,2275.04,328673,,0.0,0.0
30-09-2021,2290.51,2358.67,2269.15,2324.61,571923,,0.0,0.0
01-10-2021,2322.67,2322.67,2269.15,2283.5,313918,,0.0,0.0
04-10-2021,2295.23,2412.38,2294.45,2369.96,897779,,0.0,0.0
05-10-2021,2385.91,2403.09,2345.29,2383.19,440162,,0.0,0.0
06-10-2021,2393.5,2451.11,2286.66,2311.72,943797,,0.0,0.0
07-10-2021,2348.94,2382.95,2327.82,2354.44,303313,,0.0,0.0
08-10-2021,2380.27,2539.56,2375.55,2461.62,2240290,,0.0,0.0
11-10-2021,2471.54,2576.63,2422.89,2467.7,1039290,,0.0,0.0
12-10-2021,2463.76,2520.0,2428.48,2485.7,675128,,0.0,0.0
13-10-2021,2507.54,2509.39,2438.46,2464.93,437183,,0.0,0.0
14-10-2021,2490.03,2539.66,2467.65,2494.07,524489,,0.0,0.0
18-10-2021,2515.33,2548.85,2399.54,2419.0,938163,,0.0,0.0
19-10-2021,2453.05,2453.05,2296.49,2309.48,966581,,0.0,0.0
20-10-2021,2325.49,2335.17,2199.14,2232.32,808017,,0.0,0.0
21-10-2021,2238.3,2241.27,2082.32,2161.24,1340525,,0.0,0.0
22-10-2021,2185.47,2256.64,2063.93,2198.07,1953067,,0.0,0.0
25-10-2021,2206.87,2335.07,2169.9,2274.6,1601768,,0.0,0.0
26-10-2021,2280.82,2309.82,2230.32,2236.75,454181,,0.0,0.0
27-10-2021,2257.42,2257.47,2211.74,2226.43,303551,,0.0,0.0
28-10-2021,2244.24,2260.1,2199.09,2207.9,298481,,0.0,0.0
29-10-2021,2179.63,2248.96,2137.2,2200.45,366948,,0.0,0.0
01-11-2021,2218.55,2281.8,2218.55,2269.44,348745,,0.0,0.0
02-11-2021,2282.77,2345.05,2281.85,2306.95,486594,,0.0,0.0
03-11-2021,2325.59,2325.59,2255.67,2274.55,245311,,0.0,0.0
04-11-2021,2274.55,2274.55,2274.55,2274.55,0,,0.0,0.0
08-11-2021,2344.07,2344.07,2255.72,2313.91,672544,,0.0,0.0
09-11-2021,2306.12,2413.16,2302.72,2406.45,798194,,0.0,0.0
10-11-2021,2403.43,2431.65,2382.02,2410.34,324456,,0.0,0.0
11-11-2021,2407.32,2448.14,2392.73,2432.04,434325,,0.0,0.0
12-11-2021,2446.24,2455.0,2413.01,2449.6,252131,,0.0,0.0
15-11-2021,2466.68,2466.68,2427.8,2453.3,301253,,0.0,0.0
16-11-2021,2456.95,2472.27,2443.03,2464.24,199472,,0.0,0.0
17-11-2021,2456.95,2475.29,2416.42,2434.62,251932,,0.0,0.0
18-11-2021,2437.49,2441.18,2398.61,2426.83,235301,,0.0,0.0
22-11-2021,2422.89,2432.62,2274.01,2303.98,407240,,0.0,0.0
23-11-2021,2296.39,2341.83,2262.97,2309.58,252818,,0.0,0.0
24-11-2021,2309.58,2345.05,2267.2,2283.5,264525,,0.0,0.0
25-11-2021,2271.09,2297.03,2240.05,2283.84,293501,,0.0,0.0
26-11-2021,2275.96,2292.11,2174.81,2193.98,503119,,0.0,0.0
29-11-2021,2145.57,2247.74,2084.27,2154.72,496336,,0.0,0.0
