Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,2045.57,2072.24,2016.89,2023.54,93939,,0.0,0.0
03-08-2021,2041.46,2041.46,1988.22,2003.32,52906,,0.0,0.0
04-08-2021,1999.69,2007.24,1969.1,1984.01,104636,,0.0,0.0
05-08-2021,1997.78,2099.1,1964.22,2065.83,253721,,0.0,0.0
06-08-2021,2040.89,2062.63,2007.33,2022.77,88309,,0.0,0.0
09-08-2021,2031.23,2031.23,1988.22,2002.7,20342,,0.0,0.0
10-08-2021,1997.78,2012.69,1961.02,1985.92,71834,,0.0,0.0
11-08-2021,1969.1,1978.66,1900.32,1934.54,71311,,0.0,0.0
12-08-2021,1959.54,1959.54,1927.04,1950.79,42847,,0.0,0.0
13-08-2021,1959.54,1961.36,1927.61,1949.84,35931,,0.0,0.0
16-08-2021,1911.84,1966.04,1874.47,1949.84,193663,,0.0,0.0
17-08-2021,1945.2,1949.98,1895.5,1900.71,236934,,0.0,0.0
18-08-2021,1902.19,1910.84,1888.09,1899.89,63643,,0.0,0.0
20-08-2021,1897.98,1898.36,1863.95,1892.1,124872,,0.0,0.0
23-08-2021,1905.06,1905.06,1821.66,1873.75,118160,,0.0,0.0
24-08-2021,1873.51,1942.62,1864.0,1933.83,49749,,0.0,0.0
25-08-2021,1944.44,1949.98,1912.7,1938.32,47309,,0.0,0.0
26-08-2021,1945.2,1959.54,1926.13,1942.91,64661,,0.0,0.0
27-08-2021,1942.91,2004.47,1934.74,1997.78,69857,,0.0,0.0
30-08-2021,2007.33,2085.52,1997.78,2046.05,144187,,0.0,0.0
31-08-2021,2037.97,2112.48,2031.37,2088.82,132336,,0.0,0.0
01-09-2021,2058.0,2083.66,2022.68,2047.24,110458,,0.0,0.0
02-09-2021,2053.22,2066.69,2036.01,2058.43,29441,,0.0,0.0
03-09-2021,2058.43,2082.85,2041.36,2059.48,71380,,0.0,0.0
06-09-2021,2073.29,2073.29,2014.98,2045.19,73020,,0.0,0.0
07-09-2021,2045.57,2055.42,1999.31,2019.28,85628,,0.0,0.0
08-09-2021,2034.34,2055.13,2010.63,2046.57,58645,,0.0,0.0
09-09-2021,2041.75,2065.64,2013.17,2052.07,44356,,0.0,0.0
13-09-2021,2055.13,2072.33,2016.89,2045.81,47672,,0.0,0.0
14-09-2021,2063.59,2074.15,2037.92,2052.31,53226,,0.0,0.0
15-09-2021,2067.22,2169.83,2050.35,2159.22,240501,,0.0,0.0
16-09-2021,2169.83,2217.63,2159.32,2201.14,689900,,0.0,0.0
17-09-2021,2222.41,2255.86,2117.79,2149.43,154575,,0.0,0.0
20-09-2021,2146.41,2159.13,2093.84,2141.54,51421,,0.0,0.0
21-09-2021,2123.0,2149.81,2056.37,2130.4,89728,,0.0,0.0
22-09-2021,2148.9,2148.9,2075.78,2131.69,144641,,0.0,0.0
23-09-2021,2141.2,2162.71,2108.42,2150.86,45738,,0.0,0.0
24-09-2021,2169.83,2173.66,2145.94,2161.9,45795,,0.0,0.0
27-09-2021,2180.73,2239.04,2156.02,2213.33,72527,,0.0,0.0
28-09-2021,2226.99,2233.26,2181.64,2204.53,52995,,0.0,0.0
29-09-2021,2175.62,2225.08,2165.05,2215.24,32289,,0.0,0.0
