Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,5.78,6.06,5.74,6.06,58972991,,0.0,0.0
03-08-2021,6.2,6.34,6.15,6.34,35112728,,0.0,0.0
04-08-2021,6.61,6.61,6.06,6.2,174611282,,0.0,0.0
05-08-2021,6.29,6.47,5.92,6.38,78699171,,0.0,0.0
06-08-2021,6.43,6.43,6.15,6.24,42847835,,0.0,0.0
09-08-2021,6.43,6.43,6.06,6.11,23145079,,0.0,0.0
10-08-2021,6.15,6.2,5.83,5.92,28290697,,0.0,0.0
11-08-2021,5.92,5.97,5.65,5.74,45478919,,0.0,0.0
12-08-2021,5.78,6.01,5.74,6.01,30394388,,0.0,0.0
13-08-2021,6.11,6.11,5.78,5.97,32698832,,0.0,0.0
16-08-2021,6.2,6.24,6.06,6.11,45779820,,0.0,0.0
17-08-2021,5.97,6.01,5.83,5.83,31193389,,0.0,0.0
18-08-2021,5.83,5.88,5.56,5.56,64352564,,0.0,0.0
20-08-2021,5.28,5.56,5.28,5.33,39830596,,0.0,0.0
23-08-2021,5.37,5.56,5.23,5.42,41314631,,0.0,0.0
24-08-2021,5.42,5.65,5.28,5.51,45216387,,0.0,0.0
25-08-2021,5.6,5.74,5.46,5.6,31701691,,0.0,0.0
26-08-2021,5.6,5.65,5.46,5.51,17221844,,0.0,0.0
27-08-2021,5.51,5.6,5.37,5.51,18838699,,0.0,0.0
30-08-2021,5.51,5.78,5.51,5.69,50848447,,0.0,0.0
31-08-2021,5.69,5.74,5.46,5.56,27335343,,0.0,0.0
01-09-2021,5.6,5.69,5.46,5.56,19130415,,0.0,0.0
02-09-2021,5.51,5.83,5.51,5.74,73599747,,0.0,0.0
03-09-2021,5.78,5.78,5.56,5.65,25627233,,0.0,0.0
06-09-2021,5.6,5.74,5.56,5.6,14543562,,0.0,0.0
07-09-2021,5.65,5.65,5.46,5.56,23805696,,0.0,0.0
08-09-2021,5.6,5.69,5.56,5.6,20166485,,0.0,0.0
09-09-2021,5.56,5.88,5.56,5.74,40506821,,0.0,0.0
13-09-2021,5.74,5.92,5.6,5.74,25326780,,0.0,0.0
14-09-2021,5.78,6.01,5.74,5.97,45673980,,0.0,0.0
15-09-2021,6.01,6.2,5.97,6.01,34450387,,0.0,0.0
16-09-2021,6.06,6.11,5.88,5.97,22599319,,0.0,0.0
17-09-2021,6.01,6.11,5.78,5.92,53231090,,0.0,0.0
20-09-2021,5.88,6.2,5.78,5.97,61052864,,0.0,0.0
21-09-2021,5.97,6.06,5.74,5.88,24699143,,0.0,0.0
22-09-2021,5.92,6.01,5.88,5.88,14851461,,0.0,0.0
23-09-2021,5.97,6.01,5.83,5.83,16661984,,0.0,0.0
24-09-2021,5.88,5.92,5.78,5.78,17168845,,0.0,0.0
27-09-2021,5.83,5.88,5.74,5.78,14656009,,0.0,0.0
28-09-2021,5.78,5.83,5.6,5.69,26870695,,0.0,0.0
29-09-2021,5.69,5.97,5.6,5.92,51139379,,0.0,0.0
