Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
28-10-2024,2498.6,2622.93,2298.71,2337.59,21535158,,0.0,0.0
29-10-2024,2373.77,2495.6,2350.73,2378.87,7937427,,0.0,0.0
30-10-2024,2389.76,2448.63,2368.82,2440.28,2849157,,0.0,0.0
31-10-2024,2451.62,2757.15,2440.33,2720.57,12359372,,0.0,0.0
01-11-2024,2778.44,2908.37,2774.99,2888.48,5382498,,0.0,0.0
04-11-2024,2908.02,3014.31,2710.48,2988.92,12683686,,0.0,0.0
05-11-2024,2978.33,3566.8,2929.66,3470.75,14195138,,0.0,0.0
06-11-2024,3433.07,3740.9,3423.08,3634.56,9495315,,0.0,0.0
07-11-2024,3572.0,3617.77,3298.15,3346.77,5831790,,0.0,0.0
08-11-2024,3303.1,3412.09,3055.04,3131.94,4885739,,0.0,0.0
11-11-2024,3069.28,3120.25,2818.77,2821.22,4711657,,0.0,0.0
12-11-2024,2819.42,3012.31,2760.7,2868.39,3934523,,0.0,0.0
13-11-2024,2903.47,2968.33,2782.44,2874.14,2124099,,0.0,0.0
14-11-2024,2898.37,2966.34,2870.39,2915.81,1428158,,0.0,0.0
18-11-2024,2948.35,3184.21,2891.68,3112.7,3696718,,0.0,0.0
19-11-2024,2948.35,3042.29,2878.39,2900.17,3339933,,0.0,0.0
21-11-2024,2881.38,2913.37,2688.49,2719.92,2282806,,0.0,0.0
22-11-2024,2736.47,2803.43,2670.5,2703.68,1588761,,0.0,0.0
25-11-2024,2788.39,2788.39,2563.56,2595.14,3059199,,0.0,0.0
26-11-2024,2610.59,2620.83,2510.59,2524.43,2558847,,0.0,0.0
27-11-2024,2542.77,2676.5,2533.08,2606.29,2887896,,0.0,0.0
28-11-2024,2642.37,2684.84,2603.89,2632.37,1988167,,0.0,0.0
29-11-2024,2640.12,2690.49,2583.55,2666.25,1299617,,0.0,0.0
02-12-2024,2693.49,2795.43,2673.55,2738.76,2898505,,0.0,0.0
03-12-2024,2753.46,2763.55,2688.49,2695.44,1257966,,0.0,0.0
04-12-2024,2700.49,2762.75,2693.49,2720.62,1211550,,0.0,0.0
05-12-2024,2730.82,2947.35,2713.48,2837.76,4528208,,0.0,0.0
06-12-2024,2887.18,2973.33,2850.4,2901.47,3709349,,0.0,0.0
09-12-2024,2916.76,2990.32,2900.37,2969.63,2843345,,0.0,0.0
10-12-2024,3018.31,3183.21,3018.31,3132.89,5205256,,0.0,0.0
11-12-2024,3141.24,3229.19,3132.89,3172.92,2544371,,0.0,0.0
12-12-2024,3233.19,3443.52,3208.25,3290.4,8948458,,0.0,0.0
13-12-2024,3268.17,3278.06,3160.23,3215.25,3292067,,0.0,0.0
16-12-2024,3223.19,3255.72,3109.41,3131.39,2066749,,0.0,0.0
17-12-2024,3131.34,3243.68,3079.27,3099.26,3220058,,0.0,0.0
18-12-2024,3109.26,3143.24,3015.91,3040.44,2029095,,0.0,0.0
19-12-2024,2948.35,3106.26,2939.4,3037.4,2375391,,0.0,0.0
20-12-2024,3071.83,3084.22,2863.39,2877.74,2106023,,0.0,0.0
23-12-2024,2920.36,2966.34,2828.86,2930.81,2082511,,0.0,0.0
24-12-2024,2957.04,3028.3,2857.15,2867.09,1921221,,0.0,0.0
26-12-2024,2885.48,2898.37,2809.42,2821.57,1091798,,0.0,0.0
27-12-2024,2825.42,2848.4,2779.74,2788.84,784366,,0.0,0.0
30-12-2024,2798.43,2852.3,2757.25,2773.89,1058039,,0.0,0.0
31-12-2024,2776.89,2866.39,2736.42,2853.0,1308765,,0.0,0.0
01-01-2025,2867.39,2904.37,2840.91,2860.6,833148,,0.0,0.0
02-01-2025,2868.39,2875.39,2828.41,2837.51,880522,,0.0,0.0
