Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,1702.27,1783.76,1701.4,1770.08,3154025,,0.0,0.0
03-08-2021,1759.28,1786.79,1720.38,1776.97,3354550,,0.0,0.0
04-08-2021,1780.9,1795.63,1763.23,1775.66,1259135,,0.0,0.0
05-08-2021,1779.33,1779.33,1750.02,1768.9,827480,,2.4,0.0
06-08-2021,1767.52,1780.27,1741.33,1752.97,780590,,0.0,0.0
09-08-2021,1752.87,1791.14,1752.87,1762.82,690985,,0.0,0.0
10-08-2021,1771.49,1778.43,1731.01,1744.13,748415,,0.0,0.0
11-08-2021,1749.81,1764.61,1713.2,1724.81,843775,,0.0,0.0
12-08-2021,1720.28,1754.11,1694.69,1732.9,929535,,0.0,0.0
13-08-2021,1746.55,1769.49,1732.99,1743.23,908445,,0.0,0.0
16-08-2021,1750.07,1758.37,1728.28,1730.69,534825,,0.0,0.0
17-08-2021,1739.95,1816.73,1727.18,1794.54,1292910,,0.0,0.0
18-08-2021,1810.43,1826.57,1761.96,1768.22,1134130,,0.0,0.0
20-08-2021,1767.52,1774.73,1715.37,1749.63,758785,,0.0,0.0
23-08-2021,1826.16,1826.37,1752.76,1765.75,1434725,,0.0,0.0
24-08-2021,1770.47,1789.15,1752.95,1768.07,794485,,0.0,0.0
25-08-2021,1779.29,1784.83,1757.73,1760.47,526540,,0.0,0.0
26-08-2021,1759.61,1800.98,1749.83,1783.89,664750,,0.0,0.0
27-08-2021,1796.06,1860.03,1773.62,1854.82,2627525,,0.0,0.0
30-08-2021,1869.87,1944.45,1853.17,1911.82,3376040,,0.0,0.0
31-08-2021,1928.72,2036.19,1924.0,1995.79,4862275,,0.0,0.0
01-09-2021,2027.33,2029.89,1933.86,1954.49,2745030,,0.0,0.0
02-09-2021,1960.41,2017.48,1958.44,2001.92,1447815,,0.0,0.0
03-09-2021,2007.45,2043.08,1984.42,2035.49,1556045,,0.0,0.0
06-09-2021,2043.08,2047.7,2009.12,2013.64,1188435,,0.0,0.0
07-09-2021,2023.02,2035.2,1995.61,1998.76,944140,,0.0,0.0
08-09-2021,2010.39,2016.31,1968.48,2002.12,932215,,0.0,0.0
09-09-2021,2007.65,2042.1,1998.63,2033.13,1954680,,0.0,0.0
13-09-2021,2037.37,2115.51,2021.15,2103.21,2150470,,0.0,0.0
14-09-2021,2129.26,2129.88,2088.62,2101.42,1292570,,0.0,0.0
15-09-2021,2114.4,2224.15,2101.93,2209.32,2946310,,0.0,0.0
16-09-2021,2208.61,2239.55,2178.12,2229.03,1504445,,0.0,0.0
17-09-2021,2232.04,2237.84,2173.38,2184.61,1566090,,0.0,0.0
20-09-2021,2184.6,2184.6,2070.64,2087.84,1751715,,0.0,0.0
21-09-2021,2088.42,2131.7,2073.2,2099.03,1476000,,0.0,0.0
22-09-2021,2114.34,2146.99,2105.09,2112.11,1154190,,0.0,0.0
23-09-2021,2147.2,2191.29,2122.94,2164.89,1297800,,0.0,0.0
24-09-2021,2177.06,2184.39,2135.59,2167.88,950790,,0.0,0.0
27-09-2021,2204.87,2218.01,2164.13,2190.1,1628115,,0.0,0.0
28-09-2021,2200.52,2200.52,2115.92,2149.75,1219870,,0.0,0.0
29-09-2021,2171.02,2215.31,2141.52,2203.58,1580700,,0.0,0.0
30-09-2021,2214.32,2231.43,2172.31,2220.05,1650025,,0.0,0.0
01-10-2021,2229.08,2229.08,2165.11,2182.77,1386735,,0.0,0.0
04-10-2021,2191.43,2287.17,2188.2,2274.75,2341100,,0.0,0.0
05-10-2021,2278.88,2301.4,2254.67,2261.2,1513805,,0.0,0.0
06-10-2021,2267.73,2296.99,2237.25,2243.71,1807270,,0.0,0.0
07-10-2021,2265.14,2300.93,2254.34,2278.62,1186575,,0.0,0.0
08-10-2021,2290.69,2371.78,2278.7,2350.9,3000465,,0.0,0.0
11-10-2021,2377.45,2465.06,2350.25,2370.6,2772030,,0.0,0.0
12-10-2021,2389.5,2480.04,2381.63,2451.86,3364095,,0.0,0.0
13-10-2021,2497.75,2497.75,2362.93,2367.45,1731530,,0.0,5.0
14-10-2021,2385.56,2419.02,2365.88,2372.67,769502,,0.0,0.0
18-10-2021,2400.96,2406.18,2290.94,2296.3,1018333,,0.0,0.0
19-10-2021,2300.73,2336.35,2258.61,2271.06,825693,,0.0,0.0
20-10-2021,2264.51,2266.48,2141.15,2174.07,1691384,,0.0,0.0
21-10-2021,2187.75,2241.88,2141.49,2232.87,1309633,,0.0,0.0
22-10-2021,2240.99,2288.13,2171.02,2182.39,896101,,0.0,0.0
25-10-2021,2194.64,2221.9,2046.97,2068.18,2013324,,0.0,0.0
26-10-2021,2036.63,2137.51,2032.25,2077.13,1925640,,0.0,0.0
27-10-2021,2081.46,2125.75,2068.82,2110.79,1690899,,0.0,0.0
28-10-2021,2121.37,2135.59,2075.75,2086.58,1291921,,0.0,0.0
29-10-2021,2086.38,2134.61,2054.0,2083.73,1218461,,0.0,0.0
01-11-2021,2096.22,2108.67,2047.02,2088.45,953721,,0.0,0.0
02-11-2021,2106.56,2106.56,2063.8,2077.18,614345,,0.0,0.0
03-11-2021,2084.41,2094.7,2023.4,2047.11,791011,,0.0,0.0
04-11-2021,2061.78,2072.95,2054.55,2065.96,79875,,0.0,0.0
08-11-2021,2066.7,2108.03,2040.03,2093.81,1074704,,0.0,0.0
09-11-2021,2113.94,2191.69,2111.92,2138.0,1688961,,0.0,0.0
10-11-2021,2140.51,2140.51,2091.35,2112.56,629894,,0.0,0.0
11-11-2021,2122.8,2122.8,2066.8,2091.89,635400,,0.0,0.0
12-11-2021,2124.76,2172.4,2091.35,2120.73,1747671,,0.0,0.0
15-11-2021,2140.41,2169.69,2130.87,2158.13,1026161,,0.0,0.0
16-11-2021,2169.05,2178.74,2142.33,2155.27,986146,,0.0,0.0
17-11-2021,2148.38,2166.05,2110.25,2123.34,869570,,0.0,0.0
18-11-2021,2124.76,2209.11,2119.89,2153.21,1984968,,0.0,0.0
22-11-2021,2179.88,2179.88,2011.49,2060.7,2459397,,0.0,0.0
23-11-2021,2056.86,2181.99,2010.41,2156.95,2245983,,0.0,0.0
24-11-2021,2173.97,2214.27,2080.13,2106.61,1886355,,0.0,0.0
25-11-2021,2106.61,2163.39,2098.24,2150.15,1755041,,0.0,0.0
26-11-2021,2125.75,2125.75,2047.61,2057.89,855393,,0.0,0.0
29-11-2021,2022.41,2053.71,1941.81,2023.59,1362057,,0.0,0.0
30-11-2021,2046.03,2138.0,1946.09,1974.04,19073002,,0.0,0.0
01-12-2021,2000.32,2064.78,1962.38,1984.72,1502267,,0.0,0.0
02-12-2021,2003.57,2059.81,1980.34,2056.56,1161648,,0.0,0.0
03-12-2021,2056.86,2086.38,2037.17,2051.15,626496,,0.0,0.0
06-12-2021,2047.02,2074.28,2019.71,2025.02,360997,,0.0,0.0
07-12-2021,2041.11,2066.65,2004.5,2055.73,611232,,0.0,0.0
08-12-2021,2071.13,2105.08,2062.47,2091.11,549828,,0.0,0.0
09-12-2021,2096.22,2107.05,2081.46,2099.62,317527,,0.0,0.0
10-12-2021,2099.62,2121.81,2088.79,2114.77,397700,,0.0,0.0
13-12-2021,2120.83,2145.33,2111.53,2115.37,383648,,0.0,0.0
14-12-2021,2120.29,2140.17,2108.72,2121.66,368847,,0.0,0.0
15-12-2021,2124.76,2143.17,2073.64,2124.96,786329,,0.0,0.0
16-12-2021,2150.15,2200.25,2127.72,2181.25,872308,,0.0,0.0
17-12-2021,2194.64,2206.45,2119.15,2130.23,1548050,,0.0,0.0
20-12-2021,2082.45,2110.99,1997.37,2041.75,653629,,0.0,0.0
21-12-2021,2060.25,2156.11,2049.33,2138.39,752135,,0.0,0.0
22-12-2021,2139.53,2277.31,2135.59,2269.43,2460901,,0.0,0.0
23-12-2021,2286.8,2304.32,2264.51,2285.62,1336372,,0.0,0.0
24-12-2021,2286.21,2313.13,2254.67,2279.23,877618,,0.0,0.0
27-12-2021,2284.2,2332.32,2256.15,2306.83,940361,,0.0,0.0
28-12-2021,2318.15,2355.99,2312.74,2351.26,744414,,0.0,0.0
29-12-2021,2355.05,2371.73,2339.31,2353.77,516093,,0.0,0.0
30-12-2021,2346.2,2376.7,2334.09,2365.44,547990,,0.0,0.0
31-12-2021,2369.82,2389.65,2367.06,2381.72,348706,,0.0,0.0
03-01-2022,2381.72,2405.24,2367.9,2374.24,385132,,0.0,0.0
04-01-2022,2374.24,2399.29,2330.45,2390.73,423163,,0.0,0.0
05-01-2022,2389.5,2401.31,2333.4,2378.28,578855,,0.0,0.0
06-01-2022,2347.18,2411.15,2343.24,2372.28,594570,,0.0,0.0
07-01-2022,2391.52,2493.77,2312.74,2465.23,2348058,,0.0,0.0
10-01-2022,2480.04,2510.35,2446.28,2490.13,811329,,0.0,0.0
11-01-2022,2490.13,2524.33,2482.45,2492.69,573897,,0.0,0.0
12-01-2022,2499.87,2593.95,2467.84,2584.46,1090603,,0.0,0.0
13-01-2022,2588.3,2627.46,2569.1,2614.67,800652,,0.0,0.0
14-01-2022,2611.91,2637.5,2599.51,2610.64,452448,,0.0,0.0
17-01-2022,2612.9,2636.81,2571.27,2598.58,662580,,0.0,0.0
18-01-2022,2613.59,2627.27,2551.93,2573.68,616685,,0.0,0.0
19-01-2022,2575.5,2581.9,2485.06,2516.35,728794,,0.0,0.0
20-01-2022,2510.11,2534.17,2495.79,2527.03,289339,,0.0,0.0
21-01-2022,2499.72,2515.03,2428.91,2437.52,589520,,0.0,0.0
24-01-2022,2439.2,2445.55,2312.74,2332.12,1072181,,0.0,0.0
25-01-2022,2293.69,2483.78,2258.61,2431.32,2246592,,0.0,0.0
27-01-2022,2376.7,2386.55,2232.58,2311.8,1878619,,0.0,0.0
28-01-2022,2352.1,2444.76,2349.44,2363.27,1112061,,0.0,0.0
31-01-2022,2376.7,2416.07,2323.56,2368.63,758878,,0.0,0.0
01-02-2022,2385.61,2445.59,2328.58,2408.39,812910,,0.0,0.0
02-02-2022,2421.58,2454.45,2402.1,2414.59,498572,,0.0,0.0
03-02-2022,2440.48,2453.35,2391.18,2405.77,625410,,4.75,0.0
04-02-2022,2392.16,2440.28,2392.16,2401.92,348955,,0.0,0.0
07-02-2022,2410.7,2486.67,2376.53,2416.62,1243759,,0.0,0.0
08-02-2022,2427.91,2512.46,2395.12,2495.99,1232058,,0.0,0.0
09-02-2022,2514.33,2557.82,2507.92,2547.76,811882,,0.0,0.0
10-02-2022,2562.55,2575.42,2514.53,2548.5,698527,,0.0,0.0
11-02-2022,2524.29,2542.98,2426.28,2442.01,792095,,0.0,0.0
14-02-2022,2376.38,2425.69,2302.48,2312.93,556722,,0.0,0.0
15-02-2022,2346.8,2468.53,2325.06,2458.97,664010,,0.0,0.0
16-02-2022,2482.88,2484.85,2413.16,2428.3,358576,,0.0,0.0
17-02-2022,2443.44,2461.09,2390.88,2398.87,446606,,0.0,0.0
18-02-2022,2372.93,2413.81,2341.87,2349.71,386111,,0.0,0.0
21-02-2022,2317.22,2373.38,2301.44,2342.27,394657,,0.0,0.0
22-02-2022,2268.02,2349.91,2268.02,2342.42,548655,,0.0,0.0
23-02-2022,2366.52,2400.05,2347.79,2362.97,448332,,0.0,0.0
24-02-2022,2269.89,2337.34,2227.74,2239.72,736393,,0.0,0.0
25-02-2022,2322.15,2401.92,2300.02,2391.08,949775,,0.0,0.0
28-02-2022,2374.41,2374.41,2302.78,2350.4,1157729,,0.0,0.0
02-03-2022,2345.82,2385.26,2297.6,2316.78,710813,,0.0,0.0
03-03-2022,2346.8,2359.23,2293.85,2311.06,376606,,0.0,0.0
04-03-2022,2283.7,2306.38,2193.97,2203.18,636562,,0.0,0.0
07-03-2022,2159.45,2159.45,2076.63,2123.27,721602,,0.0,0.0
08-03-2022,2119.02,2164.38,2084.61,2159.21,747807,,0.0,0.0
09-03-2022,2189.03,2212.65,2160.44,2192.78,716268,,0.0,0.0
10-03-2022,2267.92,2271.86,2215.66,2252.83,631055,,0.0,0.0
11-03-2022,2246.23,2247.21,2203.18,2219.36,802073,,0.0,0.0
14-03-2022,2210.73,2440.48,2208.95,2322.55,839106,,0.0,0.0
15-03-2022,2334.97,2402.66,2327.13,2386.25,1467575,,0.0,0.0
16-03-2022,2442.75,2442.75,2387.23,2434.76,781770,,0.0,0.0
17-03-2022,2453.3,2560.09,2450.44,2552.1,1593596,,0.0,0.0
21-03-2022,2578.92,2621.86,2546.13,2569.11,1055088,,0.0,0.0
22-03-2022,2577.49,2616.93,2524.69,2593.76,729721,,0.0,0.0
23-03-2022,2620.93,2636.21,2517.39,2559.0,588552,,0.0,0.0
24-03-2022,2497.67,2587.35,2494.71,2571.72,834422,,0.0,0.0
25-03-2022,2583.46,2590.95,2563.73,2578.08,251144,,0.0,0.0
28-03-2022,2579.51,2600.81,2529.27,2569.4,443424,,0.0,0.0
29-03-2022,2570.83,2642.57,2565.81,2584.69,837632,,0.0,0.0
30-03-2022,2613.04,2696.46,2590.16,2668.11,2954341,,0.0,0.0
31-03-2022,2694.73,2694.73,2608.35,2641.98,918574,,0.0,0.0
01-04-2022,2652.48,2677.13,2576.41,2585.28,1104351,,0.0,0.0
04-04-2022,2613.04,2630.29,2583.6,2599.53,502552,,0.0,0.0
05-04-2022,2614.02,2717.21,2596.32,2671.71,1116588,,0.0,0.0
06-04-2022,2662.34,2674.17,2622.9,2647.25,636435,,0.0,0.0
07-04-2022,2642.62,2697.74,2624.87,2651.1,655014,,0.0,0.0
08-04-2022,2659.38,2734.67,2648.73,2709.28,1579463,,0.0,0.0
11-04-2022,2721.45,2725.05,2652.77,2661.25,463269,,0.0,0.0
12-04-2022,2662.34,2672.2,2558.85,2598.99,893233,,0.0,0.0
13-04-2022,2611.06,2640.15,2561.22,2574.63,491749,,0.0,0.0
18-04-2022,2558.8,2606.73,2484.46,2579.26,955240,,0.0,0.0
19-04-2022,2597.26,2619.4,2445.41,2493.68,552389,,0.0,0.0
20-04-2022,2484.85,2581.14,2466.76,2507.18,929202,,0.0,0.0
21-04-2022,2524.74,2548.25,2495.99,2511.87,531946,,0.0,0.0
22-04-2022,2474.99,2499.54,2440.48,2454.63,614298,,0.0,0.0
25-04-2022,2433.58,2453.3,2390.19,2400.79,641367,,0.0,0.0
