Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,4312.6,4357.7,4295.24,4339.14,154217,,0.0,0.0
03-08-2021,4360.35,4360.35,4251.78,4263.36,132467,,0.0,0.0
04-08-2021,4280.42,4333.56,4213.82,4225.84,139863,,0.0,0.0
05-08-2021,4259.72,4339.54,4211.02,4302.72,162743,,0.0,0.0
06-08-2021,4303.72,4324.77,4251.73,4275.93,78610,,0.0,0.0
09-08-2021,4290.65,4335.55,4254.63,4276.78,120251,,0.0,0.0
10-08-2021,4292.64,4408.39,4240.76,4278.92,245662,,0.0,0.0
11-08-2021,4280.67,4308.51,4107.15,4189.57,167422,,0.0,0.0
12-08-2021,4200.5,4229.73,4147.11,4188.17,173368,,0.0,0.0
13-08-2021,4208.78,4223.65,4160.93,4205.09,147617,,0.0,0.0
16-08-2021,4193.86,4197.85,4140.98,4146.96,92774,,0.0,0.0
17-08-2021,4147.96,4177.45,4062.15,4090.44,262127,,0.0,0.0
18-08-2021,4117.03,4131.0,4061.15,4090.44,172889,,0.0,0.0
20-08-2021,4062.15,4073.07,3991.3,4034.51,234130,,0.0,0.0
23-08-2021,4034.51,4087.39,3891.52,3901.65,258652,,0.0,0.0
24-08-2021,3881.54,3881.54,3751.82,3810.45,446228,,0.0,0.0
25-08-2021,3841.63,3976.33,3795.73,3817.53,311769,,0.0,0.0
26-08-2021,3862.58,4079.11,3833.1,4033.91,530804,,0.0,0.0
27-08-2021,4056.16,4137.93,4000.03,4037.45,401027,,0.0,0.0
30-08-2021,4071.13,4175.9,3992.4,4106.25,313229,,0.0,0.0
31-08-2021,4138.98,4213.72,4096.12,4151.35,241465,,0.0,0.0
01-09-2021,4151.35,4188.72,4123.51,4133.69,219818,,0.0,0.0
02-09-2021,4131.99,4320.58,4131.95,4284.91,630735,,0.0,0.0
03-09-2021,4302.62,4327.77,4212.22,4230.98,311469,,0.0,0.0
06-09-2021,4240.76,4300.63,4230.88,4278.92,224937,,0.0,0.0
07-09-2021,4241.31,4338.54,4191.47,4316.74,337337,,0.0,0.0
08-09-2021,4340.24,4390.33,4264.76,4300.98,378818,,0.0,0.0
09-09-2021,4298.63,4357.8,4282.67,4307.81,166912,,0.0,0.0
13-09-2021,4305.62,4337.4,4241.81,4297.38,199587,,0.0,0.0
14-09-2021,4315.0,4326.92,4253.78,4279.82,185828,,0.0,0.0
15-09-2021,4260.71,4278.68,4212.82,4262.46,214241,,0.0,0.0
16-09-2021,4245.75,4280.67,4222.8,4242.21,194925,,0.0,0.0
17-09-2021,4251.73,4310.81,4141.77,4235.87,411526,,0.0,0.0
20-09-2021,4211.82,4245.0,4110.01,4160.62,210959,,1.0,0.0
21-09-2021,4142.5,4146.79,3984.91,4099.48,320353,,0.0,0.0
22-09-2021,4043.24,4192.1,4017.84,4155.08,256361,,0.0,0.0
23-09-2021,4213.81,4451.35,4202.88,4387.77,1142122,,0.0,0.0
24-09-2021,4425.4,4471.16,4343.11,4371.55,519411,,0.0,0.0
27-09-2021,4378.49,4511.23,4297.65,4483.24,619728,,0.0,0.0
