Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,1142.47,1166.68,1138.26,1147.41,1659962,,0.0,0.0
03-08-2021,1159.9,1206.76,1153.46,1192.14,4940389,,0.0,0.0
04-08-2021,1202.4,1207.24,1183.72,1194.51,2387558,,0.0,0.0
05-08-2021,1200.56,1200.76,1173.55,1177.57,995267,,0.0,0.0
06-08-2021,1185.07,1219.88,1177.33,1193.69,2921992,,0.0,0.0
09-08-2021,1207.34,1214.46,1191.41,1196.21,1438802,,0.0,0.0
10-08-2021,1206.28,1214.8,1179.84,1184.93,1823117,,0.0,0.0
11-08-2021,1187.98,1203.71,1158.79,1197.42,1973876,,0.0,0.0
12-08-2021,1214.12,1215.67,1187.06,1192.72,2264764,,0.0,0.0
13-08-2021,1190.88,1217.17,1186.43,1202.65,1861705,,0.0,0.0
16-08-2021,1203.13,1212.57,1183.28,1186.72,843960,,0.0,0.0
17-08-2021,1187.01,1204.44,1177.81,1185.46,1600498,,0.0,0.0
18-08-2021,1188.95,1225.74,1187.25,1194.9,2658601,,0.0,0.0
20-08-2021,1189.91,1214.99,1185.61,1196.98,1989898,,0.0,0.0
23-08-2021,1203.28,1248.49,1201.87,1219.15,3835797,,0.0,0.0
24-08-2021,1229.51,1239.0,1202.36,1225.45,1492926,,0.0,0.0
25-08-2021,1224.72,1233.68,1162.8,1165.95,2460031,,0.0,0.0
26-08-2021,1169.29,1182.02,1153.12,1176.36,1413269,,0.0,0.0
27-08-2021,1179.26,1199.55,1176.36,1195.72,1169963,,0.0,0.0
30-08-2021,1190.88,1229.61,1190.88,1226.22,1105428,,0.0,0.0
31-08-2021,1229.61,1246.75,1214.65,1228.11,4863922,,0.0,0.0
01-09-2021,1229.61,1311.23,1225.88,1301.98,5063369,,0.0,0.0
02-09-2021,1307.84,1353.54,1299.08,1347.97,2971890,,0.0,0.0
03-09-2021,1354.51,1389.02,1342.89,1384.96,2720191,,0.0,0.0
06-09-2021,1384.52,1394.01,1375.28,1384.96,1244690,,0.0,0.0
07-09-2021,1394.01,1416.13,1385.15,1398.85,1787418,,0.0,0.0
08-09-2021,1398.85,1408.1,1372.85,1387.09,1078326,,0.0,0.0
09-09-2021,1383.55,1413.37,1369.71,1407.71,1745952,,0.0,0.0
13-09-2021,1410.23,1416.23,1389.41,1403.98,1437805,,0.0,0.0
14-09-2021,1404.18,1424.65,1403.98,1418.94,1024080,,0.0,0.0
15-09-2021,1419.38,1422.77,1400.45,1405.05,766614,,0.0,0.0
16-09-2021,1410.08,1430.03,1402.0,1406.89,1068097,,0.0,0.0
17-09-2021,1411.63,1435.55,1401.08,1425.09,2099188,,0.0,0.0
20-09-2021,1413.57,1415.79,1355.48,1362.45,1682673,,0.0,0.0
21-09-2021,1365.25,1382.34,1347.78,1366.22,1677219,,0.0,0.0
22-09-2021,1366.22,1397.5,1364.19,1375.28,1337462,,0.0,0.0
23-09-2021,1382.15,1408.1,1378.42,1392.51,1137902,,0.0,0.0
24-09-2021,1396.14,1402.82,1353.97,1369.9,972346,,0.0,0.0
27-09-2021,1378.71,1378.71,1340.95,1344.39,1130126,,0.0,0.0
28-09-2021,1345.6,1359.49,1317.38,1326.28,1033811,,0.0,0.0
29-09-2021,1320.62,1333.64,1308.03,1324.35,869402,,0.0,0.0
30-09-2021,1324.49,1338.58,1318.01,1329.43,910972,,0.0,0.0
01-10-2021,1329.43,1338.73,1291.82,1315.88,839100,,0.0,0.0
04-10-2021,1317.28,1350.1,1312.2,1345.6,802477,,0.0,0.0
05-10-2021,1351.6,1356.54,1338.87,1345.36,913676,,0.0,0.0
06-10-2021,1353.35,1365.69,1321.59,1325.85,738636,,0.0,0.0
07-10-2021,1332.43,1363.22,1331.51,1349.86,728717,,0.0,0.0
08-10-2021,1356.25,1360.61,1322.7,1327.83,566246,,0.0,0.0
11-10-2021,1338.48,1365.01,1325.8,1338.19,836394,,0.0,0.0
12-10-2021,1342.89,1382.54,1339.31,1375.08,1358251,,0.0,0.0
13-10-2021,1392.27,1392.27,1354.51,1364.87,1406850,,0.0,0.0
14-10-2021,1368.74,1432.74,1360.41,1427.22,1827348,,0.0,0.0
18-10-2021,1439.37,1456.6,1394.4,1408.44,1694567,,0.0,0.0
19-10-2021,1423.06,1435.4,1366.22,1378.52,951188,,0.0,0.0
20-10-2021,1384.52,1388.3,1334.32,1361.96,1193058,,0.0,0.0
21-10-2021,1310.94,1321.54,1171.81,1244.91,8213470,,0.0,0.0
22-10-2021,1248.97,1277.78,1225.16,1248.34,1631143,,0.0,0.0
25-10-2021,1263.3,1267.66,1231.93,1257.64,1114353,,0.0,0.0
26-10-2021,1267.37,1267.37,1221.67,1244.62,1374534,,0.0,0.0
27-10-2021,1251.9,1268.39,1237.34,1238.99,937862,,3.0,0.0
28-10-2021,1248.94,1248.94,1219.34,1226.42,943525,,0.0,0.0
29-10-2021,1214.29,1254.81,1207.01,1225.64,1421636,,0.0,0.0
01-11-2021,1237.87,1251.9,1223.36,1250.1,890339,,0.0,0.0
02-11-2021,1257.52,1265.19,1245.68,1252.62,571414,,0.0,0.0
03-11-2021,1263.4,1263.4,1233.46,1252.57,584243,,0.0,0.0
04-11-2021,1259.47,1261.6,1251.9,1256.21,56644,,0.0,0.0
08-11-2021,1268.2,1290.18,1247.33,1287.12,760625,,0.0,0.0
09-11-2021,1287.12,1299.45,1273.29,1287.71,613322,,0.0,0.0
10-11-2021,1281.01,1310.12,1279.26,1307.26,729602,,0.0,0.0
11-11-2021,1314.93,1315.41,1289.74,1306.05,825469,,0.0,0.0
12-11-2021,1316.38,1339.14,1306.24,1332.15,1056339,,0.0,0.0
15-11-2021,1337.3,1358.31,1336.42,1348.17,1020862,,0.0,0.0
16-11-2021,1350.4,1363.45,1319.83,1357.53,944782,,0.0,0.0
