Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,1027.23,1046.6,1018.41,1037.35,2158880,,0.0,0.0
03-08-2021,1038.97,1056.58,1029.58,1050.15,1450875,,0.0,0.0
04-08-2021,1046.8,1059.5,1037.02,1047.05,1364815,,0.0,0.0
05-08-2021,1054.63,1054.63,1037.21,1046.4,800810,,0.0,0.0
06-08-2021,1046.37,1056.48,1038.39,1054.77,1095730,,0.0,0.0
09-08-2021,1054.77,1054.77,1038.0,1041.94,1143390,,0.0,0.0
10-08-2021,1046.95,1075.91,1038.98,1068.83,3313085,,0.0,0.0
11-08-2021,1072.04,1073.21,1013.94,1051.7,2640655,,0.0,0.0
12-08-2021,1053.45,1064.15,1043.86,1061.8,958555,,0.0,0.0
13-08-2021,1059.91,1074.97,1058.34,1062.17,910645,,0.0,0.0
16-08-2021,1069.29,1071.25,1042.59,1065.54,1163660,,0.0,0.0
17-08-2021,1059.67,1071.99,1045.87,1067.39,1429980,,0.0,0.0
18-08-2021,1067.39,1096.5,1060.3,1072.65,2738965,,0.0,0.0
20-08-2021,1066.37,1070.08,1046.99,1055.09,737175,,0.0,0.0
23-08-2021,1056.99,1079.66,1038.97,1074.02,1439055,,0.0,0.0
24-08-2021,1076.15,1134.85,1076.15,1127.18,6315980,,0.0,0.0
25-08-2021,1139.54,1154.22,1126.43,1134.06,3725600,,0.0,0.0
26-08-2021,1134.06,1149.5,1123.5,1134.17,1419390,,0.0,0.0
27-08-2021,1134.18,1170.45,1126.04,1153.56,1954445,,0.0,0.0
30-08-2021,1153.56,1191.23,1153.55,1186.31,2621840,,0.0,0.0
31-08-2021,1187.89,1216.48,1172.5,1209.66,3030980,,0.0,0.0
01-09-2021,1209.4,1225.88,1194.29,1216.05,1890900,,0.0,0.0
02-09-2021,1211.16,1232.48,1211.16,1230.08,1438735,,0.0,0.0
03-09-2021,1231.7,1231.7,1199.42,1210.0,1724980,,0.0,0.0
06-09-2021,1209.79,1221.92,1204.4,1216.81,1268660,,0.0,0.0
07-09-2021,1216.83,1229.01,1201.33,1209.93,1057120,,0.0,0.0
