Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
13-11-2024,420.0,465.8,391.0,456.0,112960103,,0.0,0.0
14-11-2024,473.15,489.4,418.6,430.7,56141395,,0.0,0.0
18-11-2024,416.1,438.7,410.4,420.1,28579217,,0.0,0.0
19-11-2024,424.0,430.9,408.85,412.45,12463968,,0.0,0.0
21-11-2024,409.0,423.7,402.0,416.85,11443031,,0.0,0.0
22-11-2024,414.2,419.75,410.0,416.6,3942312,,0.0,0.0
25-11-2024,418.8,441.4,417.2,430.7,11690777,,0.0,0.0
26-11-2024,443.0,471.0,438.9,461.9,15942914,,0.0,0.0
27-11-2024,468.0,508.0,465.55,499.05,40301929,,0.0,0.0
28-11-2024,507.4,517.0,481.05,491.5,14951742,,0.0,0.0
29-11-2024,489.95,493.5,454.6,470.75,16060894,,0.0,0.0
02-12-2024,472.0,503.65,464.35,493.7,10286055,,0.0,0.0
03-12-2024,505.0,541.95,486.05,501.85,26879359,,0.0,0.0
04-12-2024,510.0,534.8,509.85,517.8,19112635,,0.0,0.0
05-12-2024,519.7,576.7,511.0,540.0,47711029,,0.0,0.0
06-12-2024,540.0,552.8,530.05,544.7,13655139,,0.0,0.0
09-12-2024,545.65,547.75,528.6,536.85,9929104,,0.0,0.0
10-12-2024,560.0,567.9,540.0,543.75,11833298,,0.0,0.0
11-12-2024,527.0,530.85,516.5,522.55,14344375,,0.0,0.0
12-12-2024,522.0,524.85,501.0,504.3,8538402,,0.0,0.0
13-12-2024,506.2,536.7,504.3,532.35,15929277,,0.0,0.0
16-12-2024,538.0,612.4,533.0,596.35,48167926,,0.0,0.0
17-12-2024,590.0,613.4,580.8,586.4,39259581,,0.0,0.0
18-12-2024,589.0,605.25,572.1,577.35,20125575,,0.0,0.0
19-12-2024,570.0,598.0,568.25,582.2,19658494,,0.0,0.0
20-12-2024,588.0,608.8,586.4,597.45,20480867,,0.0,0.0
23-12-2024,605.3,617.3,578.25,583.65,21999304,,0.0,0.0
24-12-2024,589.0,594.0,561.1,568.1,11010976,,0.0,0.0
26-12-2024,571.9,575.8,555.2,559.05,7705705,,0.0,0.0
27-12-2024,563.0,564.0,541.25,545.95,5812587,,0.0,0.0
30-12-2024,548.0,568.0,542.0,550.65,7669754,,0.0,0.0
31-12-2024,552.0,561.0,535.2,540.9,5400223,,0.0,0.0
01-01-2025,544.25,554.4,538.2,542.35,4500187,,0.0,0.0
02-01-2025,545.1,558.0,539.35,556.45,6483910,,0.0,0.0
03-01-2025,557.0,558.85,540.0,541.45,6023536,,0.0,0.0
06-01-2025,544.4,546.55,520.2,532.1,7196227,,0.0,0.0
07-01-2025,538.0,538.0,505.15,509.25,12034803,,0.0,0.0
08-01-2025,514.9,515.2,486.2,490.6,9326257,,0.0,0.0
09-01-2025,505.15,521.4,497.05,507.5,14972600,,0.0,0.0
10-01-2025,504.0,505.9,488.55,492.3,5638811,,0.0,0.0
13-01-2025,481.15,487.9,458.3,463.1,8311612,,0.0,0.0
14-01-2025,465.2,481.45,460.1,464.55,8019502,,0.0,0.0
15-01-2025,474.0,494.4,470.05,487.3,11912348,,0.0,0.0
16-01-2025,505.0,514.8,479.0,483.0,10078943,,0.0,0.0
17-01-2025,483.5,489.5,467.2,473.1,6245233,,0.0,0.0
20-01-2025,475.7,483.75,464.45,479.2,6636117,,0.0,0.0
21-01-2025,470.0,471.3,427.05,440.45,19799027,,0.0,0.0
22-01-2025,441.0,445.45,413.6,433.7,17727617,,0.0,0.0
23-01-2025,434.5,465.0,433.9,460.9,13375717,,0.0,0.0
24-01-2025,463.2,463.9,441.0,449.05,12225785,,0.0,0.0
27-01-2025,442.0,443.45,405.35,410.05,12806362,,0.0,0.0
28-01-2025,414.25,418.55,389.05,410.95,17253887,,0.0,0.0
29-01-2025,412.0,429.95,406.75,428.2,11860436,,0.0,0.0
30-01-2025,428.0,428.5,402.5,404.75,10278807,,0.0,0.0
31-01-2025,410.9,420.45,408.4,416.1,5141139,,0.0,0.0
01-02-2025,418.5,458.2,407.5,435.45,15070283,,0.0,0.0
03-02-2025,431.0,463.0,421.0,458.4,17169683,,0.0,0.0
04-02-2025,458.0,458.0,428.45,434.05,10441964,,0.0,0.0
05-02-2025,426.0,430.5,414.3,418.05,15784590,,0.0,0.0
06-02-2025,391.0,410.9,385.25,388.7,41230291,,0.0,0.0
07-02-2025,395.0,397.25,375.0,380.65,23290096,,0.0,0.0
10-02-2025,378.0,378.25,359.0,362.1,31887879,,0.0,0.0
11-02-2025,370.0,370.2,330.0,333.35,28185478,,0.0,0.0
12-02-2025,336.4,352.95,326.2,341.4,36471242,,0.0,0.0
13-02-2025,348.0,369.0,343.05,365.5,22899285,,0.0,0.0
14-02-2025,364.0,364.0,325.3,340.75,27954447,,0.0,0.0
17-02-2025,337.5,354.8,333.5,338.25,16573200,,0.0,0.0
18-02-2025,338.25,349.85,328.4,347.9,13628374,,0.0,0.0
19-02-2025,340.0,383.5,339.55,377.4,27576813,,0.0,0.0
20-02-2025,370.5,386.75,367.75,373.6,15403371,,0.0,0.0
21-02-2025,371.7,374.8,354.0,360.55,16859588,,0.0,0.0
24-02-2025,354.0,368.0,348.35,364.65,12371636,,0.0,0.0
25-02-2025,363.05,364.65,350.4,355.1,9161306,,0.0,0.0
27-02-2025,360.0,360.0,341.0,344.45,6110777,,0.0,0.0
28-02-2025,340.0,354.5,331.05,334.65,11985216,,0.0,0.0
03-03-2025,342.25,342.25,317.0,326.3,13176398,,0.0,0.0
04-03-2025,324.0,352.0,322.15,350.05,18340203,,0.0,0.0
05-03-2025,346.35,360.0,343.5,358.5,10126052,,0.0,0.0
06-03-2025,360.0,377.3,359.05,362.55,12135517,,0.0,0.0
07-03-2025,360.0,368.75,353.55,360.95,9381165,,0.0,0.0
10-03-2025,368.8,368.8,354.25,359.65,6193973,,0.0,0.0
11-03-2025,354.0,354.75,347.3,352.85,3699313,,0.0,0.0
12-03-2025,355.95,360.6,346.45,348.8,7809856,,0.0,0.0
13-03-2025,353.0,357.85,343.7,353.2,4894809,,0.0,0.0
17-03-2025,356.0,359.3,349.2,354.7,6949570,,0.0,0.0
18-03-2025,354.7,354.7,354.7,354.7,0,,0.0,0.0
19-03-2025,357.85,369.7,352.1,360.6,7872167,,0.0,0.0
20-03-2025,364.0,366.0,348.15,354.35,6777598,,0.0,0.0
21-03-2025,354.4,358.4,348.2,350.65,4553941,,0.0,0.0
24-03-2025,353.1,357.25,350.6,351.45,3218583,,0.0,0.0
25-03-2025,354.5,356.4,331.75,337.5,5518715,,0.0,0.0
26-03-2025,330.7,336.0,321.2,323.85,7488889,,0.0,0.0
27-03-2025,323.85,341.0,312.65,335.75,19591307,,0.0,0.0
28-03-2025,335.0,342.2,326.55,330.2,10683126,,0.0,0.0
01-04-2025,328.7,339.3,325.5,331.9,5731994,,0.0,0.0
02-04-2025,330.0,351.4,328.8,344.6,10629913,,0.0,0.0
03-04-2025,341.0,349.5,338.15,345.15,3395256,,0.0,0.0
04-04-2025,342.0,346.6,335.1,337.35,3339600,,0.0,0.0
07-04-2025,310.0,327.45,306.95,321.7,6536264,,0.0,0.0
08-04-2025,329.0,334.6,322.55,333.3,6086723,,0.0,0.0
09-04-2025,331.0,345.0,329.4,339.75,8437070,,0.0,0.0
11-04-2025,347.0,347.1,331.35,333.0,6373180,,0.0,0.0
15-04-2025,338.0,342.8,332.8,334.0,2904801,,0.0,0.0
16-04-2025,334.5,340.6,334.25,336.25,5653384,,0.0,0.0
17-04-2025,337.0,350.7,329.45,340.8,10107653,,0.0,0.0
21-04-2025,342.45,347.4,341.65,343.85,3326600,,0.0,0.0
22-04-2025,343.85,345.65,338.55,343.35,7967985,,0.0,0.0
23-04-2025,344.8,349.45,339.45,348.05,4461816,,0.0,0.0
24-04-2025,344.25,351.45,339.3,340.6,5934561,,0.0,0.0
25-04-2025,342.1,343.35,320.0,321.4,6237853,,0.0,0.0
28-04-2025,322.1,328.7,319.7,323.75,4572731,,0.0,0.0
29-04-2025,327.4,328.35,318.5,319.85,2140615,,0.0,0.0
30-04-2025,326.85,326.85,309.15,316.4,8197937,,0.0,0.0
02-05-2025,314.0,317.9,303.0,304.0,6157429,,0.0,0.0
05-05-2025,310.0,356.65,304.2,343.95,44623517,,0.0,0.0
06-05-2025,337.0,344.9,332.6,342.5,18751451,,0.0,0.0
07-05-2025,322.05,338.75,322.05,328.8,12816563,,0.0,0.0
