Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,1520.48,1530.29,1494.62,1496.26,662042,,0.0,0.0
03-08-2021,1499.97,1517.04,1487.57,1492.56,800213,,0.0,0.0
04-08-2021,1495.6,1502.37,1478.56,1486.37,554376,,0.0,0.0
05-08-2021,1493.77,1493.81,1467.95,1475.22,601272,,0.0,0.0
06-08-2021,1475.0,1475.89,1462.51,1465.36,373401,,0.0,0.0
09-08-2021,1475.58,1483.02,1463.4,1472.23,434183,,0.0,0.0
10-08-2021,1480.35,1485.56,1469.73,1475.26,888730,,0.0,0.0
11-08-2021,1480.35,1487.3,1465.68,1478.79,337034,,0.0,0.0
12-08-2021,1475.89,1486.59,1461.44,1463.67,802666,,0.0,0.0
13-08-2021,1460.73,1475.0,1450.29,1464.29,269358,,0.0,0.0
16-08-2021,1466.88,1486.77,1457.96,1482.89,479096,,0.0,0.0
17-08-2021,1491.94,1509.42,1487.93,1503.04,996543,,0.0,0.0
18-08-2021,1508.88,1508.88,1482.13,1488.15,515413,,0.0,0.0
20-08-2021,1466.97,1518.11,1466.97,1495.55,895522,,0.0,0.0
23-08-2021,1513.79,1516.02,1474.1,1479.1,620470,,0.0,0.0
24-08-2021,1489.26,1489.53,1467.91,1469.87,541399,,0.0,0.0
25-08-2021,1466.97,1496.4,1462.91,1477.58,645693,,0.0,0.0
26-08-2021,1475.53,1487.48,1468.08,1475.35,335230,,0.0,0.0
27-08-2021,1476.69,1486.9,1471.52,1476.42,529815,,0.0,0.0
30-08-2021,1476.42,1517.8,1476.42,1515.26,753854,,0.0,0.0
31-08-2021,1521.72,1524.98,1498.18,1510.04,1586467,,0.0,0.0
01-09-2021,1512.81,1532.92,1509.91,1517.18,621889,,0.0,0.0
02-09-2021,1524.04,1557.08,1520.48,1538.85,1073611,,0.0,0.0
03-09-2021,1542.77,1563.64,1532.96,1537.87,616300,,0.0,0.0
06-09-2021,1550.8,1550.8,1516.02,1518.29,453162,,0.0,0.0
07-09-2021,1517.8,1553.43,1515.84,1543.89,708929,,0.0,0.0
08-09-2021,1544.24,1549.73,1516.06,1521.19,571056,,0.0,0.0
09-09-2021,1516.02,1550.13,1511.87,1547.68,589555,,0.0,0.0
13-09-2021,1544.55,1555.79,1529.39,1536.8,362485,,0.0,0.0
14-09-2021,1544.51,1549.73,1538.27,1545.4,310843,,0.0,0.0
15-09-2021,1547.23,1562.21,1540.1,1543.04,452502,,0.0,0.0
16-09-2021,1544.55,1558.82,1529.39,1530.73,623108,,0.0,0.0
17-09-2021,1534.74,1547.23,1525.38,1545.04,395997,,0.0,0.0
20-09-2021,1536.13,1551.69,1533.85,1539.87,236735,,0.0,0.0
21-09-2021,1535.64,1550.62,1528.55,1544.96,349084,,0.0,0.0
22-09-2021,1544.96,1548.03,1529.97,1534.21,198413,,0.0,0.0
23-09-2021,1542.77,1542.77,1514.23,1517.4,664900,,0.0,0.0
24-09-2021,1521.37,1530.33,1501.75,1507.86,413927,,0.0,0.0
27-09-2021,1505.41,1512.09,1492.83,1500.95,380728,,0.0,0.0
28-09-2021,1502.64,1505.63,1487.48,1497.65,239198,,0.0,0.0
29-09-2021,1496.4,1511.56,1491.09,1496.8,284053,,0.0,0.0
30-09-2021,1498.18,1501.53,1480.48,1488.82,332202,,0.0,0.0
01-10-2021,1488.91,1508.84,1477.23,1505.14,225346,,0.0,0.0
