Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,610.85,612.59,599.57,608.21,2742366,,0.0,0.0
03-08-2021,606.87,616.32,593.28,596.41,1845392,,0.0,0.0
04-08-2021,604.88,622.38,597.88,617.86,4389548,,0.0,0.0
05-08-2021,619.3,625.56,606.38,616.37,3006188,,0.0,0.0
06-08-2021,616.29,638.19,602.08,620.69,8251438,,0.0,0.0
09-08-2021,621.41,631.82,612.39,628.62,3627644,,0.0,0.0
10-08-2021,628.74,656.08,627.28,648.13,5077426,,0.0,0.0
11-08-2021,651.11,652.33,625.83,640.35,2131818,,0.0,0.0
12-08-2021,641.12,660.45,637.19,657.87,1923310,,0.0,0.0
13-08-2021,656.08,664.33,647.65,659.28,1794282,,0.0,0.0
16-08-2021,663.19,666.02,654.61,661.52,1469206,,0.0,0.0
17-08-2021,663.53,677.7,656.82,671.09,2880214,,0.0,0.0
18-08-2021,676.21,685.65,660.92,665.52,2307842,,0.0,0.0
20-08-2021,661.05,663.04,636.99,646.81,1966886,,0.0,0.0
23-08-2021,653.47,658.56,634.95,643.16,1481708,,0.0,0.0
24-08-2021,648.62,690.8,641.17,675.84,4282230,,0.0,0.0
25-08-2021,675.84,679.94,661.25,671.14,1746510,,0.0,0.0
26-08-2021,671.29,686.87,663.53,672.63,3004486,,0.0,0.0
27-08-2021,672.63,676.9,625.26,638.93,3174062,,0.0,0.0
30-08-2021,623.77,650.61,619.42,643.6,4684786,,0.0,0.0
31-08-2021,647.13,649.72,522.45,562.02,26080586,,0.0,0.0
01-09-2021,582.52,600.71,555.75,574.62,19172322,,0.0,0.0
02-09-2021,576.55,591.46,562.14,582.72,5914976,,0.0,0.0
03-09-2021,586.52,602.9,572.16,581.47,7401602,,0.0,0.0
06-09-2021,581.5,590.77,569.74,580.26,2457076,,0.0,0.0
07-09-2021,583.44,587.44,572.33,578.34,2659654,,0.0,0.0
08-09-2021,581.97,590.94,573.37,586.99,2051444,,0.0,0.0
09-09-2021,582.52,588.95,581.52,583.39,1379996,,0.0,0.0
13-09-2021,583.39,583.39,569.55,571.78,2798596,,0.0,0.0
14-09-2021,571.58,580.01,558.69,563.63,3691422,,0.0,0.0
15-09-2021,564.63,573.82,562.64,564.58,2294956,,0.0,0.0
16-09-2021,569.67,577.2,561.15,573.15,2464466,,0.0,0.0
17-09-2021,574.07,578.05,542.06,554.88,4457012,,0.0,0.0
20-09-2021,546.19,561.64,539.28,548.35,2150348,,0.0,0.0
21-09-2021,549.22,556.67,532.74,539.2,3860266,,0.0,0.0
22-09-2021,543.13,548.02,536.79,539.28,2872384,,0.0,0.0
23-09-2021,543.65,560.8,540.77,548.5,2972174,,0.0,0.0
24-09-2021,553.69,558.86,529.78,532.69,2060320,,0.0,0.0
27-09-2021,536.79,563.63,527.35,558.76,4006234,,0.0,0.0
28-09-2021,561.62,568.45,550.04,560.45,3201270,,0.0,0.0
29-09-2021,559.16,586.0,552.95,576.01,7652860,,0.0,0.0
30-09-2021,577.85,590.77,574.07,578.67,4623200,,0.0,0.0
01-10-2021,576.55,590.47,556.67,588.46,2352386,,0.0,0.0
