Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,131.73,133.82,130.88,132.92,6336738,,0.0,0.0
03-08-2021,133.56,134.58,131.22,131.56,3300381,,0.0,0.0
04-08-2021,133.02,133.02,128.85,129.49,3307446,,0.0,0.0
05-08-2021,132.09,133.3,127.01,130.17,4634163,,2.33,0.0
06-08-2021,130.66,131.41,128.55,128.87,2080584,,0.0,0.0
09-08-2021,129.98,129.98,126.07,126.4,3056121,,0.0,0.0
10-08-2021,126.48,127.4,117.49,120.69,5238837,,0.0,0.0
11-08-2021,120.66,121.07,113.37,118.49,7532532,,0.0,0.0
12-08-2021,119.23,123.7,118.7,121.89,4705164,,0.0,0.0
13-08-2021,119.6,122.25,119.6,120.62,2054637,,0.0,0.0
16-08-2021,120.86,120.86,117.6,118.24,1862145,,0.0,0.0
17-08-2021,118.22,118.24,115.33,115.79,2390094,,0.0,0.0
18-08-2021,114.73,124.37,114.73,120.0,6987546,,0.0,0.0
20-08-2021,118.97,121.61,116.97,117.53,3733551,,0.0,0.0
23-08-2021,118.6,119.88,109.35,110.05,4713624,,0.0,0.0
24-08-2021,110.61,114.24,108.3,113.28,5550030,,0.0,0.0
25-08-2021,113.44,115.58,112.72,114.07,3239460,,0.0,0.0
26-08-2021,114.52,117.89,112.94,116.6,4305618,,0.0,0.0
27-08-2021,117.26,119.07,115.52,116.31,2787795,,0.0,0.0
30-08-2021,116.43,128.07,116.32,126.72,13830570,,0.0,0.0
31-08-2021,127.41,128.97,125.14,126.84,6312555,,0.0,0.0
01-09-2021,127.12,128.07,124.47,126.23,4923117,,0.0,0.0
02-09-2021,126.16,127.75,124.89,125.23,2952909,,0.0,0.0
03-09-2021,125.64,130.68,124.89,125.34,8508429,,0.0,0.0
06-09-2021,126.15,126.38,123.31,123.61,3572892,,0.0,0.0
07-09-2021,123.94,124.34,120.2,121.77,2743488,,0.0,0.0
08-09-2021,122.78,126.83,122.78,125.87,6633045,,0.0,0.0
09-09-2021,125.95,134.95,125.65,131.41,22995036,,0.0,0.0
13-09-2021,131.67,133.15,129.14,129.98,7170264,,0.0,0.0
14-09-2021,130.77,132.83,129.26,130.15,5378841,,0.0,0.0
15-09-2021,130.19,132.01,128.18,129.93,4755303,,0.0,0.0
16-09-2021,130.08,131.99,128.49,130.29,5507982,,0.0,0.0
17-09-2021,130.93,131.14,125.19,125.88,5123979,,0.0,0.0
20-09-2021,123.62,127.44,122.25,122.55,3023424,,0.0,0.0
21-09-2021,121.93,124.37,119.85,123.48,3016143,,0.0,0.0
22-09-2021,125.11,126.06,123.05,123.86,2015154,,0.0,0.0
23-09-2021,124.37,127.01,124.05,125.2,2514429,,0.0,0.0
24-09-2021,126.06,126.24,123.1,123.98,2011437,,0.0,0.0
27-09-2021,125.1,134.69,125.1,133.13,22525848,,0.0,0.0
28-09-2021,134.42,137.06,131.41,134.61,12306789,,0.0,0.0
29-09-2021,132.83,132.94,130.21,131.38,4202271,,0.0,0.0
30-09-2021,132.04,132.52,129.66,130.32,2666295,,0.0,0.0
01-10-2021,129.55,130.08,127.86,129.02,2639547,,0.0,0.0
04-10-2021,129.13,132.69,129.13,130.98,2291364,,0.0,0.0
05-10-2021,130.69,135.65,129.66,133.73,6094863,,0.0,0.0
06-10-2021,135.58,137.43,130.94,132.19,7195266,,0.0,0.0
07-10-2021,133.62,133.84,130.72,132.56,2458512,,0.0,0.0
08-10-2021,133.47,144.48,132.5,141.67,28426158,,0.0,0.0
11-10-2021,143.03,153.47,142.89,151.85,26071776,,0.0,0.0
12-10-2021,150.72,155.53,149.48,154.3,14759802,,0.0,0.0
13-10-2021,155.59,156.44,149.68,150.45,6940944,,0.0,0.0
14-10-2021,151.36,152.63,145.13,147.83,6421581,,0.0,0.0
18-10-2021,149.24,151.99,146.84,149.27,4310739,,0.0,0.0
19-10-2021,150.45,150.45,142.91,145.11,5097654,,0.0,0.0
20-10-2021,145.11,147.02,138.77,142.17,5004108,,0.0,0.0
21-10-2021,143.29,144.78,140.82,142.62,2569968,,0.0,0.0
22-10-2021,143.42,147.62,134.03,139.59,4477590,,0.0,0.0
25-10-2021,140.77,141.11,133.54,135.32,4652730,,0.0,0.0
26-10-2021,136.54,146.06,136.54,144.36,6397272,,0.0,0.0
27-10-2021,145.32,146.07,140.82,144.3,4807377,,0.0,0.0
28-10-2021,144.29,144.29,138.13,139.6,3368277,,0.0,0.0
29-10-2021,138.65,145.0,134.55,140.15,5024880,,0.0,0.0
01-11-2021,141.55,144.76,140.36,143.14,3479022,,0.0,0.0
02-11-2021,143.84,144.68,142.0,142.72,2449575,,0.0,0.0
03-11-2021,143.4,145.72,141.41,143.12,4805235,,0.0,0.0
04-11-2021,144.37,148.71,144.16,146.31,3935475,,0.0,0.0
08-11-2021,147.51,148.71,146.28,148.16,3745593,,0.0,0.0
09-11-2021,148.9,150.19,147.55,147.9,3424509,,0.0,0.0
10-11-2021,147.12,152.76,146.17,150.85,7691949,,0.0,0.0
11-11-2021,151.57,151.57,148.5,150.54,3245247,,0.0,0.0
12-11-2021,151.36,151.88,149.24,150.02,4246452,,0.0,0.0
15-11-2021,151.78,161.41,151.78,157.79,22166001,,0.0,0.0
16-11-2021,158.97,165.96,158.97,164.91,17690328,,0.0,0.0
17-11-2021,165.35,168.03,163.13,165.13,10701756,,0.0,0.0
18-11-2021,165.86,171.98,160.31,169.71,16249761,,0.0,0.0
22-11-2021,172.73,173.58,157.18,162.39,15822225,,0.0,0.0
23-11-2021,160.88,170.94,159.28,169.36,12193830,,0.0,0.0
24-11-2021,171.28,173.58,165.74,166.74,9542934,,0.0,0.0
25-11-2021,167.02,170.94,166.17,169.26,5034213,,0.0,0.0
26-11-2021,166.17,167.63,159.29,160.71,7411725,,0.0,0.0
29-11-2021,161.3,167.02,150.88,161.77,9320067,,0.0,0.0
30-11-2021,163.4,169.03,162.62,165.1,11965131,,0.0,0.0
01-12-2021,166.39,177.29,164.23,174.84,22664061,,0.0,0.0
02-12-2021,177.18,205.23,174.85,201.0,62825058,,0.0,0.0
03-12-2021,202.8,206.15,194.75,198.73,40485087,,0.0,0.0
06-12-2021,200.04,207.88,193.16,195.64,30585879,,0.0,0.0
07-12-2021,199.26,208.51,196.77,205.87,17859528,,0.0,0.0
08-12-2021,209.46,223.22,207.76,217.71,40911408,,0.0,0.0
09-12-2021,218.88,221.1,213.38,216.62,12878955,,0.0,0.0
10-12-2021,214.74,228.62,214.55,222.47,25770123,,0.0,0.0
13-12-2021,224.28,231.64,219.1,223.51,20236716,,0.0,0.0
14-12-2021,221.21,245.87,220.68,242.52,38195784,,0.0,0.0
15-12-2021,245.41,251.24,231.38,235.26,49438809,,0.0,0.0
16-12-2021,235.18,237.08,221.09,223.17,16864524,,0.0,0.0
17-12-2021,222.27,223.72,205.6,207.27,14297877,,0.0,0.0
20-12-2021,201.1,205.83,191.05,202.23,14780682,,0.0,0.0
21-12-2021,206.04,208.3,195.81,196.84,7851897,,0.0,0.0
22-12-2021,198.46,204.28,196.97,199.61,5871564,,0.0,0.0
23-12-2021,202.27,203.75,196.53,197.23,4634910,,0.0,0.0
24-12-2021,198.07,202.05,194.01,196.88,5525442,,0.0,0.0
27-12-2021,195.81,198.86,192.63,194.24,4029192,,0.0,0.0
28-12-2021,211.69,214.65,202.93,204.7,18601326,,0.0,0.0
29-12-2021,205.76,207.98,205.55,206.78,4303980,,0.0,0.0
30-12-2021,205.83,206.72,201.1,202.25,6434955,,0.0,0.0
31-12-2021,203.21,205.12,202.37,203.06,3049884,,0.0,0.0
03-01-2022,203.22,203.85,201.27,201.74,3950694,,0.0,0.0
04-01-2022,202.78,204.07,199.83,202.18,3166245,,0.0,0.0
05-01-2022,202.67,203.93,200.26,201.8,3143358,,0.0,0.0
06-01-2022,200.74,206.08,199.17,203.77,5538114,,0.0,0.0
07-01-2022,206.29,210.1,204.49,206.3,9942858,,0.0,0.0
10-01-2022,208.51,208.98,204.23,205.67,4355451,,0.0,0.0
11-01-2022,206.71,211.47,205.81,206.95,6195654,,0.0,0.0
12-01-2022,208.72,209.46,204.65,205.99,3570975,,0.0,0.0
13-01-2022,206.92,221.54,204.54,212.38,37368864,,0.0,0.0
14-01-2022,212.38,219.84,210.49,218.63,12496032,,0.0,0.0
17-01-2022,219.31,220.35,216.06,216.81,5362749,,0.0,0.0
18-01-2022,217.81,221.0,210.77,213.84,8796375,,0.0,0.0
19-01-2022,213.91,227.03,211.26,224.91,17419707,,0.0,0.0
20-01-2022,226.08,231.25,224.18,229.23,13169817,,0.0,0.0
21-01-2022,226.28,232.3,215.68,218.03,16011225,,0.0,0.0
24-01-2022,217.82,219.27,203.75,207.09,11302407,,0.0,0.0
25-01-2022,204.81,213.33,197.47,209.86,10127430,,0.0,0.0
27-01-2022,209.46,214.33,207.03,210.36,9324216,,0.0,0.0
28-01-2022,212.22,217.39,207.02,208.62,6844770,,0.0,0.0
31-01-2022,211.33,213.21,205.97,206.73,5319927,,0.0,0.0
01-02-2022,208.3,213.17,204.49,210.83,4603707,,0.0,0.0
02-02-2022,211.79,220.91,211.7,219.95,9612252,,0.0,0.0
03-02-2022,220.15,234.87,219.95,232.0,22956201,,0.0,0.0
04-02-2022,235.5,238.08,230.42,234.97,14280255,,0.0,0.0
07-02-2022,235.5,235.5,223.21,226.11,10955826,,0.0,0.0
08-02-2022,227.99,231.07,216.99,219.89,10942398,,0.0,0.0
09-02-2022,221.21,242.37,213.27,236.55,47493864,,0.0,0.0
10-02-2022,238.56,246.09,238.15,241.23,22831092,,0.0,0.0
11-02-2022,238.15,245.34,235.25,240.41,12689658,,0.0,0.0
14-02-2022,237.09,237.68,224.4,226.99,11149164,,0.0,0.0
15-02-2022,229.57,234.12,222.51,231.94,12387987,,0.0,0.0
16-02-2022,231.8,242.15,231.59,236.9,13377393,,0.0,0.0
17-02-2022,239.95,248.1,236.77,241.61,21081060,,0.0,0.0
18-02-2022,242.82,246.09,238.15,239.5,11531475,,0.0,0.0
21-02-2022,238.99,238.99,227.67,229.01,11159685,,0.0,0.0
22-02-2022,216.61,223.33,214.86,218.48,10089477,,0.0,0.0
23-02-2022,221.73,227.38,219.31,219.92,7676118,,0.0,0.0
24-02-2022,210.52,212.74,196.75,198.44,18210141,,0.0,0.0
25-02-2022,200.79,209.15,200.79,206.67,10405917,,0.0,0.0
28-02-2022,203.01,209.4,200.24,207.81,8849700,,0.0,0.0
02-03-2022,203.75,214.7,203.33,212.67,9092043,,0.0,0.0
03-03-2022,217.51,223.33,215.93,221.47,8640846,,0.0,0.0
04-03-2022,218.78,226.08,218.58,220.72,9863271,,0.0,0.0
07-03-2022,218.04,219.52,212.85,217.81,7498773,,0.0,0.0
08-03-2022,221.0,226.29,219.21,224.39,6868080,,0.0,0.0
09-03-2022,227.56,234.92,226.4,233.78,8083413,,0.0,0.0
10-03-2022,241.11,280.53,239.73,277.25,65631258,,0.0,0.0
11-03-2022,283.13,303.56,281.4,284.85,87032268,,0.0,0.0
14-03-2022,286.41,329.6,285.26,320.75,68063517,,0.0,0.0
15-03-2022,329.7,332.35,297.81,311.02,33900858,,0.0,0.0
16-03-2022,315.57,322.29,309.59,313.78,14793219,,0.0,0.0
17-03-2022,315.41,318.17,294.3,299.18,22806297,,0.0,0.0
21-03-2022,285.78,313.16,285.78,297.86,15650502,,0.0,3.0
22-03-2022,302.35,307.23,298.16,303.51,6404940,,0.0,0.0
23-03-2022,306.73,309.27,299.7,300.89,3792807,,0.0,0.0
24-03-2022,298.7,300.64,295.3,296.11,2483190,,0.0,0.0
25-03-2022,297.62,298.48,280.0,281.31,4445568,,0.0,0.0
28-03-2022,281.33,293.65,276.01,280.41,5085117,,0.0,0.0
29-03-2022,282.11,288.95,281.33,285.09,2553717,,0.0,0.0
30-03-2022,288.54,304.51,285.78,299.73,4573713,,0.0,0.0
31-03-2022,301.02,304.83,292.13,299.75,4336740,,0.0,0.0
01-04-2022,298.48,298.68,293.4,296.97,3606015,,0.0,0.0
