Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,1424.56,1435.46,1394.38,1403.3,946078,,4.0,0.0
03-08-2021,1407.88,1410.67,1392.69,1397.51,790799,,0.0,0.0
04-08-2021,1398.23,1419.59,1388.59,1393.7,436733,,0.0,0.0
05-08-2021,1398.23,1409.27,1385.7,1394.86,901620,,0.0,0.0
06-08-2021,1398.23,1405.71,1389.07,1394.28,414404,,0.0,0.0
09-08-2021,1400.16,1406.91,1377.98,1387.14,254588,,0.0,0.0
10-08-2021,1393.22,1401.51,1369.59,1385.5,454307,,0.0,0.0
11-08-2021,1388.59,1396.79,1357.97,1390.18,795227,,0.0,0.0
12-08-2021,1394.38,1407.39,1375.57,1398.28,923594,,0.0,0.0
13-08-2021,1409.81,1413.66,1393.03,1398.28,1030312,,0.0,0.0
16-08-2021,1403.05,1410.77,1377.4,1389.84,678741,,0.0,0.0
17-08-2021,1397.08,1407.39,1383.67,1399.15,362506,,0.0,0.0
18-08-2021,1403.05,1436.81,1400.45,1431.41,854268,,0.0,0.0
20-08-2021,1426.2,1441.63,1409.81,1419.69,771225,,0.0,0.0
23-08-2021,1420.41,1436.76,1407.92,1432.85,500489,,0.0,0.0
24-08-2021,1441.63,1450.21,1399.25,1412.94,685910,,0.0,0.0
25-08-2021,1411.73,1427.93,1407.54,1412.17,328010,,0.0,0.0
26-08-2021,1408.94,1431.98,1396.3,1418.63,777720,,0.0,0.0
27-08-2021,1429.91,1511.83,1425.04,1502.09,2896418,,0.0,0.0
30-08-2021,1512.98,1542.88,1509.13,1528.56,1217030,,0.0,0.0
31-08-2021,1528.41,1544.47,1512.65,1537.67,714442,,0.0,0.0
01-09-2021,1542.88,1594.76,1542.88,1575.13,955812,,0.0,0.0
02-09-2021,1552.57,1598.13,1544.71,1570.75,764801,,0.0,0.0
03-09-2021,1570.84,1586.27,1557.63,1571.57,478721,,0.0,0.0
06-09-2021,1586.61,1586.61,1504.84,1507.54,1124382,,0.0,0.0
07-09-2021,1509.47,1540.95,1503.82,1532.95,1089883,,0.0,0.0
08-09-2021,1532.95,1559.51,1524.65,1553.24,752222,,0.0,0.0
09-09-2021,1560.24,1568.38,1546.74,1563.76,370982,,0.0,0.0
13-09-2021,1565.06,1592.93,1552.91,1578.41,621503,,0.0,0.0
14-09-2021,1566.94,1571.42,1522.34,1557.05,1148377,,0.0,0.0
15-09-2021,1549.15,1570.55,1538.01,1553.49,773385,,0.0,0.0
16-09-2021,1566.02,1570.6,1547.99,1558.55,513071,,0.0,0.0
17-09-2021,1557.25,1563.71,1542.88,1546.69,650250,,0.0,0.0
20-09-2021,1532.66,1597.84,1525.52,1570.02,1223575,,0.0,0.0
21-09-2021,1566.02,1583.38,1547.89,1579.57,528009,,0.0,0.0
22-09-2021,1582.32,1615.2,1560.24,1569.59,776299,,0.0,0.0
23-09-2021,1571.76,1578.56,1514.0,1520.46,1539115,,0.0,0.0
24-09-2021,1526.49,1547.55,1521.66,1530.49,976417,,0.0,0.0
27-09-2021,1533.48,1539.02,1496.35,1511.3,856495,,0.0,0.0
28-09-2021,1510.09,1513.9,1490.81,1506.67,509543,,0.0,0.0
29-09-2021,1485.07,1547.75,1485.07,1543.26,779976,,0.0,0.0
30-09-2021,1542.06,1565.59,1526.49,1532.75,733253,,0.0,0.0
01-10-2021,1532.27,1569.88,1505.56,1526.05,953316,,0.0,0.0
04-10-2021,1535.16,1549.58,1511.97,1520.46,387636,,0.0,0.0
05-10-2021,1487.19,1531.31,1486.52,1493.41,3686947,,0.0,0.0
06-10-2021,1503.34,1505.22,1489.36,1498.04,1113928,,0.0,0.0
07-10-2021,1505.95,1510.96,1481.16,1493.27,576382,,0.0,0.0
08-10-2021,1495.63,1498.52,1466.22,1474.8,1293018,,0.0,0.0
11-10-2021,1478.08,1488.35,1463.18,1481.74,731875,,0.0,0.0
12-10-2021,1481.16,1491.38,1465.83,1478.22,635193,,0.0,0.0
13-10-2021,1478.8,1487.05,1459.85,1466.07,847206,,0.0,0.0
14-10-2021,1469.59,1474.41,1459.95,1465.98,423838,,0.0,0.0
18-10-2021,1484.73,1485.02,1463.81,1465.2,516940,,0.0,0.0
19-10-2021,1470.94,1489.46,1461.35,1474.61,674830,,0.0,0.0
20-10-2021,1477.31,1480.2,1443.17,1450.69,844842,,0.0,0.0
21-10-2021,1463.81,1472.2,1431.98,1451.66,553982,,0.0,0.0
22-10-2021,1458.74,1476.05,1438.2,1446.98,941101,,0.0,0.0
25-10-2021,1454.55,1454.55,1422.87,1443.51,373740,,0.0,0.0
26-10-2021,1443.51,1464.67,1440.08,1451.99,398883,,0.0,0.0
27-10-2021,1451.27,1471.47,1441.58,1446.83,874605,,0.0,0.0
28-10-2021,1448.33,1465.73,1408.12,1419.26,449386,,0.0,0.0
29-10-2021,1423.32,1447.44,1387.68,1432.55,358571,,4.0,0.0
01-11-2021,1439.75,1471.57,1429.17,1467.55,517466,,0.0,0.0
02-11-2021,1477.46,1483.41,1453.53,1458.51,714887,,0.0,0.0
03-11-2021,1464.7,1481.28,1459.09,1477.75,388656,,0.0,0.0
04-11-2021,1478.43,1487.13,1473.89,1478.09,31674,,0.0,0.0
08-11-2021,1483.27,1487.08,1455.27,1460.88,773438,,0.0,0.0
09-11-2021,1461.03,1469.73,1455.27,1459.0,332602,,0.0,0.0
10-11-2021,1454.21,1493.9,1450.39,1476.88,1104358,,0.0,0.0
11-11-2021,1476.5,1483.27,1451.45,1457.93,554680,,0.0,0.0
12-11-2021,1468.76,1474.18,1453.29,1460.3,286747,,0.0,0.0
15-11-2021,1466.83,1491.0,1452.9,1485.73,446822,,0.0,0.0
16-11-2021,1492.69,1497.04,1465.14,1469.73,265077,,0.0,0.0
17-11-2021,1461.7,1480.36,1460.83,1478.43,566753,,0.0,0.0
18-11-2021,1478.43,1484.96,1441.2,1462.33,598304,,0.0,0.0
22-11-2021,1461.99,1469.63,1408.81,1413.99,774628,,0.0,0.0
23-11-2021,1401.95,1424.38,1372.07,1410.26,583697,,0.0,0.0
24-11-2021,1411.71,1471.66,1411.71,1438.69,1355957,,0.0,0.0
25-11-2021,1444.59,1459.19,1422.2,1443.57,926456,,0.0,0.0
26-11-2021,1440.72,1445.56,1400.21,1405.57,870438,,0.0,0.0
29-11-2021,1392.37,1411.13,1372.07,1386.81,552009,,0.0,0.0
30-11-2021,1386.91,1406.2,1378.02,1389.81,1428578,,0.0,0.0
01-12-2021,1398.18,1401.85,1386.14,1392.86,397870,,0.0,0.0
02-12-2021,1392.37,1423.75,1389.47,1415.29,515144,,0.0,0.0
03-12-2021,1426.8,1437.24,1386.57,1401.46,1149769,,0.0,0.0
06-12-2021,1402.09,1415.19,1364.33,1372.46,542372,,0.0,0.0
07-12-2021,1377.87,1392.37,1358.48,1369.51,873771,,0.0,0.0
08-12-2021,1386.62,1402.04,1373.52,1397.21,774617,,0.0,0.0
09-12-2021,1397.21,1403.35,1380.43,1390.05,329879,,0.0,0.0
10-12-2021,1395.57,1398.61,1385.03,1392.28,343809,,0.0,0.0
13-12-2021,1393.34,1397.21,1371.1,1373.95,675222,,0.0,0.0
14-12-2021,1376.52,1391.36,1360.37,1387.49,496630,,0.0,0.0
15-12-2021,1382.8,1384.64,1347.8,1354.18,704620,,0.0,0.0
16-12-2021,1360.47,1371.44,1334.65,1361.87,658200,,0.0,0.0
17-12-2021,1360.66,1365.3,1306.32,1313.81,1499248,,0.0,0.0
20-12-2021,1305.35,1312.17,1271.51,1306.7,652830,,0.0,0.0
21-12-2021,1312.12,1341.22,1306.7,1324.3,861852,,0.0,0.0
22-12-2021,1320.73,1337.26,1298.05,1300.71,539391,,0.0,0.0
