Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,48.49,51.93,48.49,51.68,94162013,,0.0,0.0
03-08-2021,51.83,51.93,50.63,51.53,27378933,,0.0,0.0
04-08-2021,51.63,51.78,49.34,49.59,42703575,,0.0,0.0
05-08-2021,48.34,48.34,45.85,47.64,99132575,,0.0,0.0
06-08-2021,48.44,49.39,47.94,49.04,49850352,,0.0,0.0
09-08-2021,48.84,48.99,47.0,47.25,39426913,,0.0,0.0
10-08-2021,47.44,47.54,45.1,45.7,43933750,,0.0,0.0
11-08-2021,45.75,47.05,43.96,46.75,55571095,,0.0,0.0
12-08-2021,46.5,46.65,45.5,45.75,31912922,,0.0,0.0
13-08-2021,46.0,46.25,45.05,45.35,24863835,,0.0,0.0
16-08-2021,44.85,45.55,44.6,44.7,16981980,,0.0,0.0
17-08-2021,44.16,44.95,43.61,44.01,23591111,,0.0,0.0
18-08-2021,44.26,44.95,43.46,44.5,33532201,,0.0,0.0
20-08-2021,43.81,44.01,41.36,41.66,48646738,,0.0,0.0
23-08-2021,41.91,42.46,40.62,40.82,42182140,,0.0,0.0
24-08-2021,41.12,42.96,40.72,42.76,38981298,,0.0,0.0
25-08-2021,42.96,43.31,42.21,42.41,30243270,,0.0,0.0
26-08-2021,42.51,42.76,41.71,42.06,22442384,,0.0,0.0
27-08-2021,42.46,42.81,41.71,42.36,25065857,,0.0,0.0
30-08-2021,42.86,43.81,42.56,43.31,24515423,,0.0,0.0
31-08-2021,43.56,43.56,42.31,42.81,41496912,,0.0,0.0
01-09-2021,42.81,44.45,42.56,44.3,31044253,,0.0,0.0
02-09-2021,44.45,44.9,43.86,44.75,20603198,,0.0,0.0
03-09-2021,45.15,46.2,44.95,45.5,32446332,,0.0,0.0
06-09-2021,45.85,45.85,44.9,45.0,12844249,,0.0,0.0
07-09-2021,45.1,46.5,44.06,46.25,36580052,,0.0,0.0
08-09-2021,46.9,47.49,45.55,46.0,48977773,,0.0,0.0
09-09-2021,46.1,46.85,45.65,46.75,18657990,,0.0,0.0
13-09-2021,46.75,47.35,46.05,46.7,19601326,,0.0,0.0
14-09-2021,46.85,48.34,46.75,47.79,23597971,,0.0,0.0
15-09-2021,47.84,49.19,47.39,48.49,39497470,,0.0,0.0
16-09-2021,49.74,51.43,48.64,50.78,86642328,,0.0,0.0
17-09-2021,51.18,51.18,47.99,48.99,54635302,,0.0,0.0
20-09-2021,48.54,49.79,47.44,47.69,26594830,,0.0,0.0
21-09-2021,47.84,48.59,46.85,48.34,28439822,,0.0,0.0
22-09-2021,48.44,48.74,47.99,48.34,16221167,,0.0,0.0
23-09-2021,48.84,49.49,48.19,48.34,22327222,,0.0,0.0
24-09-2021,48.54,48.94,46.4,46.95,32377216,,0.0,0.0
27-09-2021,47.05,47.69,46.55,46.7,19134961,,0.0,0.0
28-09-2021,46.85,47.15,45.2,46.1,35617298,,0.0,0.0
29-09-2021,46.1,48.49,45.6,48.14,35169381,,0.0,0.0
30-09-2021,48.19,49.04,47.15,47.49,31089569,,0.0,0.0
01-10-2021,47.05,47.49,46.4,47.2,22538570,,0.0,0.0
04-10-2021,47.64,47.94,47.2,47.49,18145338,,0.0,0.0
05-10-2021,47.49,48.39,47.05,47.79,27725232,,0.0,0.0
