Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,307.11,307.83,302.21,303.17,1163420,,0.0,0.0
03-08-2021,303.75,306.16,300.13,300.99,911395,,0.0,0.0
04-08-2021,303.18,303.78,294.58,299.15,1257320,,0.0,0.0
05-08-2021,300.66,309.27,293.47,306.92,1844230,,0.0,0.0
06-08-2021,306.99,311.14,303.99,306.03,1358000,,0.0,0.0
09-08-2021,308.47,308.52,298.23,299.22,717290,,0.0,0.0
10-08-2021,301.66,305.64,290.08,291.45,2264790,,0.0,0.0
11-08-2021,292.9,293.69,283.6,289.56,1253145,,0.0,0.0
12-08-2021,290.99,292.33,286.25,287.55,1583965,,0.0,0.0
13-08-2021,289.03,290.72,284.14,286.22,1550315,,0.0,0.0
16-08-2021,286.45,288.1,281.76,284.37,2221725,,0.0,0.0
17-08-2021,284.88,285.66,281.47,282.39,1139825,,0.0,0.0
18-08-2021,282.61,293.99,282.42,286.52,2865850,,0.0,0.0
20-08-2021,283.57,286.59,281.85,284.49,1213470,,0.0,0.0
23-08-2021,286.04,288.32,279.01,281.6,719720,,0.0,0.0
24-08-2021,281.68,284.12,276.14,278.55,1802220,,0.0,0.0
25-08-2021,280.69,284.14,278.05,279.33,1975150,,0.0,0.0
26-08-2021,284.37,295.8,284.37,290.87,4468650,,5.52,0.0
27-08-2021,292.69,295.99,288.32,289.44,4313070,,0.0,0.0
30-08-2021,290.94,303.37,290.93,295.08,6459550,,0.0,0.0
31-08-2021,298.13,301.23,291.72,294.54,3230510,,0.0,0.0
01-09-2021,295.87,296.4,289.39,291.34,2360770,,0.0,0.0
02-09-2021,292.4,302.2,291.54,299.85,3365335,,0.0,0.0
03-09-2021,302.69,315.4,301.81,309.17,10662555,,0.0,0.0
06-09-2021,311.91,326.08,307.65,319.03,10887215,,0.0,0.0
07-09-2021,319.49,326.02,312.2,318.1,5481010,,0.0,0.0
08-09-2021,319.86,323.53,313.85,315.94,2912825,,0.0,0.0
09-09-2021,316.56,323.94,315.4,322.48,4162350,,0.0,0.0
13-09-2021,322.97,323.61,315.07,316.23,2302250,,0.0,0.0
14-09-2021,316.76,318.7,312.68,313.17,2502210,,0.0,0.0
15-09-2021,312.88,316.1,309.58,312.36,1947975,,0.0,0.0
