Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,1124.7,1132.7,1099.8,1103.25,899835,,0.0,0.0
03-08-2021,1107.0,1131.0,1087.0,1124.7,895538,,0.0,0.0
04-08-2021,1134.5,1140.0,1104.15,1108.5,1582480,,0.0,0.0
05-08-2021,1110.9,1110.9,1073.6,1081.75,706422,,0.0,0.0
06-08-2021,1084.7,1108.35,1081.0,1088.1,493425,,0.0,0.0
09-08-2021,1089.9,1100.0,1052.45,1067.1,385184,,0.0,0.0
10-08-2021,1076.75,1092.4,1000.0,1028.25,1904182,,0.0,0.0
11-08-2021,1016.55,1081.1,1010.25,1061.95,1802433,,0.0,0.0
12-08-2021,1057.8,1109.0,1032.8,1078.9,1144931,,0.0,0.0
13-08-2021,1085.15,1098.4,1066.45,1078.6,538719,,0.0,0.0
16-08-2021,1080.0,1082.8,1048.25,1054.5,921559,,0.0,0.0
17-08-2021,1046.5,1082.4,1044.0,1077.4,611438,,0.0,0.0
18-08-2021,1077.0,1085.0,1059.3,1066.8,723108,,0.0,0.0
20-08-2021,1050.0,1075.3,1032.05,1036.4,582652,,0.0,0.0
23-08-2021,1040.05,1083.0,1034.3,1041.05,1301351,,0.0,0.0
24-08-2021,1052.0,1056.65,1019.15,1043.8,1859658,,0.0,0.0
25-08-2021,1054.7,1061.6,1017.05,1021.35,593752,,0.0,0.0
26-08-2021,1013.35,1038.7,1013.35,1024.45,490524,,0.0,0.0
27-08-2021,1025.0,1036.1,1009.0,1019.8,617699,,0.0,0.0
30-08-2021,1024.8,1069.95,1016.5,1063.3,855063,,0.0,0.0
31-08-2021,1061.0,1094.0,1059.3,1088.15,913776,,0.0,0.0
01-09-2021,1089.0,1102.55,1070.0,1074.1,705333,,0.0,0.0
02-09-2021,1077.95,1100.75,1043.0,1086.8,1051640,,0.0,0.0
03-09-2021,1092.5,1099.3,1048.0,1066.9,859737,,0.0,0.0
06-09-2021,1070.0,1090.95,1069.05,1071.6,738029,,0.0,0.0
07-09-2021,1076.95,1112.65,1061.35,1090.95,1418888,,0.0,0.0
08-09-2021,1091.0,1105.0,1074.25,1089.6,833192,,0.0,0.0
09-09-2021,1075.0,1097.0,1075.0,1085.35,538913,,0.0,0.0
13-09-2021,1094.0,1111.65,1070.5,1094.9,590667,,0.0,0.0
14-09-2021,1101.0,1115.4,1088.1,1093.7,628172,,0.0,0.0
15-09-2021,1098.8,1137.0,1093.95,1130.85,1122884,,0.0,0.0
16-09-2021,1128.0,1136.45,1101.0,1104.45,473774,,0.0,0.0
17-09-2021,1114.1,1122.75,1073.0,1081.7,3421832,,0.0,0.0
20-09-2021,1080.1,1080.1,1041.95,1048.0,616108,,0.0,0.0
21-09-2021,1050.0,1056.9,1028.75,1046.35,536055,,0.0,0.0
22-09-2021,1050.0,1066.0,1035.1,1039.2,270710,,0.0,0.0
23-09-2021,1054.8,1054.8,1022.85,1041.2,730906,,0.0,0.0
24-09-2021,1052.0,1065.0,1041.0,1045.25,748894,,0.0,0.0
27-09-2021,1050.0,1056.1,1019.25,1030.05,972222,,0.0,0.0
28-09-2021,1026.0,1034.8,983.2,1003.0,937602,,0.0,0.0
29-09-2021,986.0,1008.65,982.05,1004.3,1336616,,0.0,0.0
30-09-2021,1009.6,1026.0,997.7,1014.3,785594,,0.0,0.0
01-10-2021,1017.15,1024.45,993.75,1012.75,901962,,0.0,0.0
04-10-2021,1013.45,1028.2,1010.5,1019.35,398371,,0.0,0.0
05-10-2021,1024.0,1026.8,1004.7,1015.2,473749,,0.0,0.0
06-10-2021,1018.0,1045.6,1013.0,1020.85,1305712,,0.0,0.0
