Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
18-11-2021,1950.0,1955.0,1560.0,1560.8,23955434,,0.0,0.0
22-11-2021,1509.0,1519.0,1271.0,1359.6,25114710,,0.0,0.0
23-11-2021,1360.0,1525.0,1360.0,1494.7,12954174,,0.0,0.0
24-11-2021,1503.0,1785.0,1502.95,1752.45,21541021,,0.0,0.0
25-11-2021,1766.7,1873.7,1711.1,1798.75,13018344,,0.0,0.0
26-11-2021,1760.0,1832.0,1663.0,1782.6,6527364,,0.0,0.0
29-11-2021,1700.0,1810.0,1700.0,1736.45,4564112,,0.0,0.0
30-11-2021,1729.95,1770.0,1678.2,1699.6,2200149,,0.0,0.0
01-12-2021,1715.0,1725.0,1629.15,1636.7,1294466,,0.0,0.0
02-12-2021,1642.0,1671.65,1592.0,1600.85,1089716,,0.0,0.0
03-12-2021,1615.0,1698.0,1601.0,1648.35,1322036,,0.0,0.0
06-12-2021,1658.0,1680.05,1598.7,1604.45,632800,,0.0,0.0
07-12-2021,1623.35,1635.0,1571.0,1577.5,631249,,0.0,0.0
08-12-2021,1590.25,1610.0,1546.25,1553.4,726491,,0.0,0.0
09-12-2021,1550.0,1644.7,1525.1,1593.95,2849040,,0.0,0.0
10-12-2021,1605.0,1609.0,1563.0,1567.55,845711,,0.0,0.0
13-12-2021,1578.0,1578.75,1546.1,1555.05,740610,,0.0,0.0
14-12-2021,1547.0,1555.05,1490.75,1496.05,1386088,,0.0,0.0
15-12-2021,1421.3,1429.95,1296.0,1379.95,13139593,,0.0,0.0
16-12-2021,1435.0,1435.0,1390.55,1399.35,2323522,,0.0,0.0
17-12-2021,1411.0,1411.0,1307.0,1321.0,2503637,,0.0,0.0
20-12-2021,1321.0,1327.6,1290.0,1304.0,1740923,,0.0,0.0
21-12-2021,1306.0,1348.95,1306.0,1311.45,995207,,0.0,0.0
22-12-2021,1348.1,1350.0,1330.55,1342.2,966463,,0.0,0.0
23-12-2021,1358.45,1385.0,1344.0,1348.8,1268283,,0.0,0.0
24-12-2021,1348.7,1381.0,1331.15,1369.55,1340599,,0.0,0.0
27-12-2021,1365.0,1365.35,1335.3,1344.95,717268,,0.0,0.0
28-12-2021,1350.0,1364.2,1345.0,1353.5,1112292,,0.0,0.0
29-12-2021,1353.5,1379.15,1340.0,1341.55,1096725,,0.0,0.0
30-12-2021,1330.0,1350.0,1325.1,1327.95,806752,,0.0,0.0
31-12-2021,1336.0,1347.8,1330.05,1334.55,407521,,0.0,0.0
03-01-2022,1335.0,1346.85,1335.0,1339.8,502075,,0.0,0.0
04-01-2022,1350.0,1350.0,1313.0,1317.75,1588242,,0.0,0.0
05-01-2022,1323.5,1325.7,1285.35,1288.35,1731917,,0.0,0.0
06-01-2022,1287.0,1287.0,1251.0,1254.05,1765486,,0.0,0.0
07-01-2022,1265.0,1265.0,1230.0,1231.6,1807539,,0.0,0.0
10-01-2022,1230.0,1230.0,1152.05,1158.05,4560745,,0.0,0.0
11-01-2022,1165.0,1215.0,1113.65,1119.65,6462743,,0.0,0.0
12-01-2022,1124.0,1133.85,1075.0,1082.7,6400253,,0.0,0.0
13-01-2022,1085.0,1087.9,1025.0,1031.8,5750658,,0.0,0.0
14-01-2022,1025.0,1128.0,1000.0,1118.6,16212066,,0.0,0.0
17-01-2022,1127.7,1145.9,1092.0,1105.3,5521603,,0.0,0.0
18-01-2022,1105.5,1118.45,1030.0,1041.65,4933836,,0.0,0.0
19-01-2022,1044.85,1051.9,990.0,997.35,7289774,,0.0,0.0
20-01-2022,1013.0,1036.1,990.0,995.35,4846568,,0.0,0.0
21-01-2022,995.05,999.3,952.3,960.3,4328259,,0.0,0.0
24-01-2022,960.3,960.3,881.05,917.45,7942445,,0.0,0.0
25-01-2022,900.0,938.0,875.0,914.8,6091452,,0.0,0.0
27-01-2022,904.0,913.0,881.0,893.7,2459507,,0.0,0.0
28-01-2022,900.4,923.9,900.0,903.05,2209828,,0.0,0.0
31-01-2022,920.0,932.0,911.0,916.85,1609589,,0.0,0.0
01-02-2022,925.0,977.0,921.2,965.6,5469324,,0.0,0.0
02-02-2022,975.0,994.0,950.1,957.1,2672904,,0.0,0.0
03-02-2022,959.0,959.0,940.05,944.5,1410694,,0.0,0.0
04-02-2022,950.35,961.9,946.05,953.3,1272194,,0.0,0.0
07-02-2022,941.0,984.5,881.3,957.55,3854849,,0.0,0.0
08-02-2022,965.75,976.75,931.75,937.95,1760398,,0.0,0.0
09-02-2022,948.75,955.0,936.2,941.5,833193,,0.0,0.0
10-02-2022,958.75,958.75,935.75,938.35,1036415,,0.0,0.0
11-02-2022,933.0,934.45,903.0,906.5,1272179,,0.0,0.0
14-02-2022,895.95,895.95,860.0,863.5,1866242,,0.0,0.0
15-02-2022,874.0,884.45,840.0,851.5,2446406,,0.0,0.0
16-02-2022,865.0,883.3,856.0,861.35,2793265,,0.0,0.0
17-02-2022,865.0,869.8,845.25,849.95,1362229,,0.0,0.0
18-02-2022,844.8,848.0,831.0,833.4,1325802,,0.0,0.0
21-02-2022,832.5,834.0,805.0,807.7,1975577,,0.0,0.0
22-02-2022,800.0,834.65,785.0,815.9,3701578,,0.0,0.0
23-02-2022,823.0,837.05,815.25,821.95,1575013,,0.0,0.0
24-02-2022,790.0,802.85,771.15,777.75,1917591,,0.0,0.0
25-02-2022,801.1,806.7,785.8,789.35,1460303,,0.0,0.0
28-02-2022,785.8,806.9,772.4,798.1,1334742,,0.0,0.0
02-03-2022,789.0,806.65,783.55,797.2,1697859,,0.0,0.0
03-03-2022,805.45,817.45,791.75,796.3,1254749,,0.0,0.0
04-03-2022,787.0,798.55,782.25,784.85,1020058,,0.0,0.0
07-03-2022,774.85,778.0,751.0,753.45,1157890,,0.0,0.0
08-03-2022,753.0,764.95,728.05,737.75,1808389,,0.0,0.0
09-03-2022,750.0,759.8,742.1,749.85,1399649,,0.0,0.0
10-03-2022,766.5,795.8,761.0,775.6,2236562,,0.0,0.0
11-03-2022,771.0,781.0,766.6,775.05,919363,,0.0,0.0
14-03-2022,675.0,719.0,661.5,674.8,15155319,,0.0,0.0
15-03-2022,695.05,703.35,584.55,592.45,23922506,,0.0,0.0
16-03-2022,597.0,648.65,572.0,634.05,33733481,,0.0,0.0
17-03-2022,633.0,637.0,590.0,597.05,16758410,,0.0,0.0
21-03-2022,595.0,595.0,560.1,565.7,12853207,,0.0,0.0
22-03-2022,565.75,590.45,540.35,544.0,26111441,,0.0,0.0
23-03-2022,552.0,562.0,521.0,524.3,8888824,,0.0,0.0
24-03-2022,522.0,595.0,521.1,574.35,24014616,,0.0,0.0
25-03-2022,577.6,588.0,541.15,546.0,8790875,,0.0,0.0
28-03-2022,552.0,554.0,532.8,535.55,3748018,,0.0,0.0
29-03-2022,540.0,546.9,523.5,524.8,4147495,,0.0,0.0
30-03-2022,530.0,549.05,529.05,541.3,5146752,,0.0,0.0
31-03-2022,546.7,548.85,525.5,528.45,4345898,,0.0,0.0
01-04-2022,532.0,582.45,530.0,571.3,15351166,,0.0,0.0
04-04-2022,579.0,619.9,572.4,610.55,15909548,,0.0,0.0
05-04-2022,613.75,629.25,603.1,609.05,8883858,,0.0,0.0
06-04-2022,602.95,648.9,595.1,637.2,17324330,,0.0,0.0
07-04-2022,648.0,657.4,615.6,624.15,7970783,,0.0,0.0
08-04-2022,627.0,634.4,613.6,616.95,4395328,,0.0,0.0
11-04-2022,619.0,699.0,616.5,687.65,21571690,,0.0,0.0
12-04-2022,691.0,719.7,678.75,699.1,20061815,,0.0,0.0
13-04-2022,702.7,713.1,685.25,691.2,6132101,,0.0,0.0
18-04-2022,682.7,683.45,654.3,661.35,4968319,,0.0,0.0
19-04-2022,672.0,694.5,634.0,656.65,8060454,,0.0,0.0
20-04-2022,660.0,674.5,636.3,639.35,5258416,,0.0,0.0
21-04-2022,653.95,659.25,638.4,641.15,3304115,,0.0,0.0
22-04-2022,644.6,654.9,622.3,625.6,4460340,,0.0,0.0
25-04-2022,620.0,620.0,596.5,599.05,4351211,,0.0,0.0
26-04-2022,610.0,623.0,604.0,613.4,4758850,,0.0,0.0
27-04-2022,609.4,609.45,590.0,592.1,3000929,,0.0,0.0
28-04-2022,600.0,603.75,580.4,582.25,3173879,,0.0,0.0
29-04-2022,589.65,595.25,580.0,581.65,2695346,,0.0,0.0
02-05-2022,577.85,608.35,573.1,601.1,5757317,,0.0,0.0
04-05-2022,606.95,608.7,580.0,583.2,3216143,,0.0,0.0
05-05-2022,590.0,592.8,572.0,575.2,2061060,,0.0,0.0
06-05-2022,561.0,576.0,546.65,568.0,3140474,,0.0,0.0
09-05-2022,563.7,563.7,553.0,556.2,1721887,,0.0,0.0
10-05-2022,558.2,573.0,535.0,545.8,2371281,,0.0,0.0
11-05-2022,555.0,555.0,518.55,530.6,3062907,,0.0,0.0
12-05-2022,526.0,526.9,510.05,515.9,2218786,,0.0,0.0
13-05-2022,523.0,555.75,517.05,543.15,4288609,,0.0,0.0
16-05-2022,555.0,599.4,547.6,591.5,5561715,,0.0,0.0
17-05-2022,590.0,602.9,577.65,585.7,4008281,,0.0,0.0
18-05-2022,584.3,606.3,580.0,588.2,3511716,,0.0,0.0
19-05-2022,560.0,571.75,550.0,553.75,2059220,,0.0,0.0
20-05-2022,563.55,582.25,561.3,575.5,2176827,,0.0,0.0
23-05-2022,561.0,631.5,552.0,619.35,16047559,,0.0,0.0
24-05-2022,619.35,651.7,611.0,646.45,10113753,,0.0,0.0
25-05-2022,647.0,652.0,571.55,594.1,6316785,,0.0,0.0
26-05-2022,594.0,610.1,575.35,606.0,5162570,,0.0,0.0
27-05-2022,607.0,624.0,604.0,616.3,3765017,,0.0,0.0
30-05-2022,622.0,647.65,620.35,643.5,3499929,,0.0,0.0
31-05-2022,642.0,664.0,633.5,652.95,5336623,,0.0,0.0
01-06-2022,656.0,676.9,648.3,654.4,3701972,,0.0,0.0
02-06-2022,654.4,661.0,632.1,634.3,2589114,,0.0,0.0
03-06-2022,642.6,645.0,620.75,623.45,2082406,,0.0,0.0
06-06-2022,616.0,620.6,603.5,614.5,1874878,,0.0,0.0
07-06-2022,621.4,627.95,614.2,617.8,2044146,,0.0,0.0
08-06-2022,619.25,639.4,610.8,615.3,3133160,,0.0,0.0
09-06-2022,611.8,631.8,609.05,623.15,2369538,,0.0,0.0
10-06-2022,615.0,619.0,594.0,600.5,1877042,,0.0,0.0
13-06-2022,590.0,597.4,578.0,582.25,2395179,,0.0,0.0
14-06-2022,585.0,612.7,582.85,606.5,3938122,,0.0,0.0
15-06-2022,614.8,625.0,611.9,617.1,3006923,,0.0,0.0
16-06-2022,626.0,645.0,607.2,613.95,6798025,,0.0,0.0
17-06-2022,613.0,648.0,599.55,630.15,9659716,,0.0,0.0
20-06-2022,642.0,654.0,619.55,644.35,4794450,,0.0,0.0
21-06-2022,655.0,659.0,631.75,638.5,2866888,,0.0,0.0
22-06-2022,639.0,639.0,618.2,621.7,1386867,,0.0,0.0
23-06-2022,621.7,634.9,621.15,628.0,1446201,,0.0,0.0
24-06-2022,631.95,653.85,631.4,648.05,3062627,,0.0,0.0
27-06-2022,651.05,709.0,651.05,701.35,11237251,,0.0,0.0
28-06-2022,702.15,723.6,701.4,707.1,9391690,,0.0,0.0
29-06-2022,696.95,713.8,690.2,705.65,4190996,,0.0,0.0
30-06-2022,706.65,717.95,667.8,675.7,3822925,,0.0,0.0
01-07-2022,672.9,675.7,652.0,657.0,3069693,,0.0,0.0
04-07-2022,660.05,668.4,632.0,644.75,3931884,,0.0,0.0
05-07-2022,649.0,661.8,642.6,656.25,2579166,,0.0,0.0
06-07-2022,658.0,697.15,656.3,690.75,4018397,,0.0,0.0
07-07-2022,697.6,704.65,686.85,690.75,2710786,,0.0,0.0
08-07-2022,695.0,706.0,692.0,698.75,1878051,,0.0,0.0
11-07-2022,703.0,719.0,697.45,709.6,3828657,,0.0,0.0
12-07-2022,709.65,709.65,692.0,697.1,1708504,,0.0,0.0
13-07-2022,703.8,718.8,701.2,707.75,2324425,,0.0,0.0
14-07-2022,713.65,739.15,708.25,718.35,6904585,,0.0,0.0
15-07-2022,723.2,728.0,698.6,709.35,2763841,,0.0,0.0
18-07-2022,715.0,735.0,708.65,731.05,2492843,,0.0,0.0
19-07-2022,731.0,743.35,726.05,737.4,2653661,,0.0,0.0
20-07-2022,742.0,744.45,731.65,736.65,1771276,,0.0,0.0
21-07-2022,738.0,749.4,735.05,745.0,1723686,,0.0,0.0
22-07-2022,745.0,748.75,736.55,743.05,1337343,,0.0,0.0
25-07-2022,737.7,763.3,726.5,758.0,2251194,,0.0,0.0
26-07-2022,753.0,759.4,678.1,698.9,5503379,,0.0,0.0
27-07-2022,696.9,719.05,692.0,713.8,2363631,,0.0,0.0
28-07-2022,717.4,721.95,709.5,715.7,1351203,,0.0,0.0
29-07-2022,720.0,728.0,702.0,706.8,1919162,,0.0,0.0
01-08-2022,708.0,750.95,707.45,744.35,2436670,,0.0,0.0
02-08-2022,744.0,770.0,739.0,755.7,2997094,,0.0,0.0
03-08-2022,760.7,813.95,740.75,804.55,8520660,,0.0,0.0
04-08-2022,805.3,825.0,779.8,809.05,6208743,,0.0,0.0
05-08-2022,812.0,816.7,775.25,784.3,3595195,,0.0,0.0
08-08-2022,784.0,844.7,776.15,834.95,11165166,,0.0,0.0
10-08-2022,839.0,841.45,821.25,826.75,2508568,,0.0,0.0
11-08-2022,830.0,842.0,821.05,825.8,1651453,,0.0,0.0
12-08-2022,815.95,815.95,775.0,787.3,6972073,,0.0,0.0
16-08-2022,789.8,798.25,780.0,783.9,1862999,,0.0,0.0
17-08-2022,790.0,799.9,782.05,784.7,1673131,,0.0,0.0
18-08-2022,789.0,794.8,782.5,786.2,1401288,,0.0,0.0
19-08-2022,792.4,793.0,766.85,772.1,1365113,,0.0,0.0
22-08-2022,790.0,800.0,773.3,776.35,3531632,,0.0,0.0
23-08-2022,776.75,785.0,771.5,776.2,1019323,,0.0,0.0
24-08-2022,779.7,782.0,766.0,768.3,855183,,0.0,0.0
25-08-2022,775.7,781.0,765.75,768.7,820577,,0.0,0.0
26-08-2022,773.0,776.75,760.0,762.05,692901,,0.0,0.0
29-08-2022,747.0,747.4,723.1,726.4,1290417,,0.0,0.0
30-08-2022,739.0,739.0,714.1,717.85,1730862,,0.0,0.0
01-09-2022,717.85,736.0,716.8,732.35,1323093,,0.0,0.0
02-09-2022,733.0,739.7,725.0,727.2,1128361,,0.0,0.0
05-09-2022,700.0,718.1,681.0,708.7,2741103,,0.0,0.0
06-09-2022,716.0,724.75,706.3,709.45,1221573,,0.0,0.0
07-09-2022,707.0,715.45,703.6,706.75,758791,,0.0,0.0
08-09-2022,713.75,718.95,705.0,707.0,748399,,0.0,0.0
09-09-2022,713.75,740.0,708.2,727.9,2048848,,0.0,0.0
12-09-2022,730.0,748.0,725.0,736.65,1511858,,0.0,0.0
13-09-2022,739.9,743.55,733.0,735.7,784495,,0.0,0.0
14-09-2022,724.0,732.95,711.95,725.65,1385890,,0.0,0.0
15-09-2022,730.0,736.8,720.0,729.75,826887,,0.0,0.0
16-09-2022,730.0,731.2,686.85,718.6,2351957,,0.0,0.0
19-09-2022,720.5,725.0,702.0,706.95,967978,,0.0,0.0
20-09-2022,710.1,714.8,690.55,697.45,892041,,0.0,0.0
21-09-2022,699.95,705.0,680.7,684.55,854832,,0.0,0.0
22-09-2022,683.0,692.4,680.05,685.0,613123,,0.0,0.0
23-09-2022,706.0,707.0,688.0,692.6,1573621,,0.0,0.0
26-09-2022,691.1,692.6,651.0,657.5,881195,,0.0,0.0
27-09-2022,665.0,671.1,657.0,660.0,512978,,0.0,0.0
28-09-2022,660.0,664.0,639.1,643.2,632376,,0.0,0.0
29-09-2022,655.0,655.0,629.55,632.15,649589,,0.0,0.0
30-09-2022,637.65,649.3,631.15,637.95,863947,,0.0,0.0
03-10-2022,644.75,665.9,641.75,660.0,1617989,,0.0,0.0
04-10-2022,670.9,677.35,664.1,674.95,743798,,0.0,0.0
06-10-2022,679.95,693.75,676.6,688.6,894531,,0.0,0.0
07-10-2022,688.6,711.15,687.1,707.45,1304985,,0.0,0.0
10-10-2022,707.0,745.45,703.25,727.25,3150552,,0.0,0.0
11-10-2022,729.95,737.35,705.9,708.1,1077900,,0.0,0.0
12-10-2022,713.0,715.45,697.0,700.7,693019,,0.0,0.0
13-10-2022,704.0,704.75,684.0,686.1,616004,,0.0,0.0
14-10-2022,698.2,698.7,676.6,681.5,633179,,0.0,0.0
17-10-2022,676.0,680.8,670.5,672.55,516956,,0.0,0.0
18-10-2022,677.0,680.75,660.0,662.45,747176,,0.0,0.0
19-10-2022,663.9,664.75,651.0,652.45,708624,,0.0,0.0
