Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
15-11-2021,1150.0,1248.9,1149.0,1202.3,36379065,,0.0,0.0
16-11-2021,1210.0,1434.0,1210.0,1341.9,14456023,,0.0,0.0
17-11-2021,1350.0,1470.0,1342.0,1447.95,7068789,,0.0,0.0
18-11-2021,1440.0,1464.8,1302.55,1332.35,5505748,,0.0,0.0
22-11-2021,1332.0,1332.0,1190.1,1237.55,3843305,,0.0,0.0
23-11-2021,1230.0,1279.0,1210.0,1214.85,1275807,,0.0,0.0
24-11-2021,1228.8,1328.4,1227.0,1303.85,2005083,,0.0,0.0
25-11-2021,1315.0,1339.0,1245.2,1260.65,1623994,,0.0,0.0
26-11-2021,1254.0,1308.0,1210.0,1273.45,1075975,,0.0,0.0
29-11-2021,1251.0,1300.0,1212.0,1229.8,523928,,0.0,0.0
30-11-2021,1244.25,1288.0,1210.0,1215.6,553534,,0.0,0.0
01-12-2021,1247.0,1274.0,1206.3,1214.25,601108,,0.0,0.0
02-12-2021,1224.0,1235.3,1210.0,1213.8,278094,,0.0,0.0
03-12-2021,1215.0,1224.75,1210.0,1210.6,323950,,0.0,0.0
06-12-2021,1214.8,1217.85,1121.3,1146.75,1131799,,0.0,0.0
07-12-2021,1163.0,1198.0,1163.0,1190.6,1045117,,0.0,0.0
08-12-2021,1200.0,1200.0,1170.0,1187.65,303568,,0.0,0.0
09-12-2021,1190.0,1190.05,1126.1,1131.25,427828,,0.0,0.0
10-12-2021,1124.75,1160.0,1120.85,1134.75,486075,,0.0,0.0
13-12-2021,1101.0,1173.95,1075.65,1153.0,2879984,,0.0,0.0
14-12-2021,1153.0,1164.6,1100.0,1125.65,1668073,,0.0,0.0
15-12-2021,1127.0,1136.05,1096.25,1119.55,918448,,0.0,0.0
16-12-2021,1120.0,1144.0,1093.2,1101.85,864396,,0.0,0.0
17-12-2021,1105.0,1111.55,1068.1,1083.75,771974,,0.0,0.0
20-12-2021,1058.0,1074.55,885.0,939.15,2343482,,0.0,0.0
21-12-2021,985.0,1005.0,950.0,955.7,1536838,,0.0,0.0
22-12-2021,985.0,994.25,968.0,980.15,791622,,0.0,0.0
23-12-2021,991.95,991.95,973.3,979.6,327842,,0.0,0.0
24-12-2021,985.0,990.0,975.0,983.05,433142,,0.0,0.0
27-12-2021,975.0,981.9,955.0,977.35,366675,,0.0,0.0
28-12-2021,987.1,998.0,931.0,969.8,545088,,0.0,0.0
29-12-2021,961.0,980.0,952.35,961.45,466660,,0.0,0.0
30-12-2021,959.0,965.2,925.0,929.05,457837,,0.0,0.0
31-12-2021,942.0,970.0,942.0,950.3,519564,,0.0,0.0
03-01-2022,957.9,965.55,940.85,952.3,160883,,0.0,0.0
04-01-2022,958.0,972.05,955.05,965.05,359709,,0.0,0.0
05-01-2022,968.0,968.0,933.0,942.7,401811,,0.0,0.0
06-01-2022,942.65,946.8,885.0,890.6,964964,,0.0,0.0
07-01-2022,894.0,900.7,885.1,894.2,351858,,0.0,0.0
10-01-2022,900.0,906.7,885.35,899.75,280299,,0.0,0.0
11-01-2022,929.0,929.4,856.85,860.55,1060408,,0.0,0.0
12-01-2022,862.0,892.0,860.35,871.7,679115,,0.0,0.0
13-01-2022,878.0,921.0,875.0,918.15,1119049,,0.0,0.0
14-01-2022,900.0,951.0,898.35,941.4,896371,,0.0,0.0
17-01-2022,945.0,1052.95,942.15,1022.6,1856173,,0.0,0.0
18-01-2022,1022.5,1027.0,980.1,998.8,702679,,0.0,0.0
19-01-2022,999.5,999.7,923.85,929.25,962903,,0.0,0.0
20-01-2022,935.9,948.55,910.0,915.4,407879,,0.0,0.0
21-01-2022,915.0,915.0,858.25,864.25,675052,,0.0,0.0
24-01-2022,858.9,858.9,765.15,777.15,1403932,,0.0,0.0
25-01-2022,776.7,809.0,725.25,777.55,1869594,,0.0,0.0
27-01-2022,765.0,768.6,726.0,735.45,619828,,0.0,0.0
28-01-2022,748.0,848.7,742.3,789.05,2854019,,0.0,0.0
31-01-2022,800.0,818.65,771.0,795.05,750049,,0.0,0.0
01-02-2022,807.0,874.0,802.4,862.4,2150489,,0.0,0.0
02-02-2022,867.0,905.0,862.4,900.8,1016948,,0.0,0.0
03-02-2022,899.9,940.0,877.0,936.5,1199771,,0.0,0.0
04-02-2022,940.5,972.4,928.0,941.6,891994,,0.0,0.0
07-02-2022,929.5,929.9,883.3,892.15,259054,,0.0,0.0
08-02-2022,864.0,908.35,848.0,886.95,785891,,0.0,0.0
09-02-2022,892.0,933.5,888.25,926.25,337890,,0.0,0.0
10-02-2022,928.0,932.05,787.3,868.1,464755,,0.0,0.0
11-02-2022,840.0,840.05,774.4,778.9,8762784,,0.0,0.0
14-02-2022,750.0,770.0,750.0,763.95,510988,,0.0,0.0
15-02-2022,776.0,798.0,772.0,788.7,650259,,0.0,0.0
16-02-2022,788.5,795.65,771.0,775.7,723133,,0.0,0.0
17-02-2022,782.6,787.1,753.3,763.35,344433,,0.0,0.0
18-02-2022,754.0,762.0,744.1,751.55,367620,,0.0,0.0
21-02-2022,748.85,757.25,718.05,727.7,402884,,0.0,0.0
22-02-2022,712.25,712.25,664.55,686.9,944296,,0.0,0.0
23-02-2022,690.0,703.6,670.0,676.35,547472,,0.0,0.0
24-02-2022,641.0,674.9,618.0,660.4,988597,,0.0,0.0
25-02-2022,675.0,695.0,653.0,666.4,1022926,,0.0,0.0
28-02-2022,665.0,669.55,650.05,662.05,538236,,0.0,0.0
02-03-2022,657.9,662.0,630.35,644.15,1308729,,0.0,0.0
03-03-2022,649.0,675.55,645.45,659.6,2159350,,0.0,0.0
