Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,1020.96,1027.31,1013.05,1023.52,1149473,,0.0,0.0
03-08-2021,1023.52,1034.15,1021.95,1031.78,1086325,,0.0,0.0
04-08-2021,1031.78,1036.16,1008.28,1018.06,1309497,,0.0,0.0
05-08-2021,1021.75,1021.75,999.18,1014.33,816327,,0.0,0.0
06-08-2021,1014.08,1014.37,992.88,1002.18,967564,,0.0,0.0
09-08-2021,1005.23,1018.26,1000.31,1010.29,811299,,0.0,0.0
10-08-2021,1013.1,1015.06,1003.26,1010.34,985261,,0.0,0.0
11-08-2021,1011.08,1018.01,978.67,1015.65,854619,,0.0,0.0
12-08-2021,1015.06,1021.85,1002.28,1013.93,645518,,0.0,0.0
13-08-2021,1009.16,1019.59,1006.56,1013.0,670648,,0.0,0.0
16-08-2021,1009.16,1016.64,1002.23,1009.16,250890,,0.0,0.0
17-08-2021,1001.29,1008.97,985.56,999.52,1560201,,0.0,0.0
18-08-2021,990.47,1000.8,988.51,994.16,888608,,0.0,0.0
20-08-2021,986.54,996.38,978.67,985.11,1407510,,0.0,0.0
23-08-2021,988.51,1008.18,981.62,1003.6,960750,,0.0,0.0
24-08-2021,1008.18,1013.74,988.75,1011.03,1057683,,0.0,0.0
25-08-2021,1013.1,1053.42,1010.15,1047.72,2697253,,0.0,0.0
26-08-2021,1049.49,1081.95,1036.16,1070.19,1971766,,0.0,0.0
27-08-2021,1086.08,1091.78,1065.23,1073.09,1552855,,0.0,0.0
30-08-2021,1073.19,1087.85,1070.88,1076.88,782375,,0.0,0.0
31-08-2021,1072.11,1141.9,1062.62,1121.83,3348741,,0.0,0.0
01-09-2021,1130.14,1145.88,1079.0,1107.62,2326534,,0.0,0.0
02-09-2021,1113.23,1126.21,1099.65,1103.83,1487340,,0.0,0.0
03-09-2021,1111.45,1116.37,1082.05,1090.16,1347872,,0.0,0.0
06-09-2021,1095.72,1100.54,1070.14,1074.42,720194,,0.0,0.0
07-09-2021,1075.06,1077.91,1046.44,1063.65,881067,,0.0,0.0
08-09-2021,1067.34,1104.86,1064.24,1090.21,1637527,,0.0,0.0
09-09-2021,1119.32,1119.32,1081.95,1087.06,1705768,,0.0,0.0
13-09-2021,1087.06,1087.41,1066.21,1068.13,659910,,0.0,0.0
14-09-2021,1072.11,1072.11,1040.39,1043.88,1128681,,0.0,0.0
15-09-2021,1047.52,1058.29,1038.67,1046.34,1181994,,0.0,0.0
16-09-2021,1057.36,1067.05,1050.37,1059.72,872300,,0.0,0.0
17-09-2021,1067.19,1076.05,1047.57,1060.36,1479348,,0.0,0.0
20-09-2021,1057.36,1059.32,1036.65,1054.7,1113168,,0.0,0.0
21-09-2021,1013.98,1062.18,995.39,1052.34,39774519,,0.0,0.0
22-09-2021,1046.54,1057.16,1036.85,1045.11,782140,,0.0,0.0
23-09-2021,1044.57,1062.18,1024.9,1031.78,2898242,,0.0,0.0
24-09-2021,1032.72,1035.42,990.82,994.6,6572048,,0.0,0.0
27-09-2021,1003.26,1029.82,997.41,1023.47,2762642,,0.0,0.0
28-09-2021,1023.47,1024.9,993.47,998.39,3334438,,0.0,0.0
29-09-2021,993.42,1010.15,993.42,1003.36,3168484,,0.0,0.0
30-09-2021,1011.13,1021.9,1003.36,1012.7,2817641,,0.0,0.0
01-10-2021,1008.67,1030.8,1006.95,1029.42,2026286,,0.0,0.0
04-10-2021,1032.77,1066.21,1032.77,1054.36,1780368,,0.0,0.0
05-10-2021,1054.41,1080.87,1047.52,1078.7,1515466,,0.0,0.0
06-10-2021,1085.88,1095.47,1066.21,1080.13,1602487,,0.0,0.0
07-10-2021,1107.91,1124.14,1100.14,1120.65,2243226,,0.0,0.0
08-10-2021,1124.24,1132.01,1104.62,1121.14,1720415,,0.0,0.0
11-10-2021,1130.14,1141.06,1101.77,1108.36,1101061,,0.0,0.0
12-10-2021,1107.52,1121.04,1084.11,1093.75,1360143,,0.0,0.0
13-10-2021,1102.6,1114.31,1074.08,1089.13,1444602,,0.0,0.0
14-10-2021,1098.67,1123.26,1084.9,1116.32,1789269,,0.0,0.0
18-10-2021,1126.11,1135.06,1117.36,1122.03,1039242,,0.0,0.0
19-10-2021,1124.0,1129.41,1086.87,1095.47,1097487,,0.0,0.0
20-10-2021,1092.77,1098.67,1065.28,1085.14,850277,,0.0,0.0
21-10-2021,1095.72,1096.06,1062.37,1071.03,1051526,,0.0,0.0
22-10-2021,1070.14,1120.01,1070.14,1110.96,2436016,,0.0,0.0
25-10-2021,1121.19,1129.6,1083.72,1111.06,1172076,,0.0,0.0
26-10-2021,1112.39,1126.06,1101.67,1104.67,1015325,,0.0,0.0
