Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,12.85,12.9,12.7,12.75,92948479,,0.0,0.0
03-08-2021,12.8,12.85,12.7,12.75,62836740,,0.0,0.0
04-08-2021,12.8,12.85,12.6,12.65,93050718,,0.0,0.0
05-08-2021,12.65,12.7,12.3,12.4,83509704,,0.0,0.0
06-08-2021,12.45,12.75,12.4,12.5,64413341,,0.0,0.0
09-08-2021,12.6,12.65,12.4,12.45,45466916,,0.0,0.0
10-08-2021,12.4,12.95,12.3,12.3,87906293,,0.0,0.0
11-08-2021,12.35,12.35,11.9,11.95,120719125,,0.0,0.0
12-08-2021,12.0,12.15,11.9,11.95,75856427,,0.0,0.0
13-08-2021,12.0,12.05,11.85,11.9,78563651,,0.0,0.0
16-08-2021,11.95,11.95,11.6,11.7,63301331,,0.0,0.0
17-08-2021,11.7,11.75,11.2,11.25,102193711,,0.0,0.0
18-08-2021,11.3,11.45,11.1,11.3,100746217,,0.0,0.0
20-08-2021,11.2,11.2,11.05,11.15,74548015,,0.0,0.0
23-08-2021,11.25,11.3,10.5,10.8,129880959,,0.0,0.0
24-08-2021,10.85,11.25,10.7,11.0,128570784,,0.0,0.0
25-08-2021,10.95,11.15,10.8,10.95,99499009,,0.0,0.0
26-08-2021,10.95,11.25,10.9,10.95,91932265,,0.0,0.0
27-08-2021,10.95,11.15,10.9,11.05,62585083,,0.0,0.0
30-08-2021,11.15,11.15,10.8,10.9,115836903,,0.0,0.0
31-08-2021,10.9,11.0,10.75,10.8,89884569,,0.0,0.0
01-09-2021,10.8,11.4,10.75,11.1,151330531,,0.0,0.0
02-09-2021,11.15,11.4,10.95,11.15,159594864,,0.0,0.0
03-09-2021,11.2,11.25,11.05,11.1,111419956,,0.0,0.0
06-09-2021,11.15,11.2,10.95,11.0,58976619,,0.0,0.0
07-09-2021,11.05,11.05,10.8,10.9,59519176,,0.0,0.0
08-09-2021,10.95,11.4,10.9,10.9,146456916,,0.0,0.0
09-09-2021,10.9,11.1,10.8,10.95,89310141,,0.0,0.0
13-09-2021,11.0,11.15,10.9,11.1,115738343,,0.0,0.0
14-09-2021,11.1,12.85,11.05,12.45,777602458,,0.0,0.0
15-09-2021,12.6,12.85,12.3,12.7,338102064,,0.0,0.0
16-09-2021,12.95,15.05,12.9,14.7,910231884,,0.0,0.0
17-09-2021,14.35,14.5,12.95,13.25,582883624,,0.0,0.0
20-09-2021,13.0,13.75,12.7,12.8,180681962,,0.0,0.0
21-09-2021,12.9,13.05,12.55,13.0,110549666,,0.0,0.0
22-09-2021,13.1,13.4,13.05,13.15,90746640,,0.0,0.0
23-09-2021,13.25,13.35,12.95,13.0,78550572,,0.0,0.0
24-09-2021,13.0,13.3,12.8,12.85,71409608,,0.0,0.0
27-09-2021,13.0,13.0,12.8,12.9,54816217,,0.0,0.0
28-09-2021,13.0,13.2,12.55,12.75,115261485,,0.0,0.0
29-09-2021,12.65,12.85,12.2,12.3,195039117,,0.0,0.0
30-09-2021,12.35,12.75,12.3,12.55,67706218,,0.0,0.0
01-10-2021,12.5,13.4,12.4,12.85,199414914,,0.0,0.0
04-10-2021,13.05,13.2,13.0,13.1,88762032,,0.0,0.0
05-10-2021,13.1,13.2,13.0,13.1,96849882,,0.0,0.0
06-10-2021,13.15,13.5,13.0,13.05,124309047,,0.0,0.0
07-10-2021,13.15,13.45,12.85,13.15,150895888,,0.0,0.0
08-10-2021,13.3,13.5,13.15,13.2,82980014,,0.0,0.0
11-10-2021,13.3,13.35,13.05,13.05,58760797,,0.0,0.0
12-10-2021,13.1,13.35,13.0,13.2,107152589,,0.0,0.0
13-10-2021,13.3,13.35,13.2,13.25,76105307,,0.0,0.0
14-10-2021,13.25,13.45,13.2,13.2,82128218,,0.0,0.0
18-10-2021,13.45,14.35,13.35,13.95,327306508,,0.0,0.0
19-10-2021,14.1,14.25,13.5,13.6,146859092,,0.0,0.0
20-10-2021,13.6,13.75,13.3,13.5,100540663,,0.0,0.0
21-10-2021,13.6,14.45,13.5,14.3,248334945,,0.0,0.0
22-10-2021,14.55,14.65,13.4,13.75,332024855,,0.0,0.0
25-10-2021,14.0,14.1,13.2,13.35,156375061,,0.0,0.0
26-10-2021,13.35,13.65,13.25,13.45,103292300,,0.0,0.0
27-10-2021,13.5,13.6,13.0,13.05,148970323,,0.0,0.0
28-10-2021,13.1,13.1,12.65,12.75,122032074,,0.0,0.0
29-10-2021,12.95,13.05,12.55,12.8,105143336,,0.0,0.0
01-11-2021,12.85,13.25,12.7,13.05,95919811,,0.0,0.0
02-11-2021,13.05,13.25,13.0,13.05,60470098,,0.0,0.0
03-11-2021,13.1,13.15,12.95,13.0,50990867,,0.0,0.0
04-11-2021,13.05,13.25,13.0,13.15,25871499,,0.0,0.0
08-11-2021,13.2,13.45,13.05,13.1,68845607,,0.0,0.0
09-11-2021,13.15,13.25,13.05,13.1,40719001,,0.0,0.0
10-11-2021,13.1,13.15,13.0,13.0,42806649,,0.0,0.0
11-11-2021,13.25,13.6,13.2,13.25,122452763,,0.0,0.0
