Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,3283.68,3326.45,3261.87,3309.72,165245,,0.0,0.0
03-08-2021,3302.92,3372.07,3299.46,3333.15,281571,,0.0,0.0
04-08-2021,3354.96,3373.54,3220.0,3230.03,141941,,0.0,0.0
05-08-2021,3240.96,3299.93,3215.01,3231.12,139180,,0.0,0.0
06-08-2021,3240.91,3359.43,3194.34,3299.88,689686,,0.0,0.0
09-08-2021,3332.2,3421.38,3262.81,3345.19,455771,,5.0,0.0
10-08-2021,3373.12,3404.53,3321.73,3385.64,464624,,0.0,0.0
11-08-2021,3415.95,3518.75,3372.17,3506.61,650420,,0.0,0.0
12-08-2021,3505.42,3510.13,3453.26,3469.82,148555,,0.0,0.0
13-08-2021,3475.49,3504.56,3440.79,3480.96,90112,,0.0,0.0
16-08-2021,3468.3,3558.91,3436.51,3534.45,140951,,0.0,0.0
17-08-2021,3534.45,3569.19,3502.56,3524.69,187682,,0.0,0.0
18-08-2021,3536.31,3626.3,3523.93,3618.87,384062,,0.0,0.0
20-08-2021,3619.16,3717.67,3550.25,3621.01,373322,,0.0,0.0
23-08-2021,3635.81,3670.36,3588.75,3613.5,121111,,0.0,0.0
24-08-2021,3626.3,3711.96,3618.73,3652.42,262767,,0.0,0.0
25-08-2021,3654.85,3664.37,3619.35,3633.01,58757,,0.0,0.0
26-08-2021,3632.01,3692.92,3608.88,3676.55,138260,,0.0,0.0
27-08-2021,3683.12,3743.37,3665.32,3700.2,200257,,0.0,0.0
30-08-2021,3721.28,3743.37,3666.6,3713.67,82413,,0.0,0.0
31-08-2021,3734.8,3735.75,3683.4,3691.59,90295,,0.0,0.0
01-09-2021,3683.4,3732.9,3658.66,3669.98,66042,,0.0,0.0
02-09-2021,3669.98,3756.69,3669.98,3720.57,137359,,0.0,0.0
03-09-2021,3721.47,3734.7,3627.49,3650.0,124870,,0.0,0.0
06-09-2021,3654.85,3697.73,3619.68,3640.67,67380,,0.0,0.0
07-09-2021,3641.53,3673.89,3594.89,3604.79,76332,,0.0,0.0
08-09-2021,3588.23,3628.2,3506.42,3570.62,114731,,0.0,0.0
09-09-2021,3564.43,3635.81,3563.15,3612.54,239894,,0.0,0.0
13-09-2021,3624.39,3664.32,3599.65,3639.48,114867,,0.0,0.0
14-09-2021,3657.99,3663.7,3611.45,3622.78,54872,,0.0,0.0
15-09-2021,3626.01,3673.89,3613.11,3666.41,117864,,0.0,0.0
16-09-2021,3673.98,3696.73,3633.05,3687.16,113213,,0.0,0.0
17-09-2021,3687.16,3709.1,3559.81,3640.53,163961,,0.0,0.0
20-09-2021,3620.59,3635.81,3564.38,3605.07,110948,,0.0,0.0
21-09-2021,3602.22,3682.45,3577.23,3672.74,83455,,0.0,0.0
22-09-2021,3672.74,3756.41,3643.1,3706.82,131433,,0.0,0.0
23-09-2021,3705.29,3787.01,3689.35,3772.11,165195,,0.0,0.0
24-09-2021,3770.97,3873.76,3759.64,3810.09,289454,,0.0,0.0
27-09-2021,3816.65,3836.78,3772.4,3807.14,88753,,0.0,0.0
28-09-2021,3797.62,3824.27,3688.88,3746.51,113312,,0.0,0.0
29-09-2021,3749.08,3847.11,3716.34,3746.27,662987,,0.0,0.0
30-09-2021,3757.64,3807.14,3707.15,3788.81,114702,,0.0,0.0
01-10-2021,3785.24,3853.11,3750.08,3797.67,120974,,0.0,0.0
04-10-2021,3784.29,3854.73,3762.45,3778.49,122504,,0.0,0.0
05-10-2021,3770.97,3794.76,3698.87,3778.96,162567,,0.0,0.0
06-10-2021,3787.81,3790.58,3722.47,3745.98,151518,,0.0,0.0
07-10-2021,3749.08,3801.19,3702.44,3721.33,344171,,0.0,0.0
08-10-2021,3724.62,3831.98,3685.31,3745.08,431812,,0.0,0.0
11-10-2021,3764.4,3797.62,3726.28,3743.89,274280,,0.0,0.0
12-10-2021,3754.79,3777.63,3711.96,3749.98,86515,,0.0,0.0
13-10-2021,3745.46,3791.62,3728.28,3748.08,153263,,0.0,0.0
14-10-2021,3754.79,3778.39,3692.92,3705.01,79019,,0.0,0.0
