Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,893.3,897.77,886.07,891.56,1008260,,0.0,0.0
03-08-2021,893.21,900.49,887.67,890.2,1248612,,0.0,0.0
04-08-2021,890.29,900.88,878.16,880.15,1254393,,0.0,0.0
05-08-2021,882.53,902.92,871.61,881.65,1791905,,0.0,0.0
06-08-2021,886.02,886.02,873.3,875.05,757692,,0.0,0.0
09-08-2021,873.79,876.65,855.54,861.85,1181900,,0.0,0.0
10-08-2021,864.08,872.62,845.93,853.89,1183982,,0.0,0.0
11-08-2021,857.28,858.06,826.12,831.56,2140873,,0.0,0.0
12-08-2021,836.9,839.23,798.16,802.14,4086652,,0.0,0.0
13-08-2021,782.53,798.06,732.04,739.13,20460478,,0.0,0.0
16-08-2021,743.69,746.07,713.01,716.56,6719365,,0.0,0.0
17-08-2021,717.72,732.53,707.09,710.15,5659280,,0.0,0.0
18-08-2021,711.6,725.05,695.15,700.63,7732484,,0.0,0.0
20-08-2021,700.0,700.0,657.28,661.26,8306985,,0.0,0.0
23-08-2021,691.46,705.05,658.4,663.06,12977112,,0.0,0.0
24-08-2021,665.05,671.17,641.07,668.16,9566077,,0.0,0.0
25-08-2021,672.92,688.16,664.57,676.41,5847568,,0.0,0.0
26-08-2021,679.57,687.28,673.4,678.74,4731473,,0.0,0.0
27-08-2021,687.89,698.59,679.18,690.81,7231441,,1.5,0.0
30-08-2021,694.7,698.35,686.91,696.69,3231421,,0.0,0.0
31-08-2021,699.66,709.29,693.92,707.64,3877654,,0.0,0.0
01-09-2021,709.29,714.84,699.9,710.17,2486589,,0.0,0.0
02-09-2021,711.24,728.99,707.93,726.66,3636943,,0.0,0.0
03-09-2021,727.78,739.36,721.84,737.41,2650092,,0.0,0.0
06-09-2021,739.45,742.13,726.85,734.35,2280109,,0.0,0.0
07-09-2021,735.95,736.44,722.77,726.12,1701767,,0.0,0.0
08-09-2021,727.78,727.92,717.08,723.16,1419668,,0.0,0.0
09-09-2021,723.79,724.86,713.18,721.7,1930098,,0.0,0.0
13-09-2021,722.43,722.43,712.31,716.25,1355587,,0.0,0.0
14-09-2021,716.25,730.6,713.77,727.83,2377906,,0.0,0.0
15-09-2021,729.53,746.6,724.86,738.48,3515645,,0.0,0.0
16-09-2021,742.08,742.08,730.36,734.35,1683112,,0.0,0.0
17-09-2021,734.98,738.38,718.83,726.03,2364341,,0.0,0.0
20-09-2021,719.99,723.55,688.86,693.14,2932150,,0.0,0.0
21-09-2021,693.72,709.88,687.98,706.76,2664801,,0.0,0.0
22-09-2021,704.04,714.11,700.34,711.33,1674667,,0.0,0.0
23-09-2021,719.02,719.02,707.93,713.62,2015529,,0.0,0.0
24-09-2021,715.81,717.27,698.1,702.04,1962703,,0.0,0.0
27-09-2021,705.4,705.55,694.7,702.48,1333668,,0.0,0.0
28-09-2021,702.48,710.95,690.42,705.45,3589557,,0.0,0.0
29-09-2021,701.9,716.98,699.46,708.27,2240377,,0.0,0.0
30-09-2021,701.22,715.96,700.88,705.2,1993150,,0.0,0.0
01-10-2021,702.38,704.77,687.4,697.91,2877882,,0.0,0.0
04-10-2021,690.81,731.57,688.86,712.36,5386291,,0.0,0.0
05-10-2021,712.5,715.03,698.78,704.43,2241909,,0.0,0.0
06-10-2021,706.86,709.68,692.9,696.01,1928858,,0.0,0.0
07-10-2021,700.24,706.76,696.98,700.15,1514665,,0.0,0.0
08-10-2021,701.51,710.7,693.82,695.43,2179776,,0.0,0.0
11-10-2021,699.27,705.4,691.88,701.07,1309853,,0.0,0.0
12-10-2021,702.48,715.62,700.58,710.12,2505322,,0.0,0.0
13-10-2021,715.13,715.13,705.45,708.85,1220720,,0.0,0.0
14-10-2021,714.79,717.08,704.62,707.49,1592618,,0.0,0.0
18-10-2021,707.73,711.24,697.76,698.83,2001971,,0.0,0.0
19-10-2021,703.45,707.49,690.81,693.29,1518895,,0.0,0.0
20-10-2021,693.72,697.32,672.76,682.73,2049982,,0.0,0.0
21-10-2021,688.86,698.39,679.23,686.82,1519098,,0.0,0.0
22-10-2021,688.86,693.58,670.47,676.26,1592318,,0.0,0.0
25-10-2021,678.16,678.93,657.29,666.82,1798234,,0.0,0.0
26-10-2021,667.45,686.43,664.92,684.48,1717288,,0.0,0.0
27-10-2021,685.65,695.43,683.56,687.5,1637432,,0.0,0.0
28-10-2021,686.91,687.4,656.95,660.3,1919106,,0.0,0.0
29-10-2021,661.71,680.35,653.59,670.71,2550003,,0.0,0.0
01-11-2021,673.1,680.1,664.54,678.74,1549276,,0.0,0.0
02-11-2021,681.08,684.92,671.35,672.51,1700560,,0.0,0.0
03-11-2021,675.43,678.21,662.59,667.26,1666668,,0.0,0.0
04-11-2021,671.35,673.15,667.26,671.39,153662,,0.0,0.0
08-11-2021,671.39,674.95,644.2,653.83,4500837,,0.0,0.0
09-11-2021,667.45,694.21,655.54,658.7,10508221,,0.0,0.0
10-11-2021,660.64,687.79,659.67,680.93,8258832,,0.0,0.0
11-11-2021,679.13,682.49,665.51,667.99,2324367,,0.0,0.0
12-11-2021,671.35,673.29,663.08,669.3,1243951,,0.0,0.0
15-11-2021,673.29,680.88,669.5,676.94,1258305,,0.0,0.0
16-11-2021,678.16,680.05,665.99,668.23,1166157,,0.0,0.0
17-11-2021,668.91,669.45,648.34,649.95,1891189,,1.5,0.0
18-11-2021,651.36,652.05,618.26,623.62,4597685,,0.0,0.0
22-11-2021,623.62,626.74,605.05,611.97,2200342,,0.0,0.0
23-11-2021,609.53,636.35,607.48,634.74,1887108,,0.0,0.0
24-11-2021,636.74,653.8,634.93,642.44,1931208,,0.0,0.0
25-11-2021,643.03,658.19,638.74,652.24,2955059,,0.0,0.0
26-11-2021,651.36,673.94,647.51,661.65,4938416,,0.0,0.0
29-11-2021,663.06,669.84,635.76,638.59,2391475,,0.0,0.0
30-11-2021,636.74,655.51,632.45,643.81,2793791,,0.0,0.0
01-12-2021,647.46,652.24,637.08,646.1,1469340,,0.0,0.0
02-12-2021,645.51,657.9,644.78,656.77,1473264,,0.0,0.0
03-12-2021,660.48,661.11,652.83,657.36,1098651,,0.0,0.0
06-12-2021,658.19,658.19,643.56,645.32,1186164,,0.0,0.0
07-12-2021,645.32,661.7,641.81,656.58,1901564,,0.0,0.0
08-12-2021,655.26,685.74,655.26,684.47,2519705,,0.0,0.0
09-12-2021,684.52,690.85,682.96,687.69,2342265,,0.0,0.0
10-12-2021,691.15,696.22,685.49,686.81,1881123,,0.0,0.0
13-12-2021,688.51,691.34,673.79,675.94,1007377,,0.0,0.0
14-12-2021,677.5,697.19,675.01,691.2,2663847,,0.0,0.0
15-12-2021,692.27,695.92,673.79,675.69,1865950,,0.0,0.0
16-12-2021,679.64,682.52,658.34,666.67,1995987,,0.0,0.0
17-12-2021,669.99,671.84,648.73,662.67,1879826,,0.0,0.0
20-12-2021,662.67,671.84,648.0,669.45,2719116,,0.0,0.0
21-12-2021,675.74,679.25,663.26,676.47,1515222,,0.0,0.0
22-12-2021,673.79,701.97,672.67,700.22,2412858,,0.0,0.0
23-12-2021,706.94,708.6,699.78,705.09,1509479,,0.0,0.0
24-12-2021,707.04,707.82,687.54,690.81,1485767,,0.0,0.0
27-12-2021,692.32,710.65,689.49,708.02,1979849,,0.0,0.0
28-12-2021,709.87,714.35,700.9,707.19,1595111,,0.0,0.0
29-12-2021,713.77,717.33,704.99,708.94,1860717,,0.0,0.0
30-12-2021,709.67,713.28,703.24,705.48,1090975,,0.0,0.0
31-12-2021,707.92,721.37,702.56,716.06,1771378,,0.0,0.0
03-01-2022,719.72,720.5,708.94,713.87,1091773,,0.0,0.0
04-01-2022,715.82,718.6,703.04,704.26,1134250,,0.0,0.0
05-01-2022,705.09,711.97,699.39,703.34,1147149,,0.0,0.0
06-01-2022,700.36,708.75,697.29,700.07,772910,,0.0,0.0
07-01-2022,704.02,704.99,689.68,692.32,1252895,,0.0,0.0
10-01-2022,695.83,721.57,694.27,718.94,3081483,,0.0,0.0
11-01-2022,722.55,723.52,695.63,701.78,2936101,,0.0,0.0
12-01-2022,705.87,705.97,693.73,699.05,1136954,,0.0,0.0
13-01-2022,701.0,708.41,697.68,699.73,1022378,,0.0,0.0
14-01-2022,668.91,687.44,667.4,677.84,5879939,,0.0,0.0
17-01-2022,681.4,682.32,667.45,668.72,2228627,,0.0,0.0
18-01-2022,668.91,677.69,650.05,652.14,3536203,,0.0,0.0
19-01-2022,652.14,658.09,640.64,653.8,2051486,,0.0,0.0
20-01-2022,653.85,656.97,643.61,644.73,1673792,,0.0,0.0
21-01-2022,644.73,659.75,633.91,639.13,2118832,,0.0,0.0
24-01-2022,639.13,639.13,588.32,594.52,3355188,,0.0,0.0
25-01-2022,594.52,606.12,575.4,601.49,3015220,,0.0,0.0
27-01-2022,601.49,603.53,579.21,593.64,3349451,,0.0,0.0
28-01-2022,603.78,622.11,597.15,608.36,2307397,,0.0,0.0
31-01-2022,618.21,628.89,609.73,618.65,1561664,,0.0,0.0
01-02-2022,628.74,643.56,618.65,641.12,2183856,,0.0,0.0
02-02-2022,644.54,658.68,641.12,657.07,1868238,,0.0,0.0
03-02-2022,656.24,657.95,646.59,654.04,1567696,,0.0,0.0
04-02-2022,656.63,656.63,643.56,646.1,695091,,0.0,0.0
07-02-2022,642.98,648.44,630.89,633.57,961493,,0.0,0.0
08-02-2022,634.79,641.56,627.08,633.91,827594,,0.0,0.0
09-02-2022,640.59,649.8,634.88,639.71,1460263,,0.0,0.0
10-02-2022,634.79,671.79,626.99,667.35,8212849,,0.0,0.0
11-02-2022,657.26,685.0,657.26,682.61,4099949,,0.0,0.0
14-02-2022,675.4,697.19,659.12,663.45,4769930,,0.0,0.0
15-02-2022,667.74,678.47,660.53,675.2,1550707,,0.0,0.0
16-02-2022,675.69,680.27,664.33,672.91,1704627,,0.0,0.0
17-02-2022,679.1,679.1,656.19,657.85,2199134,,0.0,0.0
18-02-2022,655.75,655.89,638.16,642.06,3396636,,1.5,0.0
21-02-2022,640.11,642.65,622.96,624.52,1978935,,0.0,0.0
22-02-2022,610.79,625.35,601.12,623.06,2240216,,0.0,0.0
23-02-2022,625.45,630.0,619.88,622.57,1200529,,0.0,0.0
24-02-2022,605.95,613.19,587.44,591.69,2494850,,0.0,0.0
25-02-2022,591.69,617.63,590.32,610.84,1965799,,0.0,0.0
28-02-2022,605.86,613.68,596.43,611.04,1761801,,0.0,0.0
02-03-2022,602.0,611.72,600.04,606.05,1459733,,0.0,0.0
03-03-2022,614.31,614.31,599.8,604.39,1444017,,0.0,0.0
04-03-2022,598.09,604.24,592.03,595.5,1318206,,0.0,0.0
07-03-2022,595.5,599.46,570.97,595.11,2048437,,0.0,0.0
