Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,1083.68,1095.54,1079.99,1092.87,1133501,,0.0,0.0
03-08-2021,1100.4,1117.42,1094.72,1112.26,1528382,,0.0,0.0
04-08-2021,1122.71,1126.51,1108.81,1120.04,1152007,,0.0,0.0
05-08-2021,1120.04,1126.94,1106.09,1113.33,775351,,0.0,0.0
06-08-2021,1115.03,1123.35,1110.66,1118.73,417014,,0.0,0.0
09-08-2021,1122.23,1124.12,1086.8,1102.06,1073469,,0.0,0.0
10-08-2021,1107.16,1119.36,1079.07,1088.64,1482725,,0.0,0.0
11-08-2021,1049.81,1060.55,1006.5,1021.42,6367364,,0.0,0.0
12-08-2021,1001.25,1004.17,945.94,948.71,9765212,,0.0,0.0
13-08-2021,960.42,962.32,927.18,949.59,5364503,,0.0,0.0
16-08-2021,949.59,957.41,931.75,940.59,2287661,,0.0,0.0
17-08-2021,947.79,956.83,942.63,947.15,3133363,,0.0,0.0
18-08-2021,952.21,952.65,938.07,945.65,1850713,,0.0,0.0
20-08-2021,937.05,940.74,895.29,900.74,3344255,,0.0,0.0
23-08-2021,909.88,914.35,889.41,899.77,2703012,,0.0,0.0
24-08-2021,905.99,916.87,890.19,913.57,3109401,,0.0,0.0
25-08-2021,917.46,919.6,907.15,914.54,1502010,,0.0,0.0
26-08-2021,918.38,918.38,907.98,911.28,1356807,,0.0,0.0
27-08-2021,911.28,921.05,906.57,913.86,2000385,,0.0,0.0
30-08-2021,915.71,929.32,915.71,925.91,885514,,0.0,0.0
31-08-2021,927.76,933.11,920.91,931.12,1286167,,0.0,0.0
01-09-2021,934.18,938.5,923.48,935.39,1069926,,0.0,0.0
02-09-2021,937.0,946.72,936.41,940.79,1376857,,0.0,0.0
03-09-2021,945.75,945.75,937.09,942.39,497046,,0.0,0.0
06-09-2021,947.79,967.03,940.84,954.54,1827279,,0.0,0.0
07-09-2021,958.48,963.83,950.8,961.98,679480,,0.0,0.0
08-09-2021,962.37,962.42,946.09,954.74,1616070,,0.0,0.0
09-09-2021,952.65,956.54,946.91,954.4,1039035,,0.0,0.0
13-09-2021,954.11,959.35,948.81,956.63,694262,,0.0,0.0
14-09-2021,957.02,962.47,951.72,955.22,660129,,0.0,0.0
15-09-2021,959.99,967.23,955.56,961.74,1189843,,0.0,0.0
16-09-2021,952.65,957.51,930.73,941.08,2960830,,0.0,0.0
17-09-2021,940.98,940.98,917.51,924.41,2486651,,0.0,0.0
20-09-2021,895.29,915.61,886.55,907.69,3490753,,0.0,0.0
21-09-2021,904.04,910.8,888.78,904.14,1707370,,0.0,0.0
22-09-2021,904.14,917.65,903.75,913.76,1577549,,0.0,0.0
23-09-2021,921.54,921.54,904.04,914.1,1054360,,0.0,0.0
24-09-2021,916.68,920.57,897.04,900.35,1085830,,0.0,0.0
27-09-2021,901.76,914.54,889.51,910.02,1699656,,0.0,0.0
28-09-2021,913.76,927.03,902.1,922.42,2237837,,0.0,0.0
29-09-2021,928.34,937.14,918.62,921.1,3389317,,0.0,0.0
30-09-2021,924.36,934.08,919.79,925.04,1396059,,0.0,0.0
01-10-2021,919.6,940.98,916.68,939.43,1266634,,0.0,0.0
04-10-2021,942.83,951.48,931.89,934.52,1600549,,0.0,0.0
05-10-2021,937.0,940.01,928.34,936.85,723349,,0.0,0.0
