Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
09-05-2023,1299.49,1429.44,1299.49,1421.74,33193796,,0.0,0.0
10-05-2023,1416.44,1423.79,1339.47,1382.31,5651542,,0.0,0.0
11-05-2023,1369.46,1385.45,1306.14,1379.86,5111576,,0.0,0.0
12-05-2023,1363.46,1438.23,1356.52,1393.9,1946969,,0.0,0.0
15-05-2023,1397.35,1409.24,1377.46,1384.35,565868,,0.0,0.0
16-05-2023,1388.45,1392.9,1351.42,1358.46,728775,,0.0,0.0
17-05-2023,1358.46,1369.16,1342.87,1353.87,525476,,0.0,0.0
18-05-2023,1360.01,1369.41,1353.47,1355.27,255442,,0.0,0.0
19-05-2023,1359.46,1360.46,1325.23,1330.28,373144,,0.0,0.0
22-05-2023,1329.48,1348.47,1241.51,1329.93,914898,,0.0,0.0
23-05-2023,1339.42,1348.42,1322.13,1330.73,221060,,0.0,0.0
24-05-2023,1324.48,1338.82,1313.48,1322.13,177959,,0.0,0.0
25-05-2023,1328.48,1343.32,1319.28,1327.18,132683,,0.0,0.0
26-05-2023,1327.13,1334.42,1319.98,1323.08,83415,,0.0,0.0
29-05-2023,1327.48,1374.46,1319.48,1367.06,495981,,0.0,0.0
30-05-2023,1380.76,1384.45,1344.47,1355.42,258524,,0.0,0.0
31-05-2023,1379.41,1398.05,1325.48,1359.46,879563,,0.0,0.0
01-06-2023,1367.46,1400.45,1364.76,1394.85,574856,,0.0,0.0
02-06-2023,1405.45,1508.46,1398.5,1465.67,1540408,,0.0,0.0
05-06-2023,1443.38,1469.32,1412.49,1423.34,612827,,0.0,0.0
06-06-2023,1430.24,1495.41,1429.44,1487.91,687238,,0.0,0.0
07-06-2023,1489.36,1518.3,1472.42,1485.56,542372,,0.0,0.0
08-06-2023,1490.36,1490.76,1450.13,1456.48,174292,,0.0,0.0
09-06-2023,1471.37,1495.41,1455.48,1484.71,182349,,0.0,0.0
12-06-2023,1477.67,1488.11,1468.42,1474.12,99106,,0.0,0.0
13-06-2023,1534.4,1543.89,1501.56,1520.6,580211,,0.0,0.0
14-06-2023,1526.45,1661.35,1523.5,1620.11,1505759,,0.0,0.0
