Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,961.81,975.61,957.19,966.98,1035340,,0.0,0.0
03-08-2021,975.53,980.41,927.76,933.6,2490985,,0.0,0.0
04-08-2021,913.95,916.38,872.98,888.32,37258785,,0.0,0.0
05-08-2021,895.88,910.92,891.36,896.72,4009530,,0.0,0.0
06-08-2021,898.89,910.17,895.5,900.7,2015510,,0.0,0.0
09-08-2021,901.33,911.53,895.52,905.03,1501605,,2.6,0.0
10-08-2021,909.63,925.25,897.56,907.24,2392260,,0.0,0.0
11-08-2021,910.76,917.17,879.49,884.51,2174405,,0.0,0.0
12-08-2021,891.91,915.84,890.03,913.99,1881125,,0.0,0.0
13-08-2021,914.53,920.53,903.21,907.26,1677905,,0.0,0.0
16-08-2021,912.65,914.53,896.26,902.27,1270485,,0.0,0.0
17-08-2021,904.33,933.01,902.64,918.15,2769455,,0.0,0.0
18-08-2021,925.63,953.19,918.74,938.26,3793265,,0.0,0.0
20-08-2021,933.01,947.53,906.21,925.22,2222885,,0.0,0.0
23-08-2021,930.92,955.64,924.27,940.53,2331820,,0.0,0.0
24-08-2021,945.22,952.23,908.04,932.01,1570470,,0.0,0.0
25-08-2021,937.16,989.92,935.65,942.63,7104395,,0.0,0.0
26-08-2021,942.82,966.39,926.79,936.92,2551440,,0.0,0.0
27-08-2021,941.89,967.06,932.87,957.34,2406600,,0.0,0.0
30-08-2021,966.56,971.92,958.2,965.72,1264855,,0.0,0.0
31-08-2021,970.45,1006.29,965.73,982.18,3253910,,0.0,0.0
01-09-2021,980.74,989.26,969.83,974.41,996990,,0.0,0.0
02-09-2021,977.51,980.51,949.65,972.6,1906175,,0.0,0.0
03-09-2021,977.7,1001.83,967.48,988.69,3104845,,0.0,0.0
06-09-2021,993.35,999.76,988.45,995.8,1562865,,0.0,0.0
07-09-2021,998.82,1001.78,972.99,976.67,1136640,,0.0,0.0
08-09-2021,980.52,983.25,958.29,968.48,1530295,,0.0,0.0
09-09-2021,972.13,977.44,958.47,964.49,1121805,,0.0,0.0
13-09-2021,965.44,985.43,961.67,976.35,1939460,,0.0,0.0
14-09-2021,981.47,1006.86,974.87,998.55,1981835,,0.0,0.0
15-09-2021,1002.97,1019.72,992.85,1012.45,2226230,,0.0,0.0
16-09-2021,1023.07,1040.66,1014.49,1030.58,3290835,,0.0,0.0
17-09-2021,1034.27,1041.81,1019.19,1026.67,1501845,,0.0,0.0
20-09-2021,1026.54,1045.52,1004.29,1008.94,1565750,,0.0,0.0
21-09-2021,1012.96,1047.99,1002.21,1043.04,1978205,,0.0,0.0
22-09-2021,1050.3,1065.19,1037.16,1048.48,1742350,,0.0,0.0
23-09-2021,1059.82,1070.03,1048.08,1065.9,1101165,,0.0,0.0
24-09-2021,1076.78,1099.88,1052.23,1065.19,2340985,,0.0,0.0
27-09-2021,1072.93,1073.89,999.64,1021.09,3112105,,0.0,0.0
28-09-2021,1029.56,1029.63,971.1,983.32,2611770,,0.0,0.0
29-09-2021,975.82,999.37,943.01,991.98,2904110,,0.0,0.0
30-09-2021,999.39,1003.5,981.29,988.32,1779880,,0.0,0.0
