Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,2284.41,2306.52,2269.15,2290.78,321213,,0.0,0.0
03-08-2021,2299.19,2385.14,2299.19,2347.86,1158111,,0.0,0.0
04-08-2021,2364.64,2389.5,2313.02,2323.0,751794,,0.0,0.0
05-08-2021,2344.06,2403.93,2304.47,2324.27,976311,,0.0,0.0
06-08-2021,2328.45,2367.61,2317.99,2349.95,375995,,0.0,0.0
09-08-2021,2366.17,2392.11,2324.09,2356.36,387255,,0.0,0.0
10-08-2021,2356.36,2405.98,2338.05,2362.11,590969,,0.0,0.0
11-08-2021,2378.99,2392.11,2300.55,2331.07,507503,,0.0,0.0
12-08-2021,2336.3,2415.66,2336.26,2410.82,652280,,0.0,0.0
13-08-2021,2424.69,2434.54,2391.5,2401.58,502027,,0.0,0.0
16-08-2021,2414.0,2450.02,2385.09,2395.12,444615,,0.0,0.0
17-08-2021,2408.51,2489.79,2379.73,2478.06,794585,,0.0,0.0
18-08-2021,2485.43,2562.87,2444.87,2480.41,959572,,0.0,0.0
20-08-2021,2480.15,2537.75,2418.36,2483.68,664079,,0.0,0.0
23-08-2021,2528.16,2617.11,2481.28,2500.16,1956870,,0.0,0.0
24-08-2021,2533.61,2550.79,2424.38,2440.99,969258,,0.0,0.0
25-08-2021,2454.55,2475.44,2395.6,2434.98,756084,,0.0,0.0
26-08-2021,2438.29,2462.75,2386.1,2392.33,650414,,0.0,0.0
27-08-2021,2406.94,2537.75,2389.72,2524.5,1188351,,0.0,0.0
30-08-2021,2537.75,2561.21,2488.04,2498.55,688575,,0.0,0.0
31-08-2021,2513.25,2549.7,2503.09,2527.37,991789,,0.0,0.0
01-09-2021,2546.65,2555.19,2455.86,2471.87,721085,,0.0,0.0
02-09-2021,2493.27,2537.75,2451.76,2519.09,867752,,0.0,0.0
03-09-2021,2530.77,2595.31,2503.78,2574.6,1149543,,0.0,0.0
06-09-2021,2590.08,2646.59,2556.11,2638.65,888951,,0.0,0.0
07-09-2021,2660.71,2685.13,2583.1,2595.7,989201,,0.0,0.0
08-09-2021,2613.62,2613.62,2557.81,2579.87,489569,,0.0,0.0
09-09-2021,2581.36,2616.24,2559.77,2610.61,525337,,0.0,0.0
13-09-2021,2652.02,2687.68,2549.51,2674.48,681247,,65.0,0.0
14-09-2021,2687.68,2734.03,2660.04,2723.74,559672,,0.0,0.0
15-09-2021,2728.24,2858.79,2715.54,2845.28,1066230,,0.0,0.0
16-09-2021,2857.05,2882.1,2802.14,2830.13,888625,,0.0,0.0
17-09-2021,2832.63,2867.97,2796.7,2847.33,1038070,,0.0,0.0
20-09-2021,2809.0,2914.99,2755.83,2769.42,664392,,0.0,0.0
21-09-2021,2765.23,2868.46,2739.47,2849.88,849978,,0.0,0.0
22-09-2021,2879.34,2944.14,2836.28,2898.1,998609,,0.0,0.0
23-09-2021,2927.47,3025.53,2901.62,2976.15,853124,,0.0,0.0
24-09-2021,3008.6,3150.87,2962.06,2979.49,1223208,,0.0,0.0
27-09-2021,3030.84,3030.84,2821.44,2868.91,1134438,,0.0,0.0
28-09-2021,2890.03,2891.01,2709.56,2812.21,1573075,,0.0,0.0
29-09-2021,2790.19,2875.77,2738.45,2803.7,1177475,,0.0,0.0
30-09-2021,2821.22,2830.31,2759.04,2767.37,600588,,0.0,0.0
01-10-2021,2771.47,2780.39,2683.22,2697.71,1122648,,0.0,0.0
04-10-2021,2726.46,2762.56,2709.96,2753.73,550121,,0.0,0.0
05-10-2021,2758.01,2809.81,2705.33,2800.27,610635,,0.0,0.0
06-10-2021,2819.88,2821.39,2746.51,2773.79,598884,,0.0,0.0
07-10-2021,2800.58,2905.19,2785.74,2840.29,740158,,0.0,0.0
08-10-2021,2841.0,2953.15,2834.9,2895.07,772354,,0.0,0.0
11-10-2021,2839.22,2852.59,2625.77,2767.73,1295172,,0.0,0.0
12-10-2021,2786.63,2812.43,2728.68,2784.4,794569,,0.0,0.0
13-10-2021,2801.78,2802.72,2751.86,2790.46,528691,,0.0,0.0
14-10-2021,2874.88,3079.91,2874.79,2911.96,2139363,,0.0,0.0
18-10-2021,3021.97,3021.97,2941.6,2992.28,1149208,,0.0,0.0
19-10-2021,3040.69,3262.43,3040.69,3161.43,2079946,,0.0,0.0
20-10-2021,3184.34,3205.51,3002.0,3093.42,986753,,0.0,0.0
21-10-2021,3093.42,3123.46,2926.85,3027.72,1184242,,0.0,0.0
22-10-2021,2852.59,3137.14,2750.08,2901.36,2688874,,0.0,0.0
25-10-2021,2936.39,2945.26,2767.91,2855.89,791785,,0.0,0.0
26-10-2021,2855.89,2979.04,2853.84,2891.82,659888,,0.0,0.0
27-10-2021,2897.39,3000.57,2888.25,2987.74,751000,,0.0,0.0
28-10-2021,3017.55,3021.97,2901.62,2915.8,529347,,0.0,0.0
29-10-2021,2917.67,2956.76,2863.29,2884.51,436159,,0.0,0.0
01-11-2021,2913.21,2972.94,2897.3,2960.41,456330,,0.0,0.0
02-11-2021,2960.41,3079.42,2960.37,3019.78,502036,,0.0,0.0
03-11-2021,3030.88,3071.26,2927.92,2941.16,425741,,0.0,0.0
04-11-2021,2964.02,2979.04,2941.74,2956.54,31960,,0.0,0.0
08-11-2021,2989.96,3037.92,2932.82,3017.64,519399,,0.0,0.0
09-11-2021,3017.64,3086.15,2999.68,3006.9,625236,,0.0,0.0
10-11-2021,2988.09,3026.38,2963.98,2997.99,296942,,0.0,0.0
11-11-2021,2999.5,3012.52,2936.17,2984.75,357090,,0.0,0.0
12-11-2021,3035.34,3046.88,2967.63,2989.34,773128,,0.0,0.0
15-11-2021,3021.97,3070.91,3008.6,3051.16,488346,,0.0,0.0
16-11-2021,3070.82,3115.39,3054.95,3079.33,785380,,0.0,0.0
17-11-2021,3091.5,3112.71,3032.71,3068.9,547200,,0.0,0.0
18-11-2021,3084.37,3094.4,2955.78,2976.64,516894,,0.0,0.0
