Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,1528.56,1536.86,1498.9,1510.41,155992,,0.0,0.0
03-08-2021,1523.33,1525.24,1461.37,1475.96,245000,,0.0,0.0
04-08-2021,1486.26,1500.97,1435.66,1472.61,810660,,0.0,0.0
05-08-2021,1484.34,1531.01,1471.02,1485.3,915082,,0.0,0.0
06-08-2021,1494.18,1514.19,1493.63,1501.38,455188,,0.0,0.0
09-08-2021,1511.06,1520.98,1499.94,1507.23,356204,,0.0,0.0
10-08-2021,1512.26,1538.26,1505.64,1521.67,602514,,0.0,0.0
11-08-2021,1524.78,1533.85,1485.3,1490.38,575418,,0.0,0.0
12-08-2021,1497.84,1530.07,1491.87,1525.0,259504,,0.0,0.0
13-08-2021,1532.63,1534.89,1493.0,1504.29,287386,,0.0,0.0
16-08-2021,1511.78,1521.41,1473.96,1499.24,353788,,0.0,0.0
17-08-2021,1499.77,1573.41,1499.77,1546.4,1026918,,0.0,0.0
18-08-2021,1558.99,1567.15,1540.67,1547.62,414474,,0.0,0.0
20-08-2021,1563.78,1563.78,1517.65,1531.86,433050,,0.0,0.0
23-08-2021,1532.0,1552.7,1522.37,1547.6,447412,,0.0,0.0
24-08-2021,1544.52,1582.53,1535.85,1547.99,550334,,0.0,0.0
25-08-2021,1557.04,1576.78,1543.34,1553.35,406620,,0.0,0.0
26-08-2021,1558.48,1562.04,1531.04,1547.58,267792,,0.0,0.0
27-08-2021,1547.58,1571.96,1537.03,1566.43,405546,,0.0,0.0
30-08-2021,1574.37,1606.89,1574.37,1600.06,726446,,0.0,0.0
31-08-2021,1606.89,1617.15,1584.0,1599.43,405876,,0.0,0.0
01-09-2021,1622.51,1668.25,1593.63,1604.72,597098,,0.0,0.0
02-09-2021,1613.37,1644.18,1598.92,1628.75,293988,,0.0,0.0
03-09-2021,1636.96,1668.25,1623.0,1656.87,822686,,0.0,0.0
06-09-2021,1669.7,1709.18,1654.12,1700.37,609896,,0.0,0.0
07-09-2021,1709.18,1722.66,1681.25,1691.87,404206,,0.0,0.0
08-09-2021,1695.7,1701.96,1661.99,1667.19,338078,,0.0,0.0
09-09-2021,1668.71,1697.14,1668.3,1682.94,258832,,0.0,0.0
13-09-2021,1687.87,1757.32,1687.87,1727.33,538688,,0.0,0.0
14-09-2021,1738.52,1747.96,1718.81,1727.28,344584,,0.0,0.0
15-09-2021,1736.62,1773.6,1729.4,1759.1,594994,,0.0,0.0
16-09-2021,1769.07,1784.77,1759.42,1779.18,281598,,0.0,0.0
17-09-2021,1790.06,1809.71,1697.29,1703.4,570960,,0.0,0.0
20-09-2021,1706.24,1742.4,1689.92,1700.44,515502,,0.0,0.0
21-09-2021,1700.51,1742.88,1694.73,1723.79,414466,,0.0,0.0
22-09-2021,1735.66,1834.36,1733.27,1789.61,735746,,0.0,0.0
23-09-2021,1805.4,1848.2,1796.32,1816.06,349178,,0.0,0.0
24-09-2021,1841.58,1845.43,1793.65,1807.59,493842,,0.0,0.0
27-09-2021,1815.72,1829.04,1726.03,1737.01,358474,,0.0,0.0
28-09-2021,1752.17,1752.17,1656.43,1690.62,715810,,0.0,0.0
29-09-2021,1684.62,1721.21,1651.11,1705.69,558432,,0.0,0.0
30-09-2021,1748.18,1811.75,1748.18,1789.24,757602,,0.0,0.0
01-10-2021,1786.36,1810.24,1735.66,1754.07,641992,,0.0,0.0
04-10-2021,1766.95,1793.58,1757.3,1788.28,658814,,0.0,0.0
05-10-2021,1787.66,1824.73,1733.25,1805.97,713308,,0.0,0.0
06-10-2021,1819.43,1826.15,1781.69,1791.7,211844,,0.0,0.0
07-10-2021,1817.46,1840.13,1797.77,1835.25,550172,,0.0,0.0
08-10-2021,1839.65,1959.03,1839.65,1931.85,1577146,,0.0,0.0
11-10-2021,1945.07,1949.91,1878.19,1900.58,460282,,0.0,0.0
12-10-2021,1901.76,1923.35,1865.68,1873.38,387714,,0.0,0.0
13-10-2021,1887.32,1939.03,1866.13,1926.97,484052,,0.0,0.0
14-10-2021,1971.57,2065.46,1970.83,2027.9,1311418,,0.0,0.0
18-10-2021,2046.2,2064.13,1974.46,1987.7,497360,,0.0,0.0
19-10-2021,1997.28,2113.6,1974.53,2018.25,1417784,,0.0,0.0
20-10-2021,2021.64,2062.57,1907.15,2034.31,726160,,0.0,0.0
21-10-2021,2034.31,2043.29,1921.02,1943.53,862254,,0.0,0.0
22-10-2021,1947.45,1969.17,1768.25,1864.16,1495080,,0.0,0.0
25-10-2021,1880.58,1961.77,1768.54,1906.43,1020768,,0.0,0.0
26-10-2021,1906.43,1964.35,1849.28,1891.92,738320,,0.0,0.0
27-10-2021,1973.98,2005.27,1904.48,1944.15,1723522,,0.0,0.0
28-10-2021,1952.31,1973.98,1905.13,1920.3,752792,,0.0,0.0
29-10-2021,1924.87,1944.11,1878.17,1889.1,417422,,0.0,0.0
01-11-2021,1903.83,1973.31,1858.53,1950.34,445980,,0.0,0.0
02-11-2021,1950.34,1986.71,1944.15,1960.64,342076,,0.0,0.0
03-11-2021,1965.79,1965.79,1918.71,1927.28,133602,,0.0,0.0
04-11-2021,1949.67,1959.99,1930.62,1949.59,53084,,0.0,0.0
08-11-2021,1955.2,1983.61,1922.61,1975.95,609484,,0.0,0.0
09-11-2021,1984.57,2010.09,1969.38,1991.96,377424,,0.0,0.0
10-11-2021,1989.15,2021.64,1973.98,2000.07,255868,,0.0,0.0
11-11-2021,2000.07,2007.03,1973.98,1988.69,179188,,0.0,0.0
12-11-2021,1995.28,2012.5,1981.2,1996.58,406404,,0.0,0.0
15-11-2021,2000.46,2058.09,1994.2,2049.01,524832,,0.0,0.0
16-11-2021,2051.04,2079.42,2043.79,2070.85,593044,,0.0,0.0
17-11-2021,2070.27,2089.87,2055.83,2078.19,360424,,0.0,0.0
18-11-2021,2093.38,2137.6,1976.58,2003.57,944192,,0.0,0.0
22-11-2021,2003.57,2003.57,1904.19,1975.11,431778,,0.0,0.0
23-11-2021,1963.7,2024.51,1925.83,2011.41,298572,,0.0,0.0
24-11-2021,2011.0,2022.1,1959.78,1977.45,318870,,0.0,0.0
25-11-2021,1990.35,1990.35,1945.12,1956.79,458902,,0.0,0.0
26-11-2021,1954.72,1973.98,1871.65,1882.07,298778,,0.0,0.0
29-11-2021,1829.54,1943.89,1805.47,1931.73,472990,,0.0,0.0
30-11-2021,1951.04,2050.53,1940.28,1992.66,983242,,0.0,0.0
01-12-2021,1993.24,2034.16,1978.79,2025.47,348362,,0.0,0.0
02-12-2021,2026.96,2132.91,2022.41,2114.85,980888,,0.0,0.0
03-12-2021,2126.48,2135.17,2077.83,2087.72,549884,,0.0,0.0
06-12-2021,2087.72,2092.64,2034.19,2041.72,280808,,0.0,0.0
07-12-2021,2054.38,2069.45,1988.57,2010.74,410144,,0.0,0.0
08-12-2021,2028.87,2108.21,2026.03,2063.94,720126,,0.0,0.0
09-12-2021,2082.91,2096.49,2061.12,2088.64,440200,,0.0,0.0
10-12-2021,2087.19,2098.63,2065.46,2088.37,237402,,0.0,0.0
13-12-2021,2099.16,2190.64,2098.68,2124.68,1099526,,0.0,0.0
14-12-2021,2141.53,2147.06,2082.45,2122.22,665102,,0.0,0.0
15-12-2021,2128.05,2142.49,2087.12,2110.45,393188,,0.0,0.0
