Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,150.83,157.73,150.63,156.87,6867586,,0.0,0.0
03-08-2021,158.31,158.82,156.29,157.93,4705963,,0.0,0.0
04-08-2021,158.42,159.49,155.29,156.55,3655653,,0.0,0.0
05-08-2021,155.26,155.83,150.95,152.38,7660741,,0.0,0.0
06-08-2021,155.26,155.58,152.04,152.36,5376993,,0.0,0.0
09-08-2021,153.16,153.65,149.54,150.66,2687301,,0.0,0.0
10-08-2021,150.95,151.69,147.3,148.33,4572001,,0.0,0.0
11-08-2021,148.27,150.14,146.86,148.88,5957812,,0.0,0.0
12-08-2021,148.65,149.91,145.8,146.75,6109710,,0.0,0.0
13-08-2021,146.98,148.36,145.69,146.66,2874657,,0.0,0.0
16-08-2021,146.61,148.59,145.54,148.19,3707032,,0.0,0.0
17-08-2021,148.33,148.68,145.28,145.83,3046527,,0.0,0.0
18-08-2021,146.46,147.09,144.68,145.94,4446232,,0.0,0.0
20-08-2021,144.88,145.34,141.52,142.15,4416649,,0.0,0.0
23-08-2021,143.13,144.16,140.6,141.26,3471126,,0.0,0.0
24-08-2021,142.03,144.28,141.46,143.61,3727245,,0.0,0.0
25-08-2021,143.96,149.22,143.82,148.27,4895659,,0.0,0.0
26-08-2021,148.5,148.62,145.86,146.92,3046735,,0.0,0.0
27-08-2021,147.21,148.59,146.63,147.55,1594750,,0.0,0.0
30-08-2021,148.59,149.94,147.21,149.28,4575463,,0.0,0.0
31-08-2021,149.51,154.28,148.07,153.3,8793603,,0.0,0.0
01-09-2021,154.6,155.2,151.61,153.33,3557070,,0.0,0.0
02-09-2021,153.36,155.75,153.13,153.36,3554863,,0.0,0.0
03-09-2021,153.65,159.08,153.13,158.68,8888422,,0.0,0.0
06-09-2021,159.17,159.86,154.68,155.23,6053961,,0.0,0.0
07-09-2021,156.09,158.02,153.16,153.74,3889797,,0.0,0.0
08-09-2021,153.02,155.98,153.02,155.17,5026911,,0.0,0.0
09-09-2021,155.2,157.65,154.14,154.48,5245894,,0.0,0.0
13-09-2021,155.09,156.67,153.13,155.63,4328044,,0.0,0.0
14-09-2021,156.67,158.62,155.66,157.65,4817755,,0.0,0.0
15-09-2021,158.59,160.87,157.3,158.54,7388208,,0.0,0.0
16-09-2021,159.51,163.54,158.34,162.45,7564597,,0.0,0.0
17-09-2021,163.88,164.52,157.62,162.71,16855150,,0.0,0.0
20-09-2021,162.16,162.16,155.32,156.7,9418050,,0.0,0.0
21-09-2021,156.12,157.16,153.25,156.27,5120731,,0.0,0.0
22-09-2021,156.12,160.09,155.72,159.05,3303961,,0.0,0.0
23-09-2021,159.17,162.42,159.17,161.01,4833658,,0.0,0.0
24-09-2021,161.12,162.39,157.62,158.02,3539590,,0.0,0.0
27-09-2021,158.88,160.32,156.75,159.72,3441163,,0.0,0.0
28-09-2021,159.28,168.6,159.28,167.68,15925833,,0.0,0.0
29-09-2021,168.14,173.03,166.19,172.28,17890582,,0.0,0.0
30-09-2021,171.65,174.12,169.64,172.51,7993638,,0.0,0.0
01-10-2021,172.28,175.96,170.79,171.91,6220234,,0.0,0.0
04-10-2021,171.99,174.58,171.94,174.12,4617247,,0.0,0.0
05-10-2021,174.21,181.65,173.29,180.82,15918579,,0.0,0.0
06-10-2021,180.53,182.83,178.0,179.18,7275597,,0.0,0.0
07-10-2021,180.56,186.14,180.22,183.72,9860400,,0.0,0.0
