Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,88.55,88.57,86.29,86.76,529873,,0.0,0.0
03-08-2021,86.29,87.47,85.61,87.03,1137942,,0.0,0.0
04-08-2021,87.5,87.5,86.37,86.82,627004,,0.0,0.0
05-08-2021,86.53,86.53,84.75,85.38,342198,,0.0,0.0
06-08-2021,85.93,88.13,85.38,87.73,1279092,,0.0,0.0
09-08-2021,87.55,87.97,82.47,86.76,676645,,0.0,0.0
10-08-2021,86.79,87.03,83.36,84.27,453799,,0.0,0.0
11-08-2021,84.88,86.48,83.78,85.72,953431,,0.0,0.0
12-08-2021,85.98,89.65,85.3,86.24,4996633,,0.0,0.0
13-08-2021,86.29,88.15,85.98,87.21,836350,,0.0,0.0
16-08-2021,87.03,87.66,85.17,85.48,650596,,0.0,0.0
17-08-2021,85.4,87.94,84.35,87.5,1740600,,0.0,0.0
18-08-2021,88.08,89.18,84.56,85.74,1286482,,0.0,0.0
20-08-2021,84.93,88.6,84.72,87.21,918223,,0.0,0.0
23-08-2021,87.66,90.17,87.26,88.15,2251516,,0.0,0.0
24-08-2021,89.12,89.96,88.65,89.7,1553652,,0.0,0.0
25-08-2021,90.17,92.79,89.88,92.3,2733174,,0.0,0.0
26-08-2021,92.58,95.52,92.01,94.18,7055380,,0.0,0.0
27-08-2021,93.61,95.68,91.77,92.56,1539042,,0.0,0.0
30-08-2021,92.79,93.89,90.96,91.25,1331863,,0.0,0.0
31-08-2021,91.17,98.04,90.8,95.41,3037926,,0.0,0.0
01-09-2021,95.31,95.31,93.37,94.1,1131028,,0.0,0.0
02-09-2021,93.55,94.58,93.5,93.97,426120,,0.0,0.0
03-09-2021,94.79,95.94,93.84,94.31,1296975,,0.0,0.0
06-09-2021,92.45,94.1,91.8,92.37,1083849,,0.0,0.0
07-09-2021,92.79,94.89,92.56,94.6,1007589,,0.0,0.0
08-09-2021,94.89,100.13,94.89,99.43,4855351,,0.0,0.0
09-09-2021,99.08,104.25,98.14,102.18,5485960,,0.0,0.0
13-09-2021,103.17,103.59,99.61,101.37,1720293,,0.0,0.0
14-09-2021,101.92,105.22,101.89,104.01,1975723,,0.0,0.0
15-09-2021,104.83,109.54,104.59,107.92,4761853,,0.0,0.0
16-09-2021,110.11,112.64,110.11,111.69,2937583,,1.0,0.0
17-09-2021,111.96,113.54,104.3,105.52,4216492,,0.0,0.0
20-09-2021,105.46,107.65,102.08,103.06,1578387,,0.0,0.0
21-09-2021,105.04,111.35,104.72,110.32,5146116,,0.0,0.0
22-09-2021,110.9,116.08,110.48,114.6,4230993,,0.0,0.0
23-09-2021,116.71,117.61,112.41,112.94,2566795,,0.0,0.0
24-09-2021,114.23,115.89,113.36,114.6,2508634,,0.0,0.0
27-09-2021,115.97,116.68,114.65,115.81,1475445,,0.0,0.0
28-09-2021,116.47,124.05,115.29,123.18,8120884,,0.0,0.0
29-09-2021,122.73,139.95,120.94,134.38,15627004,,0.0,0.0
30-09-2021,135.7,140.85,134.38,137.41,10643524,,0.0,0.0
01-10-2021,137.84,141.43,130.94,132.05,7403329,,0.0,0.0
04-10-2021,132.0,132.03,126.77,127.59,2417551,,0.0,0.0
05-10-2021,129.07,133.06,127.83,128.3,6779473,,0.0,0.0
06-10-2021,130.07,135.17,128.91,131.26,7200660,,0.0,0.0
07-10-2021,132.5,133.0,127.48,128.04,1963777,,0.0,0.0
08-10-2021,130.36,131.47,126.27,126.61,2362923,,0.0,0.0
11-10-2021,127.59,128.65,125.72,126.43,1463887,,0.0,0.0
12-10-2021,126.43,127.04,123.81,124.08,1501021,,0.0,0.0
13-10-2021,124.16,124.37,120.94,121.31,1612519,,0.0,0.0
14-10-2021,121.46,128.33,121.44,124.21,3108204,,0.0,0.0
18-10-2021,127.27,127.56,123.92,124.4,2281527,,0.0,0.0
19-10-2021,124.63,126.19,122.73,123.31,1052953,,0.0,0.0
20-10-2021,123.0,123.34,118.88,120.59,1112676,,0.0,0.0
21-10-2021,122.52,123.6,111.46,114.6,18572023,,0.0,0.0
22-10-2021,116.71,117.24,109.69,110.61,2133114,,0.0,0.0
25-10-2021,111.19,120.65,111.19,118.93,5263405,,0.0,0.0
26-10-2021,119.33,119.93,114.18,116.45,3418975,,0.0,0.0
27-10-2021,115.55,118.64,114.68,117.32,2010363,,0.0,0.0
28-10-2021,114.63,118.16,113.54,115.26,1744074,,0.0,0.0
29-10-2021,115.13,119.88,114.6,118.85,3636811,,0.0,0.0
01-11-2021,115.66,120.33,115.66,119.01,1455162,,0.0,0.0
02-11-2021,119.3,120.36,116.18,116.68,2091690,,0.0,0.0
03-11-2021,116.68,116.98,114.12,114.7,1890732,,0.0,0.0
04-11-2021,115.58,116.95,115.58,116.32,126199,,0.0,0.0
08-11-2021,116.71,118.24,115.15,117.37,796320,,0.0,0.0
09-11-2021,118.01,120.94,115.84,117.11,1652910,,0.0,0.0
10-11-2021,117.34,119.46,116.18,117.21,1089075,,0.0,0.0
11-11-2021,115.87,118.8,114.12,114.41,1819812,,0.0,0.0
12-11-2021,117.82,118.24,116.68,117.19,3040726,,0.0,0.0
15-11-2021,117.19,119.35,116.32,117.13,833911,,0.0,0.0
16-11-2021,117.77,118.3,116.29,117.74,667278,,0.0,0.0
17-11-2021,116.5,118.4,115.23,116.18,868194,,0.0,0.0
18-11-2021,115.81,116.05,112.09,112.49,1381053,,0.0,0.0
22-11-2021,112.7,113.52,102.51,103.22,3012022,,0.0,0.0
23-11-2021,105.34,107.55,103.19,106.1,1360119,,2.33,0.0
24-11-2021,107.55,110.29,107.06,109.13,1488378,,0.0,0.0
25-11-2021,110.07,112.17,108.73,109.4,1038628,,0.0,0.0
26-11-2021,109.03,110.72,105.93,106.77,2082150,,0.0,0.0
