Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,22.16,22.83,22.0,22.16,16880445,,0.0,0.0
03-08-2021,22.16,22.33,22.04,22.08,6380683,,0.0,0.0
04-08-2021,22.16,22.58,21.79,21.87,6560824,,0.0,0.0
05-08-2021,21.87,22.04,21.7,21.91,3080199,,0.0,0.0
06-08-2021,21.83,21.95,21.7,21.75,2914322,,0.0,0.0
09-08-2021,21.75,22.08,21.75,21.91,2428946,,0.0,0.0
10-08-2021,22.0,22.0,21.41,21.49,3163939,,0.0,0.0
11-08-2021,21.58,21.91,21.16,21.75,4603628,,0.0,0.0
12-08-2021,21.87,21.87,21.66,21.75,2300752,,0.0,0.0
13-08-2021,21.83,22.5,21.75,22.25,4759762,,0.0,0.0
16-08-2021,22.37,22.37,21.83,21.91,5623083,,0.0,0.0
17-08-2021,21.91,22.08,21.79,21.87,5671260,,0.0,0.0
18-08-2021,21.91,22.46,21.83,21.91,7242368,,0.0,0.0
20-08-2021,21.91,22.08,21.83,21.95,3558159,,0.0,0.0
23-08-2021,22.0,22.12,21.7,21.91,4587709,,0.0,0.0
24-08-2021,22.08,22.25,21.91,22.0,6301003,,0.0,0.0
25-08-2021,22.0,22.21,21.95,22.08,4284460,,0.0,0.0
26-08-2021,22.08,22.21,22.0,22.08,2871355,,0.0,0.0
27-08-2021,22.08,22.25,22.0,22.16,5524479,,0.0,0.0
30-08-2021,22.25,22.37,22.21,22.33,2792931,,0.0,0.0
31-08-2021,22.5,22.75,22.37,22.54,18999730,,0.0,0.0
01-09-2021,22.62,23.92,22.29,22.75,105905264,,0.0,0.0
02-09-2021,22.92,23.75,22.83,23.46,24507853,,0.0,0.0
03-09-2021,23.63,23.63,23.04,23.17,7431436,,0.0,0.0
06-09-2021,23.34,23.34,22.79,22.88,5534062,,0.0,0.0
07-09-2021,22.83,23.0,22.5,22.83,7609984,,0.0,0.0
08-09-2021,22.92,23.08,22.79,23.0,2015915,,0.0,0.0
09-09-2021,23.04,23.13,22.75,22.92,2835567,,0.0,0.0
13-09-2021,22.92,23.13,22.83,23.08,3603814,,0.0,0.0
14-09-2021,23.08,23.17,22.83,23.08,3118139,,0.0,0.0
15-09-2021,23.13,23.59,23.0,23.38,11351765,,0.0,0.0
16-09-2021,23.55,23.93,23.46,23.8,8689658,,0.35,0.0
17-09-2021,23.84,23.84,23.0,23.46,8478012,,0.0,0.0
20-09-2021,23.42,23.72,23.25,23.67,5160370,,0.0,0.0
21-09-2021,23.8,23.8,23.08,23.25,3057872,,0.0,0.0
22-09-2021,23.46,23.46,23.04,23.12,2010083,,0.0,0.0
23-09-2021,23.21,23.8,23.08,23.5,8964666,,0.0,0.0
24-09-2021,23.5,23.89,23.5,23.67,6112661,,0.0,0.0
27-09-2021,23.76,23.8,23.17,23.5,2639851,,0.0,0.0
28-09-2021,23.55,24.48,23.46,23.97,15391270,,0.0,0.0
29-09-2021,24.48,25.03,24.05,24.82,49407780,,0.0,0.0
30-09-2021,25.16,25.49,24.9,25.28,16721645,,0.0,0.0
01-10-2021,25.24,25.24,24.39,24.65,8758023,,0.0,0.0
04-10-2021,24.99,25.32,24.86,25.16,5360130,,0.0,0.0
05-10-2021,25.32,25.58,25.24,25.49,13082841,,0.0,0.0
06-10-2021,25.62,25.71,25.41,25.62,11816465,,0.0,0.0
07-10-2021,25.96,26.13,25.75,25.88,5925842,,0.0,0.0
08-10-2021,26.26,26.26,25.71,25.92,5049101,,0.0,0.0
11-10-2021,26.26,26.26,25.75,25.88,7480325,,0.0,0.0
12-10-2021,25.92,26.04,25.37,25.49,4625421,,0.0,0.0
13-10-2021,25.75,25.75,24.6,24.82,7779181,,0.0,0.0
14-10-2021,25.11,26.43,25.03,26.17,14468309,,0.0,0.0
18-10-2021,26.76,31.38,26.38,30.07,99121664,,0.0,0.0
19-10-2021,30.66,31.04,28.37,28.84,32946758,,0.0,0.0
20-10-2021,29.01,29.01,27.15,27.36,11853827,,0.0,0.0
21-10-2021,27.78,28.08,26.04,26.34,12293127,,0.0,0.0
22-10-2021,26.68,27.74,26.26,27.44,17399594,,0.0,0.0
25-10-2021,27.87,28.08,26.68,27.44,11105504,,0.0,0.0
26-10-2021,27.36,27.78,26.51,26.68,12705415,,0.0,0.0
27-10-2021,26.98,27.23,26.6,26.76,5069463,,0.0,0.0
28-10-2021,27.06,27.23,26.17,26.34,6233438,,0.0,0.0
29-10-2021,26.38,26.38,25.49,26.0,6302140,,0.0,0.0
01-11-2021,26.26,27.19,26.13,27.06,4458450,,0.0,0.0
02-11-2021,27.1,27.32,26.68,26.76,3700476,,0.0,0.0
03-11-2021,26.98,26.98,25.58,25.75,7219594,,0.0,0.0
04-11-2021,26.0,26.34,25.92,26.21,1573909,,0.0,0.0
08-11-2021,26.43,27.23,26.13,27.06,6713458,,0.0,0.0
09-11-2021,27.1,27.82,27.02,27.61,5772115,,0.0,0.0
10-11-2021,27.7,28.12,27.19,27.32,4463155,,0.0,0.0
11-11-2021,27.4,27.44,26.89,27.15,4698113,,0.0,0.0
12-11-2021,27.4,28.04,27.19,27.36,10547305,,0.0,0.0
15-11-2021,27.36,27.65,26.85,26.93,4777578,,0.0,0.0
16-11-2021,27.1,29.39,26.93,28.71,22872229,,0.0,0.0
17-11-2021,28.8,29.52,27.82,28.08,14367451,,0.0,0.0
18-11-2021,28.16,28.42,27.15,27.61,11326550,,0.0,0.0
22-11-2021,27.87,27.87,26.43,26.55,8147305,,0.0,0.0
23-11-2021,26.51,27.06,26.0,26.76,5476269,,0.0,0.0
24-11-2021,27.02,27.23,26.38,26.47,7554572,,0.0,0.0
25-11-2021,26.55,26.6,26.17,26.34,4193270,,0.0,0.0
26-11-2021,26.21,26.43,25.83,25.96,5018226,,0.0,0.0
29-11-2021,25.41,26.13,24.65,25.66,7389085,,0.0,0.0
30-11-2021,25.71,26.51,25.66,26.34,5416702,,0.0,0.0
01-12-2021,26.55,26.93,26.34,26.72,5763012,,0.0,0.0
02-12-2021,26.93,27.44,26.93,27.32,6183580,,0.0,0.0
03-12-2021,27.53,28.54,27.4,27.57,11495189,,0.0,0.0
06-12-2021,27.7,28.5,27.48,28.29,18407697,,0.0,0.0
07-12-2021,28.54,29.22,28.2,28.42,6480043,,0.0,0.0
08-12-2021,28.88,29.56,28.46,28.54,6583659,,0.0,0.0
09-12-2021,29.05,29.05,27.78,27.87,7198862,,0.0,0.0
10-12-2021,27.87,27.95,27.02,27.19,12527829,,0.0,0.0
13-12-2021,27.4,27.61,26.68,26.98,5282213,,0.0,0.0
14-12-2021,26.76,27.1,26.68,26.81,2628857,,0.0,0.0
15-12-2021,26.89,27.27,26.13,26.21,8299994,,0.0,0.0
16-12-2021,26.55,26.68,26.09,26.17,6574893,,0.0,0.0
17-12-2021,26.17,26.85,25.66,26.6,6181243,,0.0,0.0
20-12-2021,26.38,26.38,24.77,24.9,7184222,,0.0,0.0
21-12-2021,25.2,26.55,25.11,26.21,5796186,,0.0,0.0
22-12-2021,26.17,26.38,25.71,26.26,4400281,,0.0,0.0
23-12-2021,26.3,26.55,26.09,26.17,2121388,,0.0,0.0
24-12-2021,26.17,26.26,25.49,25.71,3175921,,0.0,0.0
27-12-2021,25.54,25.83,25.41,25.45,4479995,,0.0,0.0
28-12-2021,25.54,26.55,25.54,26.17,5134587,,0.0,0.0
29-12-2021,26.26,26.81,25.83,25.96,4706368,,0.0,0.0
30-12-2021,25.96,27.1,25.92,26.47,53960683,,0.0,0.0
31-12-2021,26.21,26.6,26.13,26.21,3573999,,0.0,0.0
03-01-2022,26.3,26.64,26.21,26.43,2389441,,0.0,0.0
04-01-2022,26.6,26.81,26.3,26.55,5352834,,0.0,0.0
05-01-2022,26.68,26.76,26.43,26.68,3605860,,0.0,0.0
06-01-2022,26.85,27.57,26.76,27.15,12588694,,0.0,0.0
07-01-2022,27.23,27.32,26.3,26.43,7081993,,0.0,0.0
10-01-2022,26.68,27.06,26.51,26.72,4365834,,0.0,0.0
11-01-2022,26.21,26.64,26.17,26.3,3487172,,0.0,0.0
12-01-2022,26.43,27.15,26.34,26.68,5834931,,0.0,0.0
13-01-2022,26.93,27.19,26.47,26.85,5536473,,0.0,0.0
14-01-2022,26.89,26.89,26.34,26.43,5556716,,0.0,0.0
17-01-2022,26.55,26.85,26.47,26.64,7092680,,0.0,0.0
18-01-2022,26.81,26.89,26.43,26.51,4155691,,0.0,0.0
19-01-2022,26.6,26.64,26.3,26.34,2310667,,0.0,0.0
20-01-2022,26.3,26.43,25.92,25.96,4358241,,0.0,0.0
21-01-2022,25.92,26.26,25.71,25.79,3541778,,0.0,0.0
24-01-2022,25.75,25.79,25.03,25.24,3780076,,0.0,0.0
25-01-2022,25.16,25.62,24.86,25.32,4304781,,0.0,0.0
27-01-2022,25.32,26.64,25.28,25.37,3808475,,0.0,0.0
28-01-2022,25.54,25.75,25.11,25.2,8797384,,0.0,0.0
31-01-2022,25.41,25.54,25.24,25.41,3324551,,0.0,0.0
01-02-2022,25.58,25.62,25.24,25.32,3268283,,0.0,0.0
02-02-2022,25.58,25.71,25.32,25.37,3171121,,0.0,0.0
03-02-2022,25.41,25.71,25.32,25.37,3706845,,0.0,0.0
04-02-2022,25.54,25.58,25.28,25.32,2252827,,0.0,0.0
07-02-2022,25.41,25.49,25.28,25.37,2895330,,0.0,0.0
08-02-2022,25.37,25.45,24.99,25.03,3674570,,0.0,0.0
09-02-2022,25.2,25.24,25.07,25.2,2558294,,0.0,0.0
10-02-2022,25.24,25.24,24.9,25.07,4339168,,0.0,0.0
11-02-2022,24.99,25.07,24.65,24.82,3409504,,0.0,0.0
14-02-2022,24.56,25.28,24.31,24.94,5479007,,0.0,0.0
15-02-2022,24.99,25.49,24.77,25.28,6260947,,0.0,0.0
16-02-2022,25.37,25.49,25.32,25.41,1854214,,0.0,0.0
17-02-2022,25.49,25.66,25.28,25.37,4180425,,0.0,0.0
18-02-2022,25.37,25.54,25.32,25.37,2232378,,0.0,0.0
21-02-2022,25.49,25.54,25.2,25.45,3801085,,0.0,0.0
22-02-2022,25.37,25.68,25.28,25.51,4775889,,1.31,0.0
23-02-2022,25.51,25.55,24.97,25.02,3717405,,0.0,0.0
24-02-2022,24.66,24.97,24.04,24.13,7407497,,0.0,0.0
25-02-2022,24.49,24.93,24.13,24.53,5890171,,0.0,0.0
28-02-2022,24.27,24.75,23.96,24.27,4516866,,0.0,0.0
02-03-2022,24.18,26.13,24.13,25.77,7467734,,0.0,0.0
03-03-2022,26.04,26.3,25.11,25.95,5384076,,0.0,0.0
04-03-2022,25.95,25.95,24.8,24.84,5297945,,0.0,0.0
07-03-2022,24.53,25.55,24.49,25.37,6072026,,0.0,0.0
08-03-2022,25.46,25.86,25.06,25.37,5395346,,0.0,0.0
09-03-2022,25.77,25.82,25.51,25.55,3259116,,0.0,0.0
10-03-2022,25.9,25.9,25.24,25.28,2787791,,0.0,0.0
11-03-2022,25.46,25.51,25.06,25.2,3275611,,0.0,0.0
14-03-2022,25.37,25.42,24.66,24.89,9659681,,0.0,0.0
15-03-2022,25.06,25.2,24.84,24.93,7059706,,0.0,0.0
16-03-2022,25.11,25.2,24.8,25.06,8735064,,0.0,0.0
17-03-2022,25.15,25.24,24.66,24.84,13183789,,0.0,0.0
21-03-2022,25.02,25.28,24.62,24.71,7828677,,0.0,0.0
22-03-2022,24.8,24.89,24.62,24.66,2685177,,0.0,0.0
23-03-2022,24.66,24.84,24.27,24.31,4705969,,0.0,0.0
24-03-2022,24.22,24.66,24.18,24.27,5313291,,0.0,0.0
25-03-2022,24.49,24.49,24.09,24.13,3000370,,0.0,0.0
28-03-2022,24.18,24.53,24.04,24.27,9652721,,0.0,0.0
29-03-2022,24.31,24.75,23.96,24.22,54180022,,0.0,0.0
30-03-2022,24.35,24.49,24.13,24.18,9478663,,0.0,0.0
31-03-2022,24.22,26.26,24.18,24.62,15970927,,0.0,0.0
01-04-2022,24.62,25.15,24.4,24.66,10739176,,0.0,0.0
04-04-2022,25.06,25.46,24.93,25.24,7400381,,0.0,0.0
05-04-2022,25.33,26.43,25.06,26.21,13070901,,0.0,0.0
06-04-2022,26.39,26.7,25.99,26.21,14502551,,0.0,0.0
07-04-2022,26.35,27.72,25.82,27.23,25111556,,0.0,0.0
08-04-2022,27.36,27.76,26.92,27.05,10576793,,0.0,0.0
11-04-2022,26.92,28.52,26.88,28.34,22811982,,0.0,0.0
12-04-2022,28.34,28.47,27.32,27.5,8718391,,0.0,0.0
13-04-2022,27.67,28.6,27.54,27.94,8380087,,0.0,0.0
18-04-2022,28.03,29.76,27.72,29.31,32405205,,0.0,0.0
19-04-2022,29.4,31.26,29.22,29.84,36561595,,0.0,0.0
20-04-2022,30.29,31.35,30.11,30.91,20353038,,0.0,0.0
21-04-2022,31.35,32.24,31.17,31.93,34050132,,0.0,0.0
22-04-2022,31.7,33.3,31.0,31.48,38114962,,0.0,0.0
25-04-2022,31.31,31.53,29.84,30.02,17471401,,0.0,0.0
26-04-2022,30.46,30.77,29.58,29.93,16238525,,0.0,0.0
27-04-2022,29.76,30.38,28.96,29.14,12690861,,0.0,0.0
28-04-2022,29.49,30.38,29.22,30.02,11314059,,0.0,0.0
29-04-2022,30.29,30.73,29.14,29.4,10801652,,0.0,0.0
02-05-2022,29.18,30.07,29.05,29.62,11783480,,0.0,0.0
04-05-2022,29.67,29.98,28.34,28.74,11493667,,0.0,0.0
05-05-2022,29.0,29.76,28.52,28.69,7053280,,0.0,0.0
06-05-2022,28.29,30.2,28.07,29.89,20927609,,0.0,0.0
09-05-2022,29.89,29.93,29.0,29.49,10139808,,0.0,0.0
10-05-2022,29.58,29.8,27.94,28.29,6980690,,0.0,0.0
11-05-2022,28.25,28.74,26.61,27.1,12482870,,0.0,0.0
12-05-2022,26.88,27.98,26.79,27.72,14390136,,0.0,0.0
13-05-2022,28.29,28.74,27.36,27.59,7446075,,0.0,0.0
16-05-2022,27.41,28.43,27.23,28.21,9895240,,0.0,0.0
17-05-2022,28.29,29.22,28.12,29.14,7321697,,0.0,0.0
18-05-2022,29.18,29.36,28.34,28.38,5367476,,0.0,0.0
19-05-2022,27.81,28.43,27.63,28.12,8310062,,0.0,0.0
20-05-2022,28.69,28.78,28.25,28.34,4950170,,0.0,0.0
23-05-2022,28.6,29.05,28.34,28.69,4126832,,0.0,0.0
24-05-2022,28.87,29.58,28.34,29.36,11692430,,0.0,0.0
25-05-2022,29.22,29.22,27.81,28.25,9997527,,0.0,0.0
26-05-2022,28.25,29.14,27.14,28.91,8489342,,0.0,0.0
27-05-2022,29.0,29.71,28.47,29.45,7519540,,0.0,0.0
30-05-2022,29.76,30.07,29.45,29.71,6391515,,0.0,0.0
31-05-2022,29.58,30.11,29.36,29.8,11853865,,0.0,0.0
01-06-2022,29.8,30.33,29.67,30.2,7646789,,0.0,0.0
02-06-2022,29.98,30.24,29.53,29.58,5640193,,0.0,0.0
03-06-2022,29.71,29.93,28.78,28.83,2979087,,0.0,0.0
06-06-2022,28.96,29.53,28.69,29.31,3357268,,0.0,0.0
07-06-2022,29.22,30.15,29.0,30.02,5049531,,0.0,0.0
