Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,1593.3,1666.94,1593.3,1649.73,2207454,,0.0,0.0
03-08-2021,1652.01,1689.68,1598.22,1651.57,4419464,,0.0,0.0
04-08-2021,1633.11,1670.58,1613.25,1629.47,1351552,,0.0,0.0
05-08-2021,1626.14,1637.39,1592.3,1596.98,561956,,0.0,0.0
06-08-2021,1602.26,1618.28,1571.16,1574.99,473497,,0.0,0.0
09-08-2021,1580.36,1600.66,1552.5,1555.43,390077,,0.0,0.0
10-08-2021,1562.45,1574.39,1510.9,1541.25,450444,,0.0,0.0
11-08-2021,1546.52,1556.63,1486.91,1538.56,810532,,0.0,0.0
12-08-2021,1522.64,1560.95,1513.63,1549.51,463899,,0.0,0.0
13-08-2021,1549.51,1559.61,1532.59,1539.01,236760,,0.0,0.0
16-08-2021,1539.01,1553.79,1509.7,1539.31,341245,,0.0,0.0
17-08-2021,1541.3,1549.11,1500.55,1515.62,477050,,0.0,0.0
18-08-2021,1522.64,1522.79,1489.25,1499.85,525931,,0.0,0.0
20-08-2021,1497.76,1503.63,1457.95,1477.81,787847,,0.0,0.0
23-08-2021,1482.83,1499.65,1460.94,1468.75,1210796,,0.0,0.0
24-08-2021,1474.87,1484.62,1444.72,1452.03,695322,,0.0,0.0
25-08-2021,1457.95,1461.29,1424.51,1433.57,652734,,0.0,0.0
26-08-2021,1433.07,1470.64,1426.41,1458.2,756332,,0.0,0.0
27-08-2021,1454.97,1477.86,1452.33,1466.61,586448,,0.0,0.0
30-08-2021,1458.95,1497.71,1458.95,1487.16,581027,,0.0,0.0
31-08-2021,1487.81,1508.21,1448.75,1481.84,554834,,0.0,0.0
01-09-2021,1486.81,1565.23,1470.34,1553.04,1496573,,0.0,0.0
02-09-2021,1560.76,1602.01,1552.5,1587.73,1477203,,0.0,0.0
03-09-2021,1595.29,1608.23,1558.47,1572.8,772024,,0.0,0.0
06-09-2021,1573.3,1606.09,1569.96,1597.53,656360,,0.0,0.0
07-09-2021,1605.19,1605.19,1555.83,1569.71,456386,,0.0,0.0
08-09-2021,1569.71,1587.33,1557.47,1575.53,332605,,0.0,0.0
09-09-2021,1569.41,1578.87,1557.47,1573.94,269829,,0.0,0.0
13-09-2021,1566.53,1602.26,1566.33,1598.17,596095,,0.0,0.0
14-09-2021,1606.24,1621.16,1598.27,1608.03,566580,,0.0,0.0
15-09-2021,1610.22,1639.08,1602.26,1625.34,507427,,0.0,0.0
16-09-2021,1626.64,1637.09,1603.8,1632.56,452237,,0.0,0.0
17-09-2021,1632.01,1647.74,1598.27,1621.71,641005,,0.0,0.0
20-09-2021,1606.24,1666.94,1594.34,1637.04,1001594,,0.0,0.0
21-09-2021,1647.04,1750.14,1643.06,1715.36,4137923,,0.0,0.0
22-09-2021,1730.58,1963.51,1718.39,1941.71,5971823,,0.0,0.0
23-09-2021,1950.57,2303.17,1947.64,2188.72,11219241,,0.0,0.0
24-09-2021,2189.27,2262.81,2142.0,2180.91,5607060,,0.0,0.0
27-09-2021,2181.95,2317.7,2176.48,2274.7,4089990,,0.0,0.0
28-09-2021,2271.57,2297.89,2152.74,2223.45,2750782,,0.0,0.0
29-09-2021,2218.97,2398.41,2187.43,2298.39,5653173,,0.0,0.0
30-09-2021,2313.82,2338.5,2278.98,2300.78,2356351,,0.0,0.0
01-10-2021,2300.88,2328.74,2194.39,2222.56,2125602,,0.0,0.0
04-10-2021,2229.17,2375.52,2226.84,2326.31,2543257,,0.0,0.0
05-10-2021,2333.72,2336.21,2249.13,2274.46,1527266,,0.0,0.0
06-10-2021,2285.85,2308.49,2249.63,2276.05,1227796,,0.0,0.0
07-10-2021,2297.35,2485.98,2297.35,2464.89,3823955,,0.0,0.0
08-10-2021,2486.98,2487.77,2303.17,2348.15,2624058,,0.0,0.0
