Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,432.18,455.26,430.8,444.48,1454190,,0.0,0.0
03-08-2021,448.24,449.43,441.68,444.9,262192,,0.0,0.0
04-08-2021,447.1,453.05,423.91,428.19,660378,,0.0,0.0
05-08-2021,424.48,435.5,412.75,433.15,1340126,,0.0,0.0
06-08-2021,434.51,444.08,430.92,438.23,368106,,0.0,0.0
09-08-2021,436.22,444.62,423.81,430.23,371064,,0.0,0.0
10-08-2021,426.33,435.55,412.41,416.45,409548,,0.0,0.0
11-08-2021,418.8,424.08,408.34,417.54,381580,,0.0,0.0
12-08-2021,423.81,432.8,417.86,426.68,811908,,0.0,0.0
13-08-2021,420.68,442.67,420.34,428.39,325504,,0.0,0.0
16-08-2021,423.21,425.29,417.71,420.71,85792,,0.0,0.0
17-08-2021,417.83,420.81,410.42,415.9,216396,,0.0,0.0
18-08-2021,411.59,416.77,408.94,411.93,117694,,0.0,0.0
20-08-2021,406.48,411.34,399.02,401.1,330808,,0.0,0.0
23-08-2021,400.01,413.07,393.27,398.28,295592,,0.0,0.0
24-08-2021,400.29,413.79,398.28,411.41,314200,,0.0,0.0
25-08-2021,414.83,423.81,413.32,421.23,211794,,0.0,0.0
26-08-2021,423.31,431.22,416.92,426.78,457830,,0.0,0.0
27-08-2021,423.31,430.18,418.85,423.83,224186,,0.0,0.0
30-08-2021,423.81,438.85,423.81,431.49,385174,,0.0,0.0
31-08-2021,431.24,434.71,419.0,427.65,164760,,0.0,0.0
01-09-2021,433.72,458.75,426.28,446.66,827644,,0.0,0.0
02-09-2021,449.58,456.03,438.68,445.44,283470,,0.0,0.0
03-09-2021,446.11,446.19,432.01,434.24,146858,,0.0,0.0
06-09-2021,441.15,441.65,423.83,431.89,397022,,0.0,0.0
07-09-2021,433.72,441.15,424.3,431.14,467824,,0.0,0.0
08-09-2021,431.14,438.18,426.78,432.13,803494,,0.0,0.0
09-09-2021,427.72,435.9,427.72,432.85,51418,,0.0,0.0
13-09-2021,432.85,433.69,419.34,422.96,125090,,0.0,0.0
14-09-2021,424.3,428.42,414.88,418.33,350866,,0.0,0.0
15-09-2021,421.33,431.24,420.11,424.52,616258,,0.0,0.0
16-09-2021,429.61,438.94,426.24,430.06,1190418,,0.5,0.0
17-09-2021,431.7,436.14,421.0,422.32,981622,,0.0,0.0
20-09-2021,419.36,433.71,410.53,418.42,1376328,,0.0,0.0
21-09-2021,419.19,429.54,419.19,424.13,284720,,0.0,0.0
22-09-2021,426.26,456.06,423.33,451.2,2215684,,0.0,0.0
23-09-2021,456.66,475.91,451.6,458.39,3888706,,0.0,0.0
24-09-2021,464.0,473.83,453.58,469.21,2198230,,0.0,0.0
27-09-2021,476.21,511.15,474.18,487.55,3916662,,0.0,0.0
28-09-2021,491.82,497.25,472.24,481.54,780006,,0.0,0.0
29-09-2021,479.51,482.84,463.8,465.74,503648,,0.0,0.0
30-09-2021,468.96,485.61,467.8,475.64,1152118,,0.0,0.0
01-10-2021,473.63,479.66,466.78,477.18,243952,,0.0,0.0
04-10-2021,478.84,488.15,469.24,474.9,370656,,0.0,0.0
05-10-2021,475.91,479.14,469.46,476.68,245412,,0.0,0.0
06-10-2021,478.89,483.75,469.88,473.73,288488,,0.0,0.0
07-10-2021,476.11,495.42,473.65,491.67,908526,,0.0,0.0
08-10-2021,497.25,501.17,478.39,479.86,329908,,0.0,0.0
11-10-2021,484.8,489.56,480.38,485.56,257070,,0.0,0.0
12-10-2021,487.28,489.04,477.38,479.63,252606,,0.0,0.0
13-10-2021,481.22,488.94,477.03,486.48,170590,,0.0,0.0
14-10-2021,486.53,489.19,481.42,485.17,599134,,0.0,0.0
18-10-2021,487.82,492.71,483.85,486.23,239404,,0.0,0.0
19-10-2021,482.86,489.91,469.01,477.57,541338,,0.0,0.0
20-10-2021,476.93,480.73,464.87,466.61,403562,,0.0,0.0
21-10-2021,471.3,473.93,444.2,450.93,289986,,0.0,0.0
22-10-2021,452.94,465.99,441.7,456.96,482990,,0.0,0.0
25-10-2021,465.44,483.36,452.84,476.11,520004,,0.0,0.0
26-10-2021,471.99,483.85,466.61,472.41,148064,,0.0,0.0
27-10-2021,474.8,486.26,467.6,475.17,408968,,0.0,0.0
28-10-2021,479.36,479.66,460.01,473.26,719284,,0.0,0.0
29-10-2021,471.42,480.5,458.42,478.42,236978,,0.0,0.0
01-11-2021,473.28,485.34,466.58,477.1,239304,,0.0,0.0
02-11-2021,487.28,528.52,486.33,501.62,2589188,,0.0,0.0
03-11-2021,508.62,524.52,498.74,506.08,737564,,0.0,0.0
04-11-2021,511.05,513.58,493.58,508.32,67536,,0.0,0.0
08-11-2021,531.0,559.78,515.86,546.18,3073082,,0.0,0.0
09-11-2021,545.88,550.65,532.98,540.67,451320,,0.0,0.0
10-11-2021,536.95,543.28,523.03,530.13,200880,,0.0,0.0
11-11-2021,527.03,550.85,507.0,539.63,288928,,0.0,0.0
12-11-2021,541.89,571.19,532.14,537.35,726236,,0.0,0.0
15-11-2021,540.92,560.77,537.35,556.38,272090,,0.0,0.0
16-11-2021,570.7,593.03,521.12,532.41,1435140,,0.0,0.0
17-11-2021,532.49,555.31,521.37,538.22,828266,,0.0,0.0
18-11-2021,542.86,559.06,531.05,536.83,507524,,0.0,0.0
22-11-2021,539.43,543.33,488.74,499.21,849048,,0.0,0.0
23-11-2021,490.8,528.39,490.3,519.46,331516,,0.0,0.0
24-11-2021,525.34,525.34,506.8,513.85,536552,,0.0,0.0
25-11-2021,518.04,521.07,501.72,519.53,274040,,0.0,0.0
26-11-2021,514.12,516.16,467.05,480.55,1601458,,0.0,0.0
29-11-2021,480.55,483.11,442.89,464.5,718464,,0.0,0.0
30-11-2021,467.97,478.67,465.74,470.38,853420,,0.0,0.0
01-12-2021,472.84,486.33,468.47,482.49,304852,,0.0,0.0
02-12-2021,482.49,495.76,478.12,492.29,415712,,0.0,0.0
03-12-2021,490.3,515.61,482.02,492.31,603994,,0.0,0.0
06-12-2021,489.31,512.98,478.47,493.46,427950,,0.0,0.0
07-12-2021,500.2,521.07,489.93,510.3,609682,,0.0,0.0
08-12-2021,513.63,538.44,510.3,529.68,474188,,0.0,0.0
09-12-2021,525.54,526.03,501.25,505.81,359220,,0.0,0.0
10-12-2021,508.67,516.73,494.6,510.9,294292,,0.0,0.0
13-12-2021,515.12,544.64,512.44,524.45,642666,,0.0,0.0
14-12-2021,524.05,524.05,503.03,507.57,729128,,0.0,0.0
15-12-2021,510.4,525.98,506.68,510.06,192436,,0.0,0.0
16-12-2021,515.37,523.55,500.13,502.54,243190,,0.0,0.0
17-12-2021,505.02,525.44,495.79,506.53,392896,,0.0,0.0
20-12-2021,497.75,518.47,474.94,502.11,735764,,0.0,0.0
21-12-2021,509.16,509.16,471.45,475.52,504190,,0.0,0.0
22-12-2021,478.27,484.47,472.71,476.28,351506,,0.0,0.0
23-12-2021,477.9,508.17,477.43,503.06,391816,,0.0,0.0
24-12-2021,496.28,505.71,487.95,496.04,354040,,0.0,0.0
27-12-2021,493.28,497.25,487.35,494.22,112686,,0.0,0.0
28-12-2021,494.77,516.61,493.78,510.38,262914,,0.0,0.0
29-12-2021,506.18,509.53,489.39,492.26,311986,,0.0,0.0
30-12-2021,493.28,500.23,486.93,490.01,128330,,0.0,0.0
31-12-2021,491.54,498.62,483.26,488.99,299660,,0.0,0.0
03-01-2022,491.3,497.55,480.06,484.47,341642,,0.0,0.0
04-01-2022,484.85,499.41,483.73,486.01,468302,,0.0,0.0
05-01-2022,486.48,490.28,479.93,486.41,306026,,0.0,0.0
06-01-2022,485.84,485.84,465.24,479.24,675876,,0.0,0.0
07-01-2022,476.43,481.32,469.09,473.68,619124,,0.0,0.0
10-01-2022,473.43,480.83,455.09,470.7,1246682,,0.0,0.0
11-01-2022,471.94,496.26,468.96,491.67,985962,,0.0,0.0
12-01-2022,497.0,513.13,488.32,501.02,677908,,0.0,0.0
13-01-2022,503.06,520.05,495.34,515.39,765724,,0.0,0.0
14-01-2022,513.03,513.03,494.27,506.95,328120,,0.0,0.0
17-01-2022,511.64,514.3,497.65,501.79,483006,,0.0,0.0
18-01-2022,505.69,508.67,487.95,491.1,451158,,0.0,0.0
19-01-2022,491.79,498.72,482.86,494.13,342580,,0.0,0.0
20-01-2022,494.13,501.54,477.9,480.53,427694,,0.0,0.0
21-01-2022,473.43,485.27,461.0,474.47,634626,,0.0,0.0
24-01-2022,476.86,476.95,444.87,455.04,755516,,0.0,0.0
25-01-2022,455.44,475.17,444.1,471.25,469474,,0.0,0.0
27-01-2022,466.48,471.1,452.36,468.27,639158,,0.0,0.0
28-01-2022,468.27,480.53,467.5,473.18,178852,,0.0,0.0
31-01-2022,472.44,499.09,472.44,494.22,404460,,0.0,0.0
01-02-2022,494.22,499.63,473.23,495.04,419576,,0.0,0.0
02-02-2022,495.04,505.46,488.89,502.09,335604,,0.0,0.0
03-02-2022,497.25,499.93,482.88,487.03,212958,,0.0,0.0
04-02-2022,481.87,497.75,478.52,495.22,211400,,0.0,0.0
07-02-2022,486.33,493.28,477.82,481.54,184304,,0.0,0.0
08-02-2022,498.49,498.49,464.62,467.92,363720,,0.0,0.0
09-02-2022,472.49,495.14,469.46,484.57,365870,,0.0,0.0
