Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,339.82,364.84,338.64,360.29,5278442,,0.0,0.0
03-08-2021,360.98,373.54,360.98,367.85,4456572,,0.0,0.0
04-08-2021,368.05,369.78,358.41,364.05,1007630,,0.0,0.0
05-08-2021,365.28,366.86,351.98,354.06,793756,,0.0,0.0
06-08-2021,354.06,366.57,353.07,356.09,1009817,,0.0,0.0
09-08-2021,357.72,359.15,346.15,348.43,426174,,0.0,0.0
10-08-2021,348.92,357.03,339.77,348.52,1196607,,0.0,0.0
11-08-2021,344.17,367.8,320.0,356.88,2410341,,0.0,0.0
12-08-2021,357.92,363.26,346.6,351.0,610965,,0.0,0.0
13-08-2021,353.96,353.96,332.26,334.98,640859,,0.0,0.0
16-08-2021,335.87,346.3,335.13,341.65,826206,,0.0,0.0
17-08-2021,336.76,346.05,335.18,344.42,353687,,0.0,0.0
18-08-2021,341.21,346.5,333.84,340.71,604292,,0.0,0.0
20-08-2021,335.18,339.08,325.29,328.21,675572,,0.0,0.0
23-08-2021,328.35,333.89,311.94,320.35,754732,,0.0,0.0
24-08-2021,323.71,338.54,320.35,335.47,280992,,0.0,0.0
25-08-2021,338.54,345.21,334.58,342.99,1117472,,0.0,0.0
26-08-2021,342.99,350.01,333.64,346.69,584030,,0.0,0.0
27-08-2021,344.27,353.91,344.27,347.73,1066385,,0.0,0.0
30-08-2021,350.85,351.79,342.1,343.88,487332,,0.0,0.0
31-08-2021,345.95,350.35,345.46,348.67,861054,,0.0,0.0
01-09-2021,346.05,379.03,346.05,368.05,3470392,,0.0,0.0
02-09-2021,368.05,382.04,359.84,378.83,2110523,,0.0,0.0
03-09-2021,381.65,431.87,381.45,417.93,10331644,,0.0,0.0
06-09-2021,419.22,496.24,410.96,474.04,10709792,,0.0,0.0
07-09-2021,482.2,482.2,444.92,446.11,5230670,,0.0,0.0
08-09-2021,447.89,450.36,429.1,437.76,1892022,,0.0,0.0
09-09-2021,432.66,436.47,421.34,424.41,1053295,,0.0,0.0
13-09-2021,424.16,437.51,423.17,431.08,1502952,,0.0,0.0
14-09-2021,430.84,439.39,419.42,429.01,969686,,0.0,0.0
15-09-2021,430.09,432.81,420.21,422.83,589163,,0.0,0.0
16-09-2021,425.15,430.88,418.23,421.0,548189,,0.0,0.0
17-09-2021,426.65,439.06,404.82,407.4,2312603,,1.5,0.0
20-09-2021,402.64,412.17,388.95,392.82,1134714,,0.0,0.0
21-09-2021,393.31,424.47,390.93,415.59,5774056,,0.0,0.0
22-09-2021,422.68,443.02,415.74,427.55,4488132,,0.0,0.0
23-09-2021,430.92,464.06,428.44,452.8,5279176,,0.0,0.0
24-09-2021,455.43,470.21,447.14,455.53,3924263,,0.0,0.0
27-09-2021,460.39,499.23,458.9,490.75,4918987,,0.0,0.0
28-09-2021,498.09,503.35,461.98,470.81,3030447,,0.0,0.0
29-09-2021,461.38,478.99,456.57,474.43,2037043,,0.0,0.0
30-09-2021,475.47,492.34,472.2,487.03,1960530,,0.0,0.0
01-10-2021,484.1,485.19,469.96,477.21,1025401,,0.0,0.0
04-10-2021,477.26,488.17,474.28,480.83,879818,,0.0,0.0
05-10-2021,479.24,479.54,471.3,473.29,496062,,0.0,0.0
06-10-2021,475.27,478.25,451.46,453.74,850807,,0.0,0.0
07-10-2021,463.36,490.95,463.36,480.83,2511785,,0.0,0.0
08-10-2021,483.21,487.87,471.45,477.95,1064702,,0.0,0.0
11-10-2021,479.24,498.09,470.36,480.38,2728409,,0.0,0.0
12-10-2021,478.0,483.9,464.16,467.33,1022931,,0.0,0.0
13-10-2021,469.81,472.25,449.97,454.73,1097344,,0.0,0.0
14-10-2021,459.4,467.93,447.69,450.02,879300,,0.0,0.0
18-10-2021,453.34,455.72,442.13,446.99,763200,,0.0,0.0
19-10-2021,446.5,451.01,432.01,437.32,1176979,,0.0,0.0
20-10-2021,437.52,442.18,420.7,430.22,937570,,0.0,0.0
21-10-2021,434.09,440.89,412.76,416.09,1487167,,0.0,0.0
22-10-2021,420.7,439.55,417.82,434.54,1527372,,0.0,0.0
25-10-2021,439.4,445.01,413.8,417.72,912762,,0.0,0.0
26-10-2021,417.52,441.98,416.68,437.67,1156595,,0.0,0.0
27-10-2021,441.44,444.91,427.25,429.53,1020590,,0.0,0.0
28-10-2021,433.3,433.3,414.75,418.32,433461,,0.0,0.0
29-10-2021,417.23,438.56,402.94,422.78,1024883,,0.0,0.0
01-11-2021,427.5,439.35,426.65,432.31,999332,,0.0,0.0
02-11-2021,431.61,462.87,431.61,459.99,2686407,,0.0,0.0
03-11-2021,462.37,472.89,458.6,462.37,1362387,,0.0,0.0
04-11-2021,466.04,471.3,462.97,466.54,223691,,0.0,0.0
08-11-2021,470.31,488.17,461.13,484.05,1561090,,0.0,0.0
09-11-2021,485.19,512.98,485.19,510.84,3867720,,0.0,0.0
10-11-2021,510.74,517.94,488.67,510.54,2261928,,0.0,0.0
11-11-2021,511.79,514.76,488.67,491.84,1078907,,0.0,0.0
12-11-2021,480.23,512.98,471.6,506.58,2044647,,0.0,0.0
15-11-2021,510.0,512.23,482.76,487.13,856648,,0.0,0.0
16-11-2021,487.08,497.7,472.1,475.92,834983,,0.0,0.0
17-11-2021,474.78,481.72,457.61,462.62,680539,,0.0,0.0
