Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,25.77,26.44,25.68,26.13,24973375,,0.0,0.0
03-08-2021,25.99,26.13,25.32,25.81,18984499,,0.0,0.0
04-08-2021,25.77,26.13,25.05,25.5,18500391,,0.0,0.0
05-08-2021,25.45,26.17,24.96,25.95,16189689,,0.0,0.0
06-08-2021,25.81,26.26,25.68,25.99,14554917,,0.0,0.0
09-08-2021,25.99,26.13,25.36,25.45,9959134,,0.0,0.0
10-08-2021,25.45,25.9,24.96,25.18,16019867,,0.0,0.0
11-08-2021,25.36,25.45,24.78,25.18,10419689,,0.0,0.0
12-08-2021,25.23,25.63,25.18,25.36,8351908,,0.0,0.0
13-08-2021,25.63,25.86,25.05,25.27,10746210,,0.0,0.0
16-08-2021,25.09,26.13,25.09,25.99,15213489,,0.0,0.0
17-08-2021,25.99,26.94,25.77,26.13,28827828,,0.0,0.0
18-08-2021,26.13,26.89,25.81,25.99,21836722,,0.0,0.0
20-08-2021,25.81,25.95,24.64,24.82,9933524,,0.0,0.0
23-08-2021,25.14,25.32,24.69,24.82,14060812,,0.0,0.0
24-08-2021,25.18,25.63,24.91,25.5,13460922,,0.0,0.0
25-08-2021,25.63,26.26,25.5,26.04,10188030,,0.0,0.0
26-08-2021,25.99,26.22,25.77,25.9,6721717,,0.0,0.0
27-08-2021,25.81,26.49,25.77,26.26,8452927,,0.0,0.0
30-08-2021,26.4,26.67,26.26,26.49,7504037,,0.0,0.0
31-08-2021,26.53,26.62,26.04,26.17,5458311,,0.0,0.0
01-09-2021,26.31,27.61,26.04,27.3,12745677,,0.0,0.0
02-09-2021,27.57,27.93,27.3,27.43,14409567,,0.0,0.0
03-09-2021,27.52,27.79,27.12,27.43,8054785,,0.0,0.0
06-09-2021,27.52,28.38,27.43,27.79,14025095,,0.0,0.0
07-09-2021,27.93,28.06,27.34,27.57,7661087,,0.0,0.0
08-09-2021,27.57,27.75,27.12,27.48,5645370,,0.0,0.0
09-09-2021,27.43,27.57,26.98,27.12,5332690,,0.0,0.0
13-09-2021,27.03,27.21,26.67,27.03,6444772,,0.0,0.0
14-09-2021,27.21,27.3,26.85,27.03,4808827,,0.0,0.0
15-09-2021,27.12,29.33,27.07,29.1,36054551,,0.0,0.0
16-09-2021,29.15,29.42,28.51,28.96,16842144,,0.0,0.0
17-09-2021,29.19,29.82,28.24,28.42,26604459,,0.0,0.0
20-09-2021,28.24,32.61,27.79,30.68,99301041,,0.0,0.0
21-09-2021,30.9,32.12,30.14,31.8,56287490,,0.0,0.0
22-09-2021,31.98,32.84,31.17,32.66,54295847,,0.0,0.0
23-09-2021,32.79,33.15,32.12,32.43,49610954,,0.0,0.0
24-09-2021,32.57,34.37,32.39,32.7,59753027,,0.0,0.0
27-09-2021,32.7,33.33,31.98,32.88,41064952,,0.0,0.0
28-09-2021,33.06,33.42,32.03,32.3,38697675,,0.0,0.0
29-09-2021,32.07,35.5,31.98,34.24,73779972,,0.0,0.0
30-09-2021,34.78,35.5,34.37,34.55,38091924,,0.0,0.0
01-10-2021,34.51,37.52,33.78,36.94,128610116,,0.0,0.0
04-10-2021,37.25,37.61,36.31,36.71,42423342,,0.0,0.0
05-10-2021,36.76,37.57,36.4,36.53,27568370,,0.0,0.0
06-10-2021,36.58,36.94,35.18,35.41,31986674,,0.0,0.0
