Date,Open,High,Low,Close,Avg_Volume,Volume,Dividends,Stock Splits
19-07-2021,1010.1500244140625,1025.0,960.0,969.0,167239,112926,0.0,0.0
20-07-2021,921.0,939.7999877929688,920.5499877929688,920.5499877929688,167239,15641,0.0,0.0
22-07-2021,874.5499877929688,966.5499877929688,874.5499877929688,963.1500244140625,167239,44969,0.0,0.0
23-07-2021,968.0,990.0,921.0,961.2000122070312,167239,8253,0.0,0.0
26-07-2021,961.2000122070312,968.0,929.0,937.8499755859375,167239,5946,0.0,0.0
27-07-2021,925.6500244140625,945.0,891.0,902.75,167239,10150,0.0,0.0
28-07-2021,891.0999755859375,945.0,870.0,938.5,167239,17881,0.0,0.0
29-07-2021,961.0,968.0,895.0,942.7999877929688,167239,7733,0.0,0.0
30-07-2021,933.8499755859375,942.0,900.0,903.75,167239,10056,0.0,0.0
02-08-2021,897.0999755859375,915.0,860.5,904.1500244140625,167239,15328,0.0,0.0
03-08-2021,890.5499877929688,925.0,890.5499877929688,915.75,167239,4803,0.0,0.0
04-08-2021,903.0999755859375,939.0999755859375,903.0999755859375,932.0,167239,15511,0.0,0.0
05-08-2021,914.0,950.0,903.0,936.1500244140625,167239,6779,0.0,0.0
06-08-2021,936.1500244140625,975.0,920.0,967.75,167239,11871,0.0,0.0
09-08-2021,969.7000122070312,969.7000122070312,931.75,954.0,167239,10040,0.0,0.0
10-08-2021,948.0,969.75,917.9000244140625,946.9000244140625,167239,5517,0.0,0.0
11-08-2021,935.0,949.0,899.5999755859375,940.9000244140625,167239,5267,0.0,0.0
12-08-2021,927.0,961.25,927.0,950.0999755859375,167239,2507,0.0,0.0
13-08-2021,950.0999755859375,975.0,935.9500122070312,965.2999877929688,167239,4743,0.0,0.0
16-08-2021,951.75,978.0,937.0,972.5999755859375,167239,3898,0.0,0.0
17-08-2021,958.2000122070312,1021.2000122070312,958.2000122070312,1018.6500244140625,167239,6343,0.0,0.0
18-08-2021,1041.949951171875,1069.550048828125,1024.0,1069.550048828125,167239,3306,0.0,0.0
20-08-2021,1099.0,1123.0,1016.0999755859375,1123.0,167239,8690,0.0,0.0
23-08-2021,1160.0,1179.1500244140625,1157.0,1179.1500244140625,167239,6777,0.0,0.0
24-08-2021,1238.0999755859375,1238.0999755859375,1238.0999755859375,1238.0999755859375,167239,1490,0.0,0.0
25-08-2021,1300.0,1300.0,1300.0,1300.0,167239,2207,0.0,0.0
26-08-2021,1365.0,1365.0,1365.0,1365.0,167239,3794,0.0,0.0
27-08-2021,1433.25,1433.25,1296.75,1433.25,167239,34429,0.0,0.0
30-08-2021,1440.0,1504.9000244140625,1440.0,1504.9000244140625,167239,9155,0.0,0.0
31-08-2021,1524.0,1580.0999755859375,1515.0,1580.0999755859375,167239,15319,0.0,0.0
01-09-2021,1659.0999755859375,1659.0999755859375,1611.75,1659.0999755859375,167239,13786,0.0,0.0
02-09-2021,1634.0,1735.0,1576.1500244140625,1665.6500244140625,167239,21155,0.0,0.0
03-09-2021,1684.0,1748.9000244140625,1586.0,1746.1500244140625,167239,19903,0.0,0.0
06-09-2021,1791.0,1798.699951171875,1671.050048828125,1707.6500244140625,167239,18140,0.0,0.0
07-09-2021,1750.0,1752.300048828125,1623.0,1665.4000244140625,167239,10994,0.0,0.0
08-09-2021,1661.0,1745.0,1602.0,1724.5999755859375,167239,8578,0.0,0.0
09-09-2021,1738.1500244140625,1810.800048828125,1704.449951171875,1803.300048828125,167239,10340,0.0,0.0
13-09-2021,1790.0,1875.699951171875,1773.3499755859375,1870.8499755859375,167239,19578,0.0,0.0
14-09-2021,1960.0999755859375,1960.0999755859375,1900.0,1942.4000244140625,167239,22416,0.0,0.0
15-09-2021,1990.0,1990.0,1911.8499755859375,1942.550048828125,167239,12659,0.0,0.0
16-09-2021,1943.0,1980.0,1850.0,1913.0999755859375,167239,12156,0.0,0.0
17-09-2021,1817.449951171875,1817.449951171875,1817.449951171875,1817.449951171875,167239,385111,0.0,0.0
20-09-2021,1726.5999755859375,1726.5999755859375,1726.5999755859375,1726.5999755859375,167239,9745,0.0,0.0
21-09-2021,1640.300048828125,1640.300048828125,1640.300048828125,1640.300048828125,167239,5979,0.0,0.0
22-09-2021,1560.75,1722.300048828125,1558.300048828125,1558.300048828125,167239,24577,0.0,0.0
23-09-2021,1480.4000244140625,1602.0,1480.4000244140625,1548.3499755859375,167239,286265,0.0,0.0
24-09-2021,1502.0,1564.9000244140625,1500.0,1537.6500244140625,167239,11141,0.0,0.0
27-09-2021,1518.300048828125,1585.0,1491.0,1577.699951171875,167239,5366,0.0,0.0
28-09-2021,1578.5,1599.75,1540.0,1551.550048828125,167239,7372,0.0,0.0
29-09-2021,1570.0,1580.0,1474.0,1534.199951171875,167239,19201,0.0,0.0
30-09-2021,1511.0,1567.949951171875,1500.0,1552.3499755859375,167239,7306,0.0,0.0
01-10-2021,1584.0,1585.0,1511.4000244140625,1574.4000244140625,167239,4434,0.0,0.0
04-10-2021,1590.0,1653.0999755859375,1516.3499755859375,1632.0999755859375,167239,12219,0.0,0.0
05-10-2021,1674.699951171875,1713.699951171875,1650.0,1713.699951171875,167239,7632,0.0,0.0
06-10-2021,1759.800048828125,1799.3499755859375,1750.0,1759.3499755859375,167239,9194,0.0,0.0
07-10-2021,1799.3499755859375,1799.3499755859375,1671.4000244140625,1758.949951171875,167239,5576,0.0,0.0
08-10-2021,1790.0,1790.0,1671.050048828125,1678.8499755859375,167239,8266,0.0,0.0
11-10-2021,1670.0,1698.0,1621.0,1685.9000244140625,167239,252442,0.0,0.0
12-10-2021,1695.0,1714.949951171875,1651.3499755859375,1686.8499755859375,167239,2286,0.0,0.0
13-10-2021,1686.8499755859375,1720.0,1664.5,1683.3499755859375,167239,10118,0.0,0.0
14-10-2021,1683.3499755859375,1704.699951171875,1668.699951171875,1684.4000244140625,167239,3246,0.0,0.0
18-10-2021,1698.0,1755.0,1650.0,1743.300048828125,167239,4062,0.0,0.0
19-10-2021,1751.0,1795.0,1720.0,1739.4000244140625,167239,4037,0.0,0.0
20-10-2021,1744.0,1759.800048828125,1662.0999755859375,1697.8499755859375,167239,244431,0.0,0.0
21-10-2021,1697.800048828125,1782.699951171875,1697.800048828125,1773.4000244140625,167239,5717,0.0,0.0
22-10-2021,1773.4000244140625,1818.0,1738.050048828125,1797.75,167239,4795,0.0,0.0
25-10-2021,1830.0,1887.5999755859375,1798.0,1858.9000244140625,167239,6688,0.0,0.0
26-10-2021,1821.0,1920.0,1821.0,1859.75,167239,2992,0.0,0.0
27-10-2021,1919.699951171875,1919.699951171875,1800.0,1859.699951171875,167239,7457,0.0,0.0
28-10-2021,1840.0,1890.0,1769.1500244140625,1783.6500244140625,167239,2561,0.0,0.0
29-10-2021,1770.0,1828.800048828125,1694.5,1786.8499755859375,167239,2566,0.0,0.0
01-11-2021,1706.0,1799.9000244140625,1706.0,1763.6500244140625,167239,4352,0.0,0.0
02-11-2021,1732.0999755859375,1782.0,1685.0,1755.449951171875,167239,4137,0.0,0.0
03-11-2021,1755.449951171875,1843.0,1734.699951171875,1831.699951171875,167239,4412,0.0,0.0
04-11-2021,1910.0,1910.0,1806.5,1827.0,167239,1281,0.0,0.0
08-11-2021,1829.699951171875,1865.0,1760.25,1838.050048828125,167239,4342,0.0,0.0
09-11-2021,1864.0,1870.0,1803.0,1849.4000244140625,167239,2193,0.0,0.0
10-11-2021,1840.0,1875.0,1820.0,1866.9000244140625,167239,2614,0.0,0.0
11-11-2021,1860.0,1941.0,1840.0,1908.8499755859375,167239,6706,0.0,0.0
