Date,Open,High,Low,Close,Avg_Volume,Volume,Dividends,Stock Splits
19-07-2021,1389.101329104045,1408.1492155332533,1329.6638936457312,1376.7850341796875,121064,473649,0.0,0.0
20-07-2021,1342.3289614407945,1378.0811609177254,1335.148647191933,1362.2744140625,121064,275103,0.0,0.0
22-07-2021,1366.2638340602914,1420.814611440581,1337.3429207845627,1411.14111328125,121064,577450,0.0,0.0
23-07-2021,1434.07816430887,1434.07816430887,1382.0703678691054,1399.72216796875,121064,328363,0.0,0.0
26-07-2021,1396.1817506715258,1413.0854738864866,1388.4029750799723,1399.971435546875,121064,189442,0.0,0.0
27-07-2021,1411.1411048403595,1419.9171547527058,1375.0398758001854,1392.791259765625,121064,184870,0.0,0.0
28-07-2021,1406.154597986291,1420.6150530719656,1374.7405059036184,1396.1319580078125,121064,213337,0.0,0.0
29-07-2021,1401.3178979966085,1420.615102311627,1393.888142600905,1397.578125,121064,276085,0.0,0.0
30-07-2021,1405.1574530887551,1444.998454962206,1397.5782037361132,1417.0250244140625,121064,288120,0.0,0.0
02-08-2021,1431.635129137793,1440.062036264459,1420.1165786984693,1433.3304443359375,121064,266470,0.0,0.0
03-08-2021,1465.9909393881562,1465.9909393881562,1418.7201867910185,1439.0645751953125,121064,205356,0.0,0.0
04-08-2021,1459.7081060752917,1459.7081060752917,1418.770131872176,1425.551513671875,121064,220690,0.0,0.0
05-08-2021,1425.6512623470635,1433.579531758178,1404.4592170949863,1428.69287109375,121064,200469,0.0,0.0
06-08-2021,1413.1356763353865,1550.7094219597343,1413.1356763353865,1532.2100830078125,121064,928081,0.0,0.0
09-08-2021,1540.7864947551377,1560.7319509979225,1480.9501260267823,1489.2275390625,121064,393897,0.0,0.0
10-08-2021,1486.8839038513247,1494.16404433581,1422.6097175004393,1443.40283203125,121064,213602,0.0,0.0
11-08-2021,1444.050947332869,1453.0264021160156,1403.3621702876474,1433.130859375,121064,251567,0.0,0.0
12-08-2021,1444.050980755497,1454.0237085231454,1427.1472558842927,1440.0618896484375,121064,219223,0.0,0.0
13-08-2021,1441.059108099459,1450.0345627519816,1423.656747495915,1432.6322021484375,121064,197472,0.0,0.0
16-08-2021,1433.0810854232836,1445.596908385514,1410.2934251486902,1426.7982177734375,121064,112779,0.0,0.0
17-08-2021,1430.9868283038352,1446.9431938089588,1412.886301836479,1437.419189453125,121064,175457,0.0,0.0
18-08-2021,1447.0429275294312,1492.8675669943411,1429.09201595429,1455.4200439453125,121064,436117,0.0,0.0
20-08-2021,1445.0484082413818,1477.3600740153795,1401.5673348667633,1423.55712890625,121064,175904,0.0,0.0
23-08-2021,1410.143788509472,1424.404838743109,1358.485006968123,1392.6416015625,121064,370086,0.0,0.0
24-08-2021,1414.1327429276885,1444.3002432616536,1386.7077426240835,1433.4798583984375,121064,159818,0.0,0.0
25-08-2021,1444.649319887242,1477.6092338500173,1421.5126401642497,1470.72802734375,121064,345676,0.0,0.0
26-08-2021,1479.9528347080422,1490.4741114395056,1457.414493783015,1472.124267578125,121064,174808,0.0,0.0
27-08-2021,1472.9718400491588,1512.2144981024478,1471.0272068970648,1502.4910888671875,121064,316729,0.0,0.0
30-08-2021,1509.6715556510185,1522.5861892225946,1489.2772546278352,1511.9652099609375,121064,167589,0.0,0.0
31-08-2021,1511.9651350096262,1591.7469520062414,1508.4248899228364,1583.6690673828125,121064,296972,0.0,0.0
01-09-2021,1590.650007916767,1596.1350079440665,1557.740007752972,1560.78173828125,121064,199609,0.0,0.0
02-09-2021,1570.7046477863446,1589.4534249755168,1561.6792803215642,1565.3692626953125,121064,77748,0.0,0.0
03-09-2021,1580.478004831679,1580.478004831679,1547.7674078269722,1561.2305908203125,121064,62094,0.0,0.0
06-09-2021,1569.7072715128193,1623.6597016690532,1562.1778137327783,1577.78515625,121064,201659,0.0,0.0
07-09-2021,1581.175941852691,1586.311920852041,1547.7173924644765,1553.202392578125,121064,95980,0.0,0.0
08-09-2021,1555.7456402534442,1573.696551487138,1534.3541863949226,1551.60693359375,121064,69825,0.0,0.0
09-09-2021,1559.7346614246114,1561.6295040947946,1531.1627713163796,1540.287841796875,121064,46509,0.0,0.0
13-09-2021,1545.523454659042,1553.5016367124522,1521.28967797685,1528.12109375,121064,68576,0.0,0.0
14-09-2021,1539.7892106079655,1543.130050156558,1492.917388782464,1511.765869140625,121064,153351,0.0,0.0
15-09-2021,1510.8681319609525,1540.7863127918622,1492.9172234624064,1513.3114013671875,121064,262158,0.0,0.0
16-09-2021,1519.8436635907092,1525.02943317047,1495.9091177073908,1499.100341796875,121064,155436,0.0,0.0
17-09-2021,1502.3915323758486,1520.841079902535,1462.351003531261,1476.1632080078125,121064,180416,0.0,0.0
20-09-2021,1464.9938094967672,1484.041696491279,1407.5509179647297,1416.97509765625,121064,89057,0.0,0.0
21-09-2021,1416.9751602868796,1443.0538706872098,1377.5330905610626,1437.2198486328125,121064,154208,0.0,0.0
22-09-2021,1440.062049387484,1458.1625766410489,1421.7122039120725,1434.22802734375,121064,55416,0.0,0.0
23-09-2021,1445.2478365223365,1475.864187563799,1438.0675203445692,1470.0799560546875,121064,353340,0.0,0.0
24-09-2021,1481.9474092742694,1511.5663633084096,1450.0845913970152,1457.3148193359375,121064,109337,0.0,0.0
27-09-2021,1457.0155689912683,1542.4817997367943,1457.0155689912683,1525.827392578125,121064,205388,0.0,0.0
28-09-2021,1554.748339398733,1554.748339398733,1471.0273341536545,1482.4959716796875,121064,115071,0.0,0.0
29-09-2021,1465.990809528828,1493.3658953383408,1460.6554251477478,1482.046875,121064,63983,0.0,0.0
30-09-2021,1485.9363240768405,1514.5082113000244,1458.3119189617776,1463.0987548828125,121064,101408,0.0,0.0
01-10-2021,1461.2540891086524,1464.0962924724545,1418.6206734393843,1454.2232666015625,121064,103030,0.0,0.0
04-10-2021,1472.6725964684265,1526.774642246251,1456.217596370102,1522.8853759765625,121064,144657,0.0,0.0
05-10-2021,1515.8546176650937,1553.401961983028,1506.6298444983818,1523.5335693359375,121064,222269,0.0,0.0
06-10-2021,1526.824621478468,1537.2959856362236,1468.7833945561536,1475.4151611328125,121064,126329,0.0,0.0
07-10-2021,1491.9201317376217,1530.9134744696469,1486.9836799966868,1515.6552734375,121064,75221,0.0,0.0
08-10-2021,1521.838305397976,1565.2695848924668,1507.2781467449256,1542.8807373046875,121064,94813,0.0,0.0
11-10-2021,1550.7590968485272,1558.7372786972655,1528.8190967644966,1535.650390625,121064,328610,0.0,0.0
12-10-2021,1538.791840660066,1562.3773653520757,1510.8682038885286,1549.7618408203125,121064,109299,0.0,0.0
13-10-2021,1565.7182135858015,1603.7142809183345,1546.8697343104425,1564.272216796875,121064,315882,0.0,0.0
14-10-2021,1568.7100799408763,1651.8327416474797,1568.7100799408763,1641.959716796875,121064,191301,0.0,0.0
18-10-2021,1666.442922625843,1667.988744229286,1557.740182610154,1607.4044189453125,121064,226498,0.0,0.0
19-10-2021,1620.5681905489778,1632.0368269744013,1558.2885570902224,1565.4688720703125,121064,77047,0.0,0.0
20-10-2021,1573.5967704163518,1602.3181539217169,1535.4510859387965,1585.4144287109375,121064,426523,0.0,0.0
21-10-2021,1593.641963641198,1622.1141512985855,1576.987556270573,1591.497802734375,121064,150796,0.0,0.0
