Date,Open,High,Low,Close,Avg_Volume,Volume,Dividends,Stock Splits
09-06-2025,104.41416946673668,110.85578644192022,104.41416946673668,107.90962219238281,12639,98539,0.0,0.0
10-06-2025,108.35903952597646,109.55747746833246,106.0120941108311,106.711181640625,12639,25659,0.0,0.0
11-06-2025,106.41157467410301,110.30650174925944,106.41157467410301,107.85968780517578,12639,66775,0.0,0.0
12-06-2025,108.90832419211358,109.85708689477552,104.01468879744984,105.01338958740234,12639,24769,0.0,0.0
13-06-2025,98.82143758450671,104.51403651298334,98.82143758450671,103.81494140625,12639,57331,0.0,0.0
16-06-2025,96.92391235017985,104.61390519757894,96.92391235017985,102.1670913696289,12639,16258,0.0,0.0
17-06-2025,102.86618567835829,103.51534274294349,99.27086420767142,100.01988983154297,12639,7454,0.0,0.0
18-06-2025,100.01988696797628,101.1683944155941,98.0724158299767,98.72157287597656,12639,28547,0.0,0.0
19-06-2025,98.82144317592652,101.36813331690283,95.27605983357661,96.02508544921875,12639,19857,0.0,0.0
20-06-2025,97.52313559060732,97.52313559060732,95.17619021172072,97.2734603881836,12639,11558,0.0,0.0
23-06-2025,96.62430529445984,97.1735937987072,94.87657884210527,96.42456817626953,12639,31876,0.0,0.0
24-06-2025,97.17359098786417,100.86878090387658,97.17359098786417,98.6217041015625,12639,21160,0.0,0.0
25-06-2025,98.47189662604774,102.31689315364503,98.47189662604774,99.9699478149414,12639,34968,0.0,0.0
26-06-2025,102.31689517351565,102.31689517351565,99.17099371032057,100.86878204345703,12639,31160,0.0,0.0
27-06-2025,105.36293409009623,105.36293409009623,99.42066739536718,100.16969299316406,12639,13407,0.0,0.0
30-06-2025,100.16969299316406,103.36553249597118,98.87137890918983,100.16969299316406,12639,42277,0.0,0.0
01-07-2025,100.4193686298558,101.26826278716024,99.32079165271571,100.36943054199219,12639,11384,0.0,0.0
02-07-2025,100.36942778526074,100.86877817225209,96.87397507632132,97.42326354980469,12639,91904,0.0,0.0
03-07-2025,97.77281079303106,98.871380159799,95.82533964243643,97.2734603881836,12639,43222,0.0,0.0
04-07-2025,97.27345735005335,99.02118371243296,97.07371262266346,97.62300109863281,12639,22193,0.0,0.0
07-07-2025,97.4232637704907,101.06851550819908,97.17358857642947,97.52313232421875,12639,23948,0.0,0.0
08-07-2025,97.42326790271221,98.07241733921941,95.07631488340438,95.92521667480469,12639,8575,0.0,0.0
09-07-2025,94.92651565489798,101.11845766932538,94.92651565489798,99.32079315185547,12639,68604,0.0,0.0
10-07-2025,99.92001431605574,102.51663477414316,99.1210506584217,100.31948852539062,12639,17073,0.0,0.0
11-07-2025,100.46929574259168,100.81883948751504,98.22221901446447,98.87137603759766,12639,8976,0.0,0.0
14-07-2025,100.81884616144536,100.81884616144536,97.62300653990151,98.37203216552734,12639,27608,0.0,0.0
15-07-2025,98.37202712590611,99.22092126756316,97.17358923409408,97.82273864746094,12639,31015,0.0,0.0
16-07-2025,97.87267756606515,99.27086019804825,96.27475782357688,96.47449493408203,12639,38799,0.0,0.0
17-07-2025,98.67164481286402,98.67164481286402,95.67554233011894,96.32469177246094,12639,8339,0.0,0.0
18-07-2025,96.62430024147034,96.77410688202022,95.47579282323082,95.87527465820312,12639,29512,0.0,0.0
21-07-2025,95.77540978965732,96.72417251717684,93.62820151110611,94.0776138305664,12639,61558,0.0,0.0
22-07-2025,96.87397917584725,97.0737162913034,93.42846440759209,95.8253402709961,12639,21298,0.0,0.0
23-07-2025,95.3759255316385,96.3246882352074,94.22741809819874,94.72676849365234,12639,35098,0.0,0.0
24-07-2025,95.67554168182593,96.02508544521451,94.07761427293661,94.27735900878906,12639,12020,0.0,0.0
25-07-2025,90.38242384675654,94.37722711070157,90.38242384675654,92.32988739013672,12639,76736,0.0,0.0
28-07-2025,92.67944078051191,92.67944078051191,89.13404975910727,89.73326873779297,12639,31476,0.0,0.0
29-07-2025,91.5309266523865,91.5309266523865,87.486185505626,90.23261260986328,12639,42851,0.0,0.0
30-07-2025,91.03157761341512,92.08020886063959,89.23391316176996,90.83183288574219,12639,12016,0.0,0.0
31-07-2025,91.88047085706197,91.88047085706197,89.38371893159834,90.43235778808594,12639,9102,0.0,0.0
01-08-2025,90.9616704285115,92.08021044479437,87.84572119854694,88.7745132446289,12639,67629,0.0,0.0
04-08-2025,88.82444993798485,89.6134244696468,87.16660298347138,87.80577087402344,12639,33964,0.0,0.0
05-08-2025,87.88566651610344,89.78319947614301,86.38761538230622,86.80706787109375,12639,15845,0.0,0.0
06-08-2025,85.88827078683036,88.6846361393109,85.38892037527901,85.63859558105469,12639,9100,0.0,0.0
07-08-2025,86.13794337697989,88.56478660820626,85.1592132474866,87.56608581542969,12639,20457,0.0,0.0
08-08-2025,87.88566866096886,89.89305936270284,86.38761749061143,88.44493865966797,12639,21989,0.0,0.0
11-08-2025,84.97944873846208,88.2152448668968,84.97944873846208,87.08670806884766,12639,29013,0.0,0.0
12-08-2025,91.88047738814242,91.88047738814242,85.91823214720768,86.70720672607422,12639,23528,0.0,0.0
13-08-2025,86.44754051540171,88.92432190084162,86.44754051540171,88.2951431274414,12639,20720,0.0,0.0
14-08-2025,86.38762286889293,86.71719597556572,82.40280864111246,83.5812759399414,12639,116739,0.0,0.0
18-08-2025,82.95208685102445,84.8296492505345,79.46662315713168,80.26558685302734,12639,107049,0.0,0.0
19-08-2025,80.90475379833235,83.09190336521517,80.64508945733662,82.25299835205078,12639,43447,0.0,0.0
20-08-2025,81.94340623729576,83.74106316153676,81.94340623729576,82.44275665283203,12639,37983,0.0,0.0
21-08-2025,82.4427520505419,84.24040887443036,81.93341252167315,82.09320068359375,12639,33841,0.0,0.0
22-08-2025,82.14313696137366,82.89216252637098,81.55390717426049,82.30293273925781,12639,31732,0.0,0.0
25-08-2025,81.79359836573825,82.98204715569636,79.8960652911763,80.83484649658203,12639,19174,0.0,0.0
26-08-2025,80.83484344398916,81.8934638308858,79.39671188482221,79.80618286132812,12639,36297,0.0,0.0
28-08-2025,79.80618685925835,82.35286940013118,79.41668652623655,80.59515380859375,12639,66051,0.0,0.0
29-08-2025,82.20306411981441,82.20306411981441,79.2369213908271,79.4466552734375,12639,7185,0.0,0.0
01-09-2025,78.00851884229711,81.4041030315541,78.00851884229711,80.00592041015625,12639,10753,0.0,0.0
02-09-2025,79.6963251803668,82.28295653959886,79.4965804529567,81.18438720703125,12639,40342,0.0,0.0
03-09-2025,79.96596914534554,84.1105788023507,79.96596914534554,83.0419692993164,12639,31996,0.0,0.0
04-09-2025,80.9147376798544,84.27037306933097,80.9147376798544,81.60384368896484,12639,39362,0.0,0.0
05-09-2025,82.42277493992688,82.56259244090103,80.38542441496924,81.58386993408203,12639,35454,0.0,0.0
08-09-2025,81.3441743227024,84.39021470603866,80.98464143747313,83.44145202636719,12639,35414,0.0,0.0
09-09-2025,83.61123404613673,85.87828155975329,83.44145673505392,84.8995590209961,12639,32530,0.0,0.0
10-09-2025,85.4887898351701,87.58606006190487,84.8096729635197,86.4075927734375,12639,79287,0.0,0.0
11-09-2025,87.52614045012129,88.14533770998811,85.7085052376868,86.4075927734375,12639,22783,0.0,0.0
12-09-2025,86.52744011556824,87.5161518131135,84.84962240060642,85.2291259765625,12639,11658,0.0,0.0
15-09-2025,84.00072248670695,86.13794152780939,84.00072248670695,85.01939392089844,12639,25003,0.0,0.0
16-09-2025,85.80837045243784,86.3776296006408,85.11927208533893,85.91822814941406,12639,21932,0.0,0.0
17-09-2025,86.53742322984948,87.3463684151792,85.31900707153714,86.66725158691406,12639,9042,0.0,0.0
18-09-2025,87.03677556055112,87.52613681525396,84.93950542091375,85.818359375,12639,21210,0.0,0.0
19-09-2025,86.23781582514007,88.1353489409668,85.36895097267258,85.86830139160156,12639,36320,0.0,0.0
22-09-2025,84.26038993658558,87.87568198604698,84.26038993658558,85.40888977050781,12639,32007,0.0,0.0
23-09-2025,85.44883879750901,86.10798498893716,83.78101027480926,84.40020751953125,12639,8339,0.0,0.0
24-09-2025,84.4301690343099,84.53003759335631,82.8921688426505,83.08192443847656,12639,6055,0.0,0.0
25-09-2025,83.02199708130941,83.44145721983924,81.35416852737222,81.9733657836914,12639,13661,0.0,0.0
26-09-2025,83.29165192322601,83.29165192322601,80.14574274036198,80.82485961914062,12639,33077,0.0,0.0
29-09-2025,79.0072175401456,81.20435615898519,79.0072175401456,79.74625396728516,12639,19915,0.0,0.0
30-09-2025,78.00851731832573,81.0046196115827,78.00851731832573,79.30683135986328,12639,26764,0.0,0.0
01-10-2025,79.8960654270071,82.27297063044685,79.78620772748637,81.94340515136719,12639,7659,0.0,0.0
03-10-2025,81.34417805189683,82.8921673575722,81.18438988418181,82.75234985351562,12639,20957,0.0,0.0
06-10-2025,81.75364818649193,83.7111008422834,80.89476488799902,80.97466278076172,12639,29291,0.0,0.0
07-10-2025,81.59385172888057,81.59385172888057,80.20565823636356,80.675048828125,12639,9386,0.0,0.0
08-10-2025,80.39541326163038,80.98464306793554,77.97855918852792,78.35806274414062,12639,37959,0.0,0.0
09-10-2025,78.06843588051196,79.55650548559608,78.06843588051196,79.17699432373047,12639,6890,0.0,0.0
10-10-2025,79.01720981190014,79.79619521454399,78.27816573599699,78.7575454711914,12639,6164,0.0,0.0
13-10-2025,73.454448836844,78.89736529347415,73.454448836844,77.36935424804688,12639,15763,0.0,0.0
14-10-2025,76.01111970199959,78.60774029924809,76.01111970199959,77.33939361572266,12639,9163,0.0,0.0
15-10-2025,76.00113218444204,77.9985338587742,76.00113218444204,77.3993148803711,12639,4179,0.0,0.0
16-10-2025,79.32680412420184,83.35156709232214,78.48789149773368,80.9447021484375,12639,21866,0.0,0.0
17-10-2025,80.89476450848198,81.08452009803254,79.39671331388047,79.7662353515625,12639,12034,0.0,0.0
20-10-2025,76.8999623298645,80.55521094990836,76.8999623298645,79.89606475830078,12639,4876,0.0,0.0
21-10-2025,79.89606475830078,79.89606475830078,79.89606475830078,79.89606475830078,12639,0,0.0,0.0
23-10-2025,80.8148686015113,83.09190525412946,78.89736485398889,82.41278839111328,12639,22910,0.0,0.0
24-10-2025,82.66246540825158,83.42148018225556,81.01461511317255,81.83354949951172,12639,15707,0.0,0.0
27-10-2025,81.83354233165595,82.08321752049358,80.09579753131895,81.02458953857422,12639,7221,0.0,0.0
28-10-2025,80.89476249414264,81.8734926028168,79.7961931693532,80.24560546875,12639,19558,0.0,0.0
29-10-2025,80.72498652653194,81.36415442132356,79.58646823771669,80.8448257446289,12639,8102,0.0,0.0
30-10-2025,79.506569516256,81.45403298483114,79.1070876813097,79.43666076660156,12639,8972,0.0,0.0
31-10-2025,79.44665497844868,79.94600539913161,78.34807795736002,78.60774230957031,12639,4505,0.0,0.0
03-11-2025,80.09580447072999,80.09580447072999,77.99853422668517,78.97726440429688,12639,8781,0.0,0.0
04-11-2025,78.88737512886756,79.39671467723322,76.45055032505341,77.60903930664062,12639,34765,0.0,0.0
06-11-2025,77.6090417164152,77.82875712133564,76.74016923863427,76.95988464355469,12639,18644,0.0,0.0
07-11-2025,76.80009530648333,76.83005511224879,75.56170841145463,75.72149658203125,12639,9803,0.0,0.0
10-11-2025,75.00242701162612,78.5677884894276,75.00242701162612,77.78880310058594,12639,4493,0.0,0.0
11-11-2025,77.31941178883493,77.75884256589259,76.2308316068285,77.11967468261719,12639,2867,0.0,0.0
12-11-2025,77.07972595838169,78.89736106030824,77.07972595838169,77.21954345703125,12639,7396,0.0,0.0
13-11-2025,72.89516926534392,81.3341955978205,69.90905600652049,77.47920989990234,12639,188939,0.0,0.0
14-11-2025,77.39931178886154,80.25559667862844,76.87999072685047,77.37934112548828,12639,37057,0.0,0.0
17-11-2025,75.51176421896042,78.2681804188345,75.51176421896042,76.05106353759766,12639,37938,0.0,0.0
