Date,Open,High,Low,Close,Avg_Volume,Volume,Dividends,Stock Splits
01-10-2021,474.6345738002232,498.3663024902344,455.6491908482143,498.3663024902344,154827,757343,0.0,0.0
04-10-2021,523.2471923828125,523.2471923828125,523.2471923828125,523.2471923828125,154827,285947,0.0,0.0
05-10-2021,542.2825007468872,549.3770141601562,533.7390906539505,549.3770141601562,154827,335541,0.0,0.0
06-10-2021,576.805908203125,576.805908203125,570.5607164729049,576.805908203125,154827,314826,0.0,0.0
07-10-2021,605.6336669921875,605.6336669921875,605.6336669921875,605.6336669921875,154827,123080,0.0,0.0
08-10-2021,635.9104614257812,635.9104614257812,635.9104614257812,635.9104614257812,154827,60772,0.0,0.0
11-10-2021,667.6859741210938,667.6859741210938,667.6859741210938,667.6859741210938,154827,31609,0.0,0.0
12-10-2021,701.0602450535939,701.0602450535939,634.3116455078125,634.3116455078125,154827,309503,0.0,0.0
13-10-2021,602.635986328125,602.635986328125,602.635986328125,602.635986328125,154827,21782,0.0,0.0
14-10-2021,572.509220597928,632.7628173828125,572.509220597928,632.7628173828125,154827,573535,0.0,0.0
18-10-2021,649.4999518883308,759.3154296875,616.5253389463079,759.3154296875,154827,822996,0.0,0.0
19-10-2021,848.3468728057697,911.1484985351562,819.3691822152311,911.1484985351562,154827,673254,0.0,0.0
20-10-2021,983.642701264504,1002.228367431767,825.464436557245,1000.5296630859376,154827,1785652,0.0,0.0
21-10-2021,1002.2284075809496,1100.552734375,928.8348993346344,1100.552734375,154827,978336,0.0,0.0
22-10-2021,1187.935393411649,1210.5679931640625,1151.863189533531,1210.5679931640625,154827,182095,0.0,0.0
25-10-2021,1249.038296532819,1271.0713808742164,1150.064453125,1150.064453125,154827,420788,0.0,0.0
26-10-2021,1092.6087646484375,1092.6087646484375,1092.6087646484375,1092.6087646484375,154827,11432,0.0,0.0
27-10-2021,1038.0008544921875,1077.9200704183977,1038.0008544921875,1038.0008544921875,154827,381732,0.0,0.0
28-10-2021,986.1408081054688,986.1408081054688,986.1408081054688,986.1408081054688,154827,8858,0.0,0.0
29-10-2021,936.878662109375,936.878662109375,936.878662109375,936.878662109375,154827,6400,0.0,0.0
01-11-2021,890.0647583007812,890.0647583007812,890.0647583007812,890.0647583007812,154827,8280,0.0,0.0
02-11-2021,845.5989379882812,845.5989379882812,845.5989379882812,845.5989379882812,154827,8672,0.0,0.0
03-11-2021,835.6566251272146,887.8664293843277,803.3315362647422,803.4813842773438,154827,1071606,0.0,0.0
04-11-2021,803.4813629441215,824.3653084877583,779.499826697205,814.472900390625,154827,127291,0.0,0.0
08-11-2021,823.8657167404301,823.8657167404301,773.7542724609375,773.7542724609375,154827,57478,0.0,0.0
09-11-2021,752.4207088335863,812.4244995117188,735.4337871202118,812.4244995117188,154827,370488,0.0,0.0
10-11-2021,826.363787573238,836.9056592436722,797.3860973197629,804.031005859375,154827,177101,0.0,0.0
11-11-2021,811.3752998911384,811.3752998911384,781.0986229425943,789.0924682617188,154827,130344,0.0,0.0
12-11-2021,798.3853256845018,805.579798889562,784.3960959478522,788.09326171875,154827,97896,0.0,0.0
15-11-2021,817.3706907714115,817.3706907714115,785.6451168936703,788.9425659179688,154827,39757,0.0,0.0
16-11-2021,787.3937537336067,797.3860602530686,774.403755258306,775.6028442382812,154827,94896,0.0,0.0
17-11-2021,775.4529595997775,777.2016132956031,750.622101514334,753.1201782226562,154827,44240,0.0,0.0
18-11-2021,753.7197008804468,767.6589812703704,716.4484081625195,720.9449462890625,154827,140162,0.0,0.0
22-11-2021,723.8427555221958,726.4407309901532,684.9227069118091,684.97265625,154827,121306,0.0,0.0
23-11-2021,659.5422115852981,706.4561051655746,650.748993619633,682.02490234375,154827,175962,0.0,0.0
24-11-2021,684.4730183142084,716.0986938476562,681.2255185922797,716.0986938476562,154827,47459,0.0,0.0
25-11-2021,751.8711547851562,751.8711547851562,731.636733046307,751.8711547851562,154827,212848,0.0,0.0
26-11-2021,766.4099537054543,789.4422093473324,752.3707744434317,774.1539916992188,154827,315457,0.0,0.0
29-11-2021,744.4268300783046,757.4667777900902,735.4837036132812,735.4837036132812,154827,70828,0.0,0.0
30-11-2021,698.7120742338086,731.8365966782148,698.7120742338086,704.7074584960938,154827,105217,0.0,0.0
01-12-2021,719.4460856530586,727.4898803852896,703.6083038572262,710.3031005859375,154827,50082,0.0,0.0
02-12-2021,709.4538058673895,745.7758178710938,709.4538058673895,745.7758178710938,154827,19162,0.0,0.0
03-12-2021,762.413020447379,783.0471586988044,746.5752383235366,759.3154296875,154827,97645,0.0,0.0
06-12-2021,759.3154102425751,767.1093972680026,726.5405954883472,730.0379028320312,154827,63226,0.0,0.0
07-12-2021,730.9372647215562,759.4153399704479,730.9372647215562,737.1325073242188,154827,37979,0.0,0.0
08-12-2021,749.4230318762092,754.4191854220506,733.6351988689909,735.7835083007812,154827,18078,0.0,0.0
09-12-2021,744.4268555341662,745.9257015520202,734.4345487484727,735.83349609375,154827,38712,0.0,0.0
10-12-2021,737.4322714139049,742.0287083309597,726.940348853138,731.0371704101562,154827,14780,0.0,0.0
13-12-2021,730.837361977607,749.4230286939356,724.4422610708045,728.0894775390625,154827,58089,0.0,0.0
14-12-2021,737.4322650611062,742.4284186184308,720.6452013061362,725.2416381835938,154827,39456,0.0,0.0
15-12-2021,725.2416091990762,735.3838249103892,709.0540601226447,713.5505981445312,154827,21047,0.0,0.0
16-12-2021,724.4422535539313,724.4422535539313,700.2109092109205,701.7597045898438,154827,23250,0.0,0.0
17-12-2021,739.4306843249778,739.4306843249778,683.5237170084426,691.4176635742188,154827,22693,0.0,0.0
20-12-2021,679.4768788253295,688.1202488115503,638.5084199549789,663.2393798828125,154827,71603,0.0,0.0
21-12-2021,663.4891987209322,692.4668896289247,663.4891987209322,679.4269409179688,154827,39123,0.0,0.0
22-12-2021,680.7758670932442,712.3515939629774,680.7758670932442,699.3115844726562,154827,19917,0.0,0.0
23-12-2021,709.4537620407706,711.9518386676747,694.4653022793459,696.96337890625,154827,28694,0.0,0.0
24-12-2021,693.5160718024948,701.2101605750236,682.4745844998092,685.7720336914062,154827,28089,0.0,0.0
27-12-2021,684.4729909442298,754.3192373351321,660.7412631560175,731.8365478515625,154827,95356,0.0,0.0
28-12-2021,769.4076271433744,788.3930101508083,741.129410966784,754.4691162109375,154827,101797,0.0,0.0
29-12-2021,754.56909798974,758.216253502519,734.4345747095641,737.5321655273438,154827,53343,0.0,0.0
30-12-2021,745.4261045280799,773.4045642154609,733.2354777523664,742.2785034179688,154827,55383,0.0,0.0
31-12-2021,742.428425787767,750.8719375788216,737.4322721821966,741.978759765625,154827,36527,0.0,0.0
03-01-2022,747.4245370638922,754.6689593816907,734.8342550861707,740.1801147460938,154827,18428,0.0,0.0
04-01-2022,749.4230231300622,749.4230231300622,731.4368705749407,733.2354736328125,154827,39946,0.0,0.0
05-01-2022,728.4391809833112,735.1340388772318,723.4430274786246,724.0425415039062,154827,33194,0.0,0.0
06-01-2022,723.4430085087912,735.8334932707965,712.0517544215218,725.8411865234375,154827,16896,0.0,0.0
07-01-2022,729.4383899699229,745.0763743693527,723.443005942773,725.4414672851562,154827,42785,0.0,0.0
10-01-2022,734.4345820418422,734.4345820418422,719.0964148257735,721.8442993164062,154827,17028,0.0,0.0
11-01-2022,731.3868874559738,753.5698201136655,718.4468383233037,736.2830810546875,154827,33023,0.0,0.0
12-01-2022,739.430735436945,744.4268890547622,728.1893897968563,731.4368896484375,154827,31039,0.0,0.0
13-01-2022,730.4875943066025,734.3846184493242,720.3953885867164,724.4422607421875,154827,9798,0.0,0.0
14-01-2022,736.3331218588511,741.42917399643,720.8450461217288,731.48681640625,154827,13670,0.0,0.0
17-01-2022,732.4860142357214,738.4314487882872,728.2392839822029,729.93798828125,154827,12985,0.0,0.0
18-01-2022,732.4361139264682,732.5860229289649,709.753564503547,712.4015502929688,154827,45940,0.0,0.0
