Date,Open,High,Low,Close,Avg_Volume,Volume,Dividends,Stock Splits
19-12-2025,26.450000762939453,29.0,26.219999313354492,27.469999313354492,12857,256426,0.0,0.0
22-12-2025,28.799999237060547,29.700000762939453,25.299999237060547,26.049999237060547,12857,625426,0.0,0.0
23-12-2025,26.899999618530273,26.899999618530273,24.200000762939453,25.739999771118164,12857,165560,0.0,0.0
24-12-2025,25.239999771118164,26.68000030517578,25.049999237060547,25.440000534057617,12857,47876,0.0,0.0
26-12-2025,25.56999969482422,26.290000915527344,25.559999465942383,25.600000381469727,12857,24129,0.0,0.0
29-12-2025,26.1299991607666,27.399999618530273,24.600000381469727,26.479999542236328,12857,91289,0.0,0.0
30-12-2025,26.889999389648438,26.889999389648438,25.0,25.329999923706055,12857,63081,0.0,0.0
31-12-2025,25.5,26.0,25.110000610351562,25.360000610351562,12857,32527,0.0,0.0
01-01-2026,25.1200008392334,25.959999084472656,25.1200008392334,25.860000610351562,12857,25343,0.0,0.0
02-01-2026,25.969999313354492,26.200000762939453,25.200000762939453,25.950000762939453,12857,41353,0.0,0.0
05-01-2026,26.3700008392334,26.3700008392334,25.200000762939453,25.780000686645508,12857,42584,0.0,0.0
06-01-2026,25.8799991607666,26.0,24.809999465942383,25.229999542236328,12857,92390,0.0,0.0
07-01-2026,25.469999313354492,26.0,25.1200008392334,25.360000610351562,12857,40199,0.0,0.0
08-01-2026,25.729999542236328,25.729999542236328,25.0,25.25,12857,49760,0.0,0.0
09-01-2026,25.0,25.25,24.040000915527344,24.489999771118164,12857,45114,0.0,0.0
12-01-2026,24.0,24.75,23.0,23.81999969482422,12857,75237,0.0,0.0
13-01-2026,24.600000381469727,25.399999618530273,23.25,24.760000228881836,12857,74092,0.0,0.0
14-01-2026,25.190000534057617,26.299999237060547,24.5,24.81999969482422,12857,104412,0.0,0.0
15-01-2026,24.81999969482422,24.81999969482422,24.81999969482422,24.81999969482422,12857,0,0.0,0.0
16-01-2026,24.600000381469727,24.65999984741211,23.5,23.75,12857,79365,0.0,0.0
19-01-2026,24.0,24.200000762939453,22.559999465942383,23.059999465942383,12857,59856,0.0,0.0
20-01-2026,24.709999084472656,27.299999237060547,21.0,23.06999969482422,12857,2270429,0.0,0.0
21-01-2026,22.969999313354492,22.979999542236328,21.790000915527344,22.18000030517578,12857,113482,0.0,0.0
22-01-2026,22.5,22.889999389648438,22.06999969482422,22.270000457763672,12857,94572,0.0,0.0
23-01-2026,22.799999237060547,23.0,20.100000381469727,21.1200008392334,12857,195833,0.0,0.0
27-01-2026,21.0,21.520000457763672,18.299999237060547,19.65999984741211,12857,359480,0.0,0.0
28-01-2026,19.600000381469727,19.989999771118164,19.0,19.540000915527344,12857,126941,0.0,0.0
29-01-2026,19.790000915527344,19.790000915527344,18.6200008392334,19.030000686645508,12857,130514,0.0,0.0
30-01-2026,19.0,19.170000076293945,18.290000915527344,18.600000381469727,12857,127005,0.0,0.0
02-02-2026,18.459999084472656,18.729999542236328,17.40999984741211,17.579999923706055,12857,93559,0.0,0.0
03-02-2026,18.020000457763672,18.889999389648438,17.25,17.540000915527344,12857,143003,0.0,0.0
04-02-2026,17.889999389648438,18.989999771118164,17.549999237060547,18.860000610351562,12857,96131,0.0,0.0
05-02-2026,19.389999389648438,19.389999389648438,18.719999313354492,18.860000610351562,12857,80834,0.0,0.0
06-02-2026,18.989999771118164,19.079999923706055,18.600000381469727,18.770000457763672,12857,38798,0.0,0.0
09-02-2026,19.450000762939453,19.450000762939453,18.899999618530273,19.06999969482422,12857,48312,0.0,0.0
10-02-2026,19.309999465942383,19.790000915527344,18.799999237060547,19.149999618530273,12857,119715,0.0,0.0
11-02-2026,19.149999618530273,19.440000534057617,18.850000381469727,19.139999389648438,12857,55036,0.0,0.0
12-02-2026,19.200000762939453,19.40999984741211,18.520000457763672,18.770000457763672,12857,35838,0.0,0.0
13-02-2026,18.350000381469727,18.799999237060547,18.350000381469727,18.68000030517578,12857,22871,0.0,0.0
16-02-2026,19.049999237060547,19.049999237060547,18.31999969482422,18.360000610351562,12857,9767,0.0,0.0
17-02-2026,18.309999465942383,18.3799991607666,18.059999465942383,18.09000015258789,12857,30653,0.0,0.0
18-02-2026,18.989999771118164,18.989999771118164,18.06999969482422,18.190000534057617,12857,22418,0.0,0.0
19-02-2026,18.399999618530273,18.399999618530273,17.84000015258789,18.06999969482422,12857,28366,0.0,0.0
20-02-2026,18.3799991607666,18.3799991607666,17.510000228881836,17.969999313354492,12857,23590,0.0,0.0
23-02-2026,18.290000915527344,18.489999771118164,18.010000228881836,18.059999465942383,12857,19255,0.0,0.0
24-02-2026,18.389999389648438,18.389999389648438,17.510000228881836,17.670000076293945,12857,18071,0.0,0.0
25-02-2026,17.93000030517578,19.0,17.75,17.84000015258789,12857,21103,0.0,0.0
26-02-2026,18.06999969482422,21.399999618530273,17.670000076293945,21.399999618530273,12857,1444001,0.0,0.0
27-02-2026,21.200000762939453,23.790000915527344,19.25,19.739999771118164,12857,1008797,0.0,0.0
02-03-2026,18.309999465942383,19.450000762939453,17.549999237060547,18.100000381469727,12857,239074,0.0,0.0
04-03-2026,17.700000762939453,18.399999618530273,17.5,17.6299991607666,12857,82536,0.0,0.0
05-03-2026,17.600000381469727,18.899999618530273,17.600000381469727,17.6299991607666,12857,84174,0.0,0.0
06-03-2026,17.950000762939453,18.239999771118164,17.610000610351562,17.760000228881836,12857,49352,0.0,0.0
09-03-2026,18.09000015258789,18.09000015258789,15.899999618530273,16.920000076293945,12857,122670,0.0,0.0
10-03-2026,18.0,18.0,17.0,17.100000381469727,12857,57375,0.0,0.0
11-03-2026,17.059999465942383,17.700000762939453,17.049999237060547,17.280000686645508,12857,53709,0.0,0.0
12-03-2026,17.489999771118164,17.489999771118164,17.020000457763672,17.34000015258789,12857,63218,0.0,0.0
13-03-2026,17.34000015258789,17.649999618530273,17.0,17.260000228881836,12857,38345,0.0,0.0
16-03-2026,17.260000228881836,17.600000381469727,16.700000762939453,16.81999969482422,12857,54944,0.0,0.0
17-03-2026,17.139999389648438,17.139999389648438,16.799999237060547,16.93000030517578,12857,40730,0.0,0.0
18-03-2026,17.0,18.0,16.0,16.520000457763672,12857,197620,0.0,0.0
19-03-2026,16.75,16.75,16.100000381469727,16.239999771118164,12857,58797,0.0,0.0
20-03-2026,16.600000381469727,16.719999313354492,16.100000381469727,16.1299991607666,12857,43144,0.0,0.0
23-03-2026,16.0,16.979999542236328,15.369999885559082,15.550000190734863,12857,75490,0.0,0.0
24-03-2026,15.989999771118164,17.389999389648438,15.609999656677246,15.949999809265137,12857,135734,0.0,0.0
25-03-2026,16.190000534057617,16.75,15.90999984741211,16.43000030517578,12857,130843,0.0,0.0
