Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
15-11-2023,300.6,313.88,300.6,307.34,21693577,,0.0,0.0
16-11-2023,314.18,316.86,308.23,311.06,4725578,,0.0,0.0
17-11-2023,309.22,315.96,303.48,307.39,2579193,,0.0,0.0
20-11-2023,307.39,308.68,289.75,297.43,2760212,,0.0,0.0
21-11-2023,299.36,304.76,295.05,295.89,1936376,,0.0,0.0
22-11-2023,296.04,299.11,287.42,288.31,894399,,0.0,0.0
23-11-2023,290.44,299.41,288.71,290.49,1042513,,0.0,0.0
24-11-2023,292.03,293.76,290.49,291.88,353653,,0.0,0.0
28-11-2023,294.61,299.46,292.42,293.56,728239,,0.0,0.0
29-11-2023,296.24,296.98,290.39,290.84,668376,,0.0,0.0
30-11-2023,291.98,293.81,287.62,292.18,563831,,0.0,0.0
01-12-2023,295.15,295.35,290.84,293.27,421481,,0.0,0.0
04-12-2023,289.7,291.83,283.46,286.92,1145440,,0.0,0.0
05-12-2023,288.41,289.85,282.02,283.21,574264,,0.0,0.0
06-12-2023,284.45,288.86,282.71,283.95,658851,,0.0,0.0
07-12-2023,286.33,286.73,282.66,283.85,259131,,0.0,0.0
08-12-2023,283.95,284.89,273.05,274.73,618624,,0.0,0.0
11-12-2023,276.52,281.37,275.13,277.26,341149,,0.0,0.0
12-12-2023,277.26,285.93,274.68,283.85,998633,,0.0,0.0
13-12-2023,283.85,291.38,279.04,288.61,605804,,0.0,0.0
14-12-2023,292.42,295.2,285.04,287.12,706497,,0.0,0.0
15-12-2023,289.8,289.85,283.01,284.6,296354,,0.0,0.0
18-12-2023,284.6,286.43,277.51,279.34,303237,,0.0,0.0
19-12-2023,281.97,286.48,279.49,284.3,310206,,0.0,0.0
20-12-2023,286.68,286.68,272.55,273.89,433476,,0.0,0.0
21-12-2023,272.55,280.38,268.99,277.86,668496,,0.0,0.0
22-12-2023,279.39,279.69,275.03,277.36,185900,,0.0,0.0
26-12-2023,277.46,278.35,273.64,277.51,155437,,0.0,0.0
27-12-2023,277.61,283.46,275.53,282.51,485531,,0.0,0.0
28-12-2023,285.88,289.8,284.0,285.54,415721,,0.0,0.0
29-12-2023,288.71,290.19,283.5,287.92,486018,,0.0,0.0
01-01-2024,287.77,287.92,282.61,283.21,133432,,0.0,0.0
02-01-2024,286.87,286.92,278.55,281.67,315195,,0.0,0.0
03-01-2024,281.08,288.91,279.54,286.13,255648,,0.0,0.0
04-01-2024,286.92,288.91,281.67,285.34,215782,,0.0,0.0
05-01-2024,283.01,292.28,282.51,285.78,416101,,0.0,0.0
08-01-2024,287.32,287.32,281.52,282.56,111353,,0.0,0.0
09-01-2024,284.55,285.93,281.47,284.4,161558,,0.0,0.0
10-01-2024,282.46,288.71,280.48,287.02,272348,,0.0,0.0
11-01-2024,284.69,287.96,281.52,282.91,213788,,0.0,0.0
12-01-2024,285.39,286.03,281.97,284.79,142201,,0.0,0.0
15-01-2024,284.79,284.79,284.79,284.79,0,,0.0,0.0
16-01-2024,282.66,287.82,281.52,283.8,252550,,0.0,0.0
17-01-2024,282.46,285.49,280.09,281.27,176791,,0.0,0.0
18-01-2024,282.02,293.32,274.29,289.85,925404,,0.0,0.0
19-01-2024,292.38,303.57,290.44,299.96,1233773,,0.0,0.0
23-01-2024,300.3,300.3,283.55,287.57,333652,,0.0,0.0
24-01-2024,289.4,289.4,281.47,284.35,307128,,0.0,0.0
25-01-2024,283.7,290.1,282.66,287.27,221207,,0.0,0.0
29-01-2024,289.75,295.3,284.99,291.63,593878,,0.0,0.0
30-01-2024,295.0,295.0,288.01,291.83,350021,,0.0,0.0
31-01-2024,297.33,309.22,295.35,298.37,801549,,0.0,0.0
01-02-2024,300.95,322.65,298.47,318.29,2449328,,0.0,0.0
02-02-2024,326.07,328.06,309.57,312.54,1114022,,0.0,0.0
05-02-2024,312.54,320.57,300.3,303.92,617512,,0.0,0.0
06-02-2024,319.14,328.05,308.43,314.68,1880448,,0.0,0.0
07-02-2024,318.64,326.07,315.96,323.3,1026349,,0.0,0.0
08-02-2024,325.08,331.57,311.7,314.03,1077683,,0.0,0.0
09-02-2024,316.81,316.86,302.63,311.9,477797,,0.0,0.0
12-02-2024,314.03,314.03,294.41,297.08,530527,,0.0,0.0
13-02-2024,296.44,298.32,285.88,288.96,391206,,0.0,0.0
14-02-2024,285.49,305.95,283.65,302.29,711733,,0.0,0.0
15-02-2024,307.24,307.89,298.32,300.35,263945,,0.0,0.0
16-02-2024,300.35,303.28,298.32,299.07,161193,,0.0,0.0
19-02-2024,299.07,305.26,298.52,302.34,241703,,0.0,0.0
20-02-2024,302.34,303.28,298.32,299.86,134361,,0.0,0.0
21-02-2024,301.1,301.1,291.68,294.31,211903,,0.0,0.0
22-02-2024,295.15,296.34,289.6,294.51,122481,,0.0,0.0
23-02-2024,294.51,309.22,292.47,306.99,483910,,0.0,0.0
26-02-2024,308.23,310.22,302.63,305.11,401671,,0.0,0.0
27-02-2024,306.25,306.25,295.84,298.82,321719,,0.0,0.0
28-02-2024,298.32,301.69,290.59,293.47,292144,,0.0,0.0
29-02-2024,291.58,293.42,287.52,289.95,187270,,0.0,0.0
01-03-2024,292.03,294.65,290.39,292.33,238277,,0.0,0.0
04-03-2024,293.02,297.03,284.69,285.69,243096,,0.0,0.0
05-03-2024,285.44,290.89,282.96,283.9,213041,,0.0,0.0
06-03-2024,285.44,285.44,272.55,275.53,340359,,0.0,0.0
07-03-2024,277.51,280.83,274.54,277.71,125858,,0.0,0.0
11-03-2024,278.2,278.5,267.85,269.68,236474,,0.0,0.0
12-03-2024,268.54,272.31,257.09,260.31,361034,,0.0,0.0
13-03-2024,260.56,264.62,237.96,241.38,396299,,0.0,0.0
14-03-2024,241.38,249.66,239.35,244.06,402500,,0.0,0.0
15-03-2024,246.29,255.7,241.93,252.09,926542,,0.0,0.0
18-03-2024,252.09,252.53,246.78,249.71,284557,,0.0,0.0
19-03-2024,250.65,256.5,247.92,251.59,266693,,0.0,0.0
20-03-2024,252.58,253.23,248.77,251.64,255157,,0.0,0.0
21-03-2024,255.21,260.16,253.77,257.59,192278,,0.0,0.0
22-03-2024,257.14,275.03,257.14,271.81,494954,,0.0,0.0
26-03-2024,272.4,272.75,264.53,267.7,230699,,0.0,0.0
27-03-2024,269.53,277.06,267.6,272.31,306723,,0.0,0.0
28-03-2024,276.02,285.04,272.31,282.07,318204,,0.0,0.0
01-04-2024,282.12,285.88,273.54,280.53,256785,,0.0,0.0
02-04-2024,285.44,285.44,279.49,281.57,88615,,0.0,0.0
03-04-2024,281.47,289.4,279.69,286.87,166265,,0.0,0.0
04-04-2024,288.86,297.08,281.03,294.75,335311,,0.0,0.0
05-04-2024,294.61,298.17,288.96,296.24,219260,,0.0,0.0
08-04-2024,297.28,300.5,290.69,295.75,164075,,0.0,0.0
09-04-2024,300.11,309.03,296.14,304.42,676083,,0.0,0.0
10-04-2024,304.37,311.21,304.37,308.83,328683,,0.0,0.0
12-04-2024,308.33,311.21,305.31,310.12,363227,,0.0,0.0
15-04-2024,298.02,310.71,292.87,303.53,318924,,0.0,0.0
16-04-2024,302.04,308.23,297.48,304.76,161990,,0.0,0.0
18-04-2024,306.2,315.07,301.3,303.53,263586,,0.0,0.0
19-04-2024,297.33,321.12,293.61,317.55,929663,,0.0,0.0
