Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,65.99,66.33,64.87,65.12,269692,,0.0,0.0
09-08-2021,65.14,65.87,63.96,64.24,355732,,0.0,0.0
10-08-2021,63.96,64.87,59.73,61.24,517706,,0.0,0.0
11-08-2021,61.25,62.14,57.72,60.31,650756,,0.0,0.0
12-08-2021,60.6,64.1,60.6,63.56,461152,,0.0,0.0
13-08-2021,63.94,66.03,63.17,65.5,472152,,0.0,0.0
16-08-2021,71.14,76.57,70.1,72.39,7050822,,0.0,0.0
17-08-2021,72.98,81.69,72.25,75.92,7085050,,0.0,0.0
18-08-2021,76.22,77.98,73.06,74.32,1505342,,0.0,0.0
20-08-2021,71.9,73.81,70.28,71.11,796120,,0.0,0.0
23-08-2021,73.04,76.59,70.06,74.09,2917752,,0.0,0.0
24-08-2021,74.94,75.96,73.1,74.28,874344,,0.0,0.0
25-08-2021,75.37,77.58,74.62,75.8,1008170,,0.0,0.0
26-08-2021,76.16,80.09,76.0,77.76,1648976,,0.0,0.0
27-08-2021,77.6,85.67,76.28,83.92,4695218,,0.0,0.0
30-08-2021,83.82,86.96,82.91,84.0,2713872,,0.0,0.0
31-08-2021,83.38,87.73,82.91,83.78,2085438,,0.0,0.0
01-09-2021,84.0,87.94,83.31,87.39,2004488,,0.0,0.0
02-09-2021,87.41,88.87,85.67,85.97,1183604,,0.0,0.0
03-09-2021,86.87,87.56,85.29,85.79,546368,,1.0,0.0
06-09-2021,85.73,87.52,84.64,85.19,555580,,0.0,0.0
07-09-2021,84.87,86.85,80.49,83.16,674254,,0.0,0.0
08-09-2021,82.88,84.87,81.89,83.4,520842,,0.0,0.0
09-09-2021,83.36,83.44,81.73,82.6,361794,,0.0,0.0
13-09-2021,82.6,84.48,82.48,83.12,387126,,0.0,0.0
14-09-2021,83.64,84.93,79.95,82.1,739598,,0.0,0.0
15-09-2021,83.08,84.08,81.73,82.58,462262,,0.0,0.0
16-09-2021,82.68,86.65,81.79,84.08,878746,,0.0,0.0
17-09-2021,82.88,83.36,79.3,81.05,671626,,0.0,0.0
20-09-2021,80.39,82.7,79.49,79.97,460600,,0.0,0.0
21-09-2021,80.09,80.83,76.85,79.1,567836,,0.0,0.0
22-09-2021,79.1,81.69,78.36,81.19,405596,,0.0,0.0
23-09-2021,81.29,83.26,79.36,79.97,539618,,0.0,0.0
24-09-2021,81.09,81.25,78.92,79.48,263852,,0.0,0.0
27-09-2021,81.69,81.69,77.9,78.4,343126,,0.0,0.0
28-09-2021,78.9,79.36,77.7,78.42,258888,,0.0,0.0
29-09-2021,78.5,81.45,77.74,79.87,286016,,0.0,0.0
30-09-2021,79.44,80.49,77.82,78.42,208240,,0.0,0.0
01-10-2021,78.42,79.57,76.15,76.83,497152,,0.0,0.0
04-10-2021,77.22,78.88,77.0,77.42,242430,,0.0,0.0
05-10-2021,77.42,79.18,77.42,78.06,256678,,0.0,0.0
06-10-2021,78.38,81.55,78.1,79.2,595034,,0.0,0.0
07-10-2021,80.29,80.89,78.42,78.78,276850,,0.0,0.0
08-10-2021,79.3,81.33,79.06,80.57,348616,,0.0,0.0
11-10-2021,81.21,81.21,79.1,79.51,252482,,0.0,0.0
12-10-2021,78.54,80.03,77.7,78.38,317440,,0.0,0.0
13-10-2021,79.3,80.47,76.71,77.7,258890,,0.0,0.0
14-10-2021,78.46,79.4,77.38,77.9,238280,,0.0,0.0
18-10-2021,78.64,79.63,76.63,77.34,280580,,0.0,0.0
19-10-2021,76.9,78.9,76.01,76.45,291422,,0.0,0.0
20-10-2021,76.47,76.92,74.02,75.57,229150,,0.0,0.0
21-10-2021,74.91,76.85,74.59,74.91,146516,,0.0,0.0
22-10-2021,75.27,76.88,73.4,74.0,137156,,0.0,0.0
25-10-2021,74.12,74.93,70.55,72.7,218848,,0.0,0.0
26-10-2021,72.18,74.51,72.18,74.31,119302,,0.0,0.0
27-10-2021,73.52,76.23,73.5,74.16,101478,,0.0,0.0
28-10-2021,74.12,74.63,72.32,72.76,73284,,0.0,0.0
29-10-2021,71.94,73.92,71.76,73.34,108048,,0.0,0.0
01-11-2021,73.68,76.61,72.72,75.23,153472,,0.0,0.0
02-11-2021,75.31,77.7,73.86,74.47,182036,,0.0,0.0
03-11-2021,74.55,75.79,74.53,75.35,116778,,0.0,0.0
04-11-2021,76.07,76.43,75.35,76.09,39616,,0.0,0.0
08-11-2021,76.13,79.69,75.87,78.9,472656,,0.0,0.0
09-11-2021,79.1,79.69,76.39,77.0,302670,,0.0,0.0
10-11-2021,79.49,86.35,79.49,81.69,2043528,,0.0,0.0
11-11-2021,82.28,82.48,79.69,79.97,272464,,0.0,0.0
12-11-2021,80.67,80.67,77.7,78.04,176208,,0.0,0.0
15-11-2021,78.04,78.5,73.64,75.89,536032,,0.0,0.0
16-11-2021,75.91,77.04,75.45,76.23,155272,,0.0,0.0
17-11-2021,75.31,77.3,74.02,74.31,220740,,0.0,0.0
18-11-2021,74.67,74.85,72.36,73.74,145420,,0.0,0.0
22-11-2021,73.74,73.9,69.93,70.77,207976,,0.0,0.0
23-11-2021,70.51,70.51,67.96,68.58,756896,,0.0,0.0
24-11-2021,69.73,73.08,68.9,70.55,488498,,0.0,0.0
25-11-2021,71.7,72.56,70.59,71.92,228718,,0.0,0.0
26-11-2021,71.84,71.86,69.17,69.51,223682,,0.0,0.0
29-11-2021,68.14,69.27,66.17,67.1,182274,,0.0,0.0
30-11-2021,67.44,69.29,66.45,67.52,131638,,0.0,0.0
01-12-2021,67.74,68.52,66.6,67.18,200600,,0.0,0.0
02-12-2021,67.18,70.85,67.18,70.53,212356,,0.0,0.0
03-12-2021,70.53,71.33,69.21,69.63,112548,,0.0,0.0
06-12-2021,69.63,70.53,68.54,68.78,123974,,0.0,0.0
07-12-2021,68.94,71.15,68.66,69.75,267160,,0.0,0.0
08-12-2021,70.11,71.39,70.11,70.55,113652,,0.0,0.0
09-12-2021,70.57,70.91,69.04,69.37,173080,,0.0,0.0
10-12-2021,69.37,72.64,69.31,71.47,301364,,0.0,0.0
13-12-2021,71.72,72.06,69.59,69.95,206436,,0.0,0.0
14-12-2021,69.33,71.01,69.33,70.35,123600,,0.0,0.0
15-12-2021,70.71,71.31,69.95,70.61,111138,,0.0,0.0
