Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,376.79,376.79,363.61,365.62,55728,,0.0,0.0
09-08-2021,365.58,373.46,356.78,359.68,60116,,0.0,0.0
10-08-2021,356.4,360.42,340.52,344.47,67834,,0.0,0.0
11-08-2021,343.51,343.9,317.5,327.89,128304,,0.0,0.0
12-08-2021,330.72,349.0,329.95,346.32,97828,,0.0,0.0
13-08-2021,349.45,364.53,341.69,345.04,57456,,0.0,0.0
16-08-2021,344.04,370.97,328.44,362.06,204450,,0.0,0.0
17-08-2021,422.54,434.46,405.02,430.51,2531900,,0.0,0.0
18-08-2021,445.38,474.48,434.87,463.95,2954134,,0.0,0.0
20-08-2021,447.66,465.46,439.44,446.11,696546,,0.0,0.0
23-08-2021,446.09,455.2,406.55,414.48,348840,,0.0,0.0
24-08-2021,413.36,447.66,402.49,443.14,314844,,0.0,0.0
25-08-2021,456.34,456.34,429.39,434.65,302740,,0.0,0.0
26-08-2021,436.98,443.01,429.92,439.15,97378,,0.0,0.0
27-08-2021,441.73,455.2,421.47,440.86,411600,,0.0,0.0
30-08-2021,456.34,476.9,443.53,448.81,1203408,,0.0,0.0
31-08-2021,450.75,484.14,450.73,475.83,545992,,0.0,0.0
01-09-2021,479.43,523.4,477.84,521.0,1033896,,0.0,0.0
02-09-2021,525.32,531.9,503.65,513.56,390428,,0.0,0.0
03-09-2021,515.7,541.31,481.22,489.83,932180,,0.0,0.0
06-09-2021,497.36,538.8,493.37,535.48,793194,,0.0,0.0
07-09-2021,538.11,538.34,509.36,519.84,315196,,0.0,0.0
08-09-2021,519.84,528.98,509.79,515.04,135358,,0.0,0.0
09-09-2021,517.1,520.16,502.73,507.76,104270,,0.0,0.0
13-09-2021,517.84,558.53,516.77,549.91,734426,,8.0,0.0
14-09-2021,553.5,566.83,532.99,544.72,233610,,0.0,0.0
15-09-2021,549.21,557.09,524.23,532.46,137640,,0.0,0.0
16-09-2021,537.49,556.17,507.87,514.8,712006,,0.0,0.0
17-09-2021,528.36,532.53,492.21,510.77,187402,,0.0,0.0
20-09-2021,505.18,520.94,496.84,500.36,116262,,0.0,0.0
21-09-2021,488.5,522.8,482.01,517.44,316184,,0.0,0.0
22-09-2021,519.97,530.49,516.54,529.45,150934,,0.0,0.0
23-09-2021,532.97,536.7,516.31,518.81,78846,,0.0,0.0
24-09-2021,518.81,524.58,505.25,510.58,64586,,0.0,0.0
27-09-2021,510.58,519.55,501.8,510.05,76266,,0.0,0.0
28-09-2021,510.75,515.38,500.55,505.46,64602,,0.0,0.0
29-09-2021,499.99,514.45,493.81,507.48,46366,,0.0,0.0
30-09-2021,507.48,523.72,505.79,510.98,89396,,0.0,0.0
01-10-2021,513.8,514.45,505.18,509.63,41640,,0.0,0.0
04-10-2021,509.68,528.2,509.68,518.28,80372,,0.0,0.0
05-10-2021,516.75,521.41,509.82,518.86,58796,,0.0,0.0
06-10-2021,523.26,526.04,509.87,516.47,92142,,0.0,0.0
07-10-2021,532.53,553.39,523.72,541.8,276278,,0.0,0.0
08-10-2021,549.86,550.72,527.73,529.42,87120,,0.0,0.0
11-10-2021,532.53,542.77,523.82,525.21,177864,,0.0,0.0
12-10-2021,527.89,535.68,512.69,515.87,75710,,0.0,0.0
13-10-2021,527.43,529.66,518.39,521.57,104028,,0.0,0.0
14-10-2021,514.85,595.56,514.85,586.94,901150,,0.0,0.0
18-10-2021,607.15,622.88,583.97,591.07,488302,,0.0,0.0
19-10-2021,595.19,597.88,556.17,563.21,230382,,0.0,0.0
20-10-2021,556.19,565.41,526.04,536.33,212750,,0.0,0.0
21-10-2021,538.55,560.13,523.28,552.57,198910,,0.0,0.0
