Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,79.9,81.37,78.53,80.78,567798,,0.0,0.0
09-08-2021,81.74,82.02,79.9,80.32,480136,,0.0,0.0
10-08-2021,79.81,81.1,74.85,80.27,1095720,,0.0,0.0
11-08-2021,79.08,79.9,76.32,78.07,947085,,0.0,0.0
12-08-2021,79.35,81.05,78.53,78.99,319380,,0.0,0.0
13-08-2021,79.54,79.63,78.07,78.48,529559,,0.0,0.0
16-08-2021,75.77,77.47,75.77,76.69,730925,,0.0,0.0
17-08-2021,76.23,76.46,74.39,75.27,353791,,0.0,0.0
18-08-2021,75.27,76.69,74.62,76.18,456284,,0.0,0.0
20-08-2021,74.85,77.1,73.52,75.59,543548,,0.0,0.0
23-08-2021,73.75,75.31,72.74,73.57,1519014,,0.0,0.0
24-08-2021,72.65,75.27,72.19,74.44,926341,,0.0,0.0
25-08-2021,75.04,77.15,74.49,75.31,719716,,0.0,0.0
26-08-2021,75.86,86.93,74.35,81.56,12445536,,0.0,0.0
27-08-2021,79.9,83.58,78.71,80.46,2045533,,0.0,0.0
30-08-2021,80.73,82.61,80.59,81.7,990588,,0.0,0.0
31-08-2021,81.28,83.49,79.63,82.34,1137442,,0.0,0.0
01-09-2021,83.21,85.64,80.36,80.91,951992,,0.0,0.0
02-09-2021,80.5,81.65,79.54,80.27,375822,,0.0,0.0
03-09-2021,80.82,81.47,78.66,78.99,360556,,0.0,0.0
06-09-2021,79.77,81.33,79.12,80.23,828523,,0.0,0.0
07-09-2021,80.55,80.59,79.26,79.9,695049,,0.0,0.0
08-09-2021,80.13,80.55,78.25,78.99,922951,,0.0,0.0
09-09-2021,78.99,79.81,78.53,78.99,347771,,0.0,0.0
13-09-2021,78.43,78.99,77.38,78.57,347027,,0.0,0.0
14-09-2021,78.71,79.87,78.62,79.13,323727,,0.5,0.0
15-09-2021,79.87,86.84,79.45,84.07,5268392,,0.0,0.0
16-09-2021,85.92,87.21,84.07,85.18,2533677,,0.0,0.0
17-09-2021,86.06,92.38,84.81,89.1,10346087,,0.0,0.0
20-09-2021,87.58,88.97,83.05,84.21,1800077,,0.0,0.0
21-09-2021,84.07,84.76,81.67,83.38,1044511,,0.0,0.0
22-09-2021,83.65,88.04,83.42,84.81,1002877,,0.0,0.0
23-09-2021,85.55,86.19,81.76,83.1,920111,,0.0,0.0
24-09-2021,82.87,84.95,82.04,83.61,1267628,,0.0,0.0
27-09-2021,84.21,87.3,83.33,84.9,1321918,,0.0,0.0
28-09-2021,86.01,86.19,82.96,83.93,529208,,0.0,0.0
29-09-2021,83.52,84.07,82.31,82.73,527413,,0.0,0.0
30-09-2021,83.15,84.07,81.11,82.55,918225,,0.0,0.0
01-10-2021,82.13,83.75,81.44,83.19,506365,,0.0,0.0
04-10-2021,83.79,84.39,83.15,83.65,401470,,0.0,0.0
05-10-2021,83.79,83.88,82.45,83.33,737594,,0.0,0.0
06-10-2021,83.24,84.95,82.04,82.73,716110,,0.0,0.0
07-10-2021,83.38,88.55,83.38,87.9,2814592,,0.0,0.0
08-10-2021,88.46,91.69,86.19,86.84,3009067,,0.0,0.0
11-10-2021,87.21,88.92,86.01,86.89,1104943,,0.0,0.0
12-10-2021,85.69,89.94,85.69,88.41,1411175,,0.0,0.0
13-10-2021,89.06,93.12,88.69,89.75,4107799,,0.0,0.0
14-10-2021,90.44,93.08,89.52,91.37,3337086,,0.0,0.0
18-10-2021,92.38,94.23,90.07,90.54,2010947,,0.0,0.0
19-10-2021,90.54,90.95,85.09,85.92,1115964,,0.0,0.0
20-10-2021,86.38,89.1,82.96,87.81,1134244,,0.0,0.0
21-10-2021,88.5,88.5,86.1,87.44,528843,,0.0,0.0
22-10-2021,87.67,88.27,84.07,86.89,577488,,0.0,0.0
25-10-2021,91.46,91.46,86.75,88.6,1461355,,0.0,0.0
26-10-2021,88.64,90.35,88.55,90.07,755185,,0.0,0.0
27-10-2021,90.54,93.22,89.2,90.86,2246056,,0.0,0.0
28-10-2021,91.28,91.88,89.2,90.54,949067,,0.0,0.0
29-10-2021,90.54,90.81,87.76,90.03,531311,,0.0,0.0
01-11-2021,90.03,91.92,87.76,90.58,601445,,0.0,0.0
02-11-2021,91.46,97.47,91.41,94.74,4404607,,0.0,0.0
03-11-2021,95.34,95.62,91.09,91.92,991759,,0.0,0.0
04-11-2021,92.57,93.68,92.29,93.03,220207,,0.0,0.0
08-11-2021,93.68,93.72,91.92,92.48,581643,,0.0,0.0
09-11-2021,92.75,102.45,92.75,100.01,8948389,,0.0,0.0
10-11-2021,99.22,103.01,97.93,101.95,2567584,,0.0,0.0
11-11-2021,101.62,101.62,96.08,97.23,2687514,,0.0,0.0
12-11-2021,98.62,98.71,94.46,96.17,1165116,,0.0,0.0
15-11-2021,97.0,98.34,96.03,96.96,784584,,0.0,0.0
16-11-2021,97.79,104.16,96.73,99.22,3109715,,0.0,0.0
17-11-2021,98.85,104.58,97.93,102.59,3322984,,0.0,0.0
