Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,151.54,159.95,151.02,156.21,226145,,0.0,0.0
09-08-2021,157.15,158.5,151.02,154.11,102098,,0.0,0.0
10-08-2021,156.59,156.59,139.94,145.74,156650,,0.0,0.0
11-08-2021,145.97,149.48,136.24,146.16,481284,,0.0,0.0
12-08-2021,145.41,148.17,144.47,145.92,73016,,0.0,0.0
13-08-2021,146.58,153.13,145.18,146.11,154183,,0.0,0.0
16-08-2021,146.11,147.56,142.23,143.77,65853,,0.0,0.0
17-08-2021,145.88,145.88,138.44,139.75,87761,,0.0,0.0
18-08-2021,141.25,141.85,137.51,137.93,79669,,0.0,0.0
20-08-2021,138.4,140.46,132.72,134.15,93450,,3.0,0.0
23-08-2021,136.54,136.88,125.51,127.52,142596,,0.0,0.0
24-08-2021,127.95,133.53,127.95,132.67,55027,,0.0,0.0
25-08-2021,136.54,138.98,133.01,133.92,162871,,0.0,0.0
26-08-2021,136.21,137.02,134.35,135.44,61690,,0.0,0.0
27-08-2021,135.59,137.5,131.77,132.77,74849,,0.0,0.0
30-08-2021,133.96,138.79,133.96,137.93,81881,,0.0,0.0
31-08-2021,139.41,140.36,135.83,136.26,65850,,0.0,0.0
01-09-2021,138.45,140.12,133.68,134.3,113326,,0.0,0.0
02-09-2021,135.3,136.11,132.72,133.58,62195,,0.0,0.0
03-09-2021,135.16,138.45,135.01,136.02,64520,,0.0,0.0
06-09-2021,137.45,137.74,132.72,133.34,66408,,0.0,0.0
07-09-2021,136.45,136.45,133.2,133.63,29401,,0.0,0.0
08-09-2021,136.54,136.54,130.81,132.29,54330,,0.0,0.0
09-09-2021,135.59,135.59,130.0,131.48,93777,,0.0,0.0
13-09-2021,134.63,134.63,131.67,132.1,61574,,0.0,0.0
14-09-2021,134.63,135.92,133.68,135.01,63253,,0.0,0.0
15-09-2021,137.5,137.5,129.95,136.11,235230,,0.0,0.0
16-09-2021,136.54,138.31,134.15,134.73,58386,,0.0,0.0
17-09-2021,135.59,136.21,131.77,133.06,79957,,0.0,0.0
20-09-2021,130.53,135.01,129.28,129.86,77997,,0.0,0.0
21-09-2021,129.86,130.67,124.32,128.81,125197,,0.0,0.0
22-09-2021,130.57,131.72,129.48,130.29,55590,,0.0,0.0
23-09-2021,132.15,133.58,131.29,131.53,46920,,0.0,0.0
24-09-2021,131.53,134.15,129.38,130.38,62453,,0.0,0.0
27-09-2021,130.34,138.45,129.86,136.06,252009,,0.0,0.0
28-09-2021,137.02,137.26,132.82,133.87,66900,,0.0,0.0
29-09-2021,133.77,138.26,129.95,136.35,162506,,0.0,0.0
30-09-2021,137.93,138.21,133.1,133.72,92562,,0.0,0.0
01-10-2021,133.68,133.68,130.38,130.96,135435,,0.0,0.0
04-10-2021,133.01,134.63,131.34,132.82,47160,,0.0,0.0
05-10-2021,134.54,134.54,132.1,133.15,33588,,0.0,0.0
06-10-2021,133.68,134.78,131.39,131.72,41185,,0.0,0.0
07-10-2021,134.63,138.45,131.77,137.31,189186,,0.0,0.0
08-10-2021,138.16,146.09,138.12,143.94,386822,,0.0,0.0
11-10-2021,144.85,147.52,138.59,139.41,247392,,0.0,0.0
12-10-2021,140.7,143.18,137.5,140.22,97299,,0.0,0.0
13-10-2021,142.22,142.22,138.21,138.79,153056,,0.0,0.0
14-10-2021,139.88,140.89,137.5,138.07,77897,,0.0,0.0
18-10-2021,137.5,139.5,134.06,135.16,145040,,0.0,0.0
19-10-2021,135.35,138.07,131.82,133.2,83697,,0.0,0.0
20-10-2021,133.68,133.68,127.47,130.19,158552,,0.0,0.0
21-10-2021,133.2,133.2,127.71,129.48,79345,,0.0,0.0
22-10-2021,129.86,131.58,127.47,128.14,47310,,0.0,0.0
25-10-2021,126.99,128.86,125.08,125.61,60845,,0.0,0.0
26-10-2021,126.9,128.66,124.13,125.94,79135,,0.0,0.0
27-10-2021,127.9,128.38,126.47,127.18,57257,,0.0,0.0
28-10-2021,129.62,129.62,125.08,125.42,43061,,0.0,0.0
29-10-2021,126.04,126.23,122.84,123.94,56934,,0.0,0.0
01-11-2021,121.74,127.04,121.74,124.8,36619,,0.0,0.0
02-11-2021,125.94,126.61,123.32,124.8,61029,,0.0,0.0
03-11-2021,124.8,127.47,123.17,123.99,61445,,0.0,0.0
04-11-2021,126.32,126.32,123.41,124.18,22288,,0.0,0.0
08-11-2021,126.66,127.47,123.46,124.13,74031,,0.0,0.0
09-11-2021,126.42,128.52,124.42,126.09,180691,,0.0,0.0
10-11-2021,127.85,127.85,125.32,126.37,59442,,0.0,0.0
11-11-2021,127.47,142.17,122.41,140.41,1505420,,0.0,0.0
12-11-2021,140.41,142.17,137.02,138.59,306588,,0.0,0.0
15-11-2021,141.32,141.94,133.1,134.06,101706,,0.0,0.0
16-11-2021,135.59,142.94,134.15,139.41,295360,,0.0,0.0
17-11-2021,136.88,144.61,136.88,142.27,227868,,0.0,0.0
18-11-2021,142.75,142.75,129.48,136.3,114860,,0.0,0.0
22-11-2021,133.2,138.74,130.1,132.44,85306,,0.0,0.0
23-11-2021,132.72,134.92,131.0,133.58,89959,,0.0,0.0
24-11-2021,136.26,149.67,135.4,144.47,1042486,,0.0,0.0
25-11-2021,144.9,151.44,138.45,148.72,511270,,0.0,0.0
26-11-2021,147.04,147.04,140.17,141.32,200321,,0.0,0.0
29-11-2021,139.41,140.17,133.3,135.73,150370,,0.0,0.0
30-11-2021,137.69,140.65,134.63,135.2,74134,,0.0,0.0
01-12-2021,137.93,141.94,135.44,139.93,157745,,0.0,0.0
02-12-2021,139.98,147.71,139.69,146.61,295978,,0.0,0.0
03-12-2021,146.57,148.38,144.28,145.66,130714,,0.0,0.0
06-12-2021,146.76,146.76,134.25,139.69,77444,,0.0,0.0
07-12-2021,142.27,146.04,141.41,145.61,92037,,0.0,0.0
08-12-2021,146.14,152.11,145.61,149.38,219245,,0.0,0.0
09-12-2021,149.38,150.0,145.52,146.38,136379,,0.0,0.0
10-12-2021,146.61,157.93,146.09,153.87,474643,,0.0,0.0
13-12-2021,154.97,157.12,149.77,154.25,318779,,0.0,0.0
14-12-2021,155.16,157.07,150.86,153.11,110564,,0.0,0.0
15-12-2021,153.35,158.98,151.1,154.49,188493,,0.0,0.0
16-12-2021,156.59,156.59,148.95,151.05,75413,,0.0,0.0
17-12-2021,152.68,152.77,145.42,146.47,72894,,0.0,0.0
20-12-2021,141.36,142.13,135.3,138.55,188265,,0.0,0.0
21-12-2021,140.36,142.65,138.5,140.69,76570,,0.0,0.0
22-12-2021,138.45,147.33,138.45,145.76,99107,,0.0,0.0
23-12-2021,146.09,147.57,142.27,143.03,87011,,0.0,0.0
24-12-2021,143.23,148.0,141.6,145.61,79849,,0.0,0.0
27-12-2021,148.0,153.25,145.71,152.34,102683,,0.0,0.0
28-12-2021,153.54,154.25,150.24,152.68,77445,,0.0,0.0
29-12-2021,152.68,155.64,150.1,151.44,46757,,0.0,0.0
30-12-2021,150.29,153.97,148.95,150.29,51184,,0.0,0.0
31-12-2021,150.34,153.25,147.09,149.24,76938,,0.0,0.0
03-01-2022,152.58,157.5,150.72,154.49,130538,,0.0,0.0
04-01-2022,154.21,170.92,154.21,158.36,1254155,,0.0,0.0
05-01-2022,158.41,166.62,154.68,161.51,308482,,0.0,0.0
06-01-2022,159.46,162.08,156.97,160.41,120326,,0.0,0.0
07-01-2022,165.09,175.4,162.32,166.57,964332,,0.0,0.0
10-01-2022,169.44,174.97,167.33,169.77,448330,,0.0,0.0
11-01-2022,170.63,170.63,164.28,165.52,133169,,0.0,0.0
12-01-2022,166.71,167.48,160.46,162.37,208607,,0.0,0.0
13-01-2022,165.04,177.79,164.33,174.26,889280,,0.0,0.0
14-01-2022,172.97,181.32,170.82,179.51,664735,,0.0,0.0
17-01-2022,180.32,200.32,179.51,189.77,1745764,,0.0,0.0
18-01-2022,191.3,198.89,184.47,189.34,813794,,0.0,0.0
19-01-2022,189.63,195.17,187.15,191.11,312936,,0.0,0.0
20-01-2022,191.83,200.52,191.44,194.45,378506,,0.0,0.0
21-01-2022,192.88,195.84,188.29,190.06,217322,,0.0,0.0
24-01-2022,192.69,193.35,171.87,180.56,487813,,0.0,0.0
25-01-2022,178.36,188.58,173.83,186.05,268234,,0.0,0.0
27-01-2022,187.05,193.59,184.09,190.35,283529,,0.0,0.0
28-01-2022,188.77,194.26,183.61,184.95,264255,,0.0,0.0
31-01-2022,186.19,190.49,181.9,183.19,125702,,0.0,0.0
