Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,93.68,95.03,92.78,93.63,705924,,0.0,0.0
09-08-2021,93.88,94.38,88.2,89.2,1012971,,0.0,0.0
10-08-2021,88.7,90.69,80.73,83.42,1405881,,0.0,0.0
11-08-2021,85.91,87.4,81.12,83.57,1391429,,0.0,0.0
12-08-2021,83.57,88.9,83.22,87.4,869674,,0.0,0.0
13-08-2021,86.76,93.63,86.21,88.6,2726559,,0.0,0.0
16-08-2021,88.6,89.25,82.62,84.21,606310,,0.0,0.0
17-08-2021,83.62,85.66,82.42,83.57,492425,,0.0,0.0
18-08-2021,84.31,84.81,79.68,79.98,840872,,0.0,0.0
20-08-2021,79.23,81.52,75.39,76.04,705943,,0.0,0.0
23-08-2021,77.19,78.73,74.0,75.64,741350,,0.0,0.0
24-08-2021,75.74,80.78,74.35,80.13,645738,,0.0,0.0
25-08-2021,80.53,84.06,79.93,82.02,849869,,0.0,0.0
26-08-2021,84.11,84.51,82.62,83.82,622205,,0.0,0.0
27-08-2021,83.72,84.71,82.62,83.32,605975,,0.0,0.0
30-08-2021,84.46,89.1,84.16,86.46,1022031,,0.0,0.0
31-08-2021,86.46,90.24,85.21,87.1,553333,,0.0,0.0
01-09-2021,87.7,88.2,84.21,84.61,558367,,0.0,0.0
02-09-2021,85.21,85.31,82.62,83.22,414269,,0.0,0.0
03-09-2021,84.41,87.6,82.52,85.36,952968,,0.0,0.0
06-09-2021,85.81,85.91,82.97,83.37,619788,,0.0,0.0
07-09-2021,83.82,84.11,81.32,81.92,361590,,0.0,0.0
08-09-2021,82.62,82.62,81.27,81.42,230539,,0.0,0.0
09-09-2021,81.22,94.33,80.92,91.99,4642195,,0.0,0.0
13-09-2021,91.89,95.48,89.55,93.78,2705209,,0.0,0.0
14-09-2021,94.18,95.67,93.13,93.58,1001401,,0.0,0.0
15-09-2021,93.98,99.51,93.43,96.47,2282533,,0.0,0.0
16-09-2021,97.47,98.07,93.68,94.23,838641,,0.0,0.0
17-09-2021,94.78,95.13,90.99,91.44,495348,,0.0,0.0
20-09-2021,90.59,91.54,86.41,86.9,466672,,0.0,0.0
21-09-2021,86.71,90.59,84.61,89.4,995234,,0.0,0.0
22-09-2021,90.09,91.59,88.55,89.0,431171,,0.0,0.0
23-09-2021,90.59,92.83,89.55,90.99,654859,,0.0,0.0
24-09-2021,91.69,92.59,87.55,91.64,957209,,0.0,0.0
27-09-2021,92.24,97.47,92.24,94.88,1961748,,0.0,0.0
28-09-2021,95.67,101.85,95.67,99.86,3311385,,0.0,0.0
29-09-2021,99.26,100.66,97.72,98.52,1345789,,0.0,0.0
30-09-2021,99.91,101.36,97.22,99.01,936775,,0.0,0.0
01-10-2021,97.67,103.65,97.02,102.45,2059904,,0.0,0.0
04-10-2021,103.3,107.88,103.3,106.84,3032795,,0.0,0.0
05-10-2021,107.14,108.13,104.74,105.34,1319106,,0.0,0.0
06-10-2021,105.94,106.19,98.17,100.11,2443795,,0.0,0.0
07-10-2021,100.76,102.75,100.66,101.36,720658,,0.0,0.0
08-10-2021,102.15,106.64,99.16,105.04,1371996,,0.0,0.0
11-10-2021,106.24,108.63,101.51,104.4,1575225,,0.0,0.0
12-10-2021,104.15,106.94,102.0,105.19,995028,,0.0,0.0
13-10-2021,105.99,114.31,104.54,111.97,6289958,,0.0,0.0
14-10-2021,108.63,111.37,107.53,108.83,2932004,,0.0,0.0
18-10-2021,109.88,111.12,104.94,106.94,1849219,,0.0,0.0
19-10-2021,107.63,107.83,97.47,100.36,1086592,,0.0,0.0
20-10-2021,101.06,103.15,94.23,95.67,1269008,,0.0,0.0
21-10-2021,97.57,100.61,95.92,99.91,774684,,0.0,0.0
22-10-2021,99.66,101.31,96.52,98.17,554106,,0.0,0.0
25-10-2021,98.86,98.86,94.98,97.52,414920,,0.0,0.0
26-10-2021,98.27,101.9,96.82,100.56,633818,,0.0,0.0
27-10-2021,100.66,101.8,98.12,98.96,498688,,0.0,0.0
28-10-2021,98.96,99.86,95.28,96.37,439635,,0.0,0.0
29-10-2021,96.02,100.26,94.78,96.82,787037,,0.0,0.0
01-11-2021,96.82,108.33,96.52,107.48,2937285,,0.0,0.0
02-11-2021,108.63,114.61,107.78,112.77,3703813,,0.0,0.0
03-11-2021,113.12,115.01,110.33,113.56,2036917,,0.0,0.0
04-11-2021,114.21,114.61,112.62,113.27,382534,,0.0,0.0
08-11-2021,112.62,112.62,107.34,108.68,719608,,0.0,0.0
09-11-2021,107.43,113.02,105.64,111.87,1456028,,0.0,0.0
10-11-2021,110.57,118.95,109.08,117.95,3545899,,0.0,0.0
11-11-2021,118.4,120.39,115.61,117.0,1648534,,0.0,0.0
12-11-2021,117.9,122.28,116.4,119.89,1653129,,0.0,0.0
15-11-2021,119.99,120.39,111.22,112.87,945857,,0.0,0.0
16-11-2021,112.87,115.41,112.62,113.12,550939,,0.0,0.0
17-11-2021,113.12,123.78,112.57,120.89,2796721,,0.0,0.0
18-11-2021,124.18,124.18,116.6,122.43,2220360,,0.0,0.0
22-11-2021,122.93,123.58,107.63,110.13,1685444,,0.0,0.0
23-11-2021,109.63,116.6,108.48,113.86,1481368,,0.0,0.0
24-11-2021,113.86,126.32,113.12,117.65,3972147,,0.0,0.0
25-11-2021,117.4,122.48,115.31,121.64,1631504,,0.0,0.0
26-11-2021,119.24,121.59,113.61,115.06,1179152,,0.0,0.0
29-11-2021,114.61,115.06,106.39,110.18,1231945,,0.0,0.0
30-11-2021,109.63,115.41,109.63,111.67,1103057,,0.0,0.0
01-12-2021,111.62,114.61,111.62,113.51,493453,,0.0,0.0
02-12-2021,114.51,119.44,113.56,118.75,1765341,,0.0,0.0
03-12-2021,119.19,119.59,115.01,116.25,623304,,0.0,0.0
06-12-2021,117.7,121.24,111.57,114.01,845113,,0.0,0.0
07-12-2021,114.61,118.9,114.61,117.85,689515,,0.0,0.0
08-12-2021,118.9,121.24,117.9,118.65,901293,,0.0,0.0
09-12-2021,119.44,123.23,118.65,119.64,647042,,0.0,0.0
10-12-2021,119.69,127.57,119.69,125.77,2368789,,0.0,0.0
13-12-2021,129.31,130.81,119.24,122.09,1659759,,0.0,0.0
14-12-2021,123.08,127.37,119.69,125.17,952827,,0.0,0.0
15-12-2021,126.07,126.67,122.09,122.93,729484,,0.0,0.0
16-12-2021,124.18,125.57,120.59,123.58,862760,,0.0,0.0
17-12-2021,121.94,123.38,116.6,118.05,780990,,0.0,0.0
20-12-2021,118.0,118.0,106.94,110.62,1217979,,0.0,0.0
21-12-2021,110.67,114.41,108.23,109.93,607025,,0.0,0.0
22-12-2021,111.62,116.35,111.42,115.66,857535,,0.0,0.0
23-12-2021,116.45,116.5,113.71,114.56,601416,,0.0,0.0
24-12-2021,114.71,115.46,111.42,112.47,452237,,0.0,0.0
27-12-2021,112.47,114.21,110.72,113.61,543106,,0.0,0.0
28-12-2021,114.46,115.31,112.82,113.61,270191,,0.0,0.0
29-12-2021,114.41,115.31,112.17,113.07,338059,,0.0,0.0
30-12-2021,113.07,115.31,107.78,108.68,740920,,0.0,0.0
31-12-2021,109.38,111.52,109.18,110.72,487807,,0.0,0.0
03-01-2022,110.72,116.25,110.23,115.56,684745,,0.0,0.0
04-01-2022,116.35,121.09,116.11,119.89,1630695,,0.0,0.0
05-01-2022,119.94,122.68,119.94,122.18,887000,,0.0,0.0
06-01-2022,121.59,126.97,119.1,124.43,1986270,,0.0,0.0
07-01-2022,124.33,126.92,120.39,121.79,1019363,,0.0,0.0
10-01-2022,122.73,123.43,120.59,120.99,496379,,0.0,0.0
11-01-2022,120.99,122.28,118.55,119.0,541441,,0.0,0.0
12-01-2022,119.89,121.74,117.9,119.39,665747,,0.0,0.0
13-01-2022,120.59,135.04,120.59,128.56,7640967,,0.0,0.0
14-01-2022,127.37,132.55,126.57,127.87,2541928,,0.0,0.0
17-01-2022,129.56,137.93,128.56,133.55,4128719,,0.0,0.0
18-01-2022,134.69,135.94,126.57,127.37,2022882,,0.0,0.0
19-01-2022,127.37,131.05,123.33,127.12,11019430,,0.0,0.0
20-01-2022,129.56,135.14,127.82,133.75,5864314,,0.0,0.0
21-01-2022,134.49,139.03,130.95,133.0,5679066,,0.0,0.0
24-01-2022,133.55,135.24,123.78,126.47,3555271,,0.0,0.0
25-01-2022,123.68,129.26,120.54,127.17,2023326,,0.0,0.0
27-01-2022,127.52,127.52,124.08,125.97,784634,,0.0,0.0
28-01-2022,127.27,130.26,124.58,125.37,922020,,0.0,0.0
31-01-2022,127.57,127.67,124.83,125.37,527911,,0.0,0.0
01-02-2022,126.22,127.52,122.58,124.68,635854,,0.0,0.0
02-02-2022,125.57,130.56,125.27,127.47,696133,,0.0,0.0
03-02-2022,128.46,135.34,127.22,130.56,2500701,,0.0,0.0
04-02-2022,131.05,132.05,128.66,129.66,754529,,0.0,0.0
07-02-2022,130.31,135.54,127.72,133.55,1791370,,0.0,0.0
08-02-2022,133.8,135.54,126.57,130.01,1328817,,0.0,0.0
09-02-2022,130.95,131.9,126.97,130.36,1024756,,0.0,0.0
10-02-2022,128.16,132.25,126.87,128.76,832810,,0.0,0.0
11-02-2022,127.57,129.66,125.82,127.07,802299,,0.0,0.0
14-02-2022,125.47,125.47,113.96,116.35,1432610,,0.0,0.0
15-02-2022,118.45,120.59,111.97,119.79,1266208,,0.0,0.0
16-02-2022,120.39,126.97,118.7,124.03,1341774,,0.0,0.0
17-02-2022,124.58,128.11,122.53,126.42,1257380,,0.0,0.0
18-02-2022,126.52,129.51,124.08,124.98,938862,,0.0,0.0
21-02-2022,124.08,124.48,120.59,121.94,756695,,0.0,0.0
22-02-2022,115.61,118.45,114.61,117.4,863142,,0.0,0.0
23-02-2022,121.59,122.09,116.75,117.85,674622,,0.0,0.0
24-02-2022,109.63,113.27,100.16,102.3,2091038,,0.0,0.0
25-02-2022,105.64,109.63,104.2,108.63,2095194,,0.0,0.0
28-02-2022,108.53,110.42,105.79,108.83,1487364,,0.0,0.0
02-03-2022,109.53,114.51,107.88,111.77,1361240,,0.0,0.0
03-03-2022,114.46,114.46,109.48,110.28,862580,,0.0,0.0
04-03-2022,111.02,111.07,105.74,107.14,668974,,0.0,0.0
07-03-2022,106.14,108.13,101.95,103.4,898933,,0.0,0.0
08-03-2022,103.4,109.58,103.4,108.73,784255,,0.0,0.0
09-03-2022,112.47,112.47,107.98,109.88,572372,,0.0,0.0
10-03-2022,111.52,115.11,110.62,111.92,1212004,,0.0,0.0
11-03-2022,112.22,118.1,110.37,116.9,1184282,,0.0,0.0
14-03-2022,117.6,118.9,113.81,115.31,913029,,0.0,0.0
15-03-2022,116.21,120.59,114.01,118.75,1230466,,0.0,0.0
16-03-2022,119.59,123.78,119.49,122.13,1638132,,0.0,0.0
17-03-2022,124.58,124.58,122.09,123.78,859097,,0.0,0.0
21-03-2022,123.08,123.58,117.6,119.29,609035,,0.0,0.0
22-03-2022,119.94,122.04,118.05,119.44,666392,,0.0,0.0
23-03-2022,120.09,123.33,119.59,121.79,678882,,0.0,0.0
24-03-2022,122.38,125.32,120.84,124.28,911313,,0.0,0.0
25-03-2022,124.18,124.53,120.54,122.28,433224,,0.0,0.0
28-03-2022,123.23,123.23,119.29,120.49,327294,,0.0,0.0
29-03-2022,121.44,130.86,121.44,127.77,2439836,,0.0,0.0
30-03-2022,130.81,131.45,124.58,125.67,833642,,0.0,0.0
31-03-2022,126.07,130.66,125.03,129.71,708917,,0.0,0.0
01-04-2022,128.06,134.54,128.06,132.45,2106101,,0.0,0.0
04-04-2022,133.5,137.53,132.5,136.39,1697026,,0.0,0.0
05-04-2022,138.53,141.07,132.85,134.99,2431365,,0.0,0.0
06-04-2022,135.09,138.33,134.54,135.89,998086,,0.0,0.0
07-04-2022,136.54,137.33,131.3,133.94,1418286,,0.0,0.0
08-04-2022,133.65,134.94,132.85,133.65,431892,,0.0,0.0
11-04-2022,135.44,144.21,134.29,140.37,2718937,,0.0,0.0
12-04-2022,139.53,143.01,136.29,141.52,1439087,,0.0,0.0
13-04-2022,142.52,144.51,141.02,143.01,1689229,,0.0,0.0
18-04-2022,140.52,148.4,137.68,146.8,1720664,,0.0,0.0
