Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
24-09-2021,803.91,834.08,793.51,810.9,12520012,,0.0,0.0
27-09-2021,840.02,851.96,824.52,838.88,3813046,,0.0,0.0
28-09-2021,845.92,847.01,795.99,808.02,1071633,,0.0,0.0
29-09-2021,807.23,807.23,787.67,794.8,489332,,0.0,0.0
30-09-2021,794.01,808.92,792.52,798.56,307693,,0.0,0.0
01-10-2021,792.52,813.32,784.59,802.87,359134,,0.0,0.0
04-10-2021,799.45,808.62,795.59,798.76,205226,,0.0,0.0
05-10-2021,798.76,801.83,788.9,796.73,187609,,0.0,0.0
06-10-2021,793.61,801.44,777.66,787.86,189694,,0.0,0.0
07-10-2021,797.47,798.46,784.1,797.13,219406,,0.0,0.0
08-10-2021,793.81,806.98,790.69,797.37,147354,,0.0,0.0
11-10-2021,796.09,803.27,789.55,791.58,198366,,0.0,0.0
12-10-2021,788.66,792.37,779.69,783.46,104124,,0.0,0.0
13-10-2021,784.59,825.11,783.6,813.27,419915,,0.0,0.0
14-10-2021,817.29,821.25,794.01,802.72,98794,,0.0,0.0
18-10-2021,796.48,812.33,794.5,796.09,107722,,0.0,0.0
19-10-2021,796.14,816.3,792.52,803.32,185196,,0.0,0.0
20-10-2021,794.6,801.83,771.82,782.51,134511,,0.0,0.0
21-10-2021,782.66,801.88,763.79,767.8,266559,,0.0,0.0
22-10-2021,776.67,776.67,728.13,739.62,128218,,0.0,0.0
25-10-2021,745.96,745.96,702.42,724.12,149014,,0.0,0.0
26-10-2021,723.17,751.16,717.23,746.01,208149,,0.0,0.0
27-10-2021,746.01,751.9,725.8,736.15,47539,,0.0,0.0
28-10-2021,731.2,738.03,716.49,733.38,74808,,0.0,0.0
29-10-2021,721.19,734.22,675.62,700.79,187890,,0.0,0.0
01-11-2021,688.5,710.49,688.16,708.41,71628,,0.0,0.0
02-11-2021,712.77,733.08,706.33,728.52,43916,,0.0,0.0
03-11-2021,741.8,741.8,711.68,718.62,34751,,0.0,0.0
04-11-2021,718.62,732.04,718.62,726.15,8600,,0.0,0.0
08-11-2021,726.15,727.14,708.31,718.87,44610,,0.0,0.0
09-11-2021,724.17,728.13,715.5,717.68,26035,,0.0,0.0
10-11-2021,718.22,728.13,708.41,713.57,83496,,0.0,0.0
11-11-2021,766.76,807.38,766.76,794.45,964117,,0.0,0.0
12-11-2021,786.08,817.78,786.08,812.73,346732,,0.0,0.0
15-11-2021,812.43,827.19,790.14,810.4,191548,,0.0,0.0
16-11-2021,799.45,822.14,795.49,817.88,126812,,0.0,0.0
17-11-2021,806.39,880.69,806.39,837.89,562072,,0.0,0.0
18-11-2021,846.02,872.76,812.58,842.75,313657,,0.0,0.0
22-11-2021,856.42,856.42,775.28,787.77,211258,,0.0,0.0
23-11-2021,787.57,796.48,764.68,785.24,185424,,0.0,0.0
24-11-2021,786.68,820.26,779.69,788.81,323868,,0.0,0.0
25-11-2021,792.47,801.34,779.0,781.33,52199,,0.0,0.0
26-11-2021,782.56,807.38,756.41,769.54,116477,,0.0,0.0
29-11-2021,784.35,804.41,741.8,786.03,149131,,0.0,0.0
30-11-2021,786.03,797.47,754.38,777.07,160756,,0.0,0.0
01-12-2021,792.52,806.49,753.88,768.5,176491,,0.0,0.0
02-12-2021,768.5,799.45,768.5,785.19,151528,,0.0,0.0
03-12-2021,790.49,797.47,766.02,776.27,76632,,0.0,0.0
06-12-2021,776.27,789.4,752.89,755.57,108347,,0.0,0.0
07-12-2021,775.08,775.08,755.37,763.25,143156,,0.0,0.0
08-12-2021,771.47,771.52,744.47,756.81,138922,,0.0,0.0
09-12-2021,766.61,772.71,754.97,768.84,152909,,0.0,0.0
10-12-2021,770.68,777.61,763.99,768.94,84775,,0.0,0.0
13-12-2021,768.94,779.64,758.84,765.33,127046,,0.0,0.0
14-12-2021,761.36,768.45,748.93,754.33,125141,,0.0,0.0
15-12-2021,762.5,762.5,745.17,754.08,48137,,0.0,0.0
16-12-2021,749.03,767.75,739.27,755.87,134167,,0.0,0.0
17-12-2021,748.19,785.98,748.19,780.93,208435,,0.0,0.0
20-12-2021,767.75,767.75,741.8,747.0,66896,,0.0,0.0
21-12-2021,746.95,759.78,734.07,747.35,50664,,0.0,0.0
22-12-2021,743.09,762.55,743.09,748.14,26024,,0.0,0.0
23-12-2021,749.92,761.51,745.12,748.58,33271,,0.0,0.0
24-12-2021,748.58,754.33,740.02,743.28,40601,,0.0,0.0
27-12-2021,754.88,754.88,731.6,742.0,52670,,0.0,0.0
