Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,2755.63,2755.63,2667.6,2690.58,26553,,0.0,0.0
03-08-2021,2703.82,2710.37,2666.14,2699.86,27005,,0.0,0.0
04-08-2021,2699.86,2722.99,2649.74,2659.82,38766,,0.0,0.0
05-08-2021,2660.48,2703.87,2647.29,2676.59,12562,,0.0,0.0
06-08-2021,2680.27,2740.37,2677.86,2719.79,16335,,0.0,0.0
09-08-2021,2750.92,2750.92,2706.5,2724.78,8787,,0.0,0.0
10-08-2021,2699.34,2736.56,2666.14,2718.23,52301,,0.0,0.0
11-08-2021,2736.79,2736.79,2629.72,2640.75,17822,,0.0,0.0
12-08-2021,2673.67,2673.67,2633.16,2645.79,32635,,0.0,0.0
13-08-2021,2684.04,2750.92,2640.7,2692.84,39297,,0.0,0.0
16-08-2021,2685.02,2692.51,2604.52,2647.91,14410,,0.0,0.0
17-08-2021,2635.99,2661.19,2589.64,2610.83,12287,,0.0,0.0
18-08-2021,2623.93,2632.5,2564.62,2594.25,6833,,0.0,0.0
20-08-2021,2626.57,2636.79,2581.39,2605.94,23606,,0.0,0.0
23-08-2021,2626.57,2694.4,2570.61,2603.82,67156,,0.0,0.0
24-08-2021,2637.78,2670.85,2616.44,2637.92,67937,,0.0,0.0
25-08-2021,2666.14,2666.14,2604.19,2628.03,71056,,0.0,0.0
26-08-2021,2654.83,2684.98,2610.65,2637.82,75974,,0.0,0.0
27-08-2021,2684.98,2873.4,2669.72,2804.67,552597,,0.0,0.0
30-08-2021,2841.98,2887.15,2815.93,2864.26,132226,,0.0,0.0
31-08-2021,2886.59,2920.5,2849.66,2900.48,90739,,0.0,0.0
01-09-2021,2915.23,3060.87,2906.37,2957.86,132664,,0.0,0.0
02-09-2021,2948.76,3005.29,2939.34,2981.88,65095,,0.0,0.0
03-09-2021,3000.53,3074.06,2981.69,3042.69,60864,,0.0,0.0
06-09-2021,3068.88,3068.88,3001.66,3026.86,52848,,0.0,0.0
07-09-2021,3026.86,3031.95,2971.47,3006.94,53990,,0.0,0.0
08-09-2021,2981.74,3013.86,2925.31,2981.17,51657,,0.0,0.0
09-09-2021,2977.03,3014.71,2944.05,3004.87,58188,,0.0,0.0
13-09-2021,3019.89,3055.46,2983.2,3010.8,140546,,0.0,0.0
14-09-2021,3036.94,3064.64,2984.23,3027.71,190279,,0.0,0.0
15-09-2021,3042.97,3061.77,3006.89,3047.35,43506,,0.0,0.0
16-09-2021,3042.97,3058.85,2939.44,2976.6,93532,,0.0,0.0
17-09-2021,2976.18,2976.18,2765.24,2856.53,794463,,0.0,0.0
20-09-2021,2816.87,2816.87,2742.77,2784.42,35691,,0.0,0.0
21-09-2021,2805.57,2805.57,2690.02,2758.18,82345,,0.0,0.0
22-09-2021,2755.63,2840.42,2755.63,2823.8,27818,,0.0,0.0
23-09-2021,2840.42,2894.41,2773.91,2826.29,53267,,0.0,0.0
24-09-2021,2849.84,2857.57,2765.06,2831.38,40583,,0.0,0.0
27-09-2021,2978.06,3029.83,2874.34,2960.54,219106,,0.0,0.0
28-09-2021,2968.6,2975.0,2877.16,2906.46,81922,,0.0,0.0
29-09-2021,2906.37,2956.54,2873.44,2912.12,66418,,0.0,0.0
30-09-2021,2938.07,2979.34,2895.58,2912.26,37317,,0.0,0.0
01-10-2021,2918.62,2952.53,2902.6,2916.5,14852,,0.0,0.0
04-10-2021,2906.84,3079.39,2906.84,3023.71,67453,,0.0,0.0
05-10-2021,3038.83,3038.83,2931.38,2941.93,28244,,0.0,0.0
06-10-2021,2984.56,3056.16,2935.86,3006.51,42671,,0.0,0.0
07-10-2021,3038.26,3066.53,2978.11,3036.66,63381,,0.0,0.0
08-10-2021,3051.88,3156.03,3051.88,3109.67,90672,,0.0,0.0
11-10-2021,3152.26,3203.13,3132.66,3155.65,74482,,0.0,0.0
12-10-2021,3181.84,3203.13,3142.84,3155.13,32967,,0.0,0.0
13-10-2021,3186.17,3240.81,3104.21,3134.69,51598,,0.0,0.0
14-10-2021,3178.49,3193.71,3080.66,3090.88,42196,,0.0,0.0
18-10-2021,3162.24,3174.3,3049.57,3083.11,33399,,0.0,0.0
19-10-2021,3098.56,3118.58,2929.92,2995.07,30233,,0.0,0.0
20-10-2021,2994.93,3061.82,2916.78,2943.58,32316,,0.0,0.0
21-10-2021,2944.05,3132.1,2915.79,3087.54,65753,,0.0,0.0
22-10-2021,3079.72,3083.25,2977.97,2984.66,16011,,0.0,0.0
25-10-2021,2973.26,2999.59,2883.76,2925.54,27471,,0.0,0.0
26-10-2021,2944.05,3061.82,2932.56,2997.24,23742,,0.0,0.0
27-10-2021,3052.4,3052.4,2922.48,2940.9,46134,,0.0,0.0
28-10-2021,3108.92,3180.05,3033.55,3064.12,146666,,0.0,0.0
29-10-2021,3042.97,3197.53,2880.27,3128.61,65786,,0.0,0.0
01-11-2021,3128.61,3216.27,3101.9,3118.29,64951,,0.0,0.0
02-11-2021,3118.29,3149.24,3090.08,3105.58,27441,,0.0,0.0
03-11-2021,3156.03,3354.95,3098.09,3315.57,137152,,0.0,0.0
04-11-2021,3297.34,3903.96,3250.24,3669.8,88591,,0.0,0.0
08-11-2021,3693.02,3922.89,3562.07,3730.19,206433,,0.0,0.0
09-11-2021,3730.19,3812.67,3598.81,3711.91,74101,,0.0,0.0
10-11-2021,3663.82,3729.15,3625.19,3642.38,26698,,0.0,0.0
11-11-2021,3625.19,3717.52,3625.19,3645.68,20487,,0.0,0.0
12-11-2021,3627.07,3769.05,3627.07,3695.89,66478,,0.0,0.0
15-11-2021,3662.87,3718.32,3587.55,3604.65,21929,,0.0,0.0
16-11-2021,3638.38,3669.89,3551.42,3616.52,43154,,0.0,0.0
17-11-2021,3660.05,3734.47,3605.36,3672.95,156490,,0.0,0.0
18-11-2021,3697.73,3697.73,3579.97,3647.05,38887,,0.0,0.0
22-11-2021,3664.76,3665.84,3412.51,3537.81,61304,,0.0,0.0
23-11-2021,3537.81,3643.89,3504.79,3587.6,24621,,0.0,0.0
24-11-2021,3566.78,3629.99,3532.86,3550.1,21340,,0.0,0.0
25-11-2021,3509.36,3578.09,3509.36,3566.54,12771,,0.0,0.0
26-11-2021,3579.03,3579.03,3412.51,3469.89,21610,,0.0,0.0
29-11-2021,3442.23,3463.01,3316.18,3351.46,23708,,0.0,0.0
30-11-2021,3351.46,3718.13,3351.46,3653.31,142095,,0.0,0.0
01-12-2021,3707.15,3758.03,3543.23,3598.39,47400,,0.0,0.0
02-12-2021,3652.37,3721.28,3540.4,3608.89,36723,,0.0,0.0
03-12-2021,3627.07,3716.57,3627.07,3665.65,23044,,0.0,0.0
06-12-2021,3701.5,3815.49,3580.96,3625.52,154936,,0.0,0.0
07-12-2021,3668.53,3815.49,3600.93,3787.18,53247,,0.0,0.0
08-12-2021,3787.18,3815.49,3683.6,3702.87,40814,,0.0,0.0
09-12-2021,3702.87,3815.49,3688.59,3749.03,25907,,0.0,0.0
10-12-2021,3796.09,3812.67,3661.27,3695.85,30926,,0.0,0.0
13-12-2021,3716.57,3810.74,3685.2,3746.39,40517,,0.0,0.0
14-12-2021,3711.86,3947.39,3708.71,3827.32,162698,,0.0,0.0
15-12-2021,3824.92,3994.45,3820.11,3876.97,133905,,0.0,0.0
16-12-2021,3924.78,3984.13,3746.96,3781.2,57697,,0.0,0.0
17-12-2021,3787.23,3813.99,3644.79,3713.28,46418,,0.0,0.0
20-12-2021,3644.03,3706.02,3547.61,3578.56,31111,,0.0,0.0
21-12-2021,3578.09,3656.28,3513.69,3531.69,41438,,0.0,0.0
22-12-2021,3532.86,3588.35,3467.86,3500.27,41960,,0.0,0.0
23-12-2021,3495.23,3556.89,3462.3,3489.53,21363,,0.0,0.0
24-12-2021,3532.86,3532.86,3404.03,3427.07,34921,,0.0,0.0
27-12-2021,3400.97,3448.03,3346.28,3430.6,35826,,0.0,0.0
28-12-2021,3447.13,3546.95,3444.12,3524.76,34631,,0.0,0.0
29-12-2021,3515.91,3586.56,3511.15,3563.06,24396,,0.0,0.0
30-12-2021,3579.36,3586.52,3490.47,3500.22,17053,,0.0,0.0
31-12-2021,3536.63,3569.37,3496.12,3524.67,23017,,0.0,0.0
03-01-2022,3499.89,3607.95,3499.89,3537.15,37460,,0.0,0.0
04-01-2022,3578.04,3620.9,3534.14,3588.45,37054,,0.0,0.0
05-01-2022,3606.4,3664.76,3562.4,3615.86,51771,,0.0,0.0
06-01-2022,3547.56,3619.4,3514.02,3574.65,45354,,0.0,0.0
07-01-2022,3627.07,3706.73,3573.14,3669.94,41746,,0.0,0.0
10-01-2022,3670.88,3791.94,3652.56,3710.87,55493,,0.0,0.0
11-01-2022,3718.46,3806.5,3675.12,3705.93,81601,,0.0,0.0
12-01-2022,3740.13,3740.13,3638.94,3701.36,22469,,0.0,0.0
13-01-2022,3721.28,3740.13,3654.4,3659.86,73851,,0.0,0.0
14-01-2022,3649.68,3749.55,3641.21,3742.53,98215,,0.0,0.0
17-01-2022,3703.38,3785.02,3703.38,3759.67,23767,,0.0,0.0
18-01-2022,3791.0,3819.26,3713.75,3733.44,54254,,0.0,0.0
19-01-2022,3740.13,3768.39,3698.16,3708.28,36816,,0.0,0.0
20-01-2022,3718.27,3801.46,3691.37,3724.35,82022,,0.0,0.0
21-01-2022,3725.76,3761.28,3650.63,3706.63,31661,,0.0,0.0
24-01-2022,3679.88,3702.21,3542.29,3619.68,31741,,0.0,0.0
25-01-2022,3622.83,3710.78,3527.31,3595.51,20680,,0.0,0.0
27-01-2022,3579.97,3613.51,3491.13,3544.97,21840,,0.0,0.0
28-01-2022,3542.29,3610.12,3451.18,3471.91,33071,,0.0,0.0
31-01-2022,3467.86,3507.8,3405.82,3426.12,58477,,0.0,0.0
01-02-2022,3466.92,3468.1,3368.0,3391.64,76080,,0.0,0.0
02-02-2022,3432.96,3572.43,3392.87,3562.31,52316,,0.0,0.0
