Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,488.14,490.53,479.5,482.81,40284,,0.0,0.0
09-08-2021,486.72,489.98,473.2,478.61,70230,,3.5,0.0
10-08-2021,486.24,486.24,444.79,462.92,112566,,0.0,0.0
11-08-2021,458.72,473.2,429.75,464.73,149632,,0.0,0.0
12-08-2021,474.63,502.18,465.96,496.28,131770,,0.0,0.0
13-08-2021,502.18,505.02,480.45,483.01,68614,,0.0,0.0
16-08-2021,474.65,497.35,470.81,485.06,56296,,0.0,0.0
17-08-2021,480.5,501.07,473.69,489.33,96480,,0.0,0.0
18-08-2021,490.1,499.74,480.16,485.44,51330,,0.0,0.0
20-08-2021,482.86,482.86,461.13,465.65,71134,,0.0,0.0
23-08-2021,465.65,473.61,445.68,451.21,69168,,0.0,0.0
24-08-2021,451.48,465.94,444.26,455.24,60382,,0.0,0.0
25-08-2021,456.3,471.56,456.3,465.19,39016,,0.0,0.0
26-08-2021,468.35,473.71,456.11,459.3,49846,,0.0,0.0
27-08-2021,455.34,465.96,455.02,457.87,46140,,0.0,0.0
30-08-2021,459.8,477.07,459.8,469.9,49354,,0.0,0.0
31-08-2021,470.77,490.97,465.96,488.39,103754,,0.0,0.0
01-09-2021,489.14,490.13,475.62,478.13,25340,,0.0,0.0
02-09-2021,474.17,487.69,472.58,482.52,30428,,0.0,0.0
03-09-2021,484.77,493.22,480.42,484.48,36644,,0.0,0.0
06-09-2021,485.28,498.07,473.71,483.25,48432,,0.0,0.0
07-09-2021,482.86,494.79,480.45,485.86,29970,,0.0,0.0
08-09-2021,490.1,492.52,481.03,486.72,45366,,0.0,0.0
09-09-2021,482.89,523.42,482.89,507.78,160230,,0.0,0.0
13-09-2021,511.3,536.27,499.59,517.63,153968,,0.0,0.0
14-09-2021,523.33,535.16,500.68,527.48,81316,,0.0,0.0
15-09-2021,533.56,536.92,515.7,530.5,96428,,0.0,0.0
16-09-2021,522.46,535.98,515.7,518.76,57952,,0.0,0.0
17-09-2021,527.77,527.77,496.55,507.66,73300,,0.0,0.0
20-09-2021,501.69,506.98,437.86,465.6,183178,,0.0,0.0
21-09-2021,465.6,475.59,447.71,468.5,75672,,0.0,0.0
22-09-2021,468.38,489.43,468.38,474.89,37488,,0.0,0.0
23-09-2021,482.23,485.83,471.83,475.45,38612,,0.0,0.0
24-09-2021,475.62,480.35,460.65,465.99,36046,,0.0,0.0
27-09-2021,467.89,474.97,448.63,463.62,105240,,0.0,0.0
28-09-2021,460.72,467.41,450.03,460.38,35220,,0.0,0.0
29-09-2021,458.72,460.65,450.51,457.8,33600,,0.0,0.0
30-09-2021,461.13,466.59,456.3,462.9,32626,,0.0,0.0
01-10-2021,458.72,463.06,454.2,456.79,27004,,0.0,0.0
