Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,11.84,12.51,11.8,12.24,2009420,,0.0,0.0
09-08-2021,12.32,12.38,11.95,12.0,1612900,,0.0,0.0
10-08-2021,12.1,12.39,11.44,11.75,5430020,,0.0,0.0
11-08-2021,11.89,11.92,10.64,11.34,3578850,,0.0,0.0
12-08-2021,11.58,11.73,11.51,11.61,1274520,,0.0,0.0
13-08-2021,11.42,11.42,11.06,11.21,2850130,,0.0,0.0
16-08-2021,11.33,11.33,10.95,11.02,1311000,,0.0,0.0
17-08-2021,10.95,11.16,10.87,10.95,892730,,0.0,0.0
18-08-2021,11.04,11.04,10.74,10.77,672950,,0.0,0.0
20-08-2021,10.74,10.74,10.45,10.46,765900,,0.0,0.0
23-08-2021,10.62,10.68,9.82,9.93,1323550,,0.0,0.0
24-08-2021,10.05,10.48,9.92,10.27,866090,,0.0,0.0
25-08-2021,10.38,10.59,10.29,10.46,460880,,0.0,0.0
26-08-2021,10.53,10.84,10.29,10.67,1268480,,0.0,0.0
27-08-2021,10.79,11.82,10.79,11.47,3654890,,0.0,0.0
30-08-2021,11.55,11.93,11.34,11.41,1491620,,0.0,0.0
31-08-2021,11.5,11.53,11.14,11.17,815990,,0.0,0.0
01-09-2021,11.44,11.44,11.09,11.21,845340,,0.0,0.0
02-09-2021,11.32,11.44,11.18,11.23,831400,,0.0,0.0
03-09-2021,11.24,11.39,11.24,11.32,604830,,0.0,0.0
06-09-2021,11.44,11.46,11.24,11.42,912040,,0.0,0.0
07-09-2021,11.42,11.44,11.24,11.27,782770,,0.0,0.0
08-09-2021,11.28,11.48,11.2,11.35,561630,,0.0,0.0
09-09-2021,11.38,11.52,11.26,11.32,637780,,0.0,0.0
13-09-2021,11.64,13.02,11.64,12.46,18174170,,0.0,0.0
14-09-2021,12.68,12.83,12.29,12.57,3840980,,0.0,0.0
15-09-2021,12.58,12.71,12.26,12.32,2110570,,0.0,0.0
16-09-2021,12.42,12.42,11.97,12.07,2078430,,0.02,0.0
17-09-2021,12.07,12.24,11.43,11.63,2010580,,0.0,0.0
20-09-2021,11.61,12.01,11.22,11.37,1591440,,0.0,0.0
21-09-2021,11.37,11.57,11.17,11.43,1080230,,0.0,0.0
22-09-2021,11.48,11.76,11.48,11.6,992430,,0.0,0.0
23-09-2021,11.76,12.05,11.69,11.73,1509540,,0.0,0.0
24-09-2021,12.01,12.1,11.62,11.68,1501430,,0.0,0.0
27-09-2021,11.85,11.91,11.46,11.65,1216890,,0.0,0.0
28-09-2021,11.75,11.82,11.49,11.59,927290,,0.0,0.0
29-09-2021,11.54,11.92,11.38,11.62,951320,,0.0,0.0
30-09-2021,11.65,11.84,11.57,11.62,938710,,0.0,0.0
01-10-2021,11.71,12.51,11.62,12.2,8614840,,0.0,0.0
04-10-2021,12.34,12.68,12.22,12.48,3565830,,0.0,0.0
05-10-2021,12.51,12.51,12.21,12.27,1521170,,0.0,0.0
06-10-2021,12.37,12.47,11.86,11.91,1475240,,0.0,0.0
07-10-2021,12.0,12.21,11.96,12.02,913410,,0.0,0.0
08-10-2021,12.13,12.21,11.92,11.99,749270,,0.0,0.0
11-10-2021,12.12,12.44,12.12,12.22,1548980,,0.0,0.0
12-10-2021,12.21,12.56,12.19,12.38,1786930,,0.0,0.0
13-10-2021,12.38,12.51,12.16,12.2,1001550,,0.0,0.0
14-10-2021,12.26,12.3,12.01,12.04,1114440,,0.0,0.0
18-10-2021,12.16,12.31,12.06,12.1,1582690,,0.0,0.0
19-10-2021,12.11,12.26,11.72,11.79,1276810,,0.0,0.0
20-10-2021,11.79,11.85,11.48,11.62,987510,,0.0,0.0
21-10-2021,11.73,11.89,11.59,11.69,548050,,0.0,0.0
22-10-2021,11.76,12.01,11.56,11.72,1221300,,0.0,0.0
25-10-2021,11.83,11.83,11.46,11.52,473410,,0.0,0.0
26-10-2021,11.52,11.74,11.46,11.65,632410,,0.0,0.0
27-10-2021,11.65,12.0,11.65,11.82,932980,,0.0,0.0
28-10-2021,11.86,11.86,11.24,11.5,899690,,0.0,0.0
29-10-2021,11.51,11.65,11.26,11.45,488330,,0.0,0.0
01-11-2021,11.46,11.87,11.35,11.59,563060,,0.0,0.0
02-11-2021,11.56,11.76,11.56,11.64,465010,,0.0,0.0
03-11-2021,11.73,12.01,11.61,11.67,1386610,,0.0,0.0
04-11-2021,11.95,12.04,11.77,11.98,630290,,0.0,0.0
08-11-2021,11.99,12.56,11.99,12.47,4119280,,0.0,0.0
09-11-2021,12.33,12.45,12.16,12.37,1354190,,0.0,0.0
10-11-2021,12.37,12.95,12.36,12.47,5192590,,0.0,0.0
11-11-2021,12.5,12.5,12.11,12.14,1055810,,0.0,0.0
12-11-2021,12.22,12.33,11.77,11.84,1454150,,0.0,0.0
15-11-2021,12.0,12.0,11.47,11.57,1221260,,0.0,0.0
16-11-2021,11.57,11.76,11.55,11.62,677270,,0.0,0.0
17-11-2021,11.6,11.85,11.54,11.58,797720,,0.0,0.0
18-11-2021,11.64,11.78,11.45,11.47,889160,,0.0,0.0
22-11-2021,11.55,11.55,11.01,11.05,1426810,,0.0,0.0
23-11-2021,10.84,11.32,10.84,11.2,694210,,0.0,0.0
24-11-2021,11.36,11.43,11.22,11.3,488850,,0.0,0.0
25-11-2021,11.23,11.35,11.2,11.33,431830,,0.0,0.0
26-11-2021,11.16,11.36,10.93,10.99,890500,,0.0,0.0
29-11-2021,11.17,11.23,10.41,10.84,1237970,,0.0,0.0
30-11-2021,11.05,11.16,10.8,10.91,452060,,0.0,0.0
01-12-2021,10.91,11.04,10.73,10.82,530330,,0.0,0.0
02-12-2021,10.93,11.14,10.75,11.02,350480,,0.0,0.0
03-12-2021,11.12,11.23,10.98,11.01,652100,,0.0,0.0
06-12-2021,11.01,11.16,10.8,10.88,352260,,0.0,0.0
07-12-2021,11.03,11.04,10.85,11.0,441070,,0.0,0.0
08-12-2021,11.08,11.32,11.04,11.15,769890,,0.0,0.0
09-12-2021,11.24,11.25,10.96,11.14,503460,,0.0,0.0
10-12-2021,11.21,11.26,11.09,11.21,860810,,0.0,0.0
13-12-2021,11.46,13.13,11.46,12.42,13857430,,0.0,0.0
14-12-2021,12.34,12.99,12.18,12.44,5113310,,0.0,0.0
15-12-2021,12.45,12.54,11.82,11.89,1520540,,0.0,0.0
16-12-2021,12.06,12.17,11.66,11.7,956170,,0.0,0.0
17-12-2021,11.7,11.8,11.26,11.35,1200200,,0.0,0.0
20-12-2021,11.23,11.45,11.09,11.17,1036020,,0.0,0.0
21-12-2021,11.36,11.7,11.23,11.31,804750,,0.0,0.0
22-12-2021,11.36,11.71,11.36,11.44,558580,,0.0,0.0
23-12-2021,11.56,12.34,11.53,11.95,1666270,,0.0,0.0
24-12-2021,12.4,12.81,12.12,12.63,9689190,,0.0,0.0
27-12-2021,12.76,14.39,12.38,14.27,28184600,,0.0,0.0
28-12-2021,14.45,15.0,13.96,14.09,14119580,,0.0,0.0
29-12-2021,14.19,14.46,13.45,13.67,5300020,,0.0,0.0
30-12-2021,13.68,16.4,13.56,16.35,34287830,,0.0,0.0
31-12-2021,16.7,17.92,16.23,16.4,33690300,,0.0,0.0
03-01-2022,16.74,19.03,16.36,18.24,31318300,,0.0,0.0
04-01-2022,18.33,18.8,17.14,17.27,14014970,,0.0,0.0
05-01-2022,17.41,17.78,16.7,16.84,5716880,,0.0,0.0
06-01-2022,16.68,17.7,16.4,17.03,6637770,,0.0,0.0
07-01-2022,17.34,17.69,16.55,16.72,5127430,,0.0,0.0
10-01-2022,16.88,17.37,16.37,16.6,5762650,,0.0,0.0
11-01-2022,16.73,16.73,15.75,15.85,4924440,,0.0,0.0
12-01-2022,15.95,16.52,15.56,15.99,5966600,,0.0,0.0
13-01-2022,15.51,16.15,15.45,15.62,966640,,0.0,0.0
14-01-2022,16.3,16.4,15.95,16.39,1654820,,0.0,0.0
17-01-2022,16.74,16.74,15.83,15.88,1414630,,0.0,0.0
18-01-2022,16.05,16.3,15.51,15.57,1119890,,0.0,0.0
19-01-2022,15.57,15.95,15.07,15.39,748490,,0.0,0.0
20-01-2022,15.39,15.65,15.06,15.37,680710,,0.0,0.0
21-01-2022,15.45,15.65,14.6,15.19,963280,,0.0,0.0
24-01-2022,15.14,15.14,14.44,14.44,441590,,0.0,0.0
25-01-2022,13.72,14.41,13.72,14.2,831310,,0.0,0.0
27-01-2022,14.01,14.35,13.75,14.16,722140,,0.0,0.0
28-01-2022,14.16,14.74,14.05,14.36,526990,,0.0,0.0
31-01-2022,14.36,14.94,14.2,14.3,247920,,0.0,0.0
01-02-2022,14.65,14.65,14.05,14.18,429390,,0.0,0.0
02-02-2022,14.34,14.46,14.2,14.41,292400,,0.0,0.0
03-02-2022,14.55,14.55,14.2,14.31,345830,,0.0,0.0
04-02-2022,14.31,14.55,14.16,14.28,284920,,0.0,0.0
07-02-2022,14.35,14.35,13.65,13.75,562710,,0.0,0.0
08-02-2022,13.65,13.79,13.3,13.39,255740,,0.0,0.0
09-02-2022,13.39,14.06,13.03,13.83,568610,,0.0,0.0
10-02-2022,13.82,14.15,13.55,13.78,208180,,0.0,0.0
11-02-2022,13.59,13.75,13.31,13.44,306410,,0.0,0.0
14-02-2022,12.78,13.25,12.77,12.77,467190,,0.0,0.0
15-02-2022,12.76,13.21,12.16,13.01,589350,,0.0,0.0
16-02-2022,13.24,13.26,12.36,13.14,447880,,0.0,0.0
17-02-2022,13.24,13.24,12.61,12.66,276870,,0.0,0.0
18-02-2022,12.51,12.9,12.31,12.44,159680,,0.0,0.0
21-02-2022,12.44,13.06,11.96,13.03,799100,,0.0,0.0
22-02-2022,12.96,13.06,12.46,12.55,519780,,0.0,0.0
23-02-2022,12.71,13.05,12.46,12.63,256540,,0.0,0.0
24-02-2022,12.36,12.36,12.0,12.0,281810,,0.0,0.0
25-02-2022,11.48,12.19,11.48,11.96,420120,,0.0,0.0
28-02-2022,11.46,12.56,11.37,12.34,773790,,0.0,0.0
02-03-2022,11.96,12.76,11.86,12.43,412120,,0.0,0.0
03-03-2022,12.63,12.86,12.26,12.49,259540,,0.0,0.0
04-03-2022,12.44,12.66,11.87,11.91,638950,,0.0,0.0
07-03-2022,11.83,11.83,11.32,11.41,490760,,0.0,0.0
08-03-2022,11.31,11.96,11.27,11.86,205360,,0.0,0.0
09-03-2022,11.86,12.06,11.51,11.98,228440,,0.0,0.0
10-03-2022,12.23,12.46,11.39,11.97,503990,,0.0,0.0
11-03-2022,11.92,12.16,11.86,12.14,242490,,0.0,0.0
14-03-2022,12.14,12.61,11.66,12.48,455330,,0.0,0.0
15-03-2022,12.6,12.6,12.06,12.21,263910,,0.0,0.0
16-03-2022,12.46,12.67,12.22,12.5,361600,,0.0,0.0
17-03-2022,12.74,12.74,11.88,12.11,481060,,0.0,0.0
21-03-2022,12.15,12.55,12.08,12.18,323620,,0.0,0.0
