Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,167.13,171.78,166.59,170.6,354036,,0.0,0.0
09-08-2021,170.31,170.99,162.82,164.63,732090,,0.0,0.0
10-08-2021,164.68,169.92,155.43,157.49,666158,,0.0,0.0
11-08-2021,157.68,159.64,146.82,152.94,1119457,,0.0,0.0
12-08-2021,150.73,158.32,150.73,154.84,391730,,0.0,0.0
13-08-2021,154.4,164.73,154.4,162.92,716574,,0.0,0.0
16-08-2021,162.48,162.97,154.84,156.21,347431,,0.0,0.0
17-08-2021,157.3,158.48,151.97,153.26,411954,,1.2,0.0
18-08-2021,153.85,155.52,149.41,150.89,346671,,0.0,0.0
20-08-2021,147.93,153.3,147.09,150.25,311171,,0.0,0.0
23-08-2021,150.69,152.37,144.08,146.89,316161,,0.0,0.0
24-08-2021,148.32,157.15,147.44,155.47,415464,,0.0,0.0
25-08-2021,156.81,156.81,151.63,152.61,284665,,0.0,0.0
26-08-2021,153.35,159.07,150.89,151.43,334329,,0.0,0.0
27-08-2021,151.68,154.49,150.4,151.23,321745,,0.0,0.0
30-08-2021,152.76,155.28,150.4,151.14,284057,,0.0,0.0
31-08-2021,151.83,152.27,149.56,150.3,217608,,0.0,0.0
01-09-2021,150.35,154.09,149.85,151.09,284764,,0.0,0.0
02-09-2021,151.97,159.37,150.94,155.57,649243,,0.0,0.0
03-09-2021,156.71,159.91,155.82,156.51,363893,,0.0,0.0
06-09-2021,158.98,165.88,158.63,164.3,891937,,0.0,0.0
07-09-2021,163.71,169.63,162.82,166.22,860725,,0.0,0.0
08-09-2021,163.91,170.51,163.41,165.19,565409,,0.0,0.0
09-09-2021,163.81,171.99,163.81,170.02,816889,,0.0,0.0
13-09-2021,170.22,174.95,170.12,170.96,850172,,0.0,0.0
14-09-2021,172.39,172.39,166.77,168.39,466645,,0.0,0.0
15-09-2021,168.39,180.23,168.39,178.55,2086113,,0.0,0.0
16-09-2021,179.59,182.35,177.17,178.8,918052,,0.0,0.0
17-09-2021,179.49,180.23,170.37,171.45,786597,,0.0,0.0
20-09-2021,168.15,180.03,167.7,170.22,854187,,0.0,0.0
21-09-2021,168.64,175.99,168.34,172.58,473410,,0.0,0.0
22-09-2021,171.11,191.82,171.11,189.65,4928314,,0.0,0.0
23-09-2021,192.16,207.1,191.52,200.59,6273973,,0.0,0.0
24-09-2021,202.07,206.81,197.34,200.3,2417945,,0.0,0.0
27-09-2021,201.18,201.92,193.3,194.87,811368,,0.0,0.0
28-09-2021,195.27,195.66,187.97,188.96,600007,,0.0,0.0
29-09-2021,186.39,196.99,186.39,194.33,1066078,,0.0,0.0
30-09-2021,195.71,206.12,193.0,202.07,1269502,,0.0,0.0
01-10-2021,204.14,211.05,201.18,203.26,2105708,,0.0,0.0
04-10-2021,204.09,209.47,201.28,205.38,888618,,0.0,0.0
05-10-2021,204.24,207.0,200.4,201.63,483487,,0.0,0.0
06-10-2021,201.63,205.57,190.44,191.72,850613,,0.0,0.0
07-10-2021,193.59,197.83,192.11,193.39,358067,,0.0,0.0
08-10-2021,194.58,194.63,187.87,191.27,411288,,0.0,0.0
11-10-2021,192.01,206.12,190.63,200.35,970323,,0.0,0.0
12-10-2021,201.09,209.57,200.35,203.75,948575,,0.0,0.0
13-10-2021,206.12,211.84,201.18,208.14,1121061,,0.0,0.0
14-10-2021,209.52,210.55,202.37,203.75,688852,,0.0,0.0
