Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
29-09-2025,857.0,865.0,806.25,823.35,8410016,,0.0,0.0
30-09-2025,823.0,829.5,782.1,792.65,1181551,,0.0,0.0
01-10-2025,792.0,871.9,791.0,871.9,1923503,,0.0,0.0
03-10-2025,894.95,928.0,851.0,911.45,3170073,,0.0,0.0
06-10-2025,912.85,919.9,876.3,896.6,804951,,0.0,0.0
07-10-2025,898.8,914.0,875.3,884.55,681761,,0.0,0.0
08-10-2025,882.5,908.0,871.0,874.2,418637,,0.0,0.0
09-10-2025,875.1,887.65,866.65,873.25,279334,,0.0,0.0
10-10-2025,880.85,940.0,879.0,901.15,1246870,,0.0,0.0
13-10-2025,925.0,991.25,921.0,991.25,1469846,,0.0,0.0
14-10-2025,1018.0,1025.0,948.05,977.45,925840,,0.0,0.0
15-10-2025,1005.0,1040.0,981.55,1030.2,813847,,0.0,0.0
16-10-2025,1026.05,1057.0,1005.1,1042.8,580877,,0.0,0.0
17-10-2025,1055.0,1065.0,995.9,1010.1,758991,,0.0,0.0
20-10-2025,996.05,1029.7,982.1,1021.1,366033,,0.0,0.0
21-10-2025,1030.95,1032.1,1020.0,1026.1,48583,,0.0,0.0
23-10-2025,1038.6,1068.95,1014.05,1045.65,355816,,0.0,0.0
24-10-2025,1044.9,1057.5,1017.0,1048.7,325837,,0.0,0.0
27-10-2025,1044.9,1044.9,973.3,985.55,595909,,0.0,0.0
28-10-2025,984.0,998.5,960.0,964.5,326445,,0.0,0.0
29-10-2025,965.0,985.1,923.85,976.2,484345,,0.0,0.0
30-10-2025,978.8,1000.45,956.5,976.2,221872,,0.0,0.0
31-10-2025,972.05,1000.1,968.35,985.5,106072,,0.0,0.0
03-11-2025,985.5,1040.0,971.0,1020.85,251677,,0.0,0.0
04-11-2025,1019.0,1019.85,996.05,1003.05,131444,,0.0,0.0
06-11-2025,993.05,1015.1,990.0,998.05,163453,,0.0,0.0
07-11-2025,990.0,1097.85,978.1,1079.9,571476,,0.0,0.0
10-11-2025,1083.95,1090.0,971.95,972.6,576908,,0.0,0.0
11-11-2025,964.05,987.6,928.35,973.2,433881,,0.0,0.0
12-11-2025,940.0,1031.0,935.8,1011.3,584818,,0.0,0.0
13-11-2025,1025.0,1030.9,951.0,978.75,136917,,0.0,0.0
14-11-2025,984.0,1019.0,948.15,965.95,211444,,0.0,0.0
17-11-2025,976.0,988.0,960.5,981.65,92102,,0.0,0.0
18-11-2025,980.0,983.0,950.0,955.4,94210,,0.0,0.0
19-11-2025,958.75,969.65,910.0,923.3,208058,,0.0,0.0
20-11-2025,925.8,985.0,924.95,965.95,228959,,0.0,0.0
