Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,90.5,93.0,88.3,89.55,60370,,0.0,0.0
09-08-2021,92.8,93.15,85.1,85.5,116219,,0.0,0.0
10-08-2021,83.2,85.5,81.25,81.25,58316,,0.0,0.0
11-08-2021,81.25,81.95,77.2,78.4,139721,,0.0,0.0
12-08-2021,79.65,82.3,78.65,81.2,76125,,0.0,0.0
13-08-2021,82.3,84.8,80.0,82.8,72135,,0.0,0.0
16-08-2021,82.8,82.8,78.7,78.8,60180,,0.0,0.0
17-08-2021,77.3,80.7,75.0,77.1,63067,,0.0,0.0
18-08-2021,78.55,78.65,73.25,73.7,70597,,0.0,0.0
20-08-2021,74.9,74.9,70.05,71.85,156096,,0.0,0.0
23-08-2021,72.8,73.9,68.3,68.3,77510,,0.0,0.0
24-08-2021,68.3,71.7,66.05,71.7,48014,,0.0,0.0
25-08-2021,72.5,75.25,72.3,75.25,156753,,0.0,0.0
26-08-2021,77.8,77.8,72.0,72.45,82092,,0.0,0.0
27-08-2021,72.0,74.65,71.8,73.05,27833,,0.0,0.0
30-08-2021,73.8,74.8,70.05,72.25,53889,,0.0,0.0
31-08-2021,72.25,73.8,71.0,72.1,37736,,0.0,0.0
01-09-2021,72.55,75.7,70.2,72.4,209687,,0.0,0.0
02-09-2021,73.45,76.0,71.1,73.4,133300,,0.0,0.0
03-09-2021,73.6,74.8,72.5,72.95,42904,,0.0,0.0
06-09-2021,73.75,74.95,72.0,72.7,49875,,0.0,0.0
07-09-2021,73.4,74.15,71.2,71.8,29766,,0.0,0.0
08-09-2021,72.5,73.2,70.8,71.45,41015,,0.0,0.0
09-09-2021,71.45,71.7,70.25,71.2,49901,,0.0,0.0
13-09-2021,67.75,71.6,67.75,69.25,88382,,0.0,0.0
14-09-2021,69.8,72.7,69.8,72.7,59018,,0.0,0.0
15-09-2021,74.7,76.3,72.6,75.35,95655,,0.0,0.0
16-09-2021,76.15,77.9,74.4,74.6,41282,,0.0,0.0
17-09-2021,76.3,77.4,71.3,71.95,40016,,0.0,0.0
20-09-2021,71.8,74.15,68.4,70.35,65355,,0.0,0.0
21-09-2021,72.05,72.05,69.05,70.9,40201,,0.0,0.0
22-09-2021,70.9,71.9,68.6,68.95,102701,,0.0,0.0
23-09-2021,71.3,72.35,69.6,70.45,50151,,0.0,0.0
24-09-2021,72.4,72.4,68.9,69.75,44866,,0.0,0.0
27-09-2021,71.4,71.4,69.0,69.55,34507,,0.0,0.0
28-09-2021,70.0,73.0,69.4,73.0,108415,,0.0,0.0
29-09-2021,76.65,76.65,74.2,76.65,118324,,0.0,0.0
30-09-2021,80.45,80.45,80.45,80.45,21824,,0.0,0.0
01-10-2021,84.45,84.45,84.45,84.45,46941,,0.0,0.0
04-10-2021,88.65,88.65,88.65,88.65,50645,,0.0,0.0
05-10-2021,93.05,93.05,85.6,88.15,1066943,,0.0,0.0
06-10-2021,86.85,89.0,84.1,84.9,199845,,0.0,0.0
07-10-2021,85.9,87.4,83.8,86.15,97023,,0.0,0.0
08-10-2021,85.65,90.45,85.1,85.95,284865,,0.0,0.0
11-10-2021,85.95,87.4,84.0,85.05,57131,,0.0,0.0
12-10-2021,86.9,87.05,80.8,82.35,172732,,0.0,0.0
13-10-2021,81.95,86.45,81.95,86.45,47387,,0.0,0.0
14-10-2021,90.75,90.75,90.75,90.75,35541,,0.0,0.0
18-10-2021,95.25,95.25,87.15,88.35,339426,,0.0,0.0
19-10-2021,88.3,88.3,84.0,85.1,147963,,0.0,0.0
20-10-2021,82.8,85.0,81.55,82.25,96175,,0.0,0.0
21-10-2021,83.0,84.55,82.35,83.05,45938,,0.0,0.0
22-10-2021,83.8,87.2,81.8,85.4,192327,,0.0,0.0
25-10-2021,85.55,85.55,81.15,81.6,80180,,0.0,0.0
26-10-2021,81.8,85.4,80.3,81.65,89148,,0.0,0.0
27-10-2021,83.0,84.4,79.5,81.8,65698,,0.0,0.0
28-10-2021,81.8,81.8,79.0,79.5,63757,,0.0,0.0
29-10-2021,80.0,80.05,77.0,78.1,34011,,0.0,0.0
01-11-2021,79.5,81.8,77.9,81.0,54156,,0.0,0.0
02-11-2021,81.75,84.8,80.25,83.15,64836,,0.0,0.0
03-11-2021,83.15,83.15,80.1,81.1,32204,,0.0,0.0
04-11-2021,81.85,85.15,81.85,85.15,29613,,0.0,0.0
08-11-2021,89.4,89.4,89.4,89.4,31568,,0.0,0.0
09-11-2021,93.85,93.85,87.5,90.9,433082,,0.0,0.0
10-11-2021,93.35,93.35,87.1,87.6,152055,,0.0,0.0
11-11-2021,88.0,88.45,84.25,85.0,98280,,0.0,0.0
12-11-2021,85.1,85.85,82.2,83.75,47057,,0.0,0.0
15-11-2021,84.3,84.3,81.5,81.85,32505,,0.0,0.0
16-11-2021,81.8,85.9,81.1,85.9,195895,,0.0,0.0
17-11-2021,85.7,87.85,83.85,84.55,124355,,0.0,0.0
18-11-2021,84.35,85.8,81.0,82.05,59611,,0.0,0.0
22-11-2021,82.05,82.75,79.0,80.35,63201,,0.0,0.0
23-11-2021,80.1,83.9,80.1,83.4,42351,,0.0,0.0
24-11-2021,82.55,86.0,82.55,83.15,39198,,0.0,0.0
25-11-2021,85.75,85.75,81.25,82.25,56764,,0.0,0.0
26-11-2021,80.5,82.4,78.2,79.1,66529,,0.0,0.0
29-11-2021,79.2,79.5,75.45,76.6,60406,,0.0,0.0
30-11-2021,76.9,80.0,74.0,75.5,62698,,0.0,0.0
01-12-2021,75.8,77.8,75.5,76.0,23499,,0.0,0.0
02-12-2021,76.3,79.8,75.7,78.1,103069,,0.0,0.0
03-12-2021,80.0,80.0,77.6,77.9,49116,,0.0,0.0
06-12-2021,77.8,78.8,76.5,77.3,20093,,0.0,0.0
07-12-2021,79.8,80.75,78.35,78.85,53366,,0.0,0.0
08-12-2021,79.3,86.7,78.85,83.85,377977,,0.0,0.0
09-12-2021,84.9,88.0,80.8,83.8,169266,,0.0,0.0
10-12-2021,85.0,92.15,84.9,92.15,264402,,0.0,0.0
13-12-2021,94.0,95.6,87.55,90.05,293178,,0.0,0.0
14-12-2021,89.05,92.65,87.5,89.0,130814,,0.0,0.0
15-12-2021,90.5,97.9,89.25,97.9,434414,,0.0,0.0
16-12-2021,101.0,102.0,92.0,95.7,475497,,0.0,0.0
17-12-2021,96.1,104.8,95.45,100.1,1208301,,0.0,0.0
20-12-2021,99.9,110.1,94.5,107.15,1273517,,0.0,0.0
21-12-2021,111.9,112.5,110.1,112.5,129863,,0.0,0.0
22-12-2021,115.9,118.1,114.75,118.1,220989,,0.0,0.0
23-12-2021,120.1,120.4,112.2,112.2,380288,,0.0,0.0
24-12-2021,106.6,114.0,106.6,106.6,875881,,0.0,0.0
27-12-2021,106.4,111.9,103.0,111.9,298290,,0.0,0.0
28-12-2021,114.5,116.0,109.8,110.25,359872,,0.0,0.0
29-12-2021,111.7,112.35,105.75,107.55,172594,,0.0,0.0
30-12-2021,107.5,112.0,105.6,108.5,142337,,0.0,0.0
31-12-2021,108.0,110.8,106.9,107.4,74491,,0.0,0.0
03-01-2022,107.8,107.85,102.9,103.75,198355,,0.0,0.0
04-01-2022,103.75,108.9,102.6,104.5,83547,,0.0,0.0
05-01-2022,103.8,106.5,102.5,103.75,43754,,0.0,0.0
06-01-2022,103.55,104.8,100.35,103.25,39643,,0.0,0.0
07-01-2022,103.25,108.4,103.25,108.4,114132,,0.0,0.0
10-01-2022,109.45,113.8,109.45,112.15,106093,,0.0,0.0
11-01-2022,111.2,113.25,107.35,109.15,53441,,0.0,0.0
12-01-2022,107.05,112.0,105.8,106.85,58170,,0.0,0.0
13-01-2022,106.05,110.75,106.05,106.95,25352,,0.0,0.0
14-01-2022,106.05,112.25,106.05,112.25,88227,,0.0,0.0
17-01-2022,113.7,117.85,113.5,117.85,125400,,0.0,0.0
18-01-2022,123.7,123.7,119.0,121.1,232781,,0.0,0.0
19-01-2022,121.1,127.15,115.05,126.55,134543,,0.0,0.0
20-01-2022,128.0,131.15,123.95,127.7,107313,,0.0,0.0
21-01-2022,127.7,128.0,121.5,124.2,88199,,0.0,0.0
24-01-2022,124.4,124.4,118.0,118.0,33254,,0.0,0.0
25-01-2022,112.1,117.8,112.1,112.1,81230,,0.0,0.0
27-01-2022,106.5,114.5,106.5,106.95,97890,,0.0,0.0
28-01-2022,106.75,109.7,102.0,102.45,83623,,0.0,0.0
31-01-2022,102.45,107.1,102.05,106.75,35814,,0.0,0.0
01-02-2022,104.5,110.0,102.9,106.0,62010,,0.0,0.0
