Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
28-12-2023,720.0,727.0,670.0,677.5,15106934,,0.0,0.0
29-12-2023,685.5,714.4,684.05,692.05,3447128,,0.0,0.0
01-01-2024,696.75,702.0,680.0,683.35,762525,,0.0,0.0
02-01-2024,683.5,693.65,675.0,676.1,787783,,0.0,0.0
03-01-2024,676.95,682.0,665.2,666.8,558334,,0.0,0.0
04-01-2024,665.0,673.6,660.0,661.1,436763,,0.0,0.0
05-01-2024,664.65,674.85,657.25,661.7,542662,,0.0,0.0
08-01-2024,662.0,669.0,648.4,659.45,541995,,0.0,0.0
09-01-2024,664.0,672.0,658.3,667.2,581493,,0.0,0.0
10-01-2024,667.2,675.9,663.4,673.6,399548,,0.0,0.0
11-01-2024,675.0,677.4,666.2,669.8,275412,,0.0,0.0
12-01-2024,689.75,706.05,684.7,689.8,1071933,,0.0,0.0
15-01-2024,689.8,689.8,689.8,689.8,0,,0.0,0.0
16-01-2024,686.0,686.0,664.65,669.6,249283,,0.0,0.0
17-01-2024,667.0,674.05,642.4,659.15,269257,,0.0,0.0
18-01-2024,657.15,668.65,643.35,665.3,286285,,0.0,0.0
19-01-2024,670.0,678.1,666.65,670.05,148856,,0.0,0.0
23-01-2024,680.0,687.75,665.0,670.55,327607,,0.0,0.0
24-01-2024,679.5,683.0,669.0,670.85,245282,,0.0,0.0
25-01-2024,677.0,682.0,672.0,676.15,140295,,0.0,0.0
29-01-2024,683.65,745.9,681.05,711.95,3152212,,0.0,0.0
30-01-2024,723.3,854.3,717.65,854.3,5226821,,0.0,0.0
31-01-2024,919.0,1013.4,892.3,961.25,8395202,,0.0,0.0
01-02-2024,955.0,981.55,925.0,943.4,1303874,,0.0,0.0
02-02-2024,952.0,969.0,936.55,945.4,476628,,0.0,0.0
05-02-2024,945.7,953.45,900.0,932.2,536826,,0.0,0.0
06-02-2024,932.0,936.45,892.0,898.4,426753,,0.0,0.0
07-02-2024,955.0,988.2,940.0,988.2,1099485,,0.0,0.0
08-02-2024,1010.0,1045.0,970.05,991.5,1111615,,0.0,0.0
09-02-2024,1012.0,1014.0,940.7,970.25,394246,,0.0,0.0
12-02-2024,978.65,994.7,930.6,958.85,292026,,0.0,0.0
13-02-2024,960.0,989.95,899.9,979.65,394676,,0.0,0.0
14-02-2024,963.95,1020.0,934.75,1015.35,392419,,0.0,0.0
15-02-2024,1029.65,1100.0,1027.85,1071.5,682435,,0.0,0.0
16-02-2024,1077.0,1144.0,1075.0,1113.4,588802,,0.0,0.0
19-02-2024,1123.0,1224.7,1116.35,1224.7,494030,,0.0,0.0
20-02-2024,1269.0,1285.9,1209.0,1216.25,786530,,0.0,0.0
21-02-2024,1228.65,1228.65,1155.45,1158.45,368876,,0.0,0.0
22-02-2024,1179.8,1216.35,1116.05,1216.35,514314,,0.0,0.0
23-02-2024,1239.85,1248.3,1195.05,1203.65,277247,,0.0,0.0
26-02-2024,1215.0,1219.0,1180.75,1186.55,152337,,0.0,0.0
27-02-2024,1186.0,1212.0,1171.5,1180.45,222472,,0.0,0.0
28-02-2024,1174.95,1205.0,1164.1,1180.7,244937,,0.0,0.0
29-02-2024,1193.0,1238.8,1180.7,1210.35,350624,,0.0,0.0
01-03-2024,1240.35,1270.85,1230.0,1270.85,468627,,0.0,0.0
04-03-2024,1360.0,1401.05,1335.0,1400.25,656805,,0.0,0.0
05-03-2024,1424.8,1465.0,1349.0,1356.9,830654,,0.0,0.0
06-03-2024,1358.0,1380.0,1289.05,1297.8,554005,,0.0,0.0
07-03-2024,1345.0,1362.65,1325.25,1356.4,365818,,0.0,0.0
11-03-2024,1360.0,1360.0,1292.15,1302.8,287062,,0.0,0.0
12-03-2024,1334.95,1334.95,1251.05,1283.1,308305,,0.0,0.0
13-03-2024,1270.0,1299.0,1218.95,1218.95,208958,,0.0,0.0
14-03-2024,1185.0,1256.8,1158.0,1222.35,493599,,0.0,0.0
15-03-2024,1231.05,1259.4,1193.05,1214.1,137935,,0.0,0.0
18-03-2024,1229.9,1260.0,1216.2,1229.85,140845,,0.0,0.0
19-03-2024,1229.55,1240.75,1203.1,1214.95,59509,,0.0,0.0
20-03-2024,1215.95,1237.7,1196.15,1209.05,101458,,0.0,0.0
21-03-2024,1221.0,1269.5,1221.0,1269.5,110792,,0.0,0.0
22-03-2024,1274.9,1332.95,1261.8,1331.75,424156,,0.0,0.0
26-03-2024,1338.0,1360.0,1286.05,1331.85,236810,,0.0,0.0
27-03-2024,1345.0,1358.7,1308.2,1324.3,132112,,0.0,0.0
28-03-2024,1349.0,1388.0,1280.0,1367.85,389490,,0.0,0.0
01-04-2024,1390.0,1410.0,1345.3,1348.8,182024,,0.0,0.0
02-04-2024,1376.5,1376.8,1332.3,1338.9,132984,,0.0,0.0
03-04-2024,1340.0,1362.7,1311.15,1318.65,190547,,0.0,0.0
04-04-2024,1337.0,1339.0,1295.65,1304.45,160827,,0.0,0.0
05-04-2024,1305.0,1369.65,1305.0,1320.1,406035,,0.0,0.0
08-04-2024,1327.0,1347.95,1316.05,1322.5,99409,,0.0,0.0
09-04-2024,1327.95,1366.0,1285.1,1302.6,172472,,0.0,0.0
10-04-2024,1310.0,1324.9,1290.0,1302.75,92141,,0.0,0.0
12-04-2024,1302.75,1317.65,1272.05,1277.0,108526,,0.0,0.0
15-04-2024,1240.0,1262.95,1213.15,1242.95,158915,,0.0,0.0
16-04-2024,1238.95,1268.95,1231.0,1246.75,121638,,0.0,0.0
18-04-2024,1255.0,1309.05,1255.0,1270.65,305562,,0.0,0.0
19-04-2024,1255.0,1284.8,1239.05,1261.4,136131,,0.0,0.0
22-04-2024,1280.0,1316.9,1280.0,1297.05,164604,,0.0,0.0
23-04-2024,1339.9,1360.0,1307.5,1340.4,267517,,0.0,0.0
24-04-2024,1352.0,1389.35,1325.0,1333.05,275207,,0.0,0.0
25-04-2024,1359.0,1399.7,1342.05,1380.0,412473,,0.0,0.0
26-04-2024,1404.0,1404.0,1362.05,1374.75,128932,,0.0,0.0
29-04-2024,1384.95,1385.0,1351.8,1357.5,94007,,0.0,0.0
30-04-2024,1348.0,1356.6,1326.05,1329.85,72872,,0.0,0.0
02-05-2024,1334.95,1336.0,1308.6,1312.45,67622,,0.0,0.0
03-05-2024,1320.0,1348.65,1308.8,1316.65,98783,,0.0,0.0
06-05-2024,1325.0,1328.05,1271.55,1308.9,102773,,0.0,0.0
07-05-2024,1314.35,1314.35,1263.45,1276.05,79596,,0.0,0.0
08-05-2024,1255.0,1315.0,1255.0,1291.75,93841,,0.0,0.0
09-05-2024,1280.0,1325.0,1243.0,1272.75,109665,,0.0,0.0
10-05-2024,1277.0,1286.2,1255.0,1274.8,63010,,0.0,0.0
13-05-2024,1274.0,1277.35,1250.1,1261.2,70901,,0.0,0.0
14-05-2024,1273.95,1324.25,1265.2,1305.35,98797,,0.0,0.0
15-05-2024,1315.4,1340.0,1297.4,1308.85,98571,,0.0,0.0
16-05-2024,1315.8,1374.25,1310.1,1374.25,293972,,0.0,0.0
17-05-2024,1408.25,1442.95,1380.1,1442.95,172702,,0.0,0.0
21-05-2024,1466.0,1544.2,1420.4,1544.2,341102,,0.0,0.0
22-05-2024,1490.0,1495.0,1467.0,1467.0,486972,,0.0,0.0
23-05-2024,1410.0,1423.0,1393.65,1393.65,466998,,0.0,0.0
24-05-2024,1389.9,1462.8,1382.05,1433.4,398303,,0.0,0.0
27-05-2024,1443.3,1443.35,1383.0,1390.65,181100,,0.0,0.0
28-05-2024,1408.25,1417.75,1367.0,1410.3,163012,,0.0,0.0
29-05-2024,1414.95,1429.4,1390.0,1420.05,125844,,0.0,0.0
30-05-2024,1420.0,1445.45,1414.0,1433.25,187605,,0.0,0.0
31-05-2024,1448.8,1504.9,1421.1,1495.6,586039,,0.0,0.0
03-06-2024,1570.35,1570.35,1511.1,1545.4,268104,,0.0,0.0
04-06-2024,1563.8,1563.8,1468.15,1468.15,159776,,0.0,0.0
05-06-2024,1425.0,1540.0,1394.75,1494.95,306953,,0.0,0.0
06-06-2024,1555.0,1569.65,1510.0,1551.35,283500,,0.0,0.0
07-06-2024,1555.0,1555.0,1522.2,1539.0,117053,,0.0,0.0
10-06-2024,1539.0,1615.95,1539.0,1615.95,398026,,0.0,0.0
11-06-2024,1678.4,1696.7,1640.0,1696.7,217208,,0.0,0.0
12-06-2024,1720.0,1755.5,1676.1,1685.1,187836,,0.0,0.0
13-06-2024,1700.0,1744.95,1700.0,1712.0,217738,,0.0,0.0
14-06-2024,1719.3,1797.6,1719.3,1797.6,424757,,0.0,0.0
18-06-2024,1820.0,1887.45,1810.0,1887.45,353851,,0.0,0.0
19-06-2024,1981.8,1981.8,1940.0,1981.8,412421,,0.0,0.0
20-06-2024,2030.0,2080.0,1902.0,1927.45,535099,,0.0,0.0
21-06-2024,1948.9,1967.0,1851.0,1874.3,180929,,0.0,0.0
24-06-2024,1894.0,1968.0,1889.75,1930.25,211638,,0.0,0.0
25-06-2024,1949.3,2006.95,1896.6,1908.7,138635,,0.0,0.0
26-06-2024,1932.65,1938.65,1875.0,1882.9,80505,,0.0,0.0
27-06-2024,1899.45,1949.0,1885.0,1902.9,128042,,0.0,0.0
28-06-2024,1918.0,1941.95,1880.0,1898.05,89328,,0.0,0.0
01-07-2024,1930.0,1930.0,1865.0,1869.95,90115,,0.0,0.0
02-07-2024,1884.0,1884.0,1838.0,1842.9,64478,,0.0,0.0
03-07-2024,1857.0,1909.95,1810.0,1839.05,118012,,0.0,0.0
04-07-2024,1853.85,1862.5,1834.05,1843.7,60898,,0.0,0.0
05-07-2024,1861.0,1907.65,1835.0,1839.0,140468,,0.0,0.0
08-07-2024,1844.95,1857.95,1782.2,1787.2,125482,,0.0,0.0
09-07-2024,1790.0,1825.0,1751.0,1789.3,120326,,0.0,0.0
10-07-2024,1798.9,1798.9,1731.0,1740.55,90396,,0.0,0.0
11-07-2024,1749.9,1753.6,1690.0,1697.05,156492,,0.0,0.0
12-07-2024,1781.9,1781.9,1715.0,1744.6,610649,,0.0,0.0
15-07-2024,1755.05,1764.0,1695.1,1700.55,136512,,0.0,0.0
16-07-2024,1712.95,1750.0,1670.0,1681.75,390289,,0.0,0.0
18-07-2024,1689.45,1708.8,1639.75,1647.65,1159068,,0.0,0.0
19-07-2024,1650.0,1669.0,1610.0,1618.55,209934,,0.0,0.0
22-07-2024,1625.0,1649.0,1578.0,1613.0,170131,,0.0,0.0
23-07-2024,1620.0,1622.0,1539.45,1593.25,184729,,0.0,0.0
24-07-2024,1598.6,1660.0,1595.5,1601.4,179701,,0.0,0.0
25-07-2024,1575.0,1620.0,1575.0,1595.75,221721,,0.0,0.0
26-07-2024,1602.65,1650.0,1558.2,1608.0,220693,,0.0,0.0
29-07-2024,1623.3,1660.0,1616.5,1635.5,179614,,0.0,0.0
30-07-2024,1635.55,1645.0,1621.0,1624.1,49604,,0.0,0.0
31-07-2024,1629.6,1647.0,1602.25,1627.6,66388,,0.0,0.0
01-08-2024,1634.85,1660.0,1610.0,1617.35,72925,,0.0,0.0
02-08-2024,1588.0,1637.9,1585.0,1609.8,82966,,0.0,0.0
05-08-2024,1585.0,1604.85,1541.0,1558.8,122600,,0.0,0.0
06-08-2024,1578.0,1597.5,1506.05,1524.9,153143,,0.0,0.0
07-08-2024,1555.6,1652.45,1522.85,1636.6,303574,,0.0,0.0
08-08-2024,1634.95,1669.0,1590.0,1639.95,255678,,0.0,0.0
09-08-2024,1672.05,1674.4,1611.0,1639.7,168838,,0.0,0.0
12-08-2024,1611.95,1667.1,1591.0,1659.1,170210,,0.0,0.0
13-08-2024,1660.0,1660.0,1611.1,1627.15,128389,,0.0,0.0
14-08-2024,1627.0,1647.45,1580.05,1592.85,106215,,0.0,0.0
16-08-2024,1645.0,1660.0,1610.0,1627.2,138042,,0.0,0.0
19-08-2024,1656.05,1660.0,1622.95,1633.55,113818,,0.0,0.0
20-08-2024,1649.0,1649.0,1595.1,1601.55,93103,,0.0,0.0
21-08-2024,1608.65,1656.0,1604.95,1615.05,144672,,0.0,0.0
22-08-2024,1642.0,1650.0,1619.05,1632.05,101849,,0.0,0.0
23-08-2024,1637.65,1637.85,1615.0,1619.65,64111,,0.0,0.0
26-08-2024,1637.6,1640.0,1610.05,1630.55,73877,,0.0,0.0
27-08-2024,1633.6,1639.0,1621.0,1624.15,40321,,0.0,0.0
28-08-2024,1637.0,1637.0,1606.1,1613.4,46725,,0.0,0.0
29-08-2024,1612.65,1612.65,1555.0,1574.95,124780,,0.0,0.0
30-08-2024,1593.45,1600.0,1521.0,1542.95,269626,,0.0,0.0
