Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
29-04-2024,305.87,308.77,270.08,275.38,987313,,0.0,0.0
30-04-2024,275.78,283.88,274.88,276.48,342614,,0.0,0.0
02-05-2024,278.88,291.68,277.43,282.78,467039,,0.0,0.0
03-05-2024,285.48,291.88,271.28,282.48,487989,,0.0,0.0
06-05-2024,289.88,292.58,275.88,285.78,837178,,0.0,0.0
07-05-2024,285.83,288.08,274.93,276.88,380017,,0.0,0.0
08-05-2024,277.33,286.78,274.43,284.83,470751,,0.0,0.0
09-05-2024,283.63,286.78,267.89,271.53,288623,,0.0,0.0
10-05-2024,273.83,305.87,271.88,297.82,855616,,0.0,0.0
13-05-2024,299.87,308.17,286.58,302.27,1395870,,0.0,0.0
14-05-2024,303.87,308.37,294.92,303.67,583120,,0.0,0.0
15-05-2024,309.87,317.56,292.03,307.72,1306329,,0.0,0.0
16-05-2024,310.72,316.36,305.57,310.12,630278,,0.0,0.0
17-05-2024,309.72,315.37,308.87,312.72,461987,,0.0,0.0
21-05-2024,313.37,324.26,304.87,308.82,1081298,,0.0,0.0
22-05-2024,312.37,313.37,301.17,303.62,461380,,0.0,0.0
23-05-2024,306.67,306.67,295.82,296.42,342475,,0.0,0.0
24-05-2024,298.77,301.22,294.12,295.67,195206,,0.0,0.0
27-05-2024,297.82,299.22,283.68,286.43,370972,,0.0,0.0
28-05-2024,284.58,289.53,274.88,277.98,314608,,0.0,0.0
29-05-2024,277.98,287.08,276.03,285.68,251185,,0.0,0.0
30-05-2024,285.68,290.08,282.08,285.58,179957,,0.0,0.0
31-05-2024,286.88,287.58,277.88,284.58,210519,,0.0,0.0
03-06-2024,299.87,299.87,276.88,278.43,414943,,0.0,0.0
04-06-2024,277.83,277.83,222.75,260.84,1199638,,0.0,0.0
05-06-2024,264.89,269.04,246.79,263.89,342381,,0.0,0.0
06-06-2024,268.89,282.83,266.79,279.88,344796,,0.0,0.0
07-06-2024,280.88,287.88,280.33,286.38,171008,,0.0,0.0
10-06-2024,287.88,295.87,287.13,293.72,367581,,0.0,0.0
11-06-2024,295.72,303.27,293.02,299.12,387591,,0.0,0.0
12-06-2024,300.52,306.37,298.67,303.22,353411,,0.0,0.0
13-06-2024,304.87,308.12,299.87,301.72,229448,,0.0,0.0
14-06-2024,303.22,305.77,300.77,301.57,380023,,0.0,0.0
18-06-2024,303.87,314.87,303.02,309.47,585856,,0.0,0.0
19-06-2024,312.57,328.06,311.17,316.76,1925302,,0.0,0.0
20-06-2024,319.86,343.45,318.86,341.4,1953689,,0.0,0.0
21-06-2024,346.3,351.65,328.16,333.51,963011,,0.0,0.0
24-06-2024,336.71,341.85,333.31,335.41,460925,,0.0,0.0
25-06-2024,337.66,338.51,329.86,330.86,318784,,0.0,0.0
26-06-2024,332.81,338.31,324.71,335.26,361422,,0.0,0.0
27-06-2024,338.71,340.85,313.42,318.96,672395,,0.0,0.0
28-06-2024,323.26,338.26,321.51,324.01,373306,,0.0,0.0
01-07-2024,327.46,332.71,322.21,327.61,247037,,0.0,0.0
02-07-2024,329.16,359.85,326.06,348.1,2496610,,0.0,0.0
03-07-2024,356.75,363.84,351.85,355.9,1046588,,0.0,0.0
04-07-2024,356.5,362.4,350.9,355.7,577872,,0.0,0.0
05-07-2024,355.8,379.74,349.25,362.15,1933301,,0.0,0.0
08-07-2024,367.84,395.83,367.84,392.18,1524370,,0.0,0.0
09-07-2024,397.68,399.53,379.49,393.23,806471,,0.0,0.0
10-07-2024,393.83,395.63,372.44,381.49,636036,,0.0,0.0
11-07-2024,385.59,420.17,385.59,416.17,1535894,,0.0,0.0
12-07-2024,422.82,429.12,402.33,404.33,1082119,,0.0,0.0
15-07-2024,411.82,420.82,403.38,414.62,996717,,0.0,0.0
