Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,8.5,9.0,8.0,8.0,2846,,0.0,0.0
03-08-2021,8.5,8.5,7.5,7.5,1748,,0.0,0.0
04-08-2021,7.5,8.0,7.0,8.0,1530,,0.0,0.0
05-08-2021,8.5,8.5,7.5,7.5,1719,,0.0,0.0
06-08-2021,7.0,8.0,7.0,8.0,1272,,0.0,0.0
09-08-2021,8.0,8.5,7.5,7.5,53365,,0.0,0.0
10-08-2021,8.0,8.0,7.0,7.0,60357,,0.0,0.0
11-08-2021,7.5,7.5,6.5,6.5,49322,,0.0,0.0
12-08-2021,6.5,7.0,6.0,6.0,81482,,0.0,0.0
13-08-2021,6.5,6.5,6.0,6.5,105010,,0.0,0.0
16-08-2021,7.0,7.0,6.5,7.0,26071,,0.0,0.0
17-08-2021,7.5,7.5,6.5,7.0,86321,,0.0,0.0
18-08-2021,7.0,7.0,6.5,6.5,11658,,0.0,0.0
20-08-2021,7.0,7.0,6.0,6.0,78620,,0.0,0.0
23-08-2021,6.0,6.5,5.5,6.5,13341,,0.0,0.0
24-08-2021,6.5,6.5,6.0,6.5,12314,,0.0,0.0
25-08-2021,6.5,6.5,6.0,6.5,9707,,0.0,0.0
26-08-2021,6.0,6.5,6.0,6.5,18870,,0.0,0.0
27-08-2021,6.5,7.0,6.5,7.0,72861,,0.0,0.0
30-08-2021,7.5,7.5,7.5,7.5,7235,,0.0,0.0
31-08-2021,8.0,8.0,8.0,8.0,12254,,0.0,0.0
01-09-2021,8.5,8.5,8.5,8.5,9016,,0.0,0.0
02-09-2021,9.0,9.0,9.0,9.0,14421,,0.0,0.0
03-09-2021,9.5,9.5,9.0,9.5,106948,,0.0,0.0
06-09-2021,10.0,10.0,10.0,10.0,12880,,0.0,0.0
07-09-2021,10.5,10.5,10.5,10.5,10079,,0.0,0.0
08-09-2021,11.0,11.0,11.0,11.0,5256,,0.0,0.0
09-09-2021,11.5,11.5,11.0,11.5,179810,,0.0,0.0
13-09-2021,12.0,12.0,12.0,12.0,10217,,0.0,0.0
14-09-2021,12.5,12.5,12.5,12.5,14256,,0.0,0.0
15-09-2021,13.0,13.0,13.0,13.0,6406,,0.0,0.0
16-09-2021,13.5,13.5,13.5,13.5,11164,,0.0,0.0
17-09-2021,14.0,14.0,14.0,14.0,18399,,0.0,0.0
20-09-2021,14.5,14.5,14.5,14.5,15008,,0.0,0.0
21-09-2021,15.0,15.0,15.0,15.0,15217,,0.0,0.0
22-09-2021,15.5,15.5,15.5,15.5,8426,,0.0,0.0
23-09-2021,16.0,16.0,16.0,16.0,6538,,0.0,0.0
24-09-2021,16.5,16.5,16.5,16.5,10296,,0.0,0.0
27-09-2021,17.0,17.0,17.0,17.0,12816,,0.0,0.0
28-09-2021,17.5,17.5,17.5,17.5,7357,,0.0,0.0
29-09-2021,17.5,17.5,17.0,17.0,33430,,0.0,0.0
30-09-2021,17.0,17.0,17.0,17.0,0,,0.0,0.0
01-10-2021,17.0,17.0,17.0,17.0,0,,0.0,0.0
04-10-2021,16.5,16.5,16.5,16.5,1065,,0.0,0.0
05-10-2021,16.5,16.5,16.5,16.5,0,,0.0,0.0
06-10-2021,16.5,16.5,16.5,16.5,0,,0.0,0.0
07-10-2021,16.5,16.5,16.5,16.5,0,,0.0,0.0
08-10-2021,16.5,16.5,16.5,16.5,0,,0.0,0.0
11-10-2021,16.0,16.0,16.0,16.0,85,,0.0,0.0
12-10-2021,16.0,16.0,16.0,16.0,0,,0.0,0.0
13-10-2021,16.0,16.0,16.0,16.0,0,,0.0,0.0
14-10-2021,16.0,16.0,16.0,16.0,0,,0.0,0.0
18-10-2021,15.5,15.5,15.5,15.5,490,,0.0,0.0
19-10-2021,15.5,15.5,15.5,15.5,0,,0.0,0.0
20-10-2021,15.5,15.5,15.5,15.5,0,,0.0,0.0
21-10-2021,15.5,15.5,15.5,15.5,0,,0.0,0.0
22-10-2021,15.5,15.5,15.5,15.5,0,,0.0,0.0
25-10-2021,15.0,15.0,15.0,15.0,1170,,0.0,0.0
26-10-2021,15.0,15.0,15.0,15.0,0,,0.0,0.0
27-10-2021,15.0,15.0,15.0,15.0,0,,0.0,0.0
28-10-2021,15.0,15.0,15.0,15.0,0,,0.0,0.0
29-10-2021,15.0,15.0,15.0,15.0,0,,0.0,0.0
01-11-2021,15.0,15.0,15.0,15.0,0,,0.0,0.0
02-11-2021,15.0,15.0,15.0,15.0,0,,0.0,0.0
03-11-2021,15.0,15.0,15.0,15.0,0,,0.0,0.0
04-11-2021,15.0,15.0,15.0,15.0,0,,0.0,0.0
08-11-2021,14.5,14.5,14.5,14.5,205,,0.0,0.0
09-11-2021,14.5,14.5,14.5,14.5,0,,0.0,0.0
10-11-2021,14.5,14.5,14.5,14.5,0,,0.0,0.0
11-11-2021,14.0,14.0,14.0,14.0,2000,,0.0,0.0
12-11-2021,14.0,14.0,14.0,14.0,0,,0.0,0.0
15-11-2021,14.0,14.0,14.0,14.0,0,,0.0,0.0
16-11-2021,13.5,13.5,13.5,13.5,10,,0.0,0.0
17-11-2021,13.5,13.5,13.5,13.5,0,,0.0,0.0
18-11-2021,13.5,13.5,13.5,13.5,0,,0.0,0.0
22-11-2021,13.5,13.5,13.5,13.5,0,,0.0,0.0
23-11-2021,13.0,13.0,13.0,13.0,130,,0.0,0.0
24-11-2021,13.0,13.0,13.0,13.0,0,,0.0,0.0
25-11-2021,12.0,12.0,12.0,12.0,10,,0.0,0.0
26-11-2021,12.0,12.0,12.0,12.0,0,,0.0,0.0
29-11-2021,11.5,11.5,11.5,11.5,328,,0.0,0.0
30-11-2021,11.0,11.0,11.0,11.0,2520,,0.0,0.0
01-12-2021,10.5,11.0,10.5,10.5,26200,,0.0,0.0
02-12-2021,10.0,11.0,10.0,11.0,36926,,0.0,0.0
03-12-2021,11.0,11.5,11.0,11.5,6921,,0.0,0.0
06-12-2021,12.0,12.0,11.0,12.0,11946,,0.0,0.0
07-12-2021,12.5,12.5,11.5,12.5,9050,,0.0,0.0
08-12-2021,12.5,13.0,12.0,13.0,18648,,0.0,0.0
09-12-2021,13.5,13.5,13.5,13.5,4620,,0.0,0.0
10-12-2021,14.0,14.0,14.0,14.0,8066,,0.0,0.0
13-12-2021,14.5,14.5,14.5,14.5,16510,,0.0,0.0
14-12-2021,15.0,15.0,15.0,15.0,51202,,0.0,0.0
15-12-2021,15.5,15.5,15.5,15.5,31894,,0.0,0.0
16-12-2021,16.0,16.0,16.0,16.0,39631,,0.0,0.0
17-12-2021,16.5,16.5,16.5,16.5,56834,,0.0,0.0
20-12-2021,17.0,17.0,16.0,17.0,118460,,0.0,0.0
21-12-2021,17.5,17.5,16.5,17.5,42911,,0.0,0.0
22-12-2021,18.0,18.0,17.0,17.0,23883,,0.0,0.0
23-12-2021,17.0,17.5,16.5,17.5,13053,,0.0,0.0
24-12-2021,18.0,18.0,17.0,18.0,11701,,0.0,0.0
27-12-2021,18.0,18.0,18.0,18.0,0,,0.0,0.0
28-12-2021,18.0,18.0,18.0,18.0,0,,0.0,0.0
29-12-2021,18.0,18.0,18.0,18.0,0,,0.0,0.0
30-12-2021,18.0,18.0,18.0,18.0,0,,0.0,0.0
