Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,1593.47,1641.49,1571.94,1623.0,10385,,0.0,0.0
09-08-2021,1639.5,1731.97,1621.85,1650.69,33862,,0.0,0.0
10-08-2021,1699.8,1980.82,1616.88,1968.84,487372,,0.0,0.0
11-08-2021,2028.15,2165.46,1890.15,2097.2,555980,,0.0,0.0
12-08-2021,2153.52,2271.84,2137.62,2203.68,183297,,0.0,0.0
13-08-2021,2216.16,2234.46,2104.71,2126.08,50324,,0.0,0.0
16-08-2021,2126.08,2172.41,2048.28,2061.9,27078,,0.0,0.0
17-08-2021,2061.9,2358.34,2049.28,2164.61,152327,,0.0,0.0
18-08-2021,2148.55,2226.9,2099.79,2155.81,42968,,0.0,0.0
20-08-2021,2136.62,2232.07,2072.99,2161.48,47293,,0.0,0.0
23-08-2021,2180.07,2182.56,1978.64,2083.28,38336,,0.0,0.0
24-08-2021,2101.82,2207.46,2101.82,2176.49,53049,,0.0,0.0
25-08-2021,2197.27,2216.71,2120.71,2142.19,28337,,0.0,0.0
26-08-2021,2162.17,2429.92,2139.9,2379.17,155937,,0.0,0.0
27-08-2021,2386.18,2478.34,2297.69,2328.81,101685,,0.0,0.0
30-08-2021,2351.68,2407.06,2292.72,2339.94,40928,,0.0,0.0
31-08-2021,2344.42,2344.42,2266.87,2304.25,20732,,0.0,0.0
01-09-2021,2316.58,2326.47,2246.98,2271.34,18769,,0.0,0.0
02-09-2021,2278.8,2296.69,2237.04,2275.77,16329,,0.0,0.0
03-09-2021,2283.77,2335.42,2245.49,2285.56,28657,,0.0,0.0
06-09-2021,2285.56,2302.01,2256.92,2265.72,12825,,0.0,0.0
07-09-2021,2271.84,2384.19,2256.92,2288.89,27097,,0.0,0.0
08-09-2021,2306.44,2422.96,2266.87,2367.39,37125,,0.0,0.0
09-09-2021,2366.29,2840.84,2357.44,2828.17,217736,,0.0,0.0
13-09-2021,2823.64,3360.53,2805.5,3157.56,358771,,0.0,0.0
14-09-2021,3220.05,3297.89,2973.77,3009.42,146503,,0.0,0.0
15-09-2021,3009.42,3051.22,2883.3,2898.26,62619,,0.0,0.0
16-09-2021,2932.81,3060.97,2888.32,3004.34,77134,,0.0,0.0
17-09-2021,3022.49,3120.92,2775.12,3075.23,168816,,0.0,0.0
20-09-2021,3053.31,3075.19,2874.35,2902.44,47561,,0.0,0.0
21-09-2021,2843.53,2930.67,2735.65,2828.66,44311,,0.0,0.0
22-09-2021,2853.47,3072.2,2834.58,2977.15,55709,,0.0,0.0
23-09-2021,3015.93,3071.21,2978.74,2992.36,22805,,0.0,0.0
24-09-2021,3011.55,3062.26,2905.12,2992.81,26214,,0.0,0.0
27-09-2021,3011.95,3044.26,2932.41,2952.74,12804,,0.0,0.0
28-09-2021,2967.81,2979.39,2872.36,2948.97,15048,,0.0,0.0
29-09-2021,2952.3,3042.37,2903.18,2961.74,22065,,0.0,0.0
30-09-2021,2954.09,3026.07,2952.89,2969.15,11543,,0.0,0.0
01-10-2021,2969.15,3238.29,2954.43,3121.72,83205,,0.0,0.0
04-10-2021,3140.06,3140.06,3042.37,3063.45,19295,,0.0,0.0
05-10-2021,3032.43,3116.94,3027.76,3051.67,14371,,0.0,0.0
06-10-2021,3068.18,3078.96,2959.85,2966.22,12366,,0.0,0.0
07-10-2021,3017.52,3111.97,2962.94,2989.28,19128,,0.0,0.0
08-10-2021,3010.11,3013.74,2900.3,2939.42,16023,,0.0,0.0
11-10-2021,2941.96,2969.85,2889.26,2899.01,11062,,0.0,0.0
12-10-2021,2899.01,2952.89,2833.58,2851.63,5200,,0.0,0.0
13-10-2021,2830.2,2883.99,2719.25,2734.11,11131,,0.0,0.0
14-10-2021,2762.79,2828.61,2734.16,2764.09,4993,,0.0,0.0
18-10-2021,2821.65,2866.2,2763.99,2820.06,6810,,0.0,0.0
19-10-2021,2818.67,2833.58,2695.38,2727.65,7347,,0.0,0.0
20-10-2021,2696.68,2759.02,2595.36,2640.7,5186,,0.0,0.0
21-10-2021,2659.59,2684.45,2565.14,2618.58,4144,,0.0,0.0
22-10-2021,2565.14,2674.46,2487.69,2575.33,6146,,0.0,0.0
25-10-2021,2565.14,2704.08,2465.72,2702.64,19562,,0.0,0.0
26-10-2021,2734.16,2734.16,2598.2,2715.87,9808,,0.0,0.0
27-10-2021,2734.16,2763.99,2634.74,2679.18,3064,,0.0,0.0
28-10-2021,2630.61,2719.25,2585.02,2606.7,4052,,0.0,0.0
29-10-2021,2555.2,2659.59,2496.54,2614.45,2507,,0.0,0.0
01-11-2021,2530.34,2573.09,2483.76,2483.76,7175,,0.0,0.0
02-11-2021,2430.92,2435.89,2359.58,2359.58,8675,,0.0,0.0
03-11-2021,2359.33,2477.55,2241.61,2460.84,20212,,0.0,0.0
04-11-2021,2500.51,2545.25,2411.23,2478.29,2580,,0.0,0.0
08-11-2021,2454.78,2455.77,2354.41,2354.41,7119,,0.0,0.0
09-11-2021,2267.91,2432.91,2267.91,2283.32,7024,,0.0,0.0
10-11-2021,2331.49,2331.49,2187.33,2198.96,7121,,0.0,0.0
11-11-2021,2207.21,2308.87,2207.21,2308.87,5330,,0.0,0.0
12-11-2021,2376.04,2417.0,2336.66,2379.66,6606,,0.0,0.0
15-11-2021,2381.2,2381.2,2266.87,2287.15,9037,,0.0,0.0
16-11-2021,2286.75,2296.64,2207.21,2219.44,4198,,0.0,0.0
17-11-2021,2236.99,2330.4,2187.33,2300.37,6057,,0.0,0.0
18-11-2021,2300.37,2322.55,2192.3,2244.35,2797,,0.0,0.0
22-11-2021,2223.12,2300.67,2178.38,2205.42,6918,,0.0,0.0
23-11-2021,2205.42,2281.78,2109.78,2271.24,4074,,0.0,0.0
24-11-2021,2325.53,2376.23,2211.24,2325.43,5591,,0.0,0.0
25-11-2021,2371.16,2386.18,2239.53,2371.46,4278,,0.0,0.0
26-11-2021,2286.75,2356.35,2252.9,2285.61,4179,,0.0,0.0
29-11-2021,2209.2,2286.75,2171.37,2173.36,4243,,0.0,0.0
30-11-2021,2226.95,2226.95,2132.64,2147.51,2249,,0.0,0.0
01-12-2021,2216.16,2216.16,2120.71,2140.0,2737,,0.0,0.0
02-12-2021,2127.67,2246.98,2098.84,2236.34,3615,,0.0,0.0
03-12-2021,2280.74,2315.44,2246.98,2299.03,2879,,0.0,0.0
06-12-2021,2326.42,2326.42,2197.27,2211.04,2888,,0.0,0.0
07-12-2021,2187.33,2261.9,2187.33,2253.35,1088,,0.0,0.0
08-12-2021,2286.7,2310.61,2187.33,2246.24,3350,,0.0,0.0
09-12-2021,2256.93,2327.37,2217.16,2306.04,2258,,0.0,0.0
10-12-2021,2286.75,2286.75,2237.04,2268.86,8145,,0.0,0.0
13-12-2021,2306.54,2361.32,2246.98,2334.77,7829,,0.0,0.0
14-12-2021,2335.47,2335.47,2242.31,2266.27,1253,,0.0,0.0
15-12-2021,2213.18,2264.88,2213.18,2219.74,12199,,0.0,0.0
16-12-2021,2189.37,2261.9,2189.37,2194.34,2064,,0.0,0.0
17-12-2021,2187.33,2221.13,2139.6,2164.81,2391,,0.0,0.0
20-12-2021,2063.1,2167.44,2056.59,2096.11,3577,,0.0,0.0
21-12-2021,2137.86,2137.86,2028.25,2047.39,1501,,0.0,0.0
22-12-2021,2049.13,2131.6,2013.63,2079.55,3169,,0.0,0.0
23-12-2021,2127.62,2127.62,2060.12,2072.94,1579,,0.0,0.0
24-12-2021,2087.9,2087.9,2053.11,2064.19,1206,,0.0,0.0
27-12-2021,2117.53,2117.53,2033.22,2038.39,1468,,0.0,0.0
28-12-2021,2097.75,2116.74,2039.19,2098.99,1542,,0.0,0.0
29-12-2021,2107.79,2203.93,2102.82,2203.93,4003,,0.0,0.0
30-12-2021,2275.82,2301.67,2187.33,2295.1,3113,,0.0,0.0
31-12-2021,2299.68,2299.68,2222.33,2279.89,1728,,0.0,0.0
03-01-2022,2310.86,2333.48,2212.28,2262.89,4046,,0.0,0.0
04-01-2022,2286.75,2286.75,2152.53,2169.13,12325,,0.0,0.0
05-01-2022,2202.24,2202.24,2107.79,2114.9,4374,,0.0,0.0
06-01-2022,2107.79,2175.4,2077.96,2103.27,4623,,0.0,0.0
07-01-2022,2102.77,2167.44,2068.86,2127.67,3536,,0.0,0.0
10-01-2022,2187.33,2208.21,2142.64,2156.76,3655,,0.0,0.0
11-01-2022,2187.28,2187.28,2135.43,2172.86,5334,,0.0,0.0
12-01-2022,2187.33,2237.04,2162.47,2173.36,7161,,0.0,0.0
13-01-2022,2173.36,2187.33,2162.47,2168.14,4357,,0.0,0.0
14-01-2022,2162.47,2276.51,2162.47,2276.51,8762,,0.0,0.0
17-01-2022,2326.52,2390.3,2297.99,2390.3,8211,,0.0,0.0
18-01-2022,2505.44,2509.81,2281.48,2306.04,20873,,0.0,0.0
19-01-2022,2316.58,2386.23,2266.92,2283.67,6672,,0.0,0.0
20-01-2022,2361.32,2361.32,2213.92,2229.14,7524,,0.0,0.0
21-01-2022,2239.23,2266.82,2117.73,2155.51,7134,,0.0,0.0
24-01-2022,2236.05,2236.05,2047.74,2051.02,5705,,0.0,0.0
25-01-2022,2055.54,2153.52,1959.7,2153.52,7879,,0.0,0.0
27-01-2022,2187.33,2187.33,2059.12,2089.05,10478,,0.0,0.0
28-01-2022,2136.62,2177.39,2095.56,2108.29,6421,,0.0,0.0
31-01-2022,2112.76,2158.45,2010.95,2068.82,4724,,0.0,0.0
01-02-2022,2107.79,2157.45,2070.11,2119.52,5211,,0.0,0.0
02-02-2022,2187.28,2224.12,2130.16,2206.52,4091,,0.0,0.0
03-02-2022,2236.0,2261.8,2165.01,2232.96,5973,,0.0,0.0
