Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,36.5,37.2,35.79,35.98,494081,,0.0,0.0
09-08-2021,36.45,36.5,34.71,34.9,676411,,0.0,0.0
10-08-2021,35.09,35.51,31.0,33.16,1159579,,0.0,0.0
11-08-2021,33.16,33.73,31.19,33.12,859318,,0.0,0.0
12-08-2021,33.21,34.2,33.16,33.63,462417,,0.0,0.0
13-08-2021,33.26,34.29,33.26,33.96,493567,,0.0,0.0
16-08-2021,34.06,37.58,33.49,35.42,1287667,,0.0,0.0
17-08-2021,35.42,36.17,33.63,34.29,565253,,0.0,0.0
18-08-2021,34.71,34.71,33.3,33.63,586588,,0.0,0.0
20-08-2021,32.88,34.01,31.33,32.69,965352,,0.0,0.0
23-08-2021,33.02,33.35,31.47,31.9,620900,,0.0,0.0
24-08-2021,32.6,34.29,31.8,34.1,800048,,0.0,0.0
25-08-2021,34.76,35.0,33.12,33.3,394441,,0.0,0.0
26-08-2021,33.12,34.63,33.12,33.49,381464,,0.25,0.0
27-08-2021,33.26,34.44,33.12,33.26,464084,,0.0,0.0
30-08-2021,33.49,34.2,33.35,33.59,344367,,0.0,0.0
31-08-2021,33.59,33.87,33.12,33.64,312702,,0.0,0.0
01-09-2021,33.97,34.35,33.21,33.35,674107,,0.0,0.0
02-09-2021,33.35,34.25,33.21,33.59,2264969,,0.0,0.0
03-09-2021,33.78,33.97,33.21,33.59,273221,,0.0,0.0
06-09-2021,33.59,34.25,33.16,33.4,417701,,0.0,0.0
07-09-2021,33.59,34.58,33.16,34.01,546514,,0.0,0.0
08-09-2021,33.78,36.9,33.78,36.62,3307258,,0.0,0.0
09-09-2021,37.37,38.04,36.28,37.7,2288698,,0.0,0.0
13-09-2021,38.79,41.91,38.22,38.65,4165757,,0.0,0.0
14-09-2021,38.98,39.27,37.04,37.75,1116576,,0.0,0.0
15-09-2021,37.99,39.6,37.56,37.94,1203330,,0.0,0.0
16-09-2021,38.41,38.56,37.33,37.47,705832,,0.0,0.0
17-09-2021,37.7,37.85,35.95,36.33,778323,,0.0,0.0
20-09-2021,35.91,37.56,34.72,35.05,571727,,0.0,0.0
21-09-2021,34.72,35.48,34.44,35.24,326046,,0.0,0.0
22-09-2021,35.29,36.24,34.82,35.01,456688,,0.0,0.0
23-09-2021,35.43,36.1,35.29,35.76,495019,,0.0,0.0
24-09-2021,35.81,36.71,34.53,34.87,798430,,0.0,0.0
27-09-2021,34.87,35.91,34.44,35.05,396336,,0.0,0.0
28-09-2021,34.96,35.24,33.87,34.49,364469,,0.0,0.0
29-09-2021,34.96,35.95,34.3,35.72,445451,,0.0,0.0
30-09-2021,35.53,36.1,34.87,35.1,339531,,0.0,0.0
01-10-2021,34.87,35.53,34.68,35.15,295687,,0.0,0.0
04-10-2021,35.72,35.72,34.72,34.87,432390,,0.0,0.0
05-10-2021,34.53,35.15,34.53,35.01,915966,,0.0,0.0
06-10-2021,35.05,35.58,34.63,34.91,1184113,,0.0,0.0
07-10-2021,35.48,35.86,34.96,35.1,366974,,0.0,0.0
08-10-2021,35.15,35.53,34.58,34.87,391557,,0.0,0.0
11-10-2021,35.39,35.39,34.53,34.68,279629,,0.0,0.0
12-10-2021,34.82,34.96,33.59,33.92,490378,,0.0,0.0
13-10-2021,34.16,35.01,33.97,34.3,485884,,0.0,0.0
14-10-2021,34.87,35.15,34.25,34.58,458103,,0.0,0.0
18-10-2021,34.63,35.24,34.01,34.91,543669,,0.0,0.0
19-10-2021,35.24,35.39,34.58,34.68,328042,,0.0,0.0
20-10-2021,34.2,34.68,33.3,33.64,453281,,0.0,0.0
21-10-2021,33.78,34.96,33.68,34.2,243207,,0.0,0.0
22-10-2021,34.44,34.44,31.55,32.78,882146,,0.0,0.0
25-10-2021,33.16,33.16,30.42,31.55,714335,,0.0,0.0
26-10-2021,31.74,33.12,30.8,32.36,612062,,0.0,0.0
27-10-2021,32.64,33.4,32.12,32.74,313542,,0.0,0.0
28-10-2021,32.93,32.93,31.27,31.6,381271,,0.0,0.0
29-10-2021,31.6,32.5,30.94,32.12,424519,,0.0,0.0
01-11-2021,32.26,32.5,31.18,31.74,302581,,0.0,0.0
02-11-2021,32.12,32.69,31.22,31.98,309563,,0.0,0.0
03-11-2021,32.07,32.64,31.79,32.03,185826,,0.0,0.0
04-11-2021,32.59,33.12,32.17,32.88,226558,,0.0,0.0
08-11-2021,33.35,34.16,32.64,33.82,499809,,0.0,0.0
09-11-2021,33.78,34.53,33.35,33.78,402475,,0.0,0.0
10-11-2021,33.12,35.62,32.93,34.53,935652,,0.0,0.0
11-11-2021,34.68,34.77,32.64,33.07,315669,,0.0,0.0
12-11-2021,33.54,34.35,32.64,33.3,442295,,0.0,0.0
15-11-2021,33.87,33.87,32.45,32.64,188016,,0.0,0.0
16-11-2021,32.69,33.07,31.46,31.89,386649,,0.0,0.0
17-11-2021,31.65,32.45,31.55,31.89,207703,,0.0,0.0
18-11-2021,31.89,32.41,31.6,31.74,234131,,0.0,0.0
22-11-2021,31.7,32.22,31.27,31.98,288785,,0.0,0.0
23-11-2021,31.41,32.74,31.41,32.07,189549,,0.0,0.0
24-11-2021,32.64,33.78,32.41,33.49,609021,,0.0,0.0
25-11-2021,33.87,33.87,32.55,32.69,218898,,0.0,0.0
26-11-2021,32.64,32.64,31.32,31.51,252917,,0.0,0.0
29-11-2021,31.79,31.98,29.43,29.8,568926,,0.0,0.0
30-11-2021,29.52,30.84,29.52,29.9,151009,,0.0,0.0
01-12-2021,30.13,31.46,29.38,29.52,371179,,0.0,0.0
02-12-2021,29.76,30.42,29.57,29.9,368828,,0.0,0.0
03-12-2021,29.95,32.97,29.95,31.55,835249,,0.0,0.0
06-12-2021,32.17,32.93,31.27,31.51,389971,,0.0,0.0
07-12-2021,31.79,32.22,31.41,31.65,202906,,0.0,0.0
08-12-2021,31.89,32.88,31.74,32.64,403826,,0.0,0.0
09-12-2021,33.12,33.3,32.41,32.64,250581,,0.0,0.0
10-12-2021,32.55,35.86,32.55,35.05,2494970,,0.0,0.0
13-12-2021,35.2,36.14,34.49,34.68,627492,,0.0,0.0
14-12-2021,34.49,34.68,31.6,34.25,612637,,0.0,0.0
15-12-2021,34.39,34.82,33.45,33.54,322578,,0.0,0.0
16-12-2021,33.73,34.01,33.12,33.26,204322,,0.0,0.0
17-12-2021,33.26,33.35,32.26,32.45,157951,,0.0,0.0
20-12-2021,31.46,32.07,30.84,30.99,313869,,0.0,0.0
21-12-2021,31.27,31.89,29.8,30.75,320390,,0.0,0.0
22-12-2021,31.08,31.89,30.75,30.99,192430,,0.0,0.0
23-12-2021,31.51,31.89,30.84,31.08,232409,,0.0,0.0
24-12-2021,31.27,31.65,30.18,31.03,563128,,0.0,0.0
27-12-2021,31.13,32.64,30.56,31.79,1324699,,0.0,0.0
28-12-2021,33.12,33.59,32.59,32.78,1244625,,0.0,0.0
29-12-2021,32.64,35.81,31.98,34.77,2069169,,0.0,0.0
30-12-2021,34.91,35.39,33.59,33.97,829121,,0.0,0.0
31-12-2021,34.06,35.39,34.01,34.35,484354,,0.0,0.0
03-01-2022,34.72,35.2,34.35,34.82,893173,,0.0,0.0
04-01-2022,35.43,35.43,33.64,34.01,642101,,0.0,0.0
05-01-2022,33.59,34.68,33.12,33.45,627794,,0.0,0.0
06-01-2022,33.4,34.25,32.64,33.12,684942,,0.0,0.0
07-01-2022,33.16,34.58,32.55,33.3,914398,,0.0,0.0
10-01-2022,33.54,34.3,33.35,33.87,587515,,0.0,0.0
